step,wall_time,value
0,1782777126.0493598,0.0
1,1782777128.698386,0.0
2,1782777131.6435037,0.0
3,1782777140.9038234,0.0
4,1782777144.5254445,0.0
5,1782777148.4166288,0.0
6,1782777153.9389143,0.0
7,1782777158.4821072,0.0
8,1782777163.4630215,0.0
9,1782777168.2905893,0.0
10,1782777171.3746514,0.0
11,1782777178.008466,0.0
12,1782777182.8871534,0.0
13,1782777185.0721443,0.0
14,1782777187.4645324,0.0
15,1782777193.008732,0.0
16,1782777196.8655324,0.0
17,1782777199.5004342,0.0
18,1782777201.6259615,0.0
19,1782777209.2623324,0.0
20,1782777214.684264,0.0
21,1782777219.5903695,0.0
22,1782777223.7673903,0.0
23,1782777239.6565845,0.0
24,1782777241.9018686,0.0
25,1782777247.95712,0.0
26,1782777250.0980272,0.0
27,1782777256.5209656,0.0
28,1782777261.6669817,0.0
29,1782777264.5589635,0.0
30,1782777271.4983582,0.0
31,1782777278.3116603,0.0
32,1782777284.4050858,0.0
33,1782777291.3965826,0.0
34,1782777294.523459,0.0
35,1782777298.23272,0.0
36,1782777304.245624,0.0
37,1782777307.7245696,0.0
38,1782777310.7371497,0.0
39,1782777315.5328164,0.0
40,1782777319.025462,0.0
41,1782777322.3016284,0.0
42,1782777329.0914912,0.0
43,1782777333.1359594,0.0
44,1782777336.9936059,0.0
45,1782777340.4473627,0.0
46,1782777343.741658,0.0
47,1782777351.3953114,0.0
48,1782777354.952331,0.0
49,1782777363.1048975,0.0
50,1782777368.0931642,0.0
51,1782777374.1643398,0.0
52,1782777383.86025,0.0
53,1782777386.5397923,0.0
54,1782777391.0157506,0.0
55,1782777394.7530549,0.0
56,1782777398.4662714,0.0
57,1782777401.5646183,0.0
58,1782777406.2683713,0.0
59,1782777410.5062325,0.0
60,1782777415.1976004,0.0
61,1782777418.666562,0.0
62,1782777422.8493483,0.0
63,1782777425.6759024,0.0
64,1782777430.2178605,0.0
65,1782777434.679761,0.0
66,1782777437.0494125,0.0
67,1782777440.2849236,0.0
68,1782777445.9170282,0.0
69,1782777452.3492548,0.0
70,1782777457.1971307,0.0
71,1782777463.6431134,0.0
72,1782777466.2255197,0.0
73,1782777472.9361877,0.0
74,1782777479.2275083,0.0
75,1782777483.294728,0.0
76,1782777489.4395561,0.0
77,1782777492.6893342,0.0
78,1782777496.6846135,0.0
79,1782777501.7478724,0.0
80,1782777505.582884,0.0
81,1782777510.6915236,0.0
82,1782777515.1411097,0.0
83,1782777520.188062,0.0
84,1782777523.3399966,0.0
85,1782777528.676245,0.0
86,1782777531.785354,0.0
87,1782777540.0804455,0.0
88,1782777545.6234457,0.0
89,1782777548.6068234,0.0
90,1782777551.8107364,0.0
91,1782777558.8943064,0.0
92,1782777566.8050969,0.0
93,1782777571.0586598,0.0
94,1782777575.333614,0.0
95,1782777580.9479513,0.0
96,1782777586.3935626,0.0
97,1782777590.902203,0.0
98,1782777597.1401656,0.0
99,1782777602.814219,0.0
100,1782777610.034587,0.0
101,1782777612.725595,0.0
102,1782777616.1295702,0.0
103,1782777621.051839,0.0
104,1782777625.353407,0.0
105,1782777629.4122505,0.0
106,1782777632.8439488,0.0
107,1782777636.6692157,0.0
108,1782777642.8959672,0.0
109,1782777646.9467633,0.0
110,1782777650.397916,0.0
111,1782777656.900702,0.0
112,1782777665.561742,0.0
113,1782777669.7920341,0.0
114,1782777675.1449587,0.0
115,1782777682.693767,0.0
116,1782777688.3950052,0.0
117,1782777692.0607166,0.0
118,1782777697.7883062,0.0
119,1782777701.6079423,0.0
120,1782777706.9015703,0.0
121,1782777720.2581654,0.0
122,1782777731.7653334,0.0
123,1782777740.254496,0.0
124,1782777745.7737195,0.0
125,1782777749.8981714,0.0
126,1782777754.5053673,0.0
127,1782777759.300701,0.0
128,1782777764.0509593,0.0
129,1782777767.7755113,0.0
130,1782777773.8470259,0.0
131,1782777777.6964948,0.0
132,1782777780.7157784,0.0
133,1782777786.1913552,0.0
134,1782777791.5285585,0.0
135,1782777805.5955906,0.0
136,1782777810.71837,0.0
137,1782777816.9965692,0.0
138,1782777822.241808,0.0
139,1782777827.2493548,0.0
140,1782777830.799147,0.0
141,1782777836.355562,0.0
142,1782777841.1876101,0.0
143,1782777844.1370795,0.0
144,1782777852.0600393,0.0
145,1782777854.7316988,0.0
146,1782777860.4053857,0.0
147,1782777864.6782029,0.0
148,1782777870.8460302,0.0
149,1782777875.952853,0.0
150,1782777882.5080364,0.0
151,1782777887.5551596,0.0
152,1782777891.0087647,0.0
153,1782777895.086764,0.0
154,1782777899.057804,0.0
155,1782777901.7230597,0.0
156,1782777906.01044,0.0
157,1782777908.273269,0.0
158,1782777916.7139826,0.0
159,1782777923.7471018,0.0
160,1782777929.3802114,0.0
161,1782777931.6870217,0.0
162,1782777935.162798,0.0
163,1782777938.4661696,0.0
164,1782777940.7742438,0.0
165,1782777943.5017684,0.0
166,1782777951.3623672,0.0
167,1782777957.5947886,0.0
168,1782777961.4362133,0.0
169,1782777964.276376,0.0
170,1782777968.656854,0.0
171,1782777971.8931212,0.0
172,1782777976.8254242,0.0
173,1782777980.944591,0.0
174,1782777987.749702,0.0
175,1782777996.4104426,0.0
176,1782777999.4909184,0.0
177,1782778003.359023,0.0
178,1782778006.224673,0.0
179,1782778009.5633209,0.0
180,1782778013.090365,0.0
181,1782778018.2937288,0.0
182,1782778024.2901828,0.0
183,1782778028.9964142,0.0
184,1782778037.1328971,0.0
185,1782778050.1502671,0.0
186,1782778054.2509525,0.0
187,1782778060.5136461,0.0
188,1782778063.9014442,0.0
189,1782778067.7026255,0.0
190,1782778073.5320518,0.0
191,1782778078.9157104,0.0
192,1782778082.053871,0.0
193,1782778087.4310658,0.0
194,1782778096.6013908,0.0
195,1782778104.76044,0.0
196,1782778108.989182,0.0
197,1782778112.526411,0.0
198,1782778114.8313677,0.0
199,1782778118.052121,0.0
200,1782778122.074772,0.0
201,1782778126.6459372,0.0
202,1782778132.1530142,0.0
203,1782778135.7549367,0.0
204,1782778141.2998028,0.0
205,1782778146.999001,0.0
206,1782778155.6545088,0.0
207,1782778162.3623488,0.0
208,1782778167.5454369,0.0
209,1782778171.7929819,0.0
210,1782778175.8586173,0.0
211,1782778178.3933985,0.0
212,1782778182.6982908,0.0
213,1782778189.0703309,0.0
214,1782778192.9996731,0.0
215,1782778197.6147466,0.0
216,1782778203.1373343,0.0
217,1782778206.8482447,0.0
218,1782778209.5380106,0.0
219,1782778214.4864328,0.0
220,1782778218.666102,0.0
221,1782778225.128246,0.0
222,1782778229.7620504,0.0
223,1782778234.755029,0.0
224,1782778238.165663,0.0
225,1782778244.3362346,0.0
226,1782778250.6332633,0.0
227,1782778255.735594,0.0
228,1782778258.3567364,0.0
229,1782778261.7467704,0.0
230,1782778267.3642192,0.0
231,1782778270.9412363,0.0
232,1782778273.9454014,0.0
233,1782778276.9513144,0.0
234,1782778281.5395737,0.0
235,1782778284.7804725,0.0
236,1782778287.675503,0.0
237,1782778298.0084546,0.0
238,1782778306.797889,0.0
239,1782778310.8202987,0.0
240,1782778314.4430022,0.0
241,1782778318.3620772,0.0
242,1782778321.8963485,0.0
243,1782778328.5513618,0.0
244,1782778332.9803033,0.0
245,1782778336.3423946,0.0
246,1782778343.2465858,0.0
247,1782778348.5119805,0.0
248,1782778357.5790126,0.0
249,1782778362.5082538,0.0
250,1782778365.191882,0.0
251,1782778368.710065,0.0
252,1782778373.7329915,0.0
253,1782778381.2967331,0.0
254,1782778389.71045,0.0
255,1782778396.3653393,0.0
256,1782778401.0590806,0.0
257,1782778404.4490802,0.0
258,1782778407.6066558,0.0
259,1782778413.8226364,0.0
260,1782778419.9791458,0.0
261,1782778423.8091815,0.0
262,1782778427.3884203,0.0
263,1782778433.131617,0.0
264,1782778437.3172817,0.0
265,1782778441.8852162,0.0
266,1782778444.7726464,0.0
267,1782778449.8503325,0.0
268,1782778453.6247199,0.0
269,1782778458.0662518,0.0
270,1782778465.3936965,0.0
271,1782778469.7994168,0.0
272,1782778473.9461777,0.0
273,1782778476.305094,0.0
274,1782778480.0790398,0.0
275,1782778483.8174658,0.0
276,1782778489.3524804,0.0
277,1782778502.249269,0.0
278,1782778509.2468626,0.0
279,1782778512.4219055,0.0
280,1782778515.951198,0.0
281,1782778520.191006,0.0
282,1782778523.3352447,0.0
283,1782778526.8072038,0.0
284,1782778533.6382005,0.0
285,1782778537.138645,0.0
286,1782778547.9019508,0.0
287,1782778554.6460676,0.0
288,1782778558.3937702,0.0
289,1782778564.2499812,0.0
290,1782778578.0310006,0.0
291,1782778580.8551116,0.0
292,1782778583.8615541,0.0
293,1782778592.216119,0.0
294,1782778594.5987284,0.0
295,1782778597.5315192,0.0
296,1782778601.309064,0.0
297,1782778606.4308562,0.0
298,1782778613.0557353,0.0
299,1782778619.499779,0.0
300,1782778623.144246,0.0
301,1782778629.5207815,0.0
302,1782778634.852263,0.0
303,1782778639.5039349,0.0
304,1782778644.0379002,0.0
305,1782778648.9876227,0.0
306,1782778651.9379432,0.0
307,1782778657.9859376,0.0
308,1782778664.7633922,0.0
309,1782778668.6531112,0.0
310,1782778676.4886594,0.0
311,1782778681.4612129,0.0
312,1782778685.1308575,0.0
313,1782778690.5001297,0.0
314,1782778695.0199187,0.0
315,1782778700.3833447,0.0
316,1782778704.44593,0.0
317,1782778709.7419581,0.0
318,1782778712.4047308,0.0
319,1782778715.2030463,0.0
320,1782778719.1153939,0.0
321,1782778724.85351,0.0
322,1782778730.3127723,0.0
323,1782778740.8248677,0.0
324,1782778743.942708,0.0
325,1782778748.563252,0.0
326,1782778754.2414756,0.0
327,1782778760.543955,0.0
328,1782778764.2899764,0.0
329,1782778769.105809,0.0
330,1782778774.0879016,0.0
331,1782778776.7479248,0.0
332,1782778785.8643036,0.0
333,1782778792.7830346,0.0
334,1782778796.40363,0.0
335,1782778805.196975,0.0
336,1782778809.636375,0.0
337,1782778815.0712101,0.0
338,1782778819.6065507,0.0
339,1782778822.4629245,0.0
340,1782778828.3858974,0.0
341,1782778831.1349895,0.0
342,1782778840.5005648,0.0
343,1782778842.7308204,0.0
344,1782778847.1891255,0.0
345,1782778852.0949652,0.0
346,1782778859.0970666,0.0
347,1782778861.5816202,0.0
348,1782778863.6820261,0.0
349,1782778867.5939302,0.0
350,1782778872.2460115,0.0
351,1782778880.0016384,0.0
352,1782778886.0477514,0.0
353,1782778889.2354043,0.0
354,1782778894.3521318,0.0
355,1782778899.346354,0.0
356,1782778904.692962,0.0
357,1782778911.398269,0.0
358,1782778916.5296516,0.0
359,1782778920.7469196,0.0
360,1782778931.4055722,0.0
361,1782778940.0222623,0.0
362,1782778943.3936012,0.0
363,1782778951.0455508,0.0
364,1782778954.64822,0.0
365,1782778958.7123134,0.0
366,1782778962.0943928,0.0
367,1782778965.7797906,0.0
368,1782778981.004917,0.0
369,1782778984.2089863,0.0
370,1782778991.032276,0.0
371,1782778995.5889726,0.0
372,1782778999.6152673,0.0
373,1782779004.5243683,0.0
374,1782779008.4537435,0.0
375,1782779013.6550128,0.0
376,1782779022.2618961,0.0
377,1782779026.1517773,0.0
378,1782779033.368132,0.0
379,1782779036.729612,0.0
380,1782779041.9412634,0.0
381,1782779045.862009,0.0
382,1782779050.748624,0.0
383,1782779053.2131793,0.0
384,1782779056.0490496,0.0
385,1782779058.2810192,0.0
386,1782779066.9980934,0.0
387,1782779070.9063292,0.0
388,1782779080.699119,0.0
389,1782779085.0934105,0.0
390,1782779090.143447,0.0
391,1782779094.510226,0.0
392,1782779102.2500446,0.0
393,1782779105.089356,0.0
394,1782779108.8775575,0.0
395,1782779111.2421849,0.0
396,1782779115.7753954,0.0
397,1782779119.9605203,0.0
398,1782779126.2150562,0.0
399,1782779130.296789,0.0
400,1782779136.9452097,0.0
401,1782779146.864896,0.0
402,1782779155.849056,0.0
403,1782779159.798988,0.0
404,1782779167.5445719,0.0
405,1782779177.2110653,0.0
406,1782779184.3508017,0.0
407,1782779187.1684546,0.0
408,1782779190.301305,0.0
409,1782779195.6423976,0.0
410,1782779197.9987764,0.0
411,1782779201.6661718,0.0
412,1782779204.910358,0.0
413,1782779209.2451682,0.0
414,1782779216.7592947,0.0
415,1782779226.9990149,0.0
416,1782779233.384894,0.0
417,1782779237.6529293,0.0
418,1782779241.556717,0.0
419,1782779249.853585,0.0
420,1782779252.1513753,0.0
421,1782779260.2017324,0.0
422,1782779265.0829117,0.0
423,1782779268.8094144,0.0
424,1782779273.944044,0.0
425,1782779279.3353674,0.0
426,1782779283.9065728,0.0
427,1782779286.80955,0.0
428,1782779290.0109499,0.0
429,1782779294.193843,0.0
430,1782779298.1486177,0.0
431,1782779300.99573,0.0
432,1782779305.8472252,0.0
433,1782779309.1364765,0.0
434,1782779314.597714,0.0
435,1782779321.4492412,0.0
436,1782779327.752737,0.0
