step,wall_time,value
0,1782777126.0493493,83.0
1,1782777128.6983771,44.0
2,1782777131.6434855,47.0
3,1782777140.9038093,167.0
4,1782777144.525426,63.0
5,1782777148.4165957,68.0
6,1782777153.938895,100.0
7,1782777158.4820914,82.0
8,1782777163.4630063,81.0
9,1782777168.290573,79.0
10,1782777171.3746367,46.0
11,1782777178.0084488,124.0
12,1782777182.8871367,90.0
13,1782777185.0721276,36.0
14,1782777187.4645178,40.0
15,1782777193.0087147,103.0
16,1782777196.8655226,67.0
17,1782777199.5004199,44.0
18,1782777201.6259425,36.0
19,1782777209.2623203,141.0
20,1782777214.684254,96.0
21,1782777219.5903516,86.0
22,1782777223.7673788,70.0
23,1782777239.6565645,304.0
24,1782777241.9018533,36.0
25,1782777247.9571023,113.0
26,1782777250.0980117,37.0
27,1782777256.5209496,118.0
28,1782777261.6669722,91.0
29,1782777264.5589473,44.0
30,1782777271.498342,126.0
31,1782777278.3116453,124.0
32,1782777284.4050686,111.0
33,1782777291.3965738,129.0
34,1782777294.5234463,49.0
35,1782777298.2327118,65.0
36,1782777304.2456124,113.0
37,1782777307.7245574,61.0
38,1782777310.7371342,47.0
39,1782777315.5327997,81.0
40,1782777319.0254464,60.0
41,1782777322.3016114,56.0
42,1782777329.0914764,121.0
43,1782777333.1359425,68.0
44,1782777336.9935975,67.0
45,1782777340.4473474,59.0
46,1782777343.7416365,57.0
47,1782777351.3952951,144.0
48,1782777354.9523203,64.0
49,1782777363.1048875,151.0
50,1782777368.0931547,84.0
51,1782777374.1643307,105.0
52,1782777383.8602343,184.0
53,1782777386.5397725,44.0
54,1782777391.0157394,80.0
55,1782777394.7530358,65.0
56,1782777398.4662611,62.0
57,1782777401.564601,50.0
58,1782777406.2683573,83.0
59,1782777410.5062182,74.0
60,1782777415.197583,81.0
61,1782777418.6665456,57.0
62,1782777422.849334,74.0
63,1782777425.6758862,48.0
64,1782777430.2178488,78.0
65,1782777434.679751,73.0
66,1782777437.0493982,36.0
67,1782777440.284907,55.0
68,1782777445.9170117,103.0
69,1782777452.3492455,122.0
70,1782777457.1971147,86.0
71,1782777463.643098,114.0
72,1782777466.2255054,45.0
73,1782777472.9361768,124.0
74,1782777479.2274935,110.0
75,1782777483.2947118,68.0
76,1782777489.439547,113.0
77,1782777492.6893182,58.0
78,1782777496.6846027,67.0
79,1782777501.7478588,85.0
80,1782777505.5828748,63.0
81,1782777510.6915069,90.0
82,1782777515.1411004,78.0
83,1782777520.188033,88.0
84,1782777523.3399777,50.0
85,1782777528.6762266,92.0
86,1782777531.7853436,47.0
87,1782777540.0804362,153.0
88,1782777545.6234293,101.0
89,1782777548.6068096,49.0
90,1782777551.8107207,55.0
91,1782777558.8942692,130.0
92,1782777566.8050773,150.0
93,1782777571.05863,74.0
94,1782777575.3336012,68.0
95,1782777580.947928,93.0
96,1782777586.3935473,94.0
97,1782777590.9021857,79.0
98,1782777597.1401513,115.0
99,1782777602.8142042,106.0
100,1782777610.0345757,134.0
101,1782777612.7255788,40.0
102,1782777616.1295536,57.0
103,1782777621.0518095,89.0
104,1782777625.3533704,75.0
105,1782777629.4122272,67.0
106,1782777632.8439329,57.0
107,1782777636.6692011,66.0
108,1782777642.8959353,114.0
109,1782777646.946747,68.0
110,1782777650.3979006,58.0
111,1782777656.9006865,114.0
112,1782777665.5617292,158.0
113,1782777669.7920177,69.0
114,1782777675.144944,92.0
115,1782777682.6937509,138.0
116,1782777688.3949945,103.0
117,1782777692.060704,58.0
118,1782777697.78829,97.0
119,1782777701.607929,65.0
120,1782777706.9015563,95.0
121,1782777720.258144,256.0
122,1782777731.765324,219.0
123,1782777740.2544792,160.0
124,1782777745.773704,98.0
125,1782777749.898156,68.0
126,1782777754.5053554,76.0
127,1782777759.300691,80.0
128,1782777764.0509493,84.0
129,1782777767.7755,67.0
130,1782777773.8470101,110.0
131,1782777777.6964803,62.0
132,1782777780.7157621,46.0
133,1782777786.1913438,97.0
134,1782777791.5285406,95.0
135,1782777805.5955799,267.0
136,1782777810.7183511,91.0
137,1782777816.996559,116.0
138,1782777822.241795,93.0
139,1782777827.249338,85.0
140,1782777830.7991328,59.0
141,1782777836.3555458,93.0
142,1782777841.1875963,84.0
143,1782777844.1370542,50.0
144,1782777852.0600219,148.0
145,1782777854.7316833,44.0
146,1782777860.405372,103.0
147,1782777864.6781888,75.0
148,1782777870.846017,107.0
149,1782777875.9528353,89.0
150,1782777882.508019,119.0
151,1782777887.555142,89.0
152,1782777891.0087435,57.0
153,1782777895.0867467,67.0
154,1782777899.057791,67.0
155,1782777901.723048,41.0
156,1782777906.0104244,77.0
157,1782777908.2732587,36.0
158,1782777916.7139695,160.0
159,1782777923.747082,133.0
160,1782777929.3801894,101.0
161,1782777931.6870122,34.0
162,1782777935.162775,59.0
163,1782777938.4661548,55.0
164,1782777940.774222,35.0
165,1782777943.5017488,44.0
166,1782777951.3623517,144.0
167,1782777957.5947793,110.0
168,1782777961.4362025,65.0
169,1782777964.2763653,45.0
170,1782777968.6568377,77.0
171,1782777971.8931024,51.0
172,1782777976.8254058,88.0
173,1782777980.9445798,70.0
174,1782777987.749685,122.0
175,1782777996.4104295,159.0
176,1782777999.4909005,51.0
177,1782778003.359008,68.0
178,1782778006.2246625,48.0
179,1782778009.5633094,58.0
180,1782778013.0903525,59.0
181,1782778018.2937136,89.0
182,1782778024.2901666,113.0
183,1782778028.9963906,87.0
184,1782778037.1328704,152.0
185,1782778050.1502516,249.0
186,1782778054.2509375,73.0
187,1782778060.5136368,115.0
188,1782778063.9014359,59.0
189,1782778067.702609,67.0
190,1782778073.5320399,107.0
191,1782778078.9157002,96.0
192,1782778082.0538557,55.0
193,1782778087.4310489,98.0
194,1782778096.6013744,174.0
195,1782778104.760426,152.0
196,1782778108.9891648,72.0
197,1782778112.526394,59.0
198,1782778114.8313456,37.0
199,1782778118.052102,56.0
200,1782778122.0747538,68.0
201,1782778126.6459198,75.0
202,1782778132.1529956,101.0
203,1782778135.7549188,62.0
204,1782778141.2997854,99.0
205,1782778146.9989855,104.0
206,1782778155.6544943,158.0
207,1782778162.362331,120.0
208,1782778167.5454216,94.0
209,1782778171.7929635,74.0
