step,wall_time,value
0,1782777126.0499392,0.0
1,1782777128.698862,0.0
2,1782777131.644646,0.0
3,1782777140.9046323,0.0
4,1782777144.5265484,0.30000001192092896
5,1782777148.41746,0.0
6,1782777153.9397638,0.0
7,1782777158.483246,0.0
8,1782777163.4641798,0.0
9,1782777168.2913654,0.0
10,1782777171.3754954,0.0
11,1782777178.0095859,0.0
12,1782777182.8878155,0.0
13,1782777185.0728672,0.0
14,1782777187.4653885,0.0
15,1782777193.0097425,0.0
16,1782777196.8660731,0.0
17,1782777199.5011203,0.0
18,1782777201.6270218,0.0
19,1782777209.2629237,0.0
20,1782777214.6852477,0.0
21,1782777219.5912337,0.30000001192092896
22,1782777223.7681694,0.0
23,1782777239.6576405,0.0
24,1782777241.9025087,0.0
25,1782777247.9580085,0.0
26,1782777250.0987878,0.0
27,1782777256.521805,0.0
28,1782777261.6676517,0.0
29,1782777264.5600069,0.0
30,1782777271.499244,0.0
31,1782777278.312458,0.0
32,1782777284.4058883,0.0
33,1782777291.3972454,0.0
34,1782777294.5239747,0.0
35,1782777298.2333362,0.0
36,1782777304.2463558,0.0
37,1782777307.7252614,0.0
38,1782777310.7379808,0.0
39,1782777315.5337174,0.0
40,1782777319.0261486,0.0
41,1782777322.3024473,0.0
42,1782777329.0923412,0.0
43,1782777333.1367507,0.0
44,1782777336.9943376,0.0
45,1782777340.4481287,0.0
46,1782777343.7427945,0.0
47,1782777351.396079,0.0
48,1782777354.9530914,0.0
49,1782777363.1055522,0.0
50,1782777368.0939288,0.0
51,1782777374.165004,0.0
52,1782777383.8611555,0.0
53,1782777386.5406044,0.0
54,1782777391.0164893,0.0
55,1782777394.754155,0.0
56,1782777398.4668298,0.30000001192092896
57,1782777401.565391,0.0
58,1782777406.2692559,0.0
59,1782777410.507505,0.0
60,1782777415.198621,0.0
61,1782777418.6671436,0.0
62,1782777422.8500798,0.0
63,1782777425.6766448,0.0
64,1782777430.2184534,0.0
65,1782777434.680508,0.0
66,1782777437.0502272,0.0
67,1782777440.2858887,0.0
68,1782777445.9181244,0.0
69,1782777452.3501134,0.0
70,1782777457.1981866,0.0
71,1782777463.6440842,0.0
72,1782777466.2262895,0.0
73,1782777472.9369514,0.0
74,1782777479.2283378,0.0
75,1782777483.295507,0.30000001192092896
76,1782777489.4401946,0.0
77,1782777492.6901548,0.0
78,1782777496.6851625,0.0
79,1782777501.74877,0.0
80,1782777505.5834773,0.0
81,1782777510.6923585,0.0
82,1782777515.1416526,0.0
83,1782777520.1889453,0.30000001192092896
84,1782777523.3410394,0.0
85,1782777528.6775126,0.0
86,1782777531.785974,0.0
87,1782777540.0811887,0.30000001192092896
88,1782777545.6242812,0.30000001192092896
89,1782777548.6077163,0.30000001192092896
90,1782777551.8117576,0.0
91,1782777558.8967881,0.0
92,1782777566.8057275,0.0
93,1782777571.0596497,0.0
94,1782777575.334279,0.0
95,1782777580.9487076,0.0
96,1782777586.3942058,0.0
97,1782777590.9028084,0.0
98,1782777597.1411352,0.0
99,1782777602.8153098,0.0
100,1782777610.0351932,0.0
101,1782777612.7265105,0.0
102,1782777616.1305444,0.0
103,1782777621.052661,0.0
104,1782777625.35443,0.0
