step,wall_time,value
0,1782777126.0492756,-74.40972137451172
1,1782777128.6983094,-396.39617919921875
2,1782777131.6434033,-457.5236511230469
3,1782777140.9037342,-582.9745483398438
4,1782777144.5253356,-432.7972106933594
5,1782777148.4164639,-559.3128662109375
6,1782777153.938785,-983.0640869140625
7,1782777158.4819698,-479.16351318359375
8,1782777163.4629312,237.32569885253906
9,1782777168.290496,54.82635498046875
10,1782777171.3745651,-421.4123229980469
11,1782777178.008348,-683.7201538085938
12,1782777182.887056,-620.0350341796875
13,1782777185.0720518,-373.32525634765625
14,1782777187.4644403,-72.7693862915039
15,1782777193.0086315,-1021.8201293945312
16,1782777196.8654692,-505.6111145019531
17,1782777199.500347,-37.06282424926758
18,1782777201.6258583,-203.0616455078125
19,1782777209.262261,-777.7827758789062
20,1782777214.684189,388.9945373535156
21,1782777219.590267,-484.6500549316406
22,1782777223.7673113,-541.1407470703125
23,1782777239.6564841,380.62603759765625
24,1782777241.9017704,-369.3230285644531
25,1782777247.9570248,-1240.5894775390625
26,1782777250.0979376,-121.44611358642578
27,1782777256.520873,-519.9392700195312
28,1782777261.6669118,113.09068298339844
29,1782777264.5588696,-323.819091796875
30,1782777271.4982646,268.7472229003906
31,1782777278.3115697,479.5013732910156
32,1782777284.4049819,-1043.5157470703125
33,1782777291.3965156,-560.8031005859375
34,1782777294.5233305,-448.4984130859375
35,1782777298.2326612,254.1332244873047
36,1782777304.2455342,-979.12890625
37,1782777307.7244842,-338.5065612792969
38,1782777310.7370434,-19.703094482421875
39,1782777315.5327086,-579.5301513671875
40,1782777319.0253713,-348.4136047363281
41,1782777322.3015237,-14.824289321899414
42,1782777329.0913854,-228.7847137451172
43,1782777333.1358638,-388.08660888671875
44,1782777336.993544,-428.226318359375
45,1782777340.4472737,-358.9820251464844
46,1782777343.7415557,-186.31434631347656
47,1782777351.3952234,-508.5259094238281
48,1782777354.9522495,20.498254776000977
49,1782777363.1048317,13.481325149536133
50,1782777368.0930939,-131.00320434570312
51,1782777374.1642807,-1098.010009765625
52,1782777383.8601549,-1158.9974365234375
53,1782777386.5396671,-47.13901901245117
54,1782777391.0156803,314.2331848144531
55,1782777394.7529373,101.53258514404297
56,1782777398.4661732,-65.58074188232422
57,1782777401.5645363,-252.1807403564453
58,1782777406.2682867,235.18084716796875
59,1782777410.5061402,-378.03564453125
60,1782777415.1975048,-288.5047607421875
61,1782777418.6664724,-187.5076141357422
