step,wall_time,value
0,1782777126.0493906,-23.066123962402344
1,1782777128.698414,-23.77423667907715
2,1782777131.6435559,-22.99230194091797
3,1782777140.9039762,-23.676998138427734
4,1782777144.5256135,-35.049659729003906
5,1782777148.4168415,-45.15455627441406
6,1782777153.9390829,-150.46554565429688
7,1782777158.4823089,-23.006357192993164
8,1782777163.4632816,-25.86070442199707
9,1782777168.2907264,-23.769134521484375
10,1782777171.3747833,-24.8504581451416
11,1782777178.0086334,-50.74747085571289
12,1782777182.8872964,-46.520626068115234
13,1782777185.0722792,-26.399202346801758
14,1782777187.4646704,-23.08043098449707
15,1782777193.0089016,-41.70338439941406
16,1782777196.8656313,-27.19236946105957
17,1782777199.5005622,-22.83684539794922
18,1782777201.6261146,-23.644569396972656
19,1782777209.2624462,-35.61750030517578
20,1782777214.684371,-22.605667114257812
21,1782777219.5905166,-15.809653282165527
22,1782777223.7675123,-35.74785232543945
23,1782777239.6567702,-23.44428253173828
24,1782777241.9020085,-27.99712371826172
25,1782777247.9572647,-224.82276916503906
26,1782777250.0981967,-22.71965217590332
27,1782777256.5211082,-169.53244018554688
28,1782777261.6670883,-22.620153427124023
29,1782777264.5591104,-37.71656799316406
30,1782777271.4985042,-23.640705108642578
31,1782777278.3118038,-22.869081497192383
32,1782777284.4052489,-224.88731384277344
33,1782777291.3966932,-32.30830383300781
34,1782777294.523554,-22.746126174926758
35,1782777298.2328098,-22.567670822143555
36,1782777304.245764,-225.07530212402344
37,1782777307.7246745,-50.50397872924805
38,1782777310.7372968,-22.780019760131836
39,1782777315.533032,-97.11124420166016
40,1782777319.0256124,-23.342647552490234
41,1782777322.301784,-23.136085510253906
42,1782777329.0916445,-18.828550338745117
43,1782777333.1361618,-35.30559539794922
44,1782777336.9937284,-36.005306243896484
45,1782777340.4474993,-29.214862823486328
46,1782777343.741801,-26.739633560180664
47,1782777351.395446,-52.157371520996094
48,1782777354.9524615,-23.091135025024414
49,1782777363.1049955,-23.26127815246582
50,1782777368.0932772,-41.75033187866211
51,1782777374.1644375,-23.59378433227539
52,1782777383.8603964,-22.791879653930664
53,1782777386.539966,-23.841585159301758
54,1782777391.0158763,-22.551311492919922
55,1782777394.7532094,-23.36905288696289
56,1782777398.4663608,-22.5046329498291
57,1782777401.5647388,-38.642425537109375
58,1782777406.2685032,-22.63235855102539
59,1782777410.5064287,-38.87380599975586
60,1782777415.1977427,-10.229738235473633
61,1782777418.666667,-22.633569717407227
62,1782777422.849484,-23.62997055053711
63,1782777425.6760435,-23.23793601989746
64,1782777430.2179797,-42.6937141418457
65,1782777434.6798835,-39.22757339477539
