step,wall_time,value
0,1782777126.0494223,-35.0
1,1782777128.6984415,-35.0
2,1782777131.6436183,-35.0
3,1782777140.9041557,-35.0
4,1782777144.525894,-35.0
5,1782777148.417027,-35.0
6,1782777153.93932,-35.0
7,1782777158.4825206,-35.0
8,1782777163.4635208,-35.0
9,1782777168.290879,-35.0
10,1782777171.3749583,-35.0
11,1782777178.0088534,-35.0
12,1782777182.8874478,-35.0
13,1782777185.072449,-35.0
14,1782777187.4648597,-35.0
15,1782777193.0091577,-35.0
16,1782777196.8657482,-35.0
17,1782777199.5007076,-35.0
18,1782777201.6263964,-35.0
19,1782777209.2625763,-35.0
20,1782777214.6846738,-35.0
21,1782777219.5906932,0.0
22,1782777223.7676878,-35.0
23,1782777239.6570044,-35.0
24,1782777241.902156,-35.0
25,1782777247.9574351,-35.0
26,1782777250.098365,-35.0
27,1782777256.5212867,-35.0
28,1782777261.6672254,-35.0
29,1782777264.559284,-35.0
30,1782777271.4986708,-35.0
31,1782777278.3119867,-35.0
32,1782777284.4054174,-35.0
33,1782777291.3968601,-35.0
34,1782777294.5236666,-35.0
35,1782777298.2329712,-35.0
36,1782777304.245943,-35.0
37,1782777307.724808,-35.0
38,1782777310.7374692,-35.0
39,1782777315.533231,-35.0
40,1782777319.0257726,-35.0
41,1782777322.3019915,-35.0
42,1782777329.0918374,0.0
43,1782777333.1363297,-35.0
44,1782777336.9938934,-35.0
45,1782777340.4476526,-35.0
46,1782777343.7420945,-35.0
47,1782777351.3956103,-35.0
48,1782777354.952619,-35.0
49,1782777363.1051283,-35.0
50,1782777368.093425,-35.0
51,1782777374.164572,-35.0
52,1782777383.8605583,-35.0
53,1782777386.540112,-35.0
54,1782777391.0160432,-35.0
55,1782777394.7534173,-35.0
56,1782777398.4664764,-35.0
57,1782777401.5649018,-35.0
58,1782777406.2686613,-35.0
59,1782777410.5066504,-35.0
60,1782777415.197946,0.0
61,1782777418.6667838,-35.0
62,1782777422.849647,-35.0
63,1782777425.6761925,-35.0
64,1782777430.218109,-35.0
65,1782777434.6800108,-35.0
66,1782777437.049734,-35.0
67,1782777440.2853389,-35.0
68,1782777445.9173727,-35.0
69,1782777452.3495274,-35.0
70,1782777457.1974552,-35.0
71,1782777463.6434982,-35.0
72,1782777466.2258065,-35.0
73,1782777472.9364378,-35.0
74,1782777479.2277997,-35.0
75,1782777483.295057,-35.0
76,1782777489.439764,-35.0
77,1782777492.689636,-35.0
78,1782777496.6848204,0.0
79,1782777501.7481723,-35.0
80,1782777505.5831492,-35.0
81,1782777510.6918554,-35.0
82,1782777515.1413333,-35.0
83,1782777520.1884763,-35.0
84,1782777523.3404176,0.0
85,1782777528.6766465,-35.0
86,1782777531.7855723,-35.0
87,1782777540.0806863,-35.0
88,1782777545.6237545,0.0
89,1782777548.6071596,-35.0
90,1782777551.8110573,-35.0
91,1782777558.8949747,-35.0
92,1782777566.805423,-35.0
93,1782777571.059081,-35.0
94,1782777575.333895,-35.0
95,1782777580.9482367,-35.0
96,1782777586.3938684,0.0
97,1782777590.902488,-35.0
98,1782777597.1405284,-35.0
99,1782777602.8145444,-35.0
100,1782777610.034853,0.0
101,1782777612.7259216,-35.0
102,1782777616.1299071,-35.0
103,1782777621.052173,-35.0
104,1782777625.353952,-35.0
105,1782777629.4126482,-35.0
106,1782777632.8442178,-35.0
107,1782777636.6695244,0.0
108,1782777642.8968112,-35.0
109,1782777646.947058,-35.0
110,1782777650.3983068,-35.0
111,1782777656.9010189,-35.0
112,1782777665.562079,-35.0
113,1782777669.7924163,0.0
114,1782777675.145244,-35.0
115,1782777682.6941264,0.0
116,1782777688.3952549,-35.0
117,1782777692.061041,-35.0
118,1782777697.7886705,0.0
119,1782777701.6082313,-35.0
120,1782777706.9018486,-35.0
121,1782777720.2586017,-35.0
122,1782777731.7656412,-35.0
123,1782777740.254967,-35.0
124,1782777745.774035,-35.0
125,1782777749.8985167,-35.0
126,1782777754.505637,-35.0
127,1782777759.3009288,-35.0
128,1782777764.0512102,-35.0
129,1782777767.7757628,-35.0
130,1782777773.8473344,-35.0
131,1782777777.6967587,0.0
132,1782777780.7160857,-35.0
133,1782777786.1916234,-35.0
134,1782777791.52891,-35.0
135,1782777805.59592,-35.0
136,1782777810.7187138,-35.0
137,1782777816.9968245,-35.0
138,1782777822.2422557,0.0
139,1782777827.253112,-35.0
140,1782777830.7994397,-35.0
141,1782777836.3558598,-35.0
142,1782777841.1879625,-35.0
143,1782777844.1375542,-35.0
144,1782777852.0603483,-35.0
145,1782777854.7320178,-35.0
146,1782777860.4058444,-35.0
147,1782777864.6784976,0.0
148,1782777870.8463926,-35.0
149,1782777875.9532464,0.0
150,1782777882.508355,-35.0
151,1782777887.5555387,-35.0
152,1782777891.009438,0.0
153,1782777895.087174,-35.0
154,1782777899.0581264,-35.0
155,1782777901.7233093,-35.0
156,1782777906.0108979,-35.0
157,1782777908.273514,-35.0
158,1782777916.714269,-35.0
159,1782777923.7491326,-35.0
160,1782777929.380587,-35.0
161,1782777931.6873286,-35.0
162,1782777935.1631422,-35.0
163,1782777938.4665177,-35.0
164,1782777940.7745175,-35.0
165,1782777943.5022082,-35.0
166,1782777951.362676,-35.0
167,1782777957.5950239,-35.0
168,1782777961.4364452,-35.0
169,1782777964.2766237,0.0
170,1782777968.6571755,-35.0
171,1782777971.8934805,-35.0
172,1782777976.8257692,-35.0
173,1782777980.9448893,-35.0
174,1782777987.750031,-35.0
175,1782777996.4107027,-35.0
176,1782777999.4912875,-35.0
177,1782778003.3593185,0.0
178,1782778006.2249377,-35.0
179,1782778009.563572,-35.0
180,1782778013.0906386,-35.0
181,1782778018.2940533,-35.0
182,1782778024.2904913,-35.0
183,1782778028.996741,-35.0
184,1782778037.133288,0.0
185,1782778050.1506186,-35.0
186,1782778054.251265,-35.0
187,1782778060.5138874,-35.0
188,1782778063.9016588,-35.0
189,1782778067.703081,-35.0
190,1782778073.5323584,-35.0
191,1782778078.9159763,-35.0
192,1782778082.054175,-35.0
193,1782778087.4314442,-35.0
194,1782778096.6017973,-35.0
195,1782778104.7607865,-35.0
196,1782778108.989562,0.0
197,1782778112.5270371,-35.0
198,1782778114.8317752,-35.0
199,1782778118.0525239,-35.0
200,1782778122.0751102,-35.0
201,1782778126.6463401,-35.0
202,1782778132.1534667,-35.0
203,1782778135.7553375,-35.0
204,1782778141.30022,-35.0
205,1782778146.9993427,0.0
206,1782778155.654797,0.0
207,1782778162.3627112,-35.0
208,1782778167.5457718,0.0
209,1782778171.7933567,0.0
210,1782778175.858934,-35.0
211,1782778178.3937733,-35.0
212,1782778182.698687,0.0
213,1782778189.0707319,0.0
214,1782778193.0000904,-35.0
215,1782778197.615331,-35.0
216,1782778203.1377296,-35.0
217,1782778206.8486304,-35.0
218,1782778209.538301,-35.0
219,1782778214.4869337,-35.0
220,1782778218.6664839,-35.0
221,1782778225.1285691,-35.0
222,1782778229.762454,-35.0
223,1782778234.7554529,-35.0
224,1782778238.16608,-35.0
225,1782778244.3366275,-35.0
226,1782778250.6337116,-35.0
227,1782778255.7359843,0.0
228,1782778258.3570886,0.0
229,1782778261.747185,0.0
230,1782778267.364498,-35.0
231,1782778270.9415581,0.0
232,1782778273.9457614,0.0
233,1782778276.9516215,-35.0
234,1782778281.540209,-35.0
235,1782778284.7808502,-35.0
236,1782778287.675969,0.0
237,1782778298.0088587,0.0
238,1782778306.7982001,-35.0
239,1782778310.820635,-35.0
240,1782778314.4433334,-35.0
241,1782778318.3624942,-35.0
242,1782778321.8967001,-35.0
243,1782778328.5517678,-35.0
244,1782778332.9807057,-35.0
245,1782778336.3428102,-35.0
246,1782778343.2470016,0.0
247,1782778348.5122569,0.0
248,1782778357.5792692,-35.0
249,1782778362.5085483,-35.0
250,1782778365.1922572,0.0
251,1782778368.7104733,-35.0
252,1782778373.733406,-35.0
253,1782778381.297245,-35.0
254,1782778389.7108612,-35.0
255,1782778396.3656752,0.0
256,1782778401.0594563,-35.0
257,1782778404.4494987,-35.0
258,1782778407.6069953,-35.0
259,1782778413.822995,-35.0
