step,wall_time,value
0,1782777126.0500278,-6.982864856719971
1,1782777128.6989381,-6.843783855438232
2,1782777131.6447556,-6.841240882873535
3,1782777140.9047015,-6.850039005279541
4,1782777144.5266654,-6.84231424331665
5,1782777148.4175165,-7.378302574157715
6,1782777153.9398446,-7.319794654846191
7,1782777158.4833372,-6.92963981628418
8,1782777163.4642603,-6.99476957321167
9,1782777168.2914345,-6.848901748657227
10,1782777171.3755739,-6.8443121910095215
11,1782777178.009673,-7.197553634643555
12,1782777182.8878884,-7.288553237915039
13,1782777185.0729284,-6.840734481811523
14,1782777187.4654708,-6.841148853302002
15,1782777193.0098572,-7.283791542053223
16,1782777196.8661215,-6.987552165985107
17,1782777199.5011773,-6.844746112823486
18,1782777201.6270769,-6.8424577713012695
19,1782777209.262985,-6.852544784545898
20,1782777214.6853561,-6.850400924682617
21,1782777219.5913224,-6.849781036376953
22,1782777223.7682393,-7.280350685119629
23,1782777239.6577377,-6.850343704223633
24,1782777241.9025636,-6.841762542724609
25,1782777247.9581003,-6.855535507202148
26,1782777250.0988698,-6.842459678649902
27,1782777256.521905,-6.847647666931152
28,1782777261.6677232,-6.846284866333008
29,1782777264.5600648,-6.4003777503967285
30,1782777271.4993377,-6.554429531097412
31,1782777278.312506,-6.852277755737305
32,1782777284.4059453,-6.848320007324219
33,1782777291.3973086,-7.040539264678955
34,1782777294.5240397,-6.844189643859863
35,1782777298.2334044,-6.845898628234863
36,1782777304.2464135,-6.851343631744385
37,1782777307.7253308,-6.8476881980896
38,1782777310.7380815,-6.845271587371826
39,1782777315.5337868,-6.860044479370117
40,1782777319.0262046,-6.844714164733887
41,1782777322.3025322,-6.842032432556152
42,1782777329.0924225,-6.622968673706055
43,1782777333.1367967,-7.5314106941223145
44,1782777336.994412,-7.275859355926514
45,1782777340.4482055,-6.843362808227539
46,1782777343.7428472,-7.1169114112854
47,1782777351.3961527,-7.077657699584961
48,1782777354.953162,-6.892312049865723
49,1782777363.1056232,-6.908802509307861
50,1782777368.0940137,-6.843255043029785
51,1782777374.165071,-7.0018229484558105
52,1782777383.8612394,-6.850130558013916
53,1782777386.5406787,-6.845016002655029
54,1782777391.0165768,-6.840879917144775
55,1782777394.7542865,-6.837466239929199
56,1782777398.46693,-6.842565536499023
57,1782777401.5654762,-6.920153617858887
58,1782777406.2693365,-6.838822364807129
59,1782777410.5075245,-7.55897331237793
60,1782777415.1987135,-7.064417362213135
61,1782777418.6671946,-6.843628883361816
62,1782777422.8501282,-6.847855091094971
63,1782777425.6767063,-6.842707633972168
64,1782777430.2185042,-7.281365394592285
65,1782777434.6805878,-6.8658294677734375
66,1782777437.050274,-6.841107368469238
67,1782777440.2859955,-6.845062255859375
68,1782777445.9182258,-6.843713760375977
69,1782777452.3502126,-6.849717617034912
70,1782777457.198264,-6.845541000366211
71,1782777463.6441696,-6.8507208824157715
72,1782777466.2263634,-6.8398847579956055
73,1782777472.9370453,-6.848448753356934
74,1782777479.2284043,-6.918852806091309
75,1782777483.2955756,-7.2902679443359375
76,1782777489.4402566,-6.851521968841553
77,1782777492.6902316,-6.8413615226745605
78,1782777496.6852145,-6.845327854156494
79,1782777501.748858,-6.851167678833008
80,1782777505.5835602,-6.82290506362915
81,1782777510.6924086,-6.8477559089660645
82,1782777515.141704,-7.037611961364746
83,1782777520.1890244,-7.364856719970703
84,1782777523.3411052,-6.842202663421631
85,1782777528.6775296,-6.9238104820251465
86,1782777531.7861042,-6.842415809631348
87,1782777540.081262,-6.980924129486084
88,1782777545.6243706,-6.851269245147705
89,1782777548.6077964,-6.843247413635254
90,1782777551.8118784,-6.842453479766846
91,1782777558.8972628,-7.121408939361572
92,1782777566.8057752,-6.846855163574219
93,1782777571.0597022,-7.313859939575195
94,1782777575.3343544,-6.897703647613525
95,1782777580.9487846,-6.84553337097168
96,1782777586.3942623,-6.793749809265137
97,1782777590.9028826,-6.998180866241455
98,1782777597.1412296,-6.849524021148682
99,1782777602.815382,-6.852999687194824
100,1782777610.0352466,-6.849981307983398
101,1782777612.7266402,-6.842840194702148
102,1782777616.1306324,-6.963902473449707
103,1782777621.0527277,-7.133249282836914
104,1782777625.3544793,-6.849625587463379
105,1782777629.4133263,-7.338817119598389
106,1782777632.844593,-6.9657416343688965
107,1782777636.6700935,-6.844675064086914
108,1782777642.89757,-6.846332550048828
109,1782777646.9476452,-7.271095275878906
110,1782777650.3989258,-6.427244186401367
111,1782777656.9015973,-6.872002124786377
112,1782777665.5627143,-6.862657070159912
113,1782777669.79357,-6.846274375915527
114,1782777675.1457577,-6.472054958343506
115,1782777682.6947877,-6.922766208648682
116,1782777688.3956964,-7.142766952514648
117,1782777692.0616796,-6.849804878234863
118,1782777697.7895052,-6.85184383392334
119,1782777701.6088023,-6.832440376281738
120,1782777706.9023528,-6.848210334777832
121,1782777720.2594395,-6.84052848815918
122,1782777731.7663937,-6.851321697235107
123,1782777740.2557445,-6.83366584777832
124,1782777745.7746093,-6.863791465759277
125,1782777749.899074,-6.9300537109375
126,1782777754.5063002,-7.207061767578125
127,1782777759.3013146,-6.873284339904785
128,1782777764.0517673,-6.851406097412109
129,1782777767.7761936,-6.842806339263916
130,1782777773.8479273,-6.8473591804504395
131,1782777777.6974614,-6.856074333190918
132,1782777780.7165284,-6.757063865661621
133,1782777786.192085,-6.84497594833374
134,1782777791.5294342,-6.8454694747924805
135,1782777805.5963936,-6.845980644226074
136,1782777810.7192092,-6.085618019104004
137,1782777816.9972706,-6.846349716186523
138,1782777822.2430036,-6.850122451782227
139,1782777827.2535655,-6.850914001464844
140,1782777830.7999792,-6.6687798500061035
141,1782777836.3563125,-6.8445820808410645
142,1782777841.188469,-7.080059051513672
143,1782777844.1382077,-6.84224271774292
144,1782777852.0607896,-6.850393295288086
145,1782777854.732557,-6.842311859130859
146,1782777860.4068413,-6.866311550140381
147,1782777864.6790159,-6.861783027648926
148,1782777870.8471637,-7.367561340332031
149,1782777875.9540887,-6.842829704284668
150,1782777882.5090916,-6.844160556793213
151,1782777887.556199,-6.849636077880859
152,1782777891.0106537,-6.843902587890625
153,1782777895.0877373,-7.279665470123291
154,1782777899.0587099,-7.404911994934082
155,1782777901.7237685,-6.841622352600098
156,1782777906.0115023,-6.848484992980957
157,1782777908.274134,-6.8419623374938965
158,1782777916.714686,-6.851634502410889
159,1782777923.751227,-6.549147605895996
160,1782777929.3815465,-6.93445348739624
161,1782777931.6879277,-6.840986251831055
162,1782777935.1636553,-6.944150447845459
163,1782777938.4672315,-6.843925952911377
164,1782777940.7749996,-6.84065580368042
165,1782777943.502999,-6.842103958129883
166,1782777951.3632834,-6.932518005371094
167,1782777957.595451,-6.8462066650390625
168,1782777961.4369211,-6.84854793548584
169,1782777964.2770772,-6.84060525894165
170,1782777968.6577892,-6.919954299926758
171,1782777971.8940864,-6.673122882843018
172,1782777976.8265665,-6.847188472747803
173,1782777980.9454362,-6.762531280517578
174,1782777987.7505572,-6.812123775482178
175,1782777996.4113326,-7.225032806396484
176,1782777999.4918733,-6.841721057891846
177,1782778003.359715,-6.90507173538208
178,1782778006.2253487,-6.8331522941589355
179,1782778009.5642195,-7.007818222045898
180,1782778013.0914435,-6.959657192230225
181,1782778018.294656,-7.2119975090026855
182,1782778024.2911873,-6.847214698791504
183,1782778028.9972825,-6.942373275756836
184,1782778037.133877,-6.847723007202148
185,1782778050.1511168,-6.849140644073486
186,1782778054.251926,-6.847579479217529
187,1782778060.5143557,-6.5255537033081055
188,1782778063.902194,-6.843024253845215
189,1782778067.7036736,-7.329405784606934
190,1782778073.5329282,-6.675209999084473
191,1782778078.9165936,-6.852146625518799
192,1782778082.054897,-6.843101978302002
193,1782778087.4319654,-6.84429407119751
194,1782778096.6031878,-6.864003658294678
195,1782778104.7615051,-6.847291946411133
196,1782778108.990173,-6.851853847503662
197,1782778112.5280564,-6.841842174530029
198,1782778114.832416,-6.842438697814941
199,1782778118.0537367,-6.968011856079102
200,1782778122.0757613,-7.068188667297363
201,1782778126.6469035,-6.832886695861816
202,1782778132.1543405,-6.966562271118164
203,1782778135.756104,-7.234614372253418
204,1782778141.301236,-6.848384380340576
205,1782778147.0001748,-6.842532157897949
206,1782778155.6552699,-6.845624923706055
207,1782778162.3635244,-6.847686767578125
208,1782778167.5464623,-6.850306510925293
209,1782778171.7940142,-6.850333213806152
210,1782778175.8595493,-7.547796249389648
211,1782778178.394977,-6.843255996704102
212,1782778182.699618,-6.852075576782227
213,1782778189.0715086,-6.853530406951904
214,1782778193.0010066,-6.851922035217285
215,1782778197.616081,-6.824945449829102
216,1782778203.1383955,-6.849011421203613
217,1782778206.8492231,-6.899258136749268
218,1782778209.5389123,-6.844852447509766
219,1782778214.4878628,-7.00254487991333
220,1782778218.6672359,-6.909425735473633
221,1782778225.129136,-7.446566104888916
222,1782778229.7632349,-6.8607330322265625
223,1782778234.7563338,-7.478372573852539
224,1782778238.1665578,-6.845066070556641
225,1782778244.3374884,-6.852054595947266
226,1782778250.6347413,-6.851225852966309
227,1782778255.7364812,-6.852070331573486
228,1782778258.357547,-6.841404438018799
229,1782778261.7482278,-6.844057083129883
230,1782778267.3651037,-6.84731912612915
231,1782778270.9422228,-6.842780113220215
232,1782778273.9464114,-6.8422346115112305
233,1782778276.952321,-6.842555999755859
234,1782778281.5413666,-6.850872039794922
235,1782778284.781719,-6.845397472381592
236,1782778287.676801,-6.842082977294922
237,1782778298.0097132,-6.846810340881348
238,1782778306.7986407,-6.867755889892578
239,1782778310.8213606,-6.841510772705078
240,1782778314.443953,-6.840918064117432
241,1782778318.3632207,-6.962561130523682
242,1782778321.8974054,-6.842453479766846
243,1782778328.5526803,-6.954501152038574
244,1782778332.9816499,-6.769279479980469
245,1782778336.3436468,-6.84180212020874
246,1782778343.248178,-6.849989891052246
247,1782778348.512776,-6.846419811248779
248,1782778357.5796795,-6.8671555519104
249,1782778362.509159,-6.848671913146973
250,1782778365.1929984,-6.842081546783447
251,1782778368.7117856,-6.841913223266602
252,1782778373.7342672,-6.8530731201171875
253,1782778381.297817,-7.23333215713501
254,1782778389.7118576,-6.820501804351807
255,1782778396.3662808,-6.614400863647461
256,1782778401.0648813,-7.094538688659668
257,1782778404.4507675,-6.8410186767578125
258,1782778407.607454,-6.842752933502197
259,1782778413.823426,-6.8502655029296875
260,1782778419.9801414,-6.844813823699951
261,1782778423.8100648,-6.821460723876953
262,1782778427.3893723,-6.842596054077148
263,1782778433.132624,-6.852014064788818
264,1782778437.3185422,-6.849186420440674
265,1782778441.8861284,-6.799007892608643
266,1782778444.7734768,-6.399284839630127
267,1782778449.8514576,-7.315009117126465
268,1782778453.6256201,-6.78287935256958
269,1782778458.0676093,-6.994887828826904
270,1782778465.395266,-6.841458320617676
271,1782778469.8009074,-6.852875709533691
272,1782778473.9474123,-6.855039119720459
273,1782778476.3062818,-6.843235015869141
274,1782778480.079836,-6.842954158782959
275,1782778483.8186874,-7.04178524017334
276,1782778489.3539002,-6.848844528198242
277,1782778502.2504609,-6.927258014678955
278,1782778509.2513533,-6.936264991760254
279,1782778512.4226944,-6.841238975524902
280,1782778515.9520645,-6.8453803062438965
281,1782778520.1917334,-7.187500476837158
282,1782778523.3361456,-6.900979518890381
283,1782778526.8083246,-7.0585479736328125
284,1782778533.639165,-6.898527145385742
285,1782778537.140006,-6.845086097717285
286,1782778547.903016,-6.8369269371032715
287,1782778554.647566,-6.543140411376953
288,1782778558.3952281,-6.843791961669922
289,1782778564.2508416,-6.848700046539307
290,1782778578.032111,-7.039484024047852
291,1782778580.8561478,-6.843360900878906
292,1782778583.8627033,-6.835536956787109
293,1782778592.2174933,-6.537530899047852
294,1782778594.5996404,-6.8418707847595215
295,1782778597.5331714,-6.841694355010986
296,1782778601.3098872,-7.005222320556641
297,1782778606.4321227,-6.913224697113037
298,1782778613.0566084,-6.851583480834961
299,1782778619.5005314,-7.094362735748291
300,1782778623.1453238,-6.840943813323975
301,1782778629.5220633,-6.852787017822266
302,1782778634.853297,-6.266810894012451
303,1782778639.5047674,-7.262182235717773
304,1782778644.0392468,-7.002619743347168
305,1782778648.9885633,-6.8502960205078125
306,1782778651.9388156,-7.27401876449585
307,1782778657.9869263,-6.94301700592041
308,1782778664.7643244,-6.8502020835876465
309,1782778668.6541514,-6.84365177154541
310,1782778676.490133,-6.989382743835449
311,1782778681.4626572,-6.800260543823242
312,1782778685.1315017,-7.021656036376953
313,1782778690.5014129,-6.847362041473389
314,1782778695.020959,-7.380605220794678
315,1782778700.3846037,-6.847174644470215
316,1782778704.4470413,-6.89132833480835
317,1782778709.7428212,-7.237174034118652
318,1782778712.4061632,-6.8405914306640625
319,1782778715.2045345,-6.8401312828063965
320,1782778719.116902,-6.8189311027526855
321,1782778724.8548427,-6.848417282104492
