step,wall_time,value
0,1782777126.0496714,0.0
1,1782777128.698638,0.0
2,1782777131.644157,0.0
3,1782777140.9044058,0.0
4,1782777144.5262325,0.0
5,1782777148.417257,0.0
6,1782777153.9395502,0.0
7,1782777158.4828525,0.0
8,1782777163.4638174,0.0
9,1782777168.2911372,0.0
10,1782777171.3752341,0.0
11,1782777178.0092807,0.0
12,1782777182.8876283,0.0
13,1782777185.0726821,0.0
14,1782777187.4651496,0.0
15,1782777193.009412,0.0
16,1782777196.8659189,0.0
17,1782777199.5009172,0.0
18,1782777201.62671,0.0
19,1782777209.262752,0.0
20,1782777214.68497,0.0
22,1782777223.767936,0.0
23,1782777239.6573205,0.0
24,1782777241.9023352,0.0
25,1782777247.9576883,0.0
26,1782777250.0985718,0.0
27,1782777256.521549,0.0
28,1782777261.667438,0.0
29,1782777264.5596292,0.0
30,1782777271.4989414,0.0
31,1782777278.3122299,0.0
32,1782777284.4056666,0.0
33,1782777291.3970485,0.0
34,1782777294.5238185,0.0
36,1782777304.246162,0.0
37,1782777307.725039,0.0
38,1782777310.7376976,0.0
39,1782777315.5334985,0.0
40,1782777319.025975,0.0
42,1782777329.092095,0.0
43,1782777333.1365685,0.0
44,1782777336.9941115,0.0
45,1782777340.4478872,0.0
46,1782777343.7424345,0.0
47,1782777351.395848,0.0
48,1782777354.9528632,0.0
49,1782777363.10534,0.0
50,1782777368.0936644,0.0
51,1782777374.1647828,0.0
52,1782777383.860897,0.0
53,1782777386.5403788,0.0
54,1782777391.0162537,0.0
55,1782777394.7538137,0.0
56,1782777398.466651,0.0
57,1782777401.5651336,0.0
58,1782777406.2689328,0.0
59,1782777410.5070071,0.0
60,1782777415.198279,0.0
61,1782777418.6669602,0.0
62,1782777422.8499053,0.0
63,1782777425.676428,0.0
64,1782777430.218291,0.0
65,1782777434.6802626,0.0
66,1782777437.0500607,0.0
67,1782777440.28557,0.0
68,1782777445.9176972,0.0
69,1782777452.349796,0.0
71,1782777463.6437755,0.0
72,1782777466.226065,0.0
73,1782777472.9366965,0.0
74,1782777479.2280605,0.0
75,1782777483.2952979,0.0
76,1782777489.4399831,0.0
77,1782777492.6899033,0.0
78,1782777496.6849947,0.0
79,1782777501.7485137,0.0
80,1782777505.583312,0.0
81,1782777510.6921177,0.0
82,1782777515.1414971,0.0
83,1782777520.1887112,0.0
84,1782777523.3407197,0.0
85,1782777528.677459,0.0
86,1782777531.7857308,0.0
87,1782777540.0809433,0.0
88,1782777545.624016,0.0
89,1782777548.6074505,0.0
90,1782777551.8113117,0.0
91,1782777558.8952289,0.0
92,1782777566.8055859,0.0
93,1782777571.0594077,0.0
94,1782777575.3340821,0.0
95,1782777580.9484632,0.0
96,1782777586.3940434,0.0
97,1782777590.9026556,0.0
98,1782777597.1407812,0.0
99,1782777602.8149848,0.0
100,1782777610.0350351,0.0
101,1782777612.7261915,0.0
102,1782777616.1301844,0.0
103,1782777621.0524585,0.0
104,1782777625.3542597,0.0
105,1782777629.4129493,0.0
106,1782777632.8443801,0.0
107,1782777636.6697657,0.0
109,1782777646.9473176,0.0
110,1782777650.3985956,0.0
111,1782777656.901266,0.0
112,1782777665.5623603,0.0
113,1782777669.7928202,0.0
114,1782777675.1454585,0.0
115,1782777682.6944654,0.0
116,1782777688.395449,0.0
117,1782777692.0613217,0.0
118,1782777697.7890263,0.0
119,1782777701.6084614,0.0
120,1782777706.902069,0.0
121,1782777720.2588172,0.0
122,1782777731.7659552,0.0
123,1782777740.2553303,0.0
124,1782777745.774282,0.0
125,1782777749.8987775,0.0
126,1782777754.5058997,0.0
127,1782777759.3011074,0.0
128,1782777764.0514257,0.0
129,1782777767.7759666,0.0
130,1782777773.8476427,0.0
131,1782777777.697059,0.0
132,1782777780.7162788,0.0
133,1782777786.191819,0.0
134,1782777791.5291243,0.0
135,1782777805.5961776,0.0
136,1782777810.718994,0.0
137,1782777816.997046,0.0
138,1782777822.242506,0.0
139,1782777827.2532988,0.0
140,1782777830.7996535,0.0
142,1782777841.188197,0.0
143,1782777844.1378806,0.0
144,1782777852.0605567,0.0
145,1782777854.732253,0.0
146,1782777860.4061565,0.0
147,1782777864.6787179,0.0
148,1782777870.8466702,0.0
149,1782777875.9536726,0.0
150,1782777882.5086627,0.0
151,1782777887.5558152,0.0
152,1782777891.0105848,0.0
153,1782777895.0874262,0.0
154,1782777899.0583785,0.0
155,1782777901.7235038,0.0
156,1782777906.011156,0.0
157,1782777908.2737522,0.0
158,1782777916.7144525,-25.0
159,1782777923.7495666,0.0
160,1782777929.381047,0.0
