step,wall_time,value
0,1782777126.0495412,0.0
1,1782777128.698536,0.0
2,1782777131.643935,0.0
3,1782777140.9043112,0.0
4,1782777144.5260808,0.0
5,1782777148.4171739,0.0
6,1782777153.939464,0.0
7,1782777158.482726,0.0
8,1782777163.4637117,0.0
9,1782777168.2910216,0.0
10,1782777171.3750892,0.0
11,1782777178.009046,0.0
12,1782777182.887558,0.0
13,1782777185.072595,0.0
14,1782777187.4650455,0.0
15,1782777193.0093057,0.0
16,1782777196.8658588,0.0
17,1782777199.5008247,0.0
18,1782777201.6265504,0.0
19,1782777209.2626865,0.0
20,1782777214.684863,0.0
21,1782777219.5909004,0.0
22,1782777223.7678375,0.0
23,1782777239.6571865,0.0
24,1782777241.902269,0.0
25,1782777247.9575806,0.0
26,1782777250.0984898,0.0
27,1782777256.521444,0.0
28,1782777261.6673505,0.0
29,1782777264.559457,0.0
30,1782777271.4988203,0.0
31,1782777278.3121314,0.0
32,1782777284.4055743,0.0
33,1782777291.396977,0.0
34,1782777294.5237656,0.0
35,1782777298.233106,0.0
36,1782777304.246086,0.0
37,1782777307.7249503,0.0
38,1782777310.737608,0.0
39,1782777315.5333798,0.0
40,1782777319.0258985,0.0
41,1782777322.3021646,0.0
42,1782777329.0919993,0.0
43,1782777333.1364744,0.0
44,1782777336.994026,0.0
45,1782777340.4477894,0.0
46,1782777343.74228,0.0
47,1782777351.3957527,0.0
48,1782777354.9527647,0.0
49,1782777363.1052577,0.0
50,1782777368.0935647,0.0
51,1782777374.1647003,0.0
52,1782777383.8607981,0.0
53,1782777386.5402713,0.0
54,1782777391.0161726,0.0
55,1782777394.7536592,0.0
56,1782777398.4665792,0.0
57,1782777401.5650344,0.0
58,1782777406.2688,0.0
59,1782777410.5069072,0.0
60,1782777415.1981301,0.0
61,1782777418.6668923,0.0
62,1782777422.8497896,0.0
63,1782777425.6763356,0.0
64,1782777430.218222,0.0
65,1782777434.68017,0.0
66,1782777437.049964,0.0
67,1782777440.2854803,0.0
68,1782777445.9175696,0.0
69,1782777452.3496804,0.0
70,1782777457.197761,0.0
71,1782777463.6436758,0.0
72,1782777466.225969,0.0
73,1782777472.9366157,0.0
74,1782777479.2279563,0.0
75,1782777483.2952127,0.0
76,1782777489.4398901,0.0
77,1782777492.68979,0.0
78,1782777496.6849315,0.0
79,1782777501.7483776,0.0
80,1782777505.5832925,0.0
81,1782777510.6920137,0.0
82,1782777515.141436,0.0
83,1782777520.1886206,0.0
84,1782777523.3405998,0.0
85,1782777528.6774313,0.0
86,1782777531.7856715,0.0
87,1782777540.0808244,0.0
88,1782777545.6239092,0.0
89,1782777548.6073308,0.0
90,1782777551.81121,0.0
91,1782777558.8951423,0.0
92,1782777566.805529,0.0
93,1782777571.059278,0.0
94,1782777575.3340113,0.0
95,1782777580.9483724,0.0
96,1782777586.3939779,0.0
97,1782777590.9025958,0.0
98,1782777597.1406798,0.0
99,1782777602.8148162,0.0
100,1782777610.0349686,0.0
101,1782777612.7260747,0.0
102,1782777616.1300628,0.0
103,1782777621.0523474,0.0
104,1782777625.3541455,0.0
105,1782777629.4128118,0.0
106,1782777632.8443189,0.0
107,1782777636.669675,0.0
108,1782777642.8970516,0.0
109,1782777646.9472048,0.0
110,1782777650.398488,0.0
111,1782777656.9011705,0.0
112,1782777665.5622592,0.0
113,1782777669.792651,0.0
114,1782777675.1453762,0.0
115,1782777682.6943433,0.0
116,1782777688.3953764,0.0
117,1782777692.061214,0.0
118,1782777697.788881,0.0
119,1782777701.6083755,0.0
120,1782777706.901978,0.0
121,1782777720.2587333,0.0
122,1782777731.7658167,0.0
123,1782777740.2553034,0.0
124,1782777745.7741852,0.0
125,1782777749.898679,0.0
126,1782777754.505786,0.0
127,1782777759.3010397,0.0
128,1782777764.0513313,0.0
129,1782777767.775893,0.0
130,1782777773.8475447,0.0
131,1782777777.6969428,0.0
132,1782777780.7162051,0.0
133,1782777786.1917462,0.0
134,1782777791.5290573,0.0
135,1782777805.5960674,0.0
136,1782777810.7188818,0.0
137,1782777816.9969723,0.0
138,1782777822.2424119,0.0
139,1782777827.2532256,0.0
140,1782777830.7995734,0.0
141,1782777836.3559933,0.0
142,1782777841.1881173,0.0
143,1782777844.137765,0.0
144,1782777852.0605335,0.0
145,1782777854.73216,0.0
146,1782777860.4060535,0.0
147,1782777864.678639,0.0
148,1782777870.8465784,0.0
149,1782777875.9535458,0.0
150,1782777882.5085297,0.0
151,1782777887.5557113,0.0
152,1782777891.0105443,0.0
153,1782777895.0873504,0.0
154,1782777899.0582862,0.0
155,1782777901.7234282,0.0
156,1782777906.011056,0.0
157,1782777908.2736561,0.0
158,1782777916.7143848,0.0
159,1782777923.7493896,0.0
160,1782777929.38087,0.0
161,1782777931.6874955,0.0
162,1782777935.1632814,0.0
163,1782777938.4666774,0.0
164,1782777940.7746258,0.0
165,1782777943.5023603,0.0
166,1782777951.3628232,0.0
167,1782777957.595145,0.0
168,1782777961.436562,0.0
169,1782777964.2767432,0.0
170,1782777968.6573155,0.0
171,1782777971.8936193,0.0
172,1782777976.826045,0.0
173,1782777980.9450488,0.0
174,1782777987.7501893,0.0
175,1782777996.4108212,0.0
176,1782777999.491439,0.0
177,1782778003.3594313,0.0
178,1782778006.2250488,0.0
179,1782778009.5637283,0.0
180,1782778013.0908241,0.0
181,1782778018.2942033,0.0
182,1782778024.2906344,0.0
183,1782778028.996902,0.0
184,1782778037.1334846,0.0
185,1782778050.1507492,0.0
186,1782778054.2514157,0.0
187,1782778060.5140154,0.0
188,1782778063.9017618,0.0
189,1782778067.7032576,0.0
190,1782778073.5325124,0.0
191,1782778078.916145,0.0
192,1782778082.0543628,0.0
193,1782778087.4315727,0.0
194,1782778096.6020467,0.0
195,1782778104.760972,0.0
196,1782778108.989735,0.0
197,1782778112.527276,0.0
198,1782778114.8319867,0.0
199,1782778118.0527794,0.0
200,1782778122.0752895,0.0
201,1782778126.6464503,0.0
202,1782778132.1537304,0.0
203,1782778135.7555213,0.0
204,1782778141.3004572,0.0
205,1782778146.9995112,0.0
206,1782778155.6549428,0.0
207,1782778162.362948,0.0
208,1782778167.5459607,0.0
209,1782778171.793517,0.0
210,1782778175.859098,0.0
211,1782778178.394014,0.0
212,1782778182.6989427,0.0
213,1782778189.0709968,0.0
214,1782778193.0003395,0.0
215,1782778197.615578,0.0
216,1782778203.138012,0.0
217,1782778206.8487499,0.0
218,1782778209.538448,0.0
219,1782778214.4871838,0.0
220,1782778218.6666505,0.0
221,1782778225.1287074,0.0
222,1782778229.7627017,0.0
223,1782778234.7556703,0.0
224,1782778238.1661885,0.0
225,1782778244.3367813,0.0
226,1782778250.6339922,0.0
227,1782778255.7360892,0.0
228,1782778258.357215,0.0
229,1782778261.74743,0.0
230,1782778267.3646493,0.0
231,1782778270.9417222,0.0
232,1782778273.9459414,0.0
233,1782778276.9517372,0.0
234,1782778281.5404704,0.0
235,1782778284.7813087,0.0
236,1782778287.6761956,0.0
237,1782778298.009045,0.0
238,1782778306.7983217,0.0
239,1782778310.820809,0.0
240,1782778314.4434721,0.0
241,1782778318.3627088,0.0
242,1782778321.8968706,0.0
243,1782778328.5520523,0.0
244,1782778332.9809456,0.0
245,1782778336.3430517,0.0
246,1782778343.2472692,0.0
247,1782778348.5123925,0.0
248,1782778357.5793858,0.0
249,1782778362.5087073,0.0
250,1782778365.1924522,0.0
251,1782778368.710731,0.0
252,1782778373.7336283,0.0
253,1782778381.2973852,0.0
254,1782778389.711102,0.0
255,1782778396.365833,0.0
256,1782778401.0596144,0.0
257,1782778404.4497063,0.0
258,1782778407.6071932,0.0
259,1782778413.8231168,0.0
260,1782778419.9798882,0.0
261,1782778423.8096716,0.0
262,1782778427.3889072,0.0
263,1782778433.1321354,0.0
264,1782778437.3178017,0.0
265,1782778441.8856857,0.0
266,1782778444.7730706,0.0
267,1782778449.850991,0.0
268,1782778453.6251945,0.0
269,1782778458.0668056,0.0
270,1782778465.3943565,0.0
271,1782778469.8001194,0.0
272,1782778473.9467998,0.0
273,1782778476.3057423,0.0
274,1782778480.0795588,0.0
275,1782778483.8181386,0.0
276,1782778489.3531106,0.0
277,1782778502.2499433,0.0
278,1782778509.2509317,0.0
279,1782778512.4222875,0.0
280,1782778515.9516892,0.0
281,1782778520.1914275,0.0
282,1782778523.3356643,0.0
283,1782778526.8076942,0.0
284,1782778533.6386452,0.0
285,1782778537.1392374,0.0
286,1782778547.9025042,0.0
287,1782778554.6467373,0.0
288,1782778558.3944519,0.0
289,1782778564.250349,0.0
290,1782778578.0315204,0.0
291,1782778580.8555868,0.0
292,1782778583.8621469,0.0
293,1782778592.216707,0.0
294,1782778594.5993102,0.0
295,1782778597.5322304,0.0
296,1782778601.3094862,0.0
297,1782778606.4315207,0.0
298,1782778613.0562458,0.0
299,1782778619.500223,0.0
300,1782778623.144876,0.0
301,1782778629.521354,0.0
302,1782778634.8527708,0.0
303,1782778639.5043888,0.0
304,1782778644.0386424,0.0
305,1782778648.988131,0.0
306,1782778651.9383786,0.0
307,1782778657.9863923,0.0
308,1782778664.763957,0.0
309,1782778668.6536093,0.0
310,1782778676.4893148,0.0
311,1782778681.4618883,0.0
312,1782778685.1311703,0.0
313,1782778690.500692,0.0
314,1782778695.020478,0.0
315,1782778700.3840122,0.0
316,1782778704.446482,0.0
317,1782778709.7423637,0.0
318,1782778712.4054308,0.0
319,1782778715.2037003,0.0
320,1782778719.1160743,0.0
321,1782778724.854148,0.0
322,1782778730.3133771,0.0
323,1782778740.8254106,0.0
324,1782778743.9432738,0.0
325,1782778748.5639236,0.0
326,1782778754.241907,0.0
327,1782778760.5445213,0.0
328,1782778764.2904723,0.0
329,1782778769.1063433,0.0
330,1782778774.0885718,0.0
331,1782778776.748614,0.0
332,1782778785.8649976,0.0
333,1782778792.7837234,0.0
334,1782778796.404197,0.0
335,1782778805.1975849,0.0
336,1782778809.636928,0.0
337,1782778815.071658,0.0
338,1782778819.6071482,0.0
339,1782778822.4635835,0.0
340,1782778828.3866482,0.0
341,1782778831.135641,0.0
342,1782778840.5012388,0.0
343,1782778842.7314675,0.0
344,1782778847.189525,0.0
345,1782778852.0954635,0.0
346,1782778859.0975454,0.0
347,1782778861.5821178,0.0
348,1782778863.6825576,0.0
349,1782778867.5942693,0.0
350,1782778872.2465687,0.0
351,1782778880.0021453,0.0
352,1782778886.048313,0.0
353,1782778889.2360523,0.0
354,1782778894.3526554,0.0
355,1782778899.346927,0.0
356,1782778904.6935842,0.0
357,1782778911.3989282,0.0
358,1782778916.8195965,0.0
359,1782778920.7473865,0.0
360,1782778931.406277,0.0
361,1782778940.0228052,0.0
362,1782778943.3942251,0.0
363,1782778951.0462806,0.0
364,1782778954.6488445,0.0
365,1782778958.712779,0.0
366,1782778962.0950143,0.0
367,1782778965.7802608,0.0
368,1782778981.0054789,0.0
369,1782778984.209471,0.0
370,1782778991.0327425,0.0
371,1782778995.589466,0.0
372,1782778999.615718,0.0
373,1782779004.5247982,0.0
374,1782779008.4541829,0.0
375,1782779013.6555576,0.0
376,1782779022.2623408,0.0
377,1782779026.152273,0.0
378,1782779033.3686225,0.0
379,1782779036.7299905,0.0
380,1782779041.9417882,0.0
381,1782779045.8624856,0.0
382,1782779050.749283,0.0
383,1782779053.2138498,0.0
384,1782779056.0495944,0.0
385,1782779058.281495,0.0
386,1782779066.9987526,0.0
387,1782779070.906804,0.0
388,1782779080.6996655,0.0
389,1782779085.0940766,0.0
390,1782779090.1441293,0.0
391,1782779094.5106895,0.0
392,1782779102.2506802,0.0
393,1782779105.089995,0.0
394,1782779108.8780549,0.0
395,1782779111.2427945,0.0
396,1782779115.776064,0.0
397,1782779119.9612358,0.0
398,1782779126.2154703,0.0
399,1782779130.2973807,0.0
400,1782779136.9457288,0.0
401,1782779146.8653445,0.0
402,1782779155.8497705,0.0
403,1782779159.7994094,0.0
404,1782779167.545127,0.0
405,1782779177.2115295,0.0
406,1782779184.351279,0.0
407,1782779187.1689148,0.0
408,1782779190.301797,0.0
409,1782779195.6430364,0.0
410,1782779197.9995513,0.0
411,1782779201.666859,0.0
412,1782779204.9106925,0.0
413,1782779209.2455597,0.0
414,1782779216.7596207,0.0
415,1782779226.999693,0.0
416,1782779233.3853302,0.0
417,1782779237.6533456,0.0
418,1782779241.5572155,0.0
419,1782779249.8541267,0.0
420,1782779252.1518834,0.0
421,1782779260.2021976,0.0
422,1782779265.083511,0.0
423,1782779268.809901,0.0
424,1782779273.944562,0.0
425,1782779279.3358853,0.0
426,1782779283.9071584,0.0
427,1782779286.8102062,0.0
428,1782779290.011437,0.0
429,1782779294.1944008,0.0
430,1782779298.1491866,0.0
431,1782779300.9962785,0.0
432,1782779305.8477647,0.0
433,1782779309.1369874,0.0
434,1782779314.5981355,0.0
435,1782779321.449663,0.0
436,1782779327.7532995,0.0
437,1782779335.6006963,0.0
438,1782779339.2920976,0.0
439,1782779344.2559316,0.0
440,1782779349.6053047,0.0
441,1782779355.237661,0.0
442,1782779358.7163103,0.0
443,1782779363.2129886,0.0
444,1782779368.668499,0.0
445,1782779373.5390067,0.0
446,1782779379.1928046,0.0
447,1782779382.367551,0.0
448,1782779386.1663337,0.0
449,1782779395.482498,0.0
450,1782779413.601533,0.0
451,1782779420.9149497,0.0
452,1782779425.2083495,0.0
453,1782779435.5740302,0.0
454,1782779467.301026,0.0
455,1782779468.6883829,0.0
456,1782779473.58169,0.0
457,1782779506.1941175,0.0
458,1782779508.2298849,0.0
459,1782779516.3558981,0.0
460,1782779525.3399975,0.0
461,1782779540.4523294,0.0
462,1782779546.0338879,0.0
463,1782779563.5404773,0.0
464,1782779578.8138618,0.0
465,1782779595.0046806,0.0
466,1782779598.819554,0.0
467,1782779611.2677114,0.0
468,1782779627.7971294,0.0
469,1782779636.7952638,0.0
470,1782779659.3096073,0.0
471,1782779679.3096998,0.0
472,1782779683.2460608,0.0
473,1782779694.0642931,0.0
474,1782779697.9457552,0.0
475,1782779701.7864208,0.0
476,1782779717.364196,0.0
477,1782779721.504206,0.0
478,1782779729.2480855,0.0
479,1782779748.9459977,0.0
480,1782779754.2619548,0.0
481,1782779762.849851,0.0
482,1782779767.6528018,0.0
483,1782779778.799875,0.0
484,1782779787.3511815,0.0
485,1782779798.0721173,0.0
486,1782779801.002089,0.0
487,1782779810.7587686,0.0
488,1782779816.8103642,0.0
489,1782779827.5083377,0.0
490,1782779832.334173,0.0
491,1782779856.9890816,0.0
492,1782779862.9508579,0.0
493,1782779875.6455173,0.0
494,1782779878.4935927,0.0
495,1782779880.8024733,0.0
496,1782779885.5993235,0.0
497,1782779891.536837,0.0
498,1782779898.3463042,0.0
499,1782779901.8501642,0.0
500,1782779904.311348,0.0
501,1782779906.9440918,0.0
502,1782779910.2786388,0.0
503,1782779913.1555877,0.0
504,1782779921.2547727,0.0
505,1782779925.8007004,0.0
506,1782779932.3955028,0.0
507,1782779941.3840888,0.0
508,1782779949.6785126,0.0
509,1782779965.4176044,0.0
510,1782779968.291588,0.0
511,1782779978.6462693,0.0
512,1782779981.8322282,0.0
513,1782779987.0755186,0.0
514,1782780018.1441348,0.0
515,1782780032.0271313,0.0
516,1782780036.3857112,0.0
517,1782780048.7355359,0.0
518,1782780055.6860032,0.0
519,1782780061.0055485,0.0
520,1782780083.6158805,0.0
521,1782780090.41039,0.0
522,1782780094.7431993,0.0
523,1782780101.8577218,0.0
524,1782780109.7234309,0.0
525,1782780112.6013756,0.0
526,1782780117.1826715,0.0
527,1782780123.5104694,0.0
528,1782780135.6420937,0.0
529,1782780139.6249876,0.0
530,1782780144.4451134,0.0
531,1782780152.674575,0.0
532,1782780162.3966305,0.0
533,1782780170.284434,0.0
534,1782780173.7562833,0.0
535,1782780177.6585875,0.0
536,1782780192.2000444,0.0
537,1782780197.9828217,0.0
538,1782780201.1135101,0.0
539,1782780207.8015368,0.0
540,1782780210.4632945,0.0
541,1782780230.9720232,0.0
542,1782780233.9928057,0.0
543,1782780238.6259823,0.0
544,1782780244.288737,0.0
545,1782780249.788889,0.0
546,1782780254.3315477,0.0
547,1782780259.3854072,0.0
548,1782780267.7488575,0.0
549,1782780270.830418,0.0
550,1782780274.0081604,0.0
551,1782780288.9860768,0.0
552,1782780293.6422052,0.0
553,1782780295.6990585,0.0
554,1782780302.6419644,0.0
555,1782780309.534316,0.0
556,1782780315.1509209,0.0
557,1782780322.7904873,0.0
558,1782780327.2220235,0.0
559,1782780331.3662305,0.0
560,1782780336.3153589,0.0
561,1782780340.6175363,0.0
562,1782780345.292894,0.0
563,1782780350.628682,0.0
564,1782780352.7333357,0.0
565,1782780357.8920593,0.0
566,1782780362.934695,0.0
567,1782780367.6591015,0.0
568,1782780372.2060943,0.0
569,1782780374.745193,0.0
570,1782780379.4025683,0.0
571,1782780385.7313738,0.0
572,1782780400.5882056,0.0
573,1782780404.3969607,0.0
574,1782780409.745895,0.0
575,1782780414.6545413,0.0
576,1782780417.2164385,0.0
577,1782780422.4724298,0.0
578,1782780427.093868,0.0
579,1782780431.8495998,0.0
580,1782780436.6203668,0.0
581,1782780444.6460724,0.0
582,1782780451.0587611,0.0
583,1782780456.625272,0.0
584,1782780464.8269608,0.0
585,1782780469.6562037,0.0
586,1782780473.983257,0.0
587,1782780478.094314,0.0
588,1782780482.8378024,0.0
589,1782780487.4750268,0.0
590,1782780490.0447006,0.0
591,1782780493.9892192,0.0
592,1782780499.7969708,0.0
593,1782780504.3644342,0.0
594,1782780511.0611787,0.0
595,1782780515.5350163,0.0
596,1782780519.8251479,0.0
597,1782780524.452734,0.0
598,1782780528.8172395,0.0
599,1782780534.2610955,0.0
600,1782780537.5716176,0.0
601,1782780542.9622967,0.0
602,1782780546.2827792,0.0
603,1782780550.8989844,0.0
604,1782780555.5763733,0.0
605,1782780561.011943,0.0
606,1782780565.8159611,0.0
607,1782780570.7900562,0.0
608,1782780575.2037451,0.0
609,1782780580.3334985,0.0
610,1782780586.0504215,0.0
611,1782780589.7553368,0.0
612,1782780624.3760867,0.0
613,1782780628.802425,0.0
614,1782780634.3844993,0.0
615,1782780639.0786529,0.0
616,1782780643.456303,0.0
617,1782780648.8423963,0.0
618,1782780654.3494594,0.0
619,1782780656.7979121,0.0
620,1782780663.4141743,0.0
621,1782780666.9594734,0.0
622,1782780672.1761827,0.0
623,1782780677.5852933,0.0
624,1782780682.108195,0.0
625,1782780686.6673386,0.0
626,1782780691.067721,0.0
627,1782780693.5743809,0.0
628,1782780696.7974339,0.0
629,1782780698.7778103,0.0
630,1782780704.075969,0.0
631,1782780710.9272318,0.0
632,1782780715.7141778,0.0
633,1782780720.830674,0.0
634,1782780725.2125866,0.0
635,1782780729.7413752,0.0
636,1782780750.682481,0.0
637,1782780756.2461038,0.0
638,1782780762.199181,0.0
639,1782780767.0917678,0.0
640,1782780776.3824828,0.0
641,1782780779.609744,0.0
642,1782780790.5814312,0.0
643,1782780796.7882082,0.0
644,1782780799.9245052,0.0
645,1782780804.3539908,0.0
646,1782780817.1776402,0.0
647,1782780819.229194,0.0
648,1782780825.1713831,0.0
649,1782780829.8393812,0.0
650,1782780835.0501022,0.0
651,1782780844.8130505,0.0
652,1782780857.9135675,0.0
653,1782780863.7959127,0.0
654,1782780866.6978235,0.0
655,1782780870.6312165,0.0
656,1782780874.9657204,0.0
657,1782780880.5429258,0.0
658,1782780885.2423248,0.0
659,1782780895.9889433,0.0
660,1782780900.3864975,0.0
661,1782780903.4907558,0.0
662,1782780905.8688622,0.0
663,1782780909.4415886,0.0
664,1782780914.8850064,0.0
665,1782780920.0849826,0.0
666,1782780924.213108,0.0
667,1782780931.0257099,0.0
668,1782780935.6480687,0.0
669,1782780940.4435308,0.0
670,1782780946.8679404,0.0
671,1782780952.626563,0.0
672,1782780958.225107,0.0
673,1782780962.6663597,0.0
674,1782780966.609985,0.0
675,1782780985.986411,0.0
676,1782780994.117186,0.0
677,1782780998.2033362,0.0
678,1782781007.0561879,0.0
679,1782781011.2299647,0.0
680,1782781014.6127486,0.0
681,1782781019.9929519,0.0
682,1782781025.8900666,0.0
683,1782781028.6350455,0.0
684,1782781033.3174906,0.0
685,1782781038.145488,0.0
686,1782781041.9018717,0.0
687,1782781045.3234084,0.0
688,1782781067.7312522,0.0
689,1782781077.2335472,0.0
690,1782781081.1529891,0.0
691,1782781086.1496317,0.0
692,1782781091.9683344,0.0
693,1782781097.0564203,0.0
694,1782781104.1859305,0.0
695,1782781109.6625822,0.0
696,1782781113.2490916,0.0
697,1782781117.238269,0.0
698,1782781124.2242672,0.0
699,1782781130.702057,0.0
