step,wall_time,value
83,1782777126.0493336,-74.40972137451172
127,1782777128.6983614,-396.39617919921875
174,1782777131.6434608,-457.5236511230469
341,1782777140.903789,-582.9745483398438
404,1782777144.525401,-432.7972106933594
472,1782777148.4165537,-559.3128662109375
572,1782777153.9388678,-983.0640869140625
654,1782777158.4820654,-479.16351318359375
735,1782777163.4629877,237.32569885253906
814,1782777168.290551,54.82635498046875
860,1782777171.3746166,-421.4123229980469
984,1782777178.0084252,-683.7201538085938
1074,1782777182.8871138,-620.0350341796875
1110,1782777185.0721066,-373.32525634765625
1150,1782777187.4644973,-72.7693862915039
1253,1782777193.0086908,-1021.8201293945312
1320,1782777196.865509,-505.6111145019531
1364,1782777199.5004,-37.06282424926758
1400,1782777201.6259177,-203.0616455078125
1541,1782777209.262305,-777.7827758789062
1637,1782777214.6842396,388.9945373535156
1723,1782777219.5903292,-484.6500549316406
1793,1782777223.7673619,-541.1407470703125
2097,1782777239.6565402,380.62603759765625
2133,1782777241.9018242,-369.3230285644531
2246,1782777247.9570787,-1240.5894775390625
2283,1782777250.09799,-121.44611358642578
2401,1782777256.520928,-519.9392700195312
2492,1782777261.6669576,113.09068298339844
2536,1782777264.5589242,-323.819091796875
2662,1782777271.4983203,268.7472229003906
2786,1782777278.3116236,479.5013732910156
2897,1782777284.4050453,-1043.5157470703125
3026,1782777291.3965595,-560.8031005859375
3075,1782777294.5234098,-448.4984130859375
3140,1782777298.2326992,254.1332244873047
3253,1782777304.2455947,-979.12890625
3314,1782777307.7245376,-338.5065612792969
3361,1782777310.7371109,-19.703094482421875
3442,1782777315.5327764,-579.5301513671875
3502,1782777319.025428,-348.4136047363281
3558,1782777322.30159,-14.824289321899414
3679,1782777329.091453,-228.7847137451172
3747,1782777333.1359186,-388.08660888671875
3814,1782777336.993585,-428.226318359375
3873,1782777340.4473274,-358.9820251464844
3930,1782777343.7416134,-186.31434631347656
4074,1782777351.3952744,-508.5259094238281
4138,1782777354.9523044,20.498254776000977
4289,1782777363.1048741,13.481325149536133
4373,1782777368.0931401,-131.00320434570312
4478,1782777374.1643183,-1098.010009765625
4662,1782777383.860211,-1158.9974365234375
4706,1782777386.5397441,-47.13901901245117
4786,1782777391.0157254,314.2331848144531
4851,1782777394.7530093,101.53258514404297
4913,1782777398.4662414,-65.58074188232422
4963,1782777401.564582,-252.1807403564453
5046,1782777406.2683372,235.18084716796875
5120,1782777410.5061972,-378.03564453125
5201,1782777415.1975603,-288.5047607421875
5258,1782777418.6665258,-187.5076141357422
5332,1782777422.8493142,-455.92779541015625
5380,1782777425.6758618,-337.0728454589844
5458,1782777430.2178228,-236.9348907470703
5531,1782777434.6797357,-334.3811340332031
5567,1782777437.0493793,-402.25323486328125
5622,1782777440.2848828,-62.02939224243164
5725,1782777445.9169893,-1118.9559326171875
5847,1782777452.3492324,125.2488784790039
5933,1782777457.1970909,-272.1219482421875
6047,1782777463.6430762,-1043.0189208984375
6092,1782777466.2254848,-115.43621063232422
6216,1782777472.936161,748.6871337890625
6326,1782777479.2274737,-413.48187255859375
6394,1782777483.2946906,-431.9178771972656
6507,1782777489.4395344,-1051.148193359375
6565,1782777492.689295,60.56428146362305
6632,1782777496.6845882,253.823974609375
6717,1782777501.7478378,-578.0765991210938
6780,1782777505.582861,-413.8218994140625
6870,1782777510.691484,537.5989379882812
6948,1782777515.1410856,-520.8802490234375
7036,1782777520.1879933,174.05331420898438
7086,1782777523.3399444,-17.473543167114258
7178,1782777528.6761994,-358.6259765625
7225,1782777531.78533,-24.968650817871094
7378,1782777540.0804226,-1319.8658447265625
7479,1782777545.6234064,-1034.9942626953125
7528,1782777548.60679,-424.0672912597656
7583,1782777551.8106995,39.98654556274414
7713,1782777558.8942213,-415.46173095703125
7863,1782777566.8050532,-1215.656494140625
7937,1782777571.0585968,-520.34423828125
8005,1782777575.3335848,-301.8145446777344
8098,1782777580.947883,-451.4764099121094
8192,1782777586.3935273,-892.2063598632812
8271,1782777590.9021628,-443.4377136230469
8386,1782777597.1401293,-1129.7762451171875
8492,1782777602.8141844,-945.6647338867188
8626,1782777610.0345538,216.730712890625
8666,1782777612.7255561,-171.19781494140625
8723,1782777616.12953,-8.162964820861816
8812,1782777621.0517852,-825.078857421875
8887,1782777625.3533297,-237.5325469970703
8954,1782777629.412203,-288.817138671875
9011,1782777632.8439124,-60.234500885009766
9077,1782777636.6691802,-498.2647399902344
9191,1782777642.8958917,115.41801452636719
9259,1782777646.9467258,-442.71484375
9317,1782777650.3978786,-253.74908447265625
9431,1782777656.9006667,278.11102294921875
9589,1782777665.5617096,-537.0849609375
9658,1782777669.7919936,393.2892761230469
9750,1782777675.1449246,-884.8539428710938
9888,1782777682.6937282,-701.36865234375
9991,1782777688.394979,-983.8419799804688
10049,1782777692.060684,239.2524871826172
10146,1782777697.7882688,-679.5694580078125
10211,1782777701.6079075,-571.2603759765625
10306,1782777706.9015276,-313.05615234375
10562,1782777720.2581203,-1124.2476806640625
10781,1782777731.76531,-1007.6636962890625
10941,1782777740.2544522,-560.67724609375
11039,1782777745.7736835,-329.510498046875
11107,1782777749.898134,-592.1600341796875
11183,1782777754.505337,-135.4971466064453
11263,1782777759.3006775,-225.45578002929688
11347,1782777764.050935,7.220555782318115
11414,1782777767.775485,-69.36660766601562
11524,1782777773.8469868,-205.8241424560547
11586,1782777777.6964638,-537.7617797851562
11632,1782777780.715741,-288.8824157714844
11729,1782777786.1913285,-374.66717529296875
11824,1782777791.5285184,399.9244079589844
12091,1782777805.5955658,-559.7945556640625
12182,1782777810.7183259,-894.1942749023438
12298,1782777816.9965436,-1091.9287109375
12391,1782777822.2417772,247.05767822265625
12476,1782777827.2493145,-542.8705444335938
12535,1782777830.799111,-247.238525390625
12628,1782777836.3555245,-377.2188415527344
12712,1782777841.1875746,-453.90631103515625
12762,1782777844.1370192,-379.3908386230469
12910,1782777852.0599985,-1345.58984375
12954,1782777854.731662,1.4679640531539917
13057,1782777860.4053526,-246.7914276123047
13132,1782777864.6781685,100.07435607910156
