step,wall_time,value
0,1782777126.0497491,0.0
1,1782777128.698714,0.0
2,1782777131.6443639,0.0
3,1782777140.9044924,0.0
4,1782777144.5263293,0.0
5,1782777148.4173295,0.0
6,1782777153.9396226,0.0
7,1782777158.4829965,0.0
8,1782777163.463942,0.0
9,1782777168.2912228,0.0
10,1782777171.3753324,0.0
11,1782777178.0094037,0.0
12,1782777182.8876944,0.0
13,1782777185.0727441,0.0
14,1782777187.4652326,0.0
15,1782777193.009588,0.0
16,1782777196.8659708,0.0
17,1782777199.5009902,0.0
18,1782777201.6268735,0.0
19,1782777209.262807,0.0
20,1782777214.6850584,0.0
21,1782777219.5910301,0.0
22,1782777223.7680173,0.0
23,1782777239.6574345,0.0
24,1782777241.9023957,0.0
25,1782777247.9578023,0.0
26,1782777250.0986457,0.0
27,1782777256.5216367,0.0
28,1782777261.6675112,0.0
29,1782777264.5598514,0.0
30,1782777271.4990351,0.0
31,1782777278.3123183,0.0
32,1782777284.4057448,0.0
33,1782777291.3971205,0.0
34,1782777294.5238752,0.0
35,1782777298.2331915,0.0
36,1782777304.2462332,0.0
37,1782777307.725116,0.0
38,1782777310.737766,0.0
39,1782777315.533579,0.0
40,1782777319.0260336,0.0
41,1782777322.3022711,0.0
42,1782777329.0921786,0.0
43,1782777333.1366453,0.0
44,1782777336.9941885,0.0
45,1782777340.4479742,0.0
46,1782777343.7425861,0.0
47,1782777351.3959324,0.0
48,1782777354.952947,0.0
49,1782777363.1054132,0.0
50,1782777368.0937536,0.0
51,1782777374.1648657,0.0
52,1782777383.8609884,0.0
53,1782777386.540462,0.0
54,1782777391.016322,0.0
55,1782777394.753933,0.0
56,1782777398.4667103,0.0
57,1782777401.5652297,0.0
58,1782777406.2690368,0.0
59,1782777410.507091,0.0
60,1782777415.1984127,0.0
61,1782777418.6670175,0.0
62,1782777422.8499799,0.0
63,1782777425.676509,0.0
64,1782777430.2183483,0.0
65,1782777434.6803493,0.0
66,1782777437.0501373,0.0
67,1782777440.2856445,0.0
68,1782777445.9178822,0.0
69,1782777452.3499162,0.0
70,1782777457.197912,0.0
71,1782777463.643874,0.0
72,1782777466.226141,0.0
73,1782777472.9367816,0.0
74,1782777479.22817,0.0
75,1782777483.2953708,0.0
76,1782777489.4400523,0.0
77,1782777492.6899934,0.0
78,1782777496.6850517,0.0
79,1782777501.748604,0.0
80,1782777505.5833242,0.0
81,1782777510.692202,0.0
82,1782777515.1415496,0.0
83,1782777520.1887813,0.0
84,1782777523.340822,0.0
85,1782777528.6774774,0.0
86,1782777531.785793,0.0
87,1782777540.081026,0.0
88,1782777545.6241093,0.0
89,1782777548.607541,0.0
90,1782777551.8114645,0.0
91,1782777558.895294,0.0
92,1782777566.8056352,0.0
93,1782777571.0595021,0.0
94,1782777575.33414,0.0
95,1782777580.9485419,0.0
96,1782777586.3941004,0.0
97,1782777590.9027078,0.0
98,1782777597.1409132,0.0
99,1782777602.8151026,0.0
100,1782777610.0350904,0.0
101,1782777612.7263198,0.0
102,1782777616.1303144,0.0
103,1782777621.0525274,0.0
104,1782777625.3543267,0.0
105,1782777629.41306,0.0
106,1782777632.8444345,0.0
107,1782777636.6698532,0.0
108,1782777642.8971648,0.0
109,1782777646.9474034,0.0
110,1782777650.3986852,0.0
111,1782777656.9013665,0.0
112,1782777665.5624502,0.0
113,1782777669.792984,0.0
114,1782777675.1455297,0.0
115,1782777682.6945574,0.0
116,1782777688.3955126,0.0
117,1782777692.0614133,0.0
118,1782777697.7891428,0.0
119,1782777701.6085296,0.0
120,1782777706.9021442,0.0
121,1782777720.2589061,0.0
122,1782777731.766069,0.0
123,1782777740.2556963,0.0
124,1782777745.7743711,0.0
125,1782777749.8988686,0.0
126,1782777754.5060499,0.0
127,1782777759.3011627,0.0
128,1782777764.0515504,0.0
129,1782777767.7760255,0.0
130,1782777773.8477187,0.0
131,1782777777.6971884,0.0
132,1782777780.7163436,0.0
133,1782777786.1918964,0.0
134,1782777791.5292788,0.0
135,1782777805.5961947,0.0
136,1782777810.7190628,0.0
137,1782777816.997108,0.0
138,1782777822.2426047,0.0
139,1782777827.253367,0.0
140,1782777830.799724,0.0
141,1782777836.3560772,0.0
142,1782777841.1882658,0.0
143,1782777844.1379776,0.0
144,1782777852.0606236,0.0
145,1782777854.7323327,0.0
146,1782777860.4062512,0.0
147,1782777864.6787882,0.0
148,1782777870.8468957,0.0
149,1782777875.9538066,0.0
150,1782777882.5088103,0.0
151,1782777887.5559561,0.0
152,1782777891.0106115,0.0
153,1782777895.0875213,0.0
154,1782777899.058462,0.0
155,1782777901.7235768,0.0
156,1782777906.0112453,0.0
157,1782777908.2738478,0.0
158,1782777916.7145128,0.0
159,1782777923.7497401,0.0
160,1782777929.3811889,0.0
161,1782777931.6877162,0.0
162,1782777935.1634448,0.0
163,1782777938.4669125,0.0
164,1782777940.7747457,0.0
165,1782777943.5027485,0.0
166,1782777951.3630288,0.0
