step,wall_time,value
0,1782777126.0498161,0.0
1,1782777128.6987834,0.0
2,1782777131.6445148,0.0
3,1782777140.9045637,0.0
4,1782777144.52643,-30.0
5,1782777148.417394,0.0
6,1782777153.9396935,0.0
7,1782777158.4831417,0.0
8,1782777163.4640758,0.0
9,1782777168.2912962,0.0
10,1782777171.3754172,0.0
11,1782777178.0095005,0.0
12,1782777182.887755,0.0
13,1782777185.0728025,0.0
14,1782777187.4653127,0.0
15,1782777193.009662,-30.0
16,1782777196.8660243,-30.0
17,1782777199.5010595,0.0
18,1782777201.6269715,0.0
19,1782777209.262869,-30.0
20,1782777214.685148,0.0
21,1782777219.5911279,-30.0
22,1782777223.7680962,0.0
23,1782777239.6575387,0.0
24,1782777241.9024532,0.0
25,1782777247.957915,0.0
26,1782777250.0987165,0.0
27,1782777256.5217235,0.0
28,1782777261.6675825,0.0
29,1782777264.559947,-30.0
30,1782777271.4991293,0.0
31,1782777278.3124037,0.0
32,1782777284.4058194,0.0
33,1782777291.397185,0.0
34,1782777294.5239305,0.0
35,1782777298.2332656,0.0
36,1782777304.2462976,0.0
37,1782777307.7251909,-30.0
38,1782777310.7378573,0.0
39,1782777315.5336492,0.0
40,1782777319.026093,0.0
41,1782777322.302359,0.0
42,1782777329.0922601,-30.0
43,1782777333.136705,0.0
44,1782777336.9942644,0.0
45,1782777340.4480534,-30.0
46,1782777343.7427204,-30.0
47,1782777351.3960078,0.0
48,1782777354.9530203,0.0
49,1782777363.1054828,0.0
50,1782777368.0938456,-30.0
51,1782777374.1649377,0.0
52,1782777383.8610742,0.0
53,1782777386.5405293,0.0
54,1782777391.0163865,0.0
55,1782777394.7540379,0.0
56,1782777398.466767,0.0
57,1782777401.565311,0.0
58,1782777406.269121,0.0
59,1782777410.507175,0.0
60,1782777415.1985388,-30.0
61,1782777418.6670897,0.0
62,1782777422.8500323,0.0
63,1782777425.676582,0.0
64,1782777430.2184012,0.0
65,1782777434.6804304,0.0
66,1782777437.0501838,0.0
67,1782777440.2857454,0.0
68,1782777445.9180186,0.0
69,1782777452.3500156,0.0
70,1782777457.19802,-30.0
71,1782777463.6439803,0.0
72,1782777466.2262156,0.0
73,1782777472.936869,0.0
74,1782777479.2282655,0.0
75,1782777483.2954404,0.0
76,1782777489.4401178,0.0
77,1782777492.6900759,0.0
78,1782777496.6851077,-30.0
79,1782777501.7486837,0.0
80,1782777505.5834036,-30.0
81,1782777510.6922846,0.0
82,1782777515.1416013,0.0
83,1782777520.1888702,0.0
84,1782777523.3409567,-30.0
85,1782777528.6774943,0.0
86,1782777531.7858872,0.0
87,1782777540.0811107,0.0
