step,wall_time,value
0,1782777126.049399,2.9497127532958984
1,1782777128.6984215,0.6261551380157471
2,1782777131.6435711,3.9732203483581543
3,1782777140.9039905,3.1793019771575928
4,1782777144.5256307,-24.0
5,1782777148.41686,-24.0
6,1782777153.9391017,-24.0
7,1782777158.4823248,3.694162368774414
8,1782777163.4632976,4.0
9,1782777168.290735,3.137453317642212
10,1782777171.3747978,0.4295281171798706
11,1782777178.008648,-24.0
12,1782777182.8873117,2.1389827728271484
13,1782777185.0722926,3.718924045562744
14,1782777187.4646852,2.345014810562134
15,1782777193.0089192,-24.0
16,1782777196.865639,-24.0
17,1782777199.5005755,2.0042827129364014
18,1782777201.62613,2.148489475250244
19,1782777209.2624567,-24.0
20,1782777214.6843796,3.6285548210144043
21,1782777219.5905306,-24.0
22,1782777223.7675233,-24.0
23,1782777239.6567862,2.339830160140991
24,1782777241.9020221,3.4806621074676514
25,1782777247.9572794,-24.0
26,1782777250.0982158,1.9278463125228882
27,1782777256.521123,-24.0
28,1782777261.6670978,1.8154191970825195
29,1782777264.5591269,-24.0
30,1782777271.4985187,2.411562204360962
31,1782777278.3118176,2.0
32,1782777284.4052644,-24.0
33,1782777291.3967104,2.830662488937378
34,1782777294.523562,2.0
35,1782777298.2328172,3.080679416656494
36,1782777304.2457764,-24.0
37,1782777307.7246835,-24.0
38,1782777310.7373116,3.657102346420288
39,1782777315.5330486,2.5585169792175293
40,1782777319.0256236,2.1588521003723145
41,1782777322.301798,3.868668556213379
42,1782777329.0916584,-24.0
43,1782777333.136176,-24.0
44,1782777336.9937418,-24.0
45,1782777340.4475129,-24.0
46,1782777343.7418177,-24.0
47,1782777351.39546,-24.0
48,1782777354.952472,3.9595754146575928
49,1782777363.1050038,3.370845079421997
50,1782777368.0932858,-24.0
51,1782777374.1644459,2.3444271087646484
52,1782777383.8604102,3.79093074798584
53,1782777386.5399766,2.4286081790924072
54,1782777391.0158844,2.0
55,1782777394.75322,2.8760693073272705
56,1782777398.466368,2.0
57,1782777401.5647497,1.1055930852890015
58,1782777406.268516,3.2728283405303955
59,1782777410.5064688,-24.0
60,1782777415.1977568,-24.0
61,1782777418.6666746,2.0
62,1782777422.8494966,3.074187755584717
63,1782777425.6760573,0.38028067350387573
64,1782777430.2179883,3.548753499984741
65,1782777434.6798913,-24.0
66,1782777437.0495567,3.419973850250244
67,1782777440.2851803,2.0
68,1782777445.9171836,-24.0
69,1782777452.3493648,2.03981614112854
70,1782777457.1972992,-24.0
71,1782777463.6432853,-24.0
72,1782777466.2256618,3.316774606704712
73,1782777472.9363096,3.954820394515991
74,1782777479.227656,2.0
75,1782777483.294902,-24.0
76,1782777489.4396603,-24.0
77,1782777492.689484,3.6819963455200195
78,1782777496.6847203,-24.0
79,1782777501.748014,3.8424201011657715
80,1782777505.582987,-24.0
81,1782777510.691684,3.6446533203125
82,1782777515.141224,3.028639078140259
83,1782777520.1882844,2.3166592121124268
84,1782777523.3402255,-24.0
85,1782777528.676438,3.243159532546997
86,1782777531.7854667,2.0
87,1782777540.080555,-24.0
88,1782777545.6236043,-24.0
89,1782777548.6069958,-24.0
90,1782777551.8109007,2.0
91,1782777558.894741,-24.0
92,1782777566.8052678,3.6486735343933105
93,1782777571.058877,-24.0
94,1782777575.3337557,3.192755699157715
95,1782777580.948103,3.7427005767822266
96,1782777586.393711,-24.0
97,1782777590.9023628,-24.0
98,1782777597.140341,-24.0
99,1782777602.8143673,2.0
100,1782777610.0347152,-24.0
101,1782777612.725755,2.734060764312744
102,1782777616.1297326,2.2415714263916016
103,1782777621.0520022,-24.0
104,1782777625.3536732,3.161123752593994
105,1782777629.4124866,-24.0
106,1782777632.8440962,2.100668430328369
107,1782777636.6693738,-24.0
108,1782777642.8962412,3.438361644744873
109,1782777646.9469266,-24.0
110,1782777650.3981063,-24.0
111,1782777656.9008677,2.0
112,1782777665.5619218,2.0
113,1782777669.7922285,-24.0
114,1782777675.1451042,-24.0
115,1782777682.6939466,-24.0
116,1782777688.3951302,-24.0
117,1782777692.0608938,2.9877917766571045
118,1782777697.7884796,-24.0
119,1782777701.6081004,-24.0
120,1782777706.9017105,-24.0
121,1782777720.2584596,-24.0
122,1782777731.765472,2.0
123,1782777740.2547233,-24.0
124,1782777745.7738848,3.772505044937134
125,1782777749.8983486,-24.0
126,1782777754.5055015,3.4698984622955322
127,1782777759.3008108,-24.0
128,1782777764.0510845,1.8386389017105103
129,1782777767.775638,4.0
130,1782777773.8471844,2.0
131,1782777777.6966329,-24.0
132,1782777780.7159493,-24.0
133,1782777786.1914873,2.490709066390991
134,1782777791.52872,2.0
135,1782777805.59574,4.0
136,1782777810.7185502,-24.0
137,1782777816.996687,-24.0
138,1782777822.2419827,-24.0
139,1782777827.2529962,3.508301258087158
140,1782777830.7992985,-24.0
141,1782777836.355704,2.0
142,1782777841.187761,-24.0
143,1782777844.1373224,2.3245396614074707
144,1782777852.060203,3.010906934738159
145,1782777854.731876,3.4350383281707764
146,1782777860.4056146,3.0244953632354736
147,1782777864.678355,-24.0
148,1782777870.8462067,-24.0
149,1782777875.9530466,-24.0
150,1782777882.5082006,2.0
151,1782777887.5553713,-24.0
152,1782777891.009031,-24.0
153,1782777895.086964,-24.0
154,1782777899.0579739,-24.0
155,1782777901.7231846,2.556023597717285
156,1782777906.010602,1.4629685878753662
157,1782777908.2733831,2.9777538776397705
158,1782777916.714135,2.6634624004364014
159,1782777923.7473412,3.130892038345337
160,1782777929.3804033,2.1325130462646484
161,1782777931.6871512,2.0955584049224854
162,1782777935.1629958,3.4043240547180176
163,1782777938.466327,2.0
164,1782777940.774401,2.24786376953125
165,1782777943.5019612,2.072145700454712
166,1782777951.3625233,3.4779889583587646
167,1782777957.5949037,2.0
168,1782777961.436329,2.0
169,1782777964.276493,-24.0
170,1782777968.6570103,2.6529743671417236
171,1782777971.8933108,1.1669130325317383
172,1782777976.8255925,3.566396474838257
173,1782777980.944718,-24.0
174,1782777987.7498796,2.0
175,1782777996.4105806,-24.0
176,1782777999.491127,2.06571102142334
177,1782778003.3591714,-24.0
178,1782778006.2248018,2.4623820781707764
179,1782778009.563453,2.979151964187622
180,1782778013.0905013,3.881803274154663
181,1782778018.2938988,3.6925206184387207
182,1782778024.2903416,-24.0
183,1782778028.9965897,-24.0
184,1782778037.133106,-24.0
185,1782778050.150467,3.7738873958587646
186,1782778054.251109,1.3742121458053589
187,1782778060.513749,-24.0
188,1782778063.9015508,2.799955129623413
189,1782778067.7028947,-24.0
190,1782778073.5322042,-24.0
191,1782778078.915822,3.736208200454712
192,1782778082.054027,3.5783703327178955
193,1782778087.4312696,-24.0
194,1782778096.6015599,2.0
195,1782778104.7606,3.4455487728118896
196,1782778108.989363,-24.0
197,1782778112.5265713,1.0721594095230103
198,1782778114.831533,3.8666810989379883
199,1782778118.052285,2.778482437133789
200,1782778122.0749507,-24.0
201,1782778126.6461325,2.0
202,1782778132.153191,-24.0
203,1782778135.755105,-24.0
204,1782778141.299981,1.922209620475769
205,1782778146.9991586,-24.0
206,1782778155.6546574,-24.0
207,1782778162.3625185,3.3592076301574707
208,1782778167.5455873,-24.0
209,1782778171.7931376,-24.0
210,1782778175.858758,-24.0
211,1782778178.3935547,2.4839680194854736
212,1782778182.6984503,-24.0
213,1782778189.070497,-24.0
214,1782778192.999848,2.5271990299224854
215,1782778197.6148753,2.3863422870635986
216,1782778203.1374943,-24.0
217,1782778206.8484044,3.5604665279388428
218,1782778209.5381498,3.758070230484009
219,1782778214.486589,-24.0
220,1782778218.6662652,2.99936842918396
221,1782778225.1284165,1.5729347467422485
222,1782778229.762215,2.9346120357513428
223,1782778234.7551975,-24.0
224,1782778238.1658251,1.0182313919067383
225,1782778244.3363898,-24.0
226,1782778250.6334355,3.2649717330932617
227,1782778255.735768,-24.0
228,1782778258.3569355,-24.0
229,1782778261.7469435,-24.0
230,1782778267.364361,3.637503147125244
231,1782778270.9413786,-24.0
232,1782778273.945572,-24.0
233,1782778276.9514823,1.3291219472885132
234,1782778281.5397596,2.0
235,1782778284.7806482,2.798104763031006
236,1782778287.6756716,-24.0
237,1782778298.0086186,-24.0
238,1782778306.7980282,2.423588514328003
239,1782778310.8204732,3.7945759296417236
240,1782778314.4431546,3.523280382156372
241,1782778318.3622496,-24.0
242,1782778321.896505,3.8754115104675293
243,1782778328.5515287,1.1672521829605103
244,1782778332.9804938,1.5001627206802368
245,1782778336.3425627,3.4616334438323975
246,1782778343.2467515,-24.0
247,1782778348.5121193,-24.0
248,1782778357.5791261,3.7798304557800293
249,1782778362.5083945,3.77746844291687
250,1782778365.1920514,-24.0
251,1782778368.7102363,3.182453155517578
252,1782778373.7331638,-24.0
253,1782778381.297,-24.0
254,1782778389.710612,-24.0
255,1782778396.3654873,-24.0
256,1782778401.0592575,-24.0
257,1782778404.4492407,3.7199480533599854
258,1782778407.6068246,0.34379521012306213
259,1782778413.8227909,-24.0
260,1782778419.9793818,-24.0
261,1782778423.8093529,-24.0
262,1782778427.3885875,3.588749647140503
263,1782778433.1317801,2.7357630729675293
264,1782778437.3174505,2.0
265,1782778441.8853283,-24.0
266,1782778444.7727537,-24.0
267,1782778449.850518,3.6696574687957764
268,1782778453.6249115,-24.0
269,1782778458.0664215,4.0
270,1782778465.3938713,-24.0
271,1782778469.7995872,3.9870493412017822
272,1782778473.9463582,2.0
273,1782778476.3052597,2.627101182937622
274,1782778480.079231,-24.0
