step,wall_time,value
7000,1782873181.5564187,1.0
14000,1782873570.4498143,1.0
21000,1782873959.8824327,1.0
28000,1782874357.382665,1.0
35000,1782874758.9646342,1.0
42000,1782875157.1811945,1.0
49000,1782875557.6466486,1.0
56000,1782875978.9669063,1.0
63000,1782876415.4615183,1.0
70000,1782876848.453077,1.0
77000,1782877313.5174532,1.0
84000,1782877793.8381786,1.0
91000,1782878264.4975352,1.0
98000,1782878655.128431,1.0
105000,1782879033.111324,1.0
112000,1782879424.7367513,1.0
119000,1782879812.8718352,1.0
126000,1782880200.6956556,1.0
133000,1782880580.8606994,1.0
140000,1782880966.6020892,1.0
147000,1782881352.9108708,1.0
154000,1782881742.9653418,1.0
161000,1782882137.321756,1.0
168000,1782882535.7104814,1.0
175000,1782882933.0190558,1.0
182000,1782883336.0908802,1.0
189000,1782883723.9992476,1.0
196000,1782884126.0264292,1.0
203000,1782884520.3983254,1.0
210000,1782884915.7599869,1.0
217000,1782885309.7660968,1.0
224000,1782885697.5194116,1.0
231000,1782886090.0439193,1.0
238000,1782886480.8406656,1.0
245000,1782886876.223056,1.0
252000,1782887271.299717,1.0
259000,1782887668.0200405,1.0
266000,1782888087.6484113,1.0
273000,1782888484.6765735,1.0
280000,1782888886.6718428,1.0
287000,1782889299.5302699,1.0
294000,1782889701.520333,1.0
301000,1782890098.335929,1.0
308000,1782890501.5388772,1.0
315000,1782890898.23067,1.0
322000,1782891297.8385124,1.0
329000,1782891710.2408347,1.0
336000,1782892102.525812,1.0
343000,1782892516.8730097,1.0
350000,1782892921.9019666,1.0
357000,1782893321.2459183,1.0
364000,1782893752.11218,1.0
