step,wall_time,value
0,1782872786.5002303,0.0
1,1782872790.5681415,0.0
2,1782872794.817258,0.0
3,1782872799.9818046,0.0
4,1782872814.5311344,0.0
5,1782872818.45269,0.0
6,1782872825.5286431,0.0
7,1782872833.4041977,0.0
8,1782872837.0994081,0.0
9,1782872842.885089,0.0
10,1782872849.6084836,0.0
11,1782872853.4423168,0.0
12,1782872858.5556076,0.0
13,1782872864.8567138,0.0
14,1782872868.8333044,0.0
15,1782872879.054624,0.0
16,1782872881.7844775,0.0
17,1782872889.802031,0.0
18,1782872892.7547402,0.0
19,1782872896.0569088,0.0
20,1782872903.243064,0.0
21,1782872908.5016415,0.0
22,1782872911.535987,0.0
23,1782872914.55494,0.0
24,1782872920.807365,0.0
25,1782872924.5614915,0.0
26,1782872927.933059,0.0
27,1782872932.0882816,0.0
28,1782872936.1251175,0.0
29,1782872939.3978634,0.0
30,1782872944.8042302,0.0
31,1782872952.7062337,0.0
32,1782872958.3404422,0.0
33,1782872967.3410892,0.0
34,1782872969.53242,0.0
35,1782872976.0980644,0.0
36,1782872981.7459064,0.0
37,1782872988.1128137,0.0
38,1782872991.4988525,0.0
39,1782872996.889187,0.0
40,1782873000.3003426,0.0
41,1782873003.5151553,0.0
42,1782873006.955315,0.0
43,1782873014.4905138,0.0
44,1782873019.7606003,0.0
45,1782873025.008508,0.0
46,1782873028.6862838,0.0
47,1782873032.2846217,0.0
48,1782873040.1034908,0.0
49,1782873042.9012241,0.0
50,1782873048.6935828,0.0
51,1782873052.7813194,0.0
52,1782873060.4709628,0.0
53,1782873064.8369558,0.0
54,1782873070.581213,0.0
55,1782873077.4889717,0.0
56,1782873085.7780256,0.0
57,1782873090.346286,0.0
58,1782873095.0525262,0.0
59,1782873103.1691036,0.0
60,1782873107.3582628,0.0
61,1782873111.749027,0.0
62,1782873116.2649307,0.0
63,1782873119.2135634,0.0
64,1782873124.263904,0.0
65,1782873128.2527971,0.0
66,1782873132.1578696,0.0
67,1782873137.7463233,0.0
68,1782873140.4791884,0.0
69,1782873143.3577526,0.0
70,1782873145.7578125,0.0
71,1782873150.5420845,0.0
72,1782873159.6204395,0.0
73,1782873162.077525,0.0
74,1782873166.4563358,0.0
75,1782873169.8667426,0.0
76,1782873173.3149881,0.0
77,1782873175.5394847,0.0
78,1782873177.7486167,0.0
79,1782873179.9018269,0.0
80,1782873182.9499564,0.0
81,1782873187.8552186,0.0
82,1782873191.799149,0.0
83,1782873195.4966097,0.0
84,1782873199.252776,0.0
85,1782873202.7263653,0.0
86,1782873209.503922,0.0
87,1782873213.8384995,0.0
88,1782873217.3209233,0.0
89,1782873224.861511,0.0
90,1782873230.3325164,0.0
91,1782873233.855171,0.0
92,1782873244.1027539,0.0
93,1782873247.4525259,0.0
94,1782873253.0530038,0.0
95,1782873255.3441362,0.0
96,1782873259.5567873,0.0
97,1782873271.9175878,0.0
98,1782873277.5206163,0.0
99,1782873279.6510627,0.0
100,1782873284.6021829,0.0
101,1782873291.8069942,0.0
102,1782873295.4014976,0.0
103,1782873300.5037289,0.0
104,1782873302.606537,0.0
105,1782873306.0049753,0.0
106,1782873309.0534828,0.0
107,1782873312.4052672,0.0
108,1782873315.657025,0.0
109,1782873319.154177,0.0
110,1782873324.2716029,0.0
111,1782873326.7455683,0.0
112,1782873331.3734956,0.0
113,1782873335.12001,0.0
114,1782873339.590535,0.0
115,1782873344.1024506,0.0
116,1782873349.4572902,0.0
117,1782873351.6764855,0.0
118,1782873358.0225694,0.0
119,1782873362.6946523,0.0
120,1782873369.3305278,0.0
121,1782873372.857868,0.0
122,1782873376.1207995,0.0
123,1782873383.3609836,0.0
124,1782873386.336746,0.0
125,1782873389.550485,0.0
126,1782873395.2471025,0.0
127,1782873401.8007748,0.0
128,1782873404.2126176,0.0
129,1782873408.520504,0.0
130,1782873413.9559238,0.0
131,1782873418.3890893,0.0
132,1782873423.9629195,0.0
133,1782873433.7629,0.0
134,1782873437.4444332,0.0
135,1782873441.1769083,0.0
136,1782873443.312145,0.0
137,1782873445.8046641,0.0
138,1782873451.8460524,0.0
139,1782873456.2670434,0.0
140,1782873459.902637,0.0
141,1782873465.1444826,0.0
142,1782873468.3507917,0.0
143,1782873476.5263982,0.0
144,1782873481.3342693,0.0
145,1782873487.118581,0.0
146,1782873491.9003801,0.0
147,1782873499.3523936,0.0
148,1782873503.2461276,0.0
149,1782873506.7405338,0.0
150,1782873509.0815613,0.0
151,1782873516.7188659,0.0
152,1782873523.4880621,0.0
153,1782873528.4541411,0.0
154,1782873530.9194784,0.0
155,1782873534.1501524,0.0
156,1782873537.315772,0.0
157,1782873540.6217387,0.0
158,1782873545.7029219,0.0
159,1782873548.1996253,0.0
160,1782873551.613874,0.0
161,1782873556.4217465,0.0
162,1782873567.4273107,0.0
163,1782873574.6509528,0.0
164,1782873579.4927197,0.0
165,1782873584.583046,0.0
166,1782873590.2053318,0.0
167,1782873594.5541298,0.0
168,1782873599.4557364,0.0
169,1782873609.3106005,0.0
170,1782873613.7183144,0.0
171,1782873617.400291,0.0
172,1782873622.4771724,0.0
173,1782873628.703006,0.0
