step,wall_time,value
0,1782872786.5002043,45.0
1,1782872790.5681236,70.0
2,1782872794.8171883,74.0
3,1782872799.981782,83.0
4,1782872814.5311172,282.0
5,1782872818.4526737,67.0
6,1782872825.5286167,131.0
7,1782872833.4041882,143.0
8,1782872837.0993903,60.0
9,1782872842.8850613,102.0
10,1782872849.6084738,120.0
11,1782872853.4423022,63.0
12,1782872858.5555842,89.0
13,1782872864.8566976,115.0
14,1782872868.8332896,71.0
15,1782872879.0546155,195.0
16,1782872881.784461,44.0
17,1782872889.8020225,149.0
18,1782872892.754731,50.0
19,1782872896.0569,57.0
20,1782872903.243052,134.0
21,1782872908.5016258,92.0
22,1782872911.5359697,45.0
23,1782872914.5549245,50.0
24,1782872920.8073325,113.0
25,1782872924.5614748,65.0
26,1782872927.933048,52.0
27,1782872932.0882692,67.0
28,1782872936.1251016,67.0
29,1782872939.3978398,52.0
30,1782872944.8042147,93.0
31,1782872952.7062185,145.0
32,1782872958.3404276,103.0
33,1782872967.3410738,171.0
34,1782872969.5324004,36.0
35,1782872976.098055,119.0
36,1782872981.7458975,99.0
37,1782872988.1127949,113.0
38,1782872991.498836,54.0
39,1782872996.8891711,95.0
40,1782873000.300326,57.0
41,1782873003.5151362,53.0
42,1782873006.9552927,60.0
43,1782873014.4904983,143.0
44,1782873019.7605865,98.0
45,1782873025.0084991,96.0
46,1782873028.6862695,59.0
47,1782873032.2846017,56.0
48,1782873040.1034794,143.0
49,1782873042.9012084,45.0
50,1782873048.6935637,103.0
51,1782873052.7813017,72.0
52,1782873060.4709375,144.0
53,1782873064.8369472,80.0
54,1782873070.581204,106.0
55,1782873077.488962,127.0
56,1782873085.77801,151.0
57,1782873090.3462694,73.0
58,1782873095.0525103,77.0
59,1782873103.1690857,150.0
60,1782873107.3582473,72.0
61,1782873111.749015,74.0
62,1782873116.2649198,77.0
63,1782873119.2135468,44.0
64,1782873124.263892,85.0
65,1782873128.252772,64.0
66,1782873132.1578574,69.0
67,1782873137.7463064,103.0
68,1782873140.4791727,43.0
69,1782873143.3577418,43.0
70,1782873145.7578013,37.0
71,1782873150.5420756,82.0
72,1782873159.6204205,170.0
73,1782873162.077516,38.0
74,1782873166.4563205,80.0
75,1782873169.866725,59.0
76,1782873173.3149703,59.0
77,1782873175.539466,36.0
78,1782873177.7485995,36.0
79,1782873179.9018092,35.0
80,1782873182.949938,53.0
81,1782873187.8552022,87.0
82,1782873191.799132,69.0
83,1782873195.4965813,62.0
84,1782873199.252758,59.0
85,1782873202.726337,57.0
86,1782873209.5039046,126.0
87,1782873213.8384807,77.0
88,1782873217.320883,60.0
89,1782873224.8614938,143.0
90,1782873230.3324864,102.0
91,1782873233.855153,60.0
92,1782873244.102735,196.0
93,1782873247.4525108,58.0
94,1782873253.0529819,103.0
95,1782873255.3441193,40.0
96,1782873259.5567763,77.0
97,1782873271.917573,237.0
98,1782873277.5205991,103.0
99,1782873279.651045,36.0
100,1782873284.6021652,91.0
101,1782873291.8069856,133.0
102,1782873295.401481,60.0
103,1782873300.503712,93.0
104,1782873302.6065214,35.0
105,1782873306.0049584,59.0
106,1782873309.053474,52.0
107,1782873312.40525,59.0
108,1782873315.6570072,56.0
109,1782873319.1541598,62.0
110,1782873324.271587,93.0
111,1782873326.7455518,39.0
112,1782873331.3734787,86.0
113,1782873335.1199942,66.0
114,1782873339.5905175,77.0
115,1782873344.1024342,78.0
116,1782873349.4572752,98.0
117,1782873351.676469,36.0
118,1782873358.0225492,119.0
