step,wall_time,value
3,1782872799.981934,1.4733757972717285
4,1782872814.5312812,1.4379609823226929
5,1782872818.4527855,1.3710918426513672
6,1782872825.5287714,1.3620328903198242
7,1782872833.4042764,1.2689298391342163
8,1782872837.0995028,1.1774208545684814
9,1782872842.885195,1.1319124698638916
10,1782872849.6085703,1.0294411182403564
11,1782872853.4424508,0.9337097406387329
12,1782872858.5557108,0.9086270332336426
13,1782872864.8568153,0.8814971446990967
14,1782872868.833417,0.8723611235618591
15,1782872879.054701,0.9161805510520935
16,1782872881.7845836,0.9428321123123169
17,1782872889.8021069,0.9158588647842407
18,1782872892.7548118,0.9660876989364624
19,1782872896.05698,0.9348670244216919
20,1782872903.243152,0.9334113597869873
21,1782872908.5017457,0.908006489276886
22,1782872911.5360918,0.9585970044136047
23,1782872914.5550354,0.8882369995117188
24,1782872920.807505,0.9482351541519165
25,1782872924.561586,0.9797260761260986
26,1782872927.933159,0.9502184391021729
27,1782872932.088378,0.9594434499740601
28,1782872936.1252158,0.9064956307411194
29,1782872939.3979943,0.9246190190315247
30,1782872944.8043272,0.9410232305526733
31,1782872952.706342,0.9394078850746155
32,1782872958.340536,0.9823436141014099
33,1782872967.341188,0.9764796495437622
34,1782872969.5325391,1.0354790687561035
35,1782872976.0981698,1.0027703046798706
36,1782872981.7459857,0.9919052720069885
37,1782872988.1129427,0.9911239147186279
38,1782872991.498971,1.0172003507614136
39,1782872996.8893046,0.9667210578918457
40,1782873000.30047,1.0146868228912354
41,1782873003.5152633,0.9792369604110718
42,1782873006.9554412,1.0188804864883423
43,1782873014.4906096,1.0406787395477295
44,1782873019.7606988,1.0897780656814575
45,1782873025.0085917,1.0980074405670166
46,1782873028.6864102,1.043212652206421
47,1782873032.2847514,1.084214210510254
48,1782873040.1036508,1.054687738418579
49,1782873042.9013205,1.0863735675811768
50,1782873048.6936893,1.0330305099487305
51,1782873052.781438,1.0791993141174316
52,1782873060.4712317,1.0935697555541992
53,1782873064.837028,1.0942827463150024
54,1782873070.5812972,1.0826261043548584
55,1782873077.4890447,1.0814743041992188
56,1782873085.7781317,1.0840470790863037
57,1782873090.346411,1.0779571533203125
58,1782873095.0526547,1.1127910614013672
59,1782873103.1692114,1.1230030059814453
60,1782873107.3583732,1.1729151010513306
61,1782873111.7491283,1.1606522798538208
62,1782873116.2650359,1.1624723672866821
63,1782873119.2136674,1.1185580492019653
64,1782873124.264005,1.196867823600769
65,1782873128.2529798,1.2114635705947876
66,1782873132.1579795,1.2757527828216553
67,1782873137.7464478,1.1577484607696533
68,1782873140.479295,1.2288784980773926
69,1782873143.3578515,1.2068061828613281
70,1782873145.7579033,1.3179770708084106
71,1782873150.542158,1.1911509037017822
72,1782873159.6205845,1.1965264081954956
73,1782873162.0776029,1.1742184162139893
74,1782873166.4564483,1.183160662651062
75,1782873169.8668516,1.163519263267517
76,1782873173.315107,1.2070881128311157
77,1782873175.539591,1.2805427312850952
78,1782873177.748734,1.1890655755996704
79,1782873179.9019344,1.2088285684585571
80,1782873182.95008,1.7560579776763916
81,1782873187.855327,1.721380352973938
82,1782873191.799254,1.4814863204956055
83,1782873195.4967651,1.649834156036377
84,1782873199.252886,1.4963443279266357
85,1782873202.7264686,1.4401034116744995
86,1782873209.5041962,1.4363470077514648
87,1782873213.8386075,1.535239577293396
88,1782873217.3210614,1.5356379747390747
89,1782873224.8616126,1.3782193660736084
90,1782873230.3326283,1.4546879529953003
91,1782873233.855283,1.5257219076156616
92,1782873244.1028724,1.5561323165893555
93,1782873247.452632,1.4528807401657104
94,1782873253.0530977,1.6754390001296997
95,1782873255.344244,1.6068644523620605
96,1782873259.5568702,1.7154123783111572
97,1782873271.9177086,1.611286997795105
98,1782873277.5207148,1.7411857843399048
99,1782873279.65117,1.7983393669128418
100,1782873284.602305,1.8959742784500122
101,1782873291.8070703,1.7240922451019287
102,1782873295.4016016,1.840488314628601
103,1782873300.503822,1.837312936782837
104,1782873302.6066437,1.7757656574249268
105,1782873306.0050952,1.70469069480896
106,1782873309.0535483,1.6806188821792603
107,1782873312.405382,1.9942693710327148
108,1782873315.6571367,1.8785430192947388
109,1782873319.1542823,1.9134117364883423
110,1782873324.2717059,1.952170491218567
111,1782873326.7456686,1.7326905727386475
112,1782873331.3735957,1.8813042640686035
113,1782873335.1201134,1.9705971479415894
114,1782873339.590651,1.8216902017593384
115,1782873344.102551,2.072266101837158
116,1782873349.4574006,1.7195311784744263
117,1782873351.6765823,1.654296875
118,1782873358.0226703,1.919071078300476
119,1782873362.6947508,2.1594040393829346
120,1782873369.330613,1.8941861391067505
121,1782873372.857974,2.201648712158203
