step,wall_time,value
0,1782872786.5009665,0.0
1,1782872790.5688617,0.0
2,1782872794.8186777,0.0
3,1782872799.9826553,0.0
4,1782872814.5320737,0.0
5,1782872818.4533525,0.0
6,1782872825.529623,0.0
7,1782872833.40484,0.0
8,1782872837.1003358,0.0
9,1782872842.8861413,0.0
10,1782872849.609324,0.0
11,1782872853.4432836,0.0
12,1782872858.5561602,0.0
13,1782872864.8572845,0.0
14,1782872868.833986,0.0
15,1782872879.0555367,0.0
16,1782872881.7853003,0.30000001192092896
17,1782872889.8027854,0.0
18,1782872892.7552297,0.0
19,1782872896.0574665,0.0
20,1782872903.2438052,0.0
21,1782872908.502433,0.0
22,1782872911.5367064,0.0
23,1782872914.5557654,0.0
24,1782872920.808943,0.30000001192092896
25,1782872924.5622005,0.0
26,1782872927.9340947,0.0
27,1782872932.0889595,0.0
28,1782872936.125913,0.0
29,1782872939.3987,0.0
30,1782872944.8050003,0.0
31,1782872952.7073655,0.0
32,1782872958.3412323,0.30000001192092896
33,1782872967.3418655,0.0
34,1782872969.5331998,0.0
35,1782872976.0987396,0.0
36,1782872981.7467508,0.30000001192092896
37,1782872988.113674,0.0
38,1782872991.4997652,0.0
39,1782872996.890725,0.0
40,1782873000.3012524,0.0
41,1782873003.5160208,0.0
42,1782873006.9561439,0.0
43,1782873014.49125,0.0
44,1782873019.7613323,0.0
45,1782873025.0092282,0.0
46,1782873028.6872911,0.0
47,1782873032.2861004,0.0
48,1782873040.1043785,0.30000001192092896
49,1782873042.9019325,0.0
50,1782873048.694509,0.0
51,1782873052.7820265,0.0
52,1782873060.4724116,0.0
53,1782873064.8375106,0.0
54,1782873070.5819526,0.30000001192092896
55,1782873077.4894924,0.0
56,1782873085.778704,0.0
57,1782873090.3472395,0.0
58,1782873095.0532596,0.0
59,1782873103.169927,0.30000001192092896
60,1782873107.359059,0.0
61,1782873111.7497556,0.0
62,1782873116.2656858,0.0
63,1782873119.2144637,0.0
64,1782873124.2648325,0.0
65,1782873128.253808,0.0
66,1782873132.1587121,0.0
67,1782873137.7472627,0.0
68,1782873140.4801576,0.0
69,1782873143.3583918,0.30000001192092896
70,1782873145.7585697,0.0
71,1782873150.542754,0.0
72,1782873159.6217754,0.0
73,1782873162.0783095,0.0
74,1782873166.4570072,0.0
75,1782873169.8675802,0.0
76,1782873173.3157592,0.0
77,1782873175.5404658,0.0
78,1782873177.7499678,0.0
79,1782873179.9028769,0.0
80,1782873182.9507613,0.0
81,1782873187.8559985,0.0
82,1782873191.800107,0.30000001192092896
83,1782873195.4975328,0.0
84,1782873199.25407,0.0
85,1782873202.7270782,0.0
86,1782873209.5052912,0.0
87,1782873213.8398626,0.0
88,1782873217.3223414,0.0
89,1782873224.8625958,0.0
90,1782873230.333337,0.30000001192092896
91,1782873233.8564982,0.0
92,1782873244.108835,0.0
93,1782873247.4533582,0.0
94,1782873253.0542006,0.0
95,1782873255.345233,0.30000001192092896
96,1782873259.557698,0.0
97,1782873271.9186122,0.0
98,1782873277.5221267,0.0
99,1782873279.6522903,0.0
100,1782873284.6044645,0.0
101,1782873291.8076937,0.0
102,1782873295.4024336,0.0
103,1782873300.5044394,0.0
104,1782873302.607496,0.0
105,1782873306.006492,0.0
106,1782873309.054136,0.0
107,1782873312.406432,0.0
108,1782873315.65788,0.30000001192092896
109,1782873319.1553679,0.0
110,1782873324.2728176,0.0
111,1782873326.747259,0.0
112,1782873331.3746834,0.0
113,1782873335.120885,0.0
114,1782873339.591455,0.0
115,1782873344.1032233,0.0
116,1782873349.4583056,0.0
117,1782873351.677849,0.0
118,1782873358.0240443,0.0
119,1782873362.7009141,0.0
120,1782873369.331353,0.0
121,1782873372.8593745,0.0
122,1782873376.1215258,0.0
123,1782873383.3619428,0.0
124,1782873386.338684,0.0
125,1782873389.5512114,0.0
126,1782873395.248589,0.30000001192092896
127,1782873401.8016834,0.0
128,1782873404.2141848,0.0
129,1782873408.5213394,0.0
130,1782873413.9568684,0.0
131,1782873418.389948,0.0
132,1782873423.9642918,0.0
133,1782873433.76426,0.0
134,1782873437.4452379,0.0
135,1782873441.1777325,0.0
136,1782873443.3131208,0.0
137,1782873445.8055904,0.30000001192092896
138,1782873451.8470776,0.0
139,1782873456.2706714,0.0
140,1782873459.9035664,0.0
141,1782873465.1457136,0.0
142,1782873468.3518896,0.0
143,1782873476.5272086,0.0
144,1782873481.33556,0.0
145,1782873487.1199844,0.0
146,1782873491.9012349,0.0
147,1782873499.3532326,0.30000001192092896
148,1782873503.2479863,0.0
149,1782873506.741333,0.0
150,1782873509.0827456,0.0
151,1782873516.719948,0.0
152,1782873523.4890318,0.0
153,1782873528.4550412,0.0
154,1782873530.9208615,0.0
155,1782873534.1512702,0.0
156,1782873537.3166454,0.30000001192092896
157,1782873540.6225698,0.0
158,1782873545.7039526,0.0
159,1782873548.2007725,0.0
160,1782873551.62021,0.0
161,1782873556.4226673,0.0
162,1782873567.4288192,0.0
163,1782873574.6519737,0.0
