step,wall_time,value
0,1782872786.5003595,-11.964229583740234
1,1782872790.5682166,-7.097084045410156
2,1782872794.8175507,-8.377187728881836
3,1782872799.9820023,8.791089057922363
4,1782872814.5313768,3.7818145751953125
5,1782872818.4528546,5.541296482086182
6,1782872825.5288363,3.444733142852783
7,1782872833.4043145,-8.722063064575195
8,1782872837.0995646,7.7449951171875
9,1782872842.8852603,-6.7001118659973145
10,1782872849.6086197,5.482109069824219
11,1782872853.4425192,-11.211994171142578
12,1782872858.5557542,-23.75448989868164
13,1782872864.8568783,-6.655454635620117
14,1782872868.8334827,0.0
15,1782872879.05474,0.0
16,1782872881.7846892,-11.278379440307617
17,1782872889.8021479,-7.133415222167969
18,1782872892.75485,-10.320023536682129
19,1782872896.0570192,3.473799705505371
20,1782872903.2431996,6.153836727142334
21,1782872908.5017889,-14.145201683044434
22,1782872911.5361605,4.360537528991699
23,1782872914.5551012,3.2835488319396973
24,1782872920.8075886,-17.45075225830078
25,1782872924.561647,-12.760995864868164
26,1782872927.9332058,0.0
27,1782872932.0884464,-8.130899429321289
28,1782872936.1252902,4.942995071411133
29,1782872939.398103,3.5318379402160645
30,1782872944.8044024,4.266565322875977
31,1782872952.7064307,0.0
32,1782872958.3406034,3.7212777137756348
33,1782872967.3412478,-16.43374252319336
34,1782872969.5326054,-6.649363994598389
35,1782872976.0982265,-23.64690589904785
36,1782872981.746024,-17.8458194732666
37,1782872988.1130137,-16.287954330444336
38,1782872991.4990454,-10.548368453979492
39,1782872996.889396,3.2813947200775146
40,1782873000.3005433,0.0
41,1782873003.5153213,3.5396878719329834
42,1782873006.9555027,3.7460856437683105
43,1782873014.4906728,4.575950622558594
44,1782873019.7607608,-17.484493255615234
45,1782873025.0086362,8.820945739746094
46,1782873028.6864777,0.0
47,1782873032.2848163,-6.606675148010254
48,1782873040.103721,-12.07091999053955
49,1782873042.9014192,3.3683342933654785
50,1782873048.6937654,5.971029758453369
51,1782873052.7815332,8.808024406433105
52,1782873060.471363,-7.709092140197754
53,1782873064.8370652,0.0
54,1782873070.5813394,3.5413694381713867
55,1782873077.4890864,5.2518086433410645
56,1782873085.7782068,0.0
57,1782873090.346477,3.7211146354675293
58,1782873095.052729,-7.090737819671631
59,1782873103.1692786,-9.868005752563477
60,1782873107.3584437,4.838080406188965
61,1782873111.749172,-9.148420333862305
62,1782873116.2650833,3.360991954803467
63,1782873119.2137358,0.0
64,1782873124.264064,-17.822223663330078
65,1782873128.253085,-16.579891204833984
66,1782873132.1580358,3.4196202754974365
67,1782873137.7465208,-12.140748023986816
68,1782873140.4793782,3.4887073040008545
69,1782873143.3579006,4.500380992889404
70,1782873145.7579513,-8.931478500366211
71,1782873150.5421934,-9.57061767578125
72,1782873159.6206648,-7.9315361976623535
73,1782873162.0776386,5.083624839782715
74,1782873166.4565113,3.4493067264556885
75,1782873169.8669229,-16.09446144104004
76,1782873173.315184,-15.87587833404541
77,1782873175.5396647,3.3750789165496826
78,1782873177.7488048,-6.733670711517334
79,1782873179.902007,0.0
80,1782873182.9501522,-16.962980270385742
81,1782873187.8554115,-7.013490676879883
82,1782873191.7993248,-6.834787845611572
83,1782873195.4968612,3.5969080924987793
84,1782873199.2529616,0.0
85,1782873202.7265332,-6.731832027435303
86,1782873209.504271,-12.734996795654297
87,1782873213.8386803,-7.559861183166504
88,1782873217.321133,-21.354215621948242
89,1782873224.8616843,-15.666017532348633
90,1782873230.3327007,-15.152613639831543
91,1782873233.8553715,-11.548413276672363
92,1782873244.102947,-9.333420753479004
93,1782873247.4527009,-7.684838771820068
94,1782873253.0531702,5.910120487213135
95,1782873255.3443167,-10.236639022827148
96,1782873259.556916,3.338026762008667
97,1782873271.9177814,-17.953489303588867
98,1782873277.5207913,5.642338275909424
99,1782873279.6512413,3.2986557483673096
100,1782873284.60239,-6.6099019050598145
101,1782873291.8071077,8.9468412399292
102,1782873295.4016755,-9.979936599731445
103,1782873300.5038936,3.715440273284912
104,1782873302.6067078,4.395237445831299
105,1782873306.0051773,-16.027400970458984
106,1782873309.0535827,0.0
107,1782873312.4054527,-15.345104217529297
108,1782873315.6572232,3.442143678665161
109,1782873319.15437,-9.649346351623535
110,1782873324.271769,-20.319948196411133
111,1782873326.7457407,5.22317361831665
112,1782873331.3736675,-15.716341018676758
113,1782873335.1201782,0.0
114,1782873339.5907233,0.0
115,1782873344.1026225,5.757812023162842
116,1782873349.4574685,8.4639253616333
117,1782873351.6766565,3.4709246158599854
118,1782873358.0227444,0.0
119,1782873362.6948225,-16.55352210998535
120,1782873369.3306558,-6.781113624572754
121,1782873372.8580441,8.441086769104004
122,1782873376.1209302,-9.402915954589844
123,1782873383.3611577,-9.372628211975098
124,1782873386.3369172,-8.868449211120605
125,1782873389.5506637,-9.679162979125977
126,1782873395.2472785,0.0
127,1782873401.8009403,7.918282508850098
128,1782873404.2127938,4.484311103820801
129,1782873408.5206382,-15.110270500183105
130,1782873413.956099,8.612689971923828
131,1782873418.389224,-15.30146312713623
132,1782873423.9630992,0.0
133,1782873433.7631078,3.392887830734253
134,1782873437.4446044,-22.951953887939453
135,1782873441.1770425,-8.95506763458252
136,1782873443.3123155,-10.347912788391113
137,1782873445.8048348,0.0
138,1782873451.8462296,-23.217378616333008
139,1782873456.2701862,3.797006845474243
140,1782873459.9028015,0.0
141,1782873465.1446574,-7.036640167236328
142,1782873468.3509667,0.0
143,1782873476.5265763,0.0
144,1782873481.3344698,3.399928331375122
145,1782873487.118754,-7.055117607116699
146,1782873491.9005468,-13.254515647888184
147,1782873499.3525724,-15.463103294372559
148,1782873503.2463048,-9.771254539489746
149,1782873506.7406921,-14.749663352966309
150,1782873509.0817406,0.0
151,1782873516.719176,-7.138715744018555
152,1782873523.4882438,8.638608932495117
153,1782873528.4543045,6.261846542358398
154,1782873530.9196575,-9.420381546020508
155,1782873534.1503406,-10.23420524597168
156,1782873537.3158941,-7.820260524749756
157,1782873540.6219103,3.458695411682129
158,1782873545.7030892,-20.671066284179688
159,1782873548.1998074,-9.203804969787598
160,1782873551.6140535,7.80491304397583
161,1782873556.4219306,3.5236685276031494
162,1782873567.4275208,5.97335147857666
163,1782873574.6511154,-8.739030838012695
164,1782873579.4928908,-8.719362258911133
165,1782873584.583221,-9.679032325744629
166,1782873590.2055233,6.125248432159424
167,1782873594.5543118,-10.646965980529785
168,1782873599.4559085,-16.859230041503906
169,1782873609.3107738,-9.273646354675293
170,1782873613.7185125,3.6364102363586426
171,1782873617.4004347,-12.034368515014648
172,1782873622.4773436,0.0
173,1782873628.703181,-10.01035213470459
174,1782873633.3928692,-11.762632369995117
175,1782873636.5078113,0.0
176,1782873644.3534238,4.262638092041016
177,1782873650.651773,4.640450477600098
178,1782873652.9560668,-8.996214866638184
179,1782873655.1209347,-8.801119804382324
180,1782873657.6386688,-17.248754501342773
181,1782873662.748828,3.666795492172241
182,1782873666.0753303,3.968869209289551
183,1782873668.441105,-9.850797653198242
184,1782873671.3032267,-17.192615509033203
185,1782873677.4574792,0.0
186,1782873683.4920542,8.91697883605957
187,1782873686.6665976,-8.093881607055664
188,1782873692.101463,7.088862419128418
189,1782873694.8515205,5.989821434020996
190,1782873699.0782547,-8.86851978302002
191,1782873708.2172136,-17.654390335083008
192,1782873712.7760375,8.655386924743652
193,1782873717.7722661,-16.179197311401367
194,1782873722.4553401,6.231576442718506
195,1782873728.2119992,-7.50050687789917
196,1782873732.293769,3.7024054527282715
197,1782873734.950179,8.643377304077148
