step,wall_time,value
0,1782872786.5000737,-49.345951080322266
1,1782872790.5680435,570.3635864257812
2,1782872794.8169465,-386.0001220703125
3,1782872799.981676,-251.74923706054688
4,1782872814.5310066,-1500.39794921875
5,1782872818.4525943,-504.2294616699219
6,1782872825.5285158,28.665462493896484
7,1782872833.4041288,-334.23504638671875
8,1782872837.099284,-318.9442443847656
9,1782872842.8849761,492.0638732910156
10,1782872849.6084146,-770.9677734375
11,1782872853.4422138,-441.3207092285156
12,1782872858.5552115,-272.0140686035156
13,1782872864.8566206,-404.37353515625
14,1782872868.8332183,-511.9223327636719
15,1782872879.0545602,908.9977416992188
16,1782872881.7843738,-257.9559020996094
17,1782872889.8019645,-622.0015869140625
18,1782872892.7546775,-399.372802734375
19,1782872896.0568438,-186.95997619628906
20,1782872903.2429926,-736.7916870117188
21,1782872908.5015476,300.9689636230469
22,1782872911.5358922,-142.12237548828125
23,1782872914.554851,111.45928192138672
24,1782872920.8071847,458.4775390625
25,1782872924.5613966,-502.0644836425781
26,1782872927.9329758,-18.57654571533203
27,1782872932.0881917,-218.7742919921875
28,1782872936.1250257,-385.93975830078125
29,1782872939.3975887,182.5349578857422
30,1782872944.8041418,-84.81060791015625
31,1782872952.706136,-1256.0941162109375
32,1782872958.3403552,315.5774841308594
33,1782872967.341001,-1251.0643310546875
34,1782872969.5323007,-389.9914855957031
35,1782872976.0979757,-781.51220703125
36,1782872981.7458365,-242.35751342773438
37,1782872988.1127121,-560.3109130859375
38,1782872991.4987547,-455.2756652832031
39,1782872996.8890784,-353.87664794921875
40,1782873000.3002288,-326.7359619140625
41,1782873003.515027,-393.1819152832031
42,1782873006.955171,-415.71575927734375
43,1782873014.490427,-188.9883270263672
44,1782873019.760517,-980.3051147460938
45,1782873025.0084405,-72.65684509277344
46,1782873028.6861646,194.62889099121094
47,1782873032.2844956,87.883056640625
48,1782873040.1034112,-451.08612060546875
49,1782873042.9011319,-56.084129333496094
50,1782873048.693482,-1036.6065673828125
51,1782873052.781057,-245.39756774902344
52,1782873060.4708242,-749.0127563476562
53,1782873064.8368924,80.31914520263672
54,1782873070.5811396,-1073.34423828125
55,1782873077.4889088,-362.123779296875
56,1782873085.7779295,-288.2506408691406
57,1782873090.3461862,134.17713928222656
58,1782873095.0524218,18.626850128173828
59,1782873103.1689951,-463.7830810546875
60,1782873107.358172,-275.06341552734375
61,1782873111.7489257,-426.7518005371094
62,1782873116.2648609,-203.79869079589844
63,1782873119.213466,-499.6612548828125
64,1782873124.263828,119.58731842041016
65,1782873128.2526398,-612.8123779296875
66,1782873132.1577857,386.173583984375
67,1782873137.7462187,-1088.241455078125
68,1782873140.4790974,65.6563491821289
69,1782873143.3576612,-167.32545471191406
70,1782873145.7577221,-83.34818267822266
71,1782873150.5420175,-543.4183349609375
72,1782873159.6203191,-1728.4554443359375
73,1782873162.077466,-130.656982421875
74,1782873166.456245,-639.5326538085938
75,1782873169.8666382,-275.45538330078125
76,1782873173.31488,-414.846923828125
77,1782873175.5393877,-311.6936950683594
78,1782873177.7485068,-373.1643371582031
79,1782873179.9017308,-344.49920654296875
80,1782873182.949852,169.81195068359375
81,1782873187.8551233,-708.4120483398438
82,1782873191.7990553,-299.0074462890625
83,1782873195.496499,226.7338104248047
84,1782873199.252677,198.2633514404297
85,1782873202.726266,114.78470611572266
86,1782873209.5037968,-1279.42919921875
87,1782873213.8383996,-491.9535217285156
88,1782873217.3207786,-531.1237182617188
89,1782873224.8614194,-1033.4404296875
90,1782873230.3323112,-1129.8326416015625
91,1782873233.855077,51.55057144165039
92,1782873244.1026547,-865.9387817382812
93,1782873247.4524367,-640.6021728515625
94,1782873253.052906,-1113.961669921875
95,1782873255.344044,-120.73773193359375
96,1782873259.556721,-362.1157531738281
97,1782873271.9175036,-756.8009033203125
98,1782873277.5205262,-1194.124267578125
99,1782873279.6509695,-405.0071105957031
100,1782873284.6020803,-779.756591796875
101,1782873291.8069358,-562.7813110351562
102,1782873295.401402,-612.3055419921875
103,1782873300.5036387,-628.9762573242188
104,1782873302.6064427,-141.46678161621094
105,1782873306.0048819,-261.8255310058594
106,1782873309.0534232,-33.22434616088867
107,1782873312.4051735,-217.6825408935547
108,1782873315.6569228,-268.6298828125
109,1782873319.1540837,-475.1578369140625
110,1782873324.271514,-952.636474609375
111,1782873326.745478,-14.994409561157227
112,1782873331.3734047,-725.186279296875
113,1782873335.1199212,6.7796196937561035
114,1782873339.5904377,167.6898193359375
115,1782873344.102357,-248.06103515625
116,1782873349.4572065,-542.0341796875
117,1782873351.6763937,-422.3087463378906
118,1782873358.0224695,-344.95599365234375
119,1782873362.69456,-704.8834228515625
120,1782873369.3304658,-293.76885986328125
121,1782873372.857777,-575.7984619140625
122,1782873376.1207383,339.5595703125
123,1782873383.360893,-707.2294311523438
124,1782873386.3366554,-17.083595275878906
125,1782873389.5503898,-440.1393127441406
126,1782873395.2470086,359.3631896972656
127,1782873401.8006852,-692.0291137695312
128,1782873404.2125242,-117.78609466552734
129,1782873408.5204387,-304.7062072753906
130,1782873413.9558318,-428.5910949707031
131,1782873418.3890216,-330.3430480957031
132,1782873423.9628258,206.42422485351562
133,1782873433.7627935,-121.29045104980469
134,1782873437.444329,404.0460205078125
135,1782873441.176816,287.9550476074219
136,1782873443.3120344,-120.41065216064453
137,1782873445.8045752,-290.25079345703125
138,1782873451.84596,457.71575927734375
139,1782873456.2669349,-480.5132751464844
140,1782873459.902548,149.37428283691406
141,1782873465.144393,-370.66278076171875
142,1782873468.350694,-10.014460563659668
143,1782873476.5262926,-578.3899536132812
144,1782873481.3341722,529.420166015625
145,1782873487.1184897,-335.3800354003906
