step,wall_time,value
0,1782872786.500306,-23.779983520507812
1,1782872790.568191,-14.467976570129395
2,1782872794.8174496,-24.50066375732422
3,1782872799.9819741,-21.975343704223633
4,1782872814.5313313,-22.638702392578125
5,1782872818.4528272,-44.52661895751953
6,1782872825.5288112,-22.538297653198242
7,1782872833.4043005,-26.110979080200195
8,1782872837.0995398,-35.87771224975586
9,1782872842.8852336,-22.976037979125977
10,1782872849.6085982,-44.02116012573242
11,1782872853.4424927,-46.897125244140625
12,1782872858.5557382,-22.346208572387695
13,1782872864.8568552,-23.125667572021484
14,1782872868.8334556,-23.06667709350586
15,1782872879.0547247,-22.816062927246094
16,1782872881.784643,-30.89299964904785
17,1782872889.8021324,-23.62638282775879
18,1782872892.7548354,-22.989917755126953
19,1782872896.057004,-34.68014144897461
20,1782872903.24318,-150.16387939453125
21,1782872908.501773,-22.512989044189453
22,1782872911.5361333,-23.00686264038086
23,1782872914.555075,-22.685932159423828
24,1782872920.8075554,-21.882841110229492
25,1782872924.5616224,-25.121089935302734
26,1782872927.9331882,-22.69342041015625
27,1782872932.0884194,-47.17429733276367
28,1782872936.1252642,-40.93647384643555
29,1782872939.3980548,-23.852262496948242
30,1782872944.8043778,-22.809717178344727
31,1782872952.7063978,-60.769981384277344
32,1782872958.3405757,-23.581132888793945
33,1782872967.3412244,-225.3661346435547
34,1782872969.53258,-24.9473934173584
35,1782872976.098206,-20.8266544342041
36,1782872981.746009,-22.523786544799805
37,1782872988.1129856,-30.518356323242188
38,1782872991.4990144,-23.376462936401367
39,1782872996.8893602,-22.751989364624023
40,1782873000.3005137,-26.441434860229492
41,1782873003.5153003,-23.0515079498291
42,1782873006.955478,-22.89556312561035
43,1782873014.4906468,-23.980472564697266
44,1782873019.7607367,-20.72184944152832
45,1782873025.0086193,-22.246417999267578
46,1782873028.6864536,-22.82411766052246
47,1782873032.2847888,-22.617414474487305
48,1782873040.1036956,-51.09807586669922
49,1782873042.9013863,-23.043560028076172
50,1782873048.693734,-224.38621520996094
51,1782873052.7814784,-22.140348434448242
52,1782873060.4712996,-23.022836685180664
53,1782873064.8370507,-22.57033920288086
54,1782873070.5813222,-23.56709861755371
55,1782873077.4890692,-46.93041229248047
56,1782873085.778176,-22.648998260498047
57,1782873090.346452,-35.15909957885742
58,1782873095.0526993,-48.22325134277344
59,1782873103.1692517,-24.147092819213867
60,1782873107.3584123,-39.411903381347656
61,1782873111.7491574,-40.493438720703125
62,1782873116.2650635,-40.195274353027344
63,1782873119.2137089,-22.64996337890625
64,1782873124.2640367,-22.477664947509766
65,1782873128.2530408,2.0040321350097656
66,1782873132.1580145,-23.15166664123535
67,1782873137.7464921,-225.09544372558594
68,1782873140.4793348,-22.603897094726562
69,1782873143.3578827,-22.85951042175293
70,1782873145.7579312,-23.463342666625977
71,1782873150.5421803,-45.48164749145508
72,1782873159.620634,-25.053773880004883
73,1782873162.077624,-23.55016326904297
74,1782873166.4564862,-104.6934814453125
75,1782873169.866894,-39.72637939453125
76,1782873173.3151531,-16.632749557495117
77,1782873175.5396338,-25.267911911010742
