step,wall_time,value
0,1782872786.500405,-35.0
1,1782872790.568242,0.0
2,1782872794.817638,-35.0
3,1782872799.982141,0.0
4,1782872814.531517,-35.0
5,1782872818.4529965,-35.0
6,1782872825.529013,-35.0
7,1782872833.4044235,-35.0
8,1782872837.0997236,-35.0
9,1782872842.8854477,-35.0
10,1782872849.6088037,-35.0
11,1782872853.4426796,-35.0
12,1782872858.5558748,0.0
13,1782872864.856982,-35.0
14,1782872868.833598,-35.0
15,1782872879.0548785,-35.0
16,1782872881.7848537,-35.0
17,1782872889.8022935,-35.0
18,1782872892.7549484,-35.0
19,1782872896.0571241,-35.0
20,1782872903.2433317,-35.0
21,1782872908.5019364,-35.0
22,1782872911.536278,-35.0
23,1782872914.5552363,-35.0
24,1782872920.8078375,0.0
25,1782872924.5617626,-35.0
26,1782872927.9333766,-35.0
27,1782872932.0885773,-35.0
28,1782872936.1254451,-35.0
29,1782872939.3982592,-35.0
30,1782872944.8045354,-35.0
31,1782872952.7066295,-35.0
32,1782872958.3407342,-35.0
33,1782872967.3413985,-35.0
34,1782872969.5327308,-35.0
35,1782872976.0983732,0.0
36,1782872981.7462392,-35.0
37,1782872988.1131518,-35.0
38,1782872991.4991877,-35.0
39,1782872996.8895361,-35.0
40,1782873000.300688,-35.0
41,1782873003.5155807,-35.0
42,1782873006.9556632,-35.0
43,1782873014.490803,-35.0
44,1782873019.760909,0.0
45,1782873025.0087795,0.0
46,1782873028.6866808,-35.0
47,1782873032.2850037,-35.0
48,1782873040.1039073,-35.0
49,1782873042.9015512,-35.0
50,1782873048.694002,-35.0
51,1782873052.7817087,0.0
52,1782873060.4715707,-35.0
53,1782873064.837169,-35.0
54,1782873070.5814762,-35.0
55,1782873077.4891791,-35.0
56,1782873085.7783737,-35.0
57,1782873090.346721,-35.0
58,1782873095.052865,-35.0
59,1782873103.1694362,-35.0
60,1782873107.3585885,-35.0
61,1782873111.7493024,-35.0
62,1782873116.2652142,-35.0
63,1782873119.213887,-35.0
64,1782873124.2642233,0.0
65,1782873128.253253,0.0
66,1782873132.1581817,-35.0
67,1782873137.7467134,-35.0
68,1782873140.4795573,-35.0
69,1782873143.358027,-35.0
70,1782873145.7580938,-35.0
71,1782873150.5423093,-35.0
72,1782873159.620981,-35.0
73,1782873162.077786,-35.0
74,1782873166.456645,-35.0
75,1782873169.8671322,-35.0
76,1782873173.3153317,0.0
77,1782873175.5398648,-35.0
78,1782873177.749252,-35.0
79,1782873179.9023015,-35.0
80,1782873182.950406,0.0
81,1782873187.8557122,-35.0
82,1782873191.7995598,-35.0
83,1782873195.4970055,-35.0
84,1782873199.2531905,-35.0
85,1782873202.7266684,-35.0
86,1782873209.5045757,-35.0
87,1782873213.8389132,-35.0
88,1782873217.321325,0.0
89,1782873224.8618352,-35.0
90,1782873230.3328395,-35.0
91,1782873233.855628,-35.0
92,1782873244.1032226,-35.0
93,1782873247.4528375,-35.0
94,1782873253.0534103,-35.0
95,1782873255.344593,-35.0
96,1782873259.5570517,-35.0
97,1782873271.9179542,0.0
98,1782873277.5210164,-35.0
99,1782873279.6515071,-35.0
100,1782873284.6034908,-35.0
101,1782873291.8072252,0.0
102,1782873295.4018862,-35.0
103,1782873300.5040329,-35.0
104,1782873302.6068828,-35.0
105,1782873306.0055032,-35.0
106,1782873309.053706,-35.0
107,1782873312.4056854,-35.0
108,1782873315.657453,-35.0
109,1782873319.154873,-35.0
110,1782873324.271947,-35.0
111,1782873326.7463355,-35.0
112,1782873331.3739164,-35.0
113,1782873335.1203282,-35.0
114,1782873339.5908775,-35.0
115,1782873344.1028209,-35.0
116,1782873349.4576502,-35.0
117,1782873351.6769202,-35.0
118,1782873358.0229938,-35.0
119,1782873362.6950462,-35.0
120,1782873369.330809,-35.0
121,1782873372.8583221,-35.0
122,1782873376.1210876,-35.0
123,1782873383.3613253,-35.0
124,1782873386.337536,-35.0
125,1782873389.550862,-35.0
126,1782873395.2475874,-35.0
127,1782873401.801085,-35.0
128,1782873404.2130435,-35.0
129,1782873408.5207982,-35.0
130,1782873413.9563751,0.0
131,1782873418.3893933,-35.0
132,1782873423.9633381,-35.0
133,1782873433.763394,-35.0
134,1782873437.44475,0.0
135,1782873441.1771898,-35.0
136,1782873443.3124993,-35.0
137,1782873445.8050647,-35.0
138,1782873451.8465285,0.0
139,1782873456.2702863,-35.0
140,1782873459.9029508,-35.0
141,1782873465.1450074,-35.0
142,1782873468.3511815,-35.0
143,1782873476.5267315,-35.0
144,1782873481.3346996,-35.0
145,1782873487.119165,-35.0
146,1782873491.9007576,-35.0
147,1782873499.3527074,-35.0
148,1782873503.246843,-35.0
149,1782873506.740823,-35.0
150,1782873509.082002,-35.0
151,1782873516.7193854,0.0
152,1782873523.4883978,0.0
153,1782873528.4544833,-35.0
154,1782873530.9199758,-35.0
155,1782873534.1505213,-35.0
156,1782873537.3160546,-35.0
157,1782873540.6220427,-35.0
158,1782873545.703262,-35.0
159,1782873548.2000346,-35.0
160,1782873551.6143162,-35.0
161,1782873556.4220796,-35.0
162,1782873567.4277701,-35.0
163,1782873574.6514266,-35.0
164,1782873579.4934514,-35.0
165,1782873584.5833972,-35.0
166,1782873590.2057335,-35.0
167,1782873594.5544965,-35.0
168,1782873599.4561324,-35.0
169,1782873609.3109245,-35.0
170,1782873613.7187514,-35.0
171,1782873617.4005842,-35.0
172,1782873622.477535,-35.0
173,1782873628.7034101,-35.0
174,1782873633.393087,-35.0
175,1782873636.5079675,-35.0
176,1782873644.35362,-35.0
177,1782873650.6519938,-35.0
178,1782873652.9562361,-35.0
179,1782873655.1211932,-35.0
180,1782873657.638915,0.0
181,1782873662.7491086,-35.0
182,1782873666.075652,-35.0
183,1782873668.441327,-35.0
184,1782873671.3034508,0.0
185,1782873677.4576952,-35.0
186,1782873683.4921827,0.0
187,1782873686.666825,-35.0
188,1782873692.1017408,-35.0
189,1782873694.8517773,-35.0
190,1782873699.0785222,-35.0
191,1782873708.2174191,0.0
192,1782873712.7761812,0.0
193,1782873717.7725043,-35.0
194,1782873722.4558349,-35.0
195,1782873728.2121851,-35.0
196,1782873732.293941,-35.0
197,1782873734.9505737,0.0
198,1782873737.2959702,-35.0
199,1782873740.715976,-35.0
200,1782873756.1614997,-35.0
201,1782873759.337686,-35.0
202,1782873763.1552148,-35.0
203,1782873769.2539933,-35.0
204,1782873775.910602,-35.0
205,1782873784.7809272,-35.0
206,1782873790.157596,-35.0
207,1782873794.5508444,-35.0
208,1782873802.050912,-35.0
209,1782873806.642668,-35.0
210,1782873809.241357,0.0
211,1782873819.016354,-35.0
212,1782873822.0500875,0.0
213,1782873829.0633328,-35.0
214,1782873837.2530954,-35.0
215,1782873840.6124742,-35.0
216,1782873851.3048532,0.0
217,1782873855.3587239,-35.0
218,1782873863.5054326,-35.0
219,1782873869.0530999,0.0
220,1782873873.655425,-35.0
221,1782873879.9368472,-35.0
222,1782873887.5557215,-35.0
223,1782873893.1522653,-35.0
224,1782873897.4423192,-35.0
225,1782873901.392284,-35.0
226,1782873906.535635,-35.0
227,1782873909.3662252,-35.0
228,1782873914.0994546,-35.0
229,1782873929.35624,-35.0
230,1782873933.3449519,-35.0
231,1782873935.9223628,-35.0
232,1782873938.2248473,-35.0
233,1782873950.6007032,-35.0
234,1782873954.3313122,-35.0
235,1782873957.510062,-35.0
236,1782873961.1634438,-35.0
237,1782873965.71547,-35.0
238,1782873972.0903234,-35.0
239,1782873976.8408065,-35.0
240,1782873980.7225528,-35.0
241,1782873985.6157157,-35.0
242,1782873989.7387547,-35.0
243,1782873993.8783386,-35.0
244,1782873998.8006682,-35.0
245,1782874001.8226597,-35.0
246,1782874004.6298041,-35.0
247,1782874010.849918,-35.0
248,1782874014.2378714,-35.0
249,1782874018.1210456,-35.0
250,1782874022.39559,-35.0
251,1782874030.2584941,-35.0
252,1782874040.0316806,-35.0
253,1782874043.2174826,-35.0
254,1782874050.8411264,-35.0
255,1782874056.330152,-35.0
256,1782874058.6027818,-35.0
257,1782874061.5863392,-35.0
258,1782874065.5601058,-35.0
259,1782874069.1238966,-35.0
260,1782874072.4502103,-35.0
261,1782874077.5355308,-35.0
262,1782874082.102886,-35.0
263,1782874086.1302733,-35.0
264,1782874095.2337725,-35.0
265,1782874098.76239,0.0
266,1782874102.4014852,0.0
267,1782874110.9616199,-35.0
268,1782874117.452295,-35.0
269,1782874122.4192748,-35.0
270,1782874127.1531496,-35.0
271,1782874136.4588604,-35.0
272,1782874139.3898435,-35.0
