step,wall_time,value
0,1782872786.5010326,-6.843814849853516
1,1782872790.5689442,-6.854098320007324
2,1782872794.818807,-6.849811553955078
3,1782872799.982723,-6.85317325592041
4,1782872814.532155,-6.526024341583252
5,1782872818.4534185,-7.415664196014404
6,1782872825.5297763,-6.8513360023498535
7,1782872833.4049175,-6.924373149871826
8,1782872837.100451,-6.960400581359863
9,1782872842.8862402,-6.8455915451049805
10,1782872849.6094034,-7.263854026794434
11,1782872853.443361,-7.234317302703857
12,1782872858.5562139,-6.845966815948486
13,1782872864.8573298,-6.858661651611328
14,1782872868.8340406,-6.846586227416992
15,1782872879.0556247,-6.851502418518066
16,1782872881.7854016,-6.868107795715332
17,1782872889.8028526,-6.849793910980225
18,1782872892.7552752,-6.842053413391113
19,1782872896.057518,-6.9631667137146
20,1782872903.243877,-7.081190586090088
21,1782872908.5025232,-6.852115631103516
22,1782872911.5367613,-6.8385162353515625
23,1782872914.555865,-6.850214958190918
24,1782872920.8089511,-7.002407550811768
25,1782872924.5622761,-7.2846784591674805
26,1782872927.93417,-6.841702461242676
27,1782872932.089033,-6.827611446380615
28,1782872936.1259716,-6.764327526092529
29,1782872939.39875,-6.934014320373535
30,1782872944.8050895,-6.849174499511719
31,1782872952.7075179,-6.923183917999268
32,1782872958.341304,-6.845512390136719
33,1782872967.3419485,-6.852874755859375
34,1782872969.533282,-6.8416619300842285
35,1782872976.0987856,-6.84991979598999
36,1782872981.7468657,-6.848975658416748
37,1782872988.1137502,-6.811148166656494
38,1782872991.499853,-7.04505729675293
39,1782872996.89074,-6.839713096618652
40,1782873000.30133,-6.841096878051758
41,1782873003.5160904,-6.841126918792725
42,1782873006.9562156,-6.842045307159424
43,1782873014.4913242,-6.847977161407471
44,1782873019.7614071,-6.850523471832275
45,1782873025.0092766,-6.850852966308594
46,1782873028.6873932,-6.844306945800781
47,1782873032.2862198,-6.845076560974121
48,1782873040.1044788,-7.302135467529297
49,1782873042.9019856,-6.842291831970215
50,1782873048.6945775,-6.847862243652344
51,1782873052.782072,-6.915942668914795
52,1782873060.4725518,-6.844901084899902
53,1782873064.837558,-6.849792003631592
54,1782873070.5820389,-6.885071754455566
55,1782873077.4895964,-7.183074951171875
56,1782873085.778752,-6.846872806549072
57,1782873090.3473117,-6.85409688949585
58,1782873095.0533192,-6.978541851043701
59,1782873103.1700017,-6.846556186676025
60,1782873107.3591042,-7.172077655792236
61,1782873111.7498221,-6.9937896728515625
62,1782873116.2657568,-6.992864608764648
63,1782873119.2145412,-6.840287685394287
64,1782873124.2649045,-6.8468451499938965
65,1782873128.2538772,-6.84421443939209
66,1782873132.1587977,-6.849964141845703
67,1782873137.747348,-6.851072311401367
68,1782873140.4802597,-6.84237003326416
