step,wall_time,value
0,1782872786.5007405,0.0
1,1782872790.5685797,0.0
2,1782872794.8181624,0.0
3,1782872799.9824176,0.0
4,1782872814.5318844,0.0
5,1782872818.45319,0.0
6,1782872825.52933,0.0
7,1782872833.404597,0.0
8,1782872837.100016,0.0
9,1782872842.8857741,0.0
10,1782872849.609067,0.0
11,1782872853.4430122,0.0
13,1782872864.857149,0.0
14,1782872868.8337896,0.0
15,1782872879.0552154,0.0
16,1782872881.7850745,0.0
17,1782872889.8025675,0.0
18,1782872892.7550936,0.0
19,1782872896.0572922,0.0
20,1782872903.2435844,0.0
22,1782872911.5364876,0.0
23,1782872914.5554771,0.0
24,1782872920.8089178,0.0
25,1782872924.5620139,0.0
26,1782872927.9337134,0.0
27,1782872932.0887535,0.0
28,1782872936.1257267,0.0
29,1782872939.3984997,0.0
30,1782872944.8047683,0.0
31,1782872952.7069323,0.0
32,1782872958.3409653,0.0
33,1782872967.3416312,0.0
34,1782872969.5329494,0.0
35,1782872976.098586,0.0
36,1782872981.746482,0.0
37,1782872988.1134295,-25.0
38,1782872991.4994583,0.0
39,1782872996.8898818,0.0
40,1782873000.3009427,0.0
41,1782873003.515782,0.0
42,1782873006.9559152,0.0
43,1782873014.4910266,0.0
44,1782873019.7611277,0.0
45,1782873025.0089989,0.0
46,1782873028.6869748,0.0
47,1782873032.285682,0.0
48,1782873040.104158,0.0
49,1782873042.901767,0.0
50,1782873048.694284,0.0
51,1782873052.7818832,0.0
52,1782873060.4719818,0.0
53,1782873064.8373427,0.0
54,1782873070.5817182,0.0
55,1782873077.4893491,0.0
56,1782873085.7785642,0.0
57,1782873090.346978,0.0
58,1782873095.0530782,0.0
59,1782873103.169688,0.0
60,1782873107.3588386,0.0
61,1782873111.7495463,0.0
62,1782873116.2654538,0.0
63,1782873119.2141447,0.0
64,1782873124.2645867,0.0
65,1782873128.253557,0.0
66,1782873132.1584432,0.0
67,1782873137.747009,0.0
68,1782873140.47985,0.0
69,1782873143.3582206,0.0
70,1782873145.75833,0.0
71,1782873150.5425227,0.0
72,1782873159.6217334,0.0
73,1782873162.0781054,0.0
74,1782873166.4568322,0.0
75,1782873169.8674335,0.0
76,1782873173.3155751,0.0
77,1782873175.5401812,0.0
78,1782873177.7494948,0.0
79,1782873179.9026513,0.0
81,1782873187.85576,0.0
82,1782873191.7998357,0.0
83,1782873195.4972465,0.0
84,1782873199.2536595,0.0
86,1782873209.5050178,0.0
87,1782873213.8393865,0.0
88,1782873217.3217375,0.0
89,1782873224.8621628,0.0
90,1782873230.3331017,0.0
91,1782873233.8560758,0.0
92,1782873244.108462,0.0
93,1782873247.4531174,0.0
94,1782873253.0538156,0.0
95,1782873255.3449786,0.0
96,1782873259.5573056,0.0
98,1782873277.521563,0.0
99,1782873279.6520023,0.0
100,1782873284.6039326,0.0
102,1782873295.4021444,0.0
103,1782873300.504257,0.0
104,1782873302.607161,0.0
105,1782873306.0059383,0.0
106,1782873309.053925,0.0
107,1782873312.4060555,0.0
108,1782873315.6576867,0.0
109,1782873319.154921,0.0
110,1782873324.2722588,0.0
111,1782873326.7468204,0.0
112,1782873331.3743703,0.0
113,1782873335.1206138,0.0
114,1782873339.5911267,0.0
115,1782873344.103015,0.0
116,1782873349.4579537,0.0
117,1782873351.6773639,0.0
118,1782873358.0234957,0.0
119,1782873362.7004662,0.0
120,1782873369.331064,0.0
121,1782873372.8588161,0.0
123,1782873383.3616357,0.0
124,1782873386.3380048,0.0
125,1782873389.5510309,0.0
126,1782873395.2480197,0.0
127,1782873401.8013787,0.0
128,1782873404.2135253,0.0
129,1782873408.5210378,0.0
130,1782873413.9565008,0.0
131,1782873418.3896453,0.0
132,1782873423.9637928,0.0
133,1782873433.763875,0.0
134,1782873437.444995,0.0
135,1782873441.1774669,0.0
136,1782873443.3128395,0.0
137,1782873445.8053198,0.0
138,1782873451.846779,0.0
139,1782873456.2704678,0.0
140,1782873459.9032393,0.0
141,1782873465.1453784,0.0
142,1782873468.351565,0.0
143,1782873476.5269895,0.0
144,1782873481.3351572,0.0
145,1782873487.1194437,0.0
146,1782873491.901029,0.0
147,1782873499.3529675,0.0
148,1782873503.2473114,0.0
149,1782873506.7410758,0.0
150,1782873509.0824618,0.0
151,1782873516.71967,0.0
152,1782873523.4886906,0.0
153,1782873528.4547482,0.0
154,1782873530.9204836,0.0
155,1782873534.1508882,0.0
156,1782873537.316391,0.0
157,1782873540.6222923,0.0
158,1782873545.703632,0.0
159,1782873548.2005029,0.0
160,1782873551.6197064,0.0
161,1782873556.4223607,0.0
162,1782873567.4282217,0.0
163,1782873574.6517272,0.0
164,1782873579.4935143,0.0
165,1782873584.5837903,0.0
166,1782873590.2060897,0.0
167,1782873594.554752,0.0
168,1782873599.4564216,0.0
169,1782873609.3112094,0.0
170,1782873613.7190444,0.0
171,1782873617.400823,0.0
172,1782873622.4778285,0.0
173,1782873628.7037125,0.0
174,1782873633.3935125,0.0
175,1782873636.5082743,0.0
176,1782873644.358942,0.0
178,1782873652.9565465,0.0
179,1782873655.121638,0.0
180,1782873657.6394145,0.0
181,1782873662.7546985,0.0
183,1782873668.4416635,0.0
184,1782873671.3037534,0.0
185,1782873677.4580343,0.0
187,1782873686.6672895,0.0
188,1782873692.1021702,0.0
189,1782873694.8522475,0.0
190,1782873699.0788417,0.0
191,1782873708.2177835,0.0
192,1782873712.776452,0.0
193,1782873717.772922,0.0
194,1782873722.4558842,0.0
195,1782873728.2125447,0.0
196,1782873732.294222,0.0
197,1782873734.9510446,0.0
198,1782873737.2962267,0.0
199,1782873740.7162223,0.0
200,1782873756.1617403,0.0
201,1782873759.337946,0.0
202,1782873763.155454,0.0
203,1782873769.2542403,0.0
204,1782873775.910832,0.0
206,1782873790.1578476,0.0
207,1782873794.551152,0.0
208,1782873802.0511608,0.0
209,1782873806.6429398,0.0
210,1782873809.2416363,0.0
211,1782873819.016611,0.0
212,1782873822.0504391,0.0
213,1782873829.063667,0.0
214,1782873837.2533703,0.0
215,1782873840.6127498,0.0
216,1782873851.3105834,0.0
217,1782873855.3589704,0.0
218,1782873863.505724,0.0
219,1782873869.0533752,0.0
220,1782873873.6557908,0.0
221,1782873879.9371288,0.0
222,1782873887.5559256,0.0
223,1782873893.15257,0.0
224,1782873897.4426954,0.0
225,1782873901.3926065,0.0
226,1782873906.5358634,0.0
227,1782873909.366506,0.0
228,1782873914.0996609,0.0
229,1782873929.356585,0.0
230,1782873933.345168,0.0
231,1782873935.9226127,0.0
232,1782873938.2251403,0.0
233,1782873950.601027,0.0
234,1782873954.3315105,0.0
235,1782873957.5103147,0.0
236,1782873961.1636822,0.0
237,1782873965.715731,0.0
238,1782873972.0905383,0.0
239,1782873976.8410418,0.0
240,1782873980.7227433,0.0
241,1782873985.6160696,0.0
242,1782873989.738944,0.0
243,1782873993.878565,0.0
244,1782873998.8008232,0.0
245,1782874001.8228562,0.0
246,1782874004.6350784,0.0
247,1782874010.8502445,0.0
248,1782874014.2382197,0.0
249,1782874018.12138,0.0
250,1782874022.3957562,0.0
251,1782874030.2588367,0.0
252,1782874040.0319312,0.0
253,1782874043.2177482,0.0
254,1782874050.8414693,0.0
255,1782874056.3304412,0.0
256,1782874058.603069,0.0
257,1782874061.586539,0.0
258,1782874065.5604992,0.0
259,1782874069.124258,0.0
260,1782874072.4505618,0.0
261,1782874077.5356982,0.0
262,1782874082.1031406,0.0
263,1782874086.1304514,0.0
264,1782874095.2340767,0.0
265,1782874098.7626982,0.0
266,1782874102.4018204,0.0
267,1782874110.9620664,0.0
268,1782874117.4526782,0.0
269,1782874122.4195197,0.0
270,1782874127.1534276,0.0
271,1782874136.4593375,0.0
272,1782874139.390117,0.0
273,1782874145.962255,0.0
274,1782874149.897986,0.0
275,1782874155.9014394,0.0
276,1782874159.613446,0.0
277,1782874168.2008204,0.0
278,1782874173.65177,0.0
279,1782874176.0878003,0.0
280,1782874179.4270253,0.0
281,1782874187.6536,0.0
282,1782874192.2509181,0.0
283,1782874197.398816,0.0
284,1782874208.6120133,0.0
285,1782874213.7558038,0.0
287,1782874226.206787,0.0
