step,wall_time,value
45,1782872786.5001628,-49.345951080322266
115,1782872790.5681012,570.3635864257812
189,1782872794.8171146,-386.0001220703125
272,1782872799.981752,-251.74923706054688
554,1782872814.5310915,-1500.39794921875
621,1782872818.4526517,-504.2294616699219
752,1782872825.5285878,28.665462493896484
895,1782872833.404174,-334.23504638671875
955,1782872837.099363,-318.9442443847656
1057,1782872842.885032,492.0638732910156
1177,1782872849.60846,-770.9677734375
1240,1782872853.442281,-441.3207092285156
1329,1782872858.5555377,-272.0140686035156
1444,1782872864.8566759,-404.37353515625
1515,1782872868.8332705,-511.9223327636719
1710,1782872879.0546029,908.9977416992188
1754,1782872881.7844372,-257.9559020996094
1903,1782872889.802009,-622.0015869140625
1953,1782872892.7547185,-399.372802734375
2010,1782872896.0568864,-186.95997619628906
2144,1782872903.243038,-736.7916870117188
2236,1782872908.5016048,300.9689636230469
2281,1782872911.5359476,-142.12237548828125
2331,1782872914.5549042,111.45928192138672
2444,1782872920.8073044,458.4775390625
2509,1782872924.5614538,-502.0644836425781
2561,1782872927.933032,-18.57654571533203
2628,1782872932.088247,-218.7742919921875
2695,1782872936.1250803,-385.93975830078125
2747,1782872939.397799,182.5349578857422
2840,1782872944.8041942,-84.81060791015625
2985,1782872952.7061954,-1256.0941162109375
3088,1782872958.3404074,315.5774841308594
3259,1782872967.3410532,-1251.0643310546875
3295,1782872969.5323756,-389.9914855957031
3414,1782872976.0980396,-781.51220703125
3513,1782872981.7458847,-242.35751342773438
3626,1782872988.1127715,-560.3109130859375
3680,1782872991.4988127,-455.2756652832031
3775,1782872996.8891494,-353.87664794921875
3832,1782873000.3003016,-326.7359619140625
3885,1782873003.5150998,-393.1819152832031
3945,1782873006.9552596,-415.71575927734375
4088,1782873014.4904783,-188.9883270263672
4186,1782873019.7605665,-980.3051147460938
4282,1782873025.008486,-72.65684509277344
4341,1782873028.6862414,194.62889099121094
4397,1782873032.284571,87.883056640625
4540,1782873040.1034632,-451.08612060546875
4585,1782873042.9011867,-56.084129333496094
4688,1782873048.6935396,-1036.6065673828125
4760,1782873052.781271,-245.39756774902344
4904,1782873060.4709055,-749.0127563476562
4984,1782873064.8369336,80.31914520263672
5090,1782873070.5811908,-1073.34423828125
5217,1782873077.488949,-362.123779296875
5368,1782873085.7779863,-288.2506408691406
5441,1782873090.3462412,134.17713928222656
5518,1782873095.0524871,18.626850128173828
5668,1782873103.1690547,-463.7830810546875
5740,1782873107.358225,-275.06341552734375
5814,1782873111.7489972,-426.7518005371094
5891,1782873116.2649047,-203.79869079589844
5935,1782873119.2135239,-499.6612548828125
6020,1782873124.2638772,119.58731842041016
