step,wall_time,value
0,1782872786.500823,0.0
1,1782872790.5686917,0.0
2,1782872794.8183036,0.0
3,1782872799.9825108,0.0
4,1782872814.5319514,0.0
5,1782872818.4532459,0.0
6,1782872825.529442,0.0
7,1782872833.4046733,0.0
8,1782872837.1001256,0.0
9,1782872842.8859026,0.0
10,1782872849.6091626,0.0
11,1782872853.443124,0.0
12,1782872858.556057,0.0
13,1782872864.8571947,0.0
14,1782872868.833866,0.0
15,1782872879.0553265,0.0
16,1782872881.7851577,0.0
17,1782872889.8026454,0.0
18,1782872892.75514,0.0
19,1782872896.0573418,0.0
20,1782872903.2436626,0.0
21,1782872908.5022664,0.0
22,1782872911.5365632,0.0
23,1782872914.5555568,0.0
24,1782872920.808928,0.0
25,1782872924.5620406,0.0
26,1782872927.9338617,0.0
27,1782872932.0888162,0.0
28,1782872936.125798,0.0
29,1782872939.3985884,0.0
30,1782872944.8048491,0.0
31,1782872952.7070472,0.0
32,1782872958.341047,0.0
33,1782872967.3417125,0.0
34,1782872969.5330355,0.0
35,1782872976.0986433,0.0
36,1782872981.7465594,0.0
37,1782872988.1135094,0.0
38,1782872991.4995568,0.0
39,1782872996.890677,0.0
40,1782873000.3010817,0.0
41,1782873003.5158315,0.0
42,1782873006.9559946,0.0
43,1782873014.491104,0.0
44,1782873019.761225,0.0
45,1782873025.009104,0.0
46,1782873028.687076,0.0
47,1782873032.2857985,0.0
48,1782873040.104241,0.0
49,1782873042.9018261,0.0
50,1782873048.6943657,0.0
51,1782873052.7819324,0.0
52,1782873060.472137,0.0
53,1782873064.8374057,0.0
54,1782873070.581804,0.0
55,1782873077.4894004,0.0
56,1782873085.778613,0.0
57,1782873090.3470612,0.0
58,1782873095.0531414,0.0
59,1782873103.1697662,0.0
60,1782873107.3589242,0.0
61,1782873111.7496173,0.0
62,1782873116.2655323,0.0
63,1782873119.2142305,0.0
64,1782873124.2646747,0.0
65,1782873128.2536478,0.0
66,1782873132.1585336,0.0
67,1782873137.7471008,0.0
68,1782873140.479944,0.0
69,1782873143.3582773,0.0
70,1782873145.7584476,0.0
71,1782873150.542609,0.0
72,1782873159.621754,0.0
73,1782873162.078173,0.0
74,1782873166.456897,0.0
75,1782873169.8674436,0.0
76,1782873173.3156502,0.0
77,1782873175.5402749,0.0
78,1782873177.7496786,0.0
79,1782873179.902746,0.0
80,1782873182.9506252,0.0
81,1782873187.8558526,0.0
82,1782873191.7999287,0.0
83,1782873195.4973364,0.0
84,1782873199.2538476,0.0
85,1782873202.726908,0.0
86,1782873209.5051143,0.0
87,1782873213.8395507,0.0
88,1782873217.3219478,0.0
89,1782873224.8623965,0.0
90,1782873230.3331816,0.0
91,1782873233.8562145,0.0
92,1782873244.1086106,0.0
93,1782873247.4532008,0.0
94,1782873253.0539715,0.0
95,1782873255.3450706,0.0
96,1782873259.557467,0.0
97,1782873271.918313,0.0
98,1782873277.5218155,0.0
99,1782873279.6521177,0.0
100,1782873284.6041033,0.0
101,1782873291.8074918,0.0
102,1782873295.402239,0.0
103,1782873300.5043068,0.0
104,1782873302.607281,0.0
105,1782873306.0062046,0.0
106,1782873309.053998,0.0
107,1782873312.4062204,0.0
108,1782873315.6577978,0.0
109,1782873319.1549394,0.0
110,1782873324.2724035,0.0
111,1782873326.747028,0.0
112,1782873331.3744957,0.0
113,1782873335.1207066,0.0
114,1782873339.5913043,0.0
115,1782873344.1030874,0.0
116,1782873349.4581132,0.0
117,1782873351.6775436,0.0
118,1782873358.0237198,0.0
119,1782873362.7006116,0.0
120,1782873369.3311625,0.0
121,1782873372.8590221,0.0
122,1782873376.1213338,0.0
123,1782873383.3617547,0.0
124,1782873386.3382192,0.0
125,1782873389.5510979,0.0
126,1782873395.248228,0.0
127,1782873401.8014853,0.0
128,1782873404.2137456,0.0
129,1782873408.5211475,0.0
130,1782873413.9565732,0.0
131,1782873418.389754,0.0
132,1782873423.9639966,0.0
