step,wall_time,value
0,1782872786.500896,0.0
1,1782872790.5687792,0.0
2,1782872794.8184865,0.0
3,1782872799.9825878,-30.0
4,1782872814.5320137,0.0
5,1782872818.4532983,0.0
6,1782872825.5295362,0.0
7,1782872833.4047601,0.0
8,1782872837.1002321,-30.0
9,1782872842.8860254,0.0
10,1782872849.6092482,0.0
11,1782872853.443208,0.0
12,1782872858.55611,-30.0
13,1782872864.8572407,0.0
14,1782872868.8339283,0.0
15,1782872879.0554318,0.0
16,1782872881.785231,-30.0
17,1782872889.802721,0.0
18,1782872892.7551858,0.0
19,1782872896.057415,0.0
20,1782872903.2437346,0.0
21,1782872908.5023537,0.0
22,1782872911.536644,0.0
23,1782872914.5556731,0.0
24,1782872920.8089356,-30.0
25,1782872924.5621245,0.0
26,1782872927.9339845,0.0
27,1782872932.088878,0.0
28,1782872936.125856,0.0
29,1782872939.398649,0.0
30,1782872944.8049247,0.0
31,1782872952.707188,0.0
32,1782872958.3411462,0.0
33,1782872967.34179,0.0
34,1782872969.5331202,0.0
35,1782872976.098693,-30.0
36,1782872981.746632,-30.0
37,1782872988.113601,-30.0
38,1782872991.4996724,0.0
39,1782872996.8907068,0.0
40,1782873000.3011749,0.0
41,1782873003.5159378,0.0
42,1782873006.9560714,0.0
43,1782873014.491179,0.0
44,1782873019.7612796,-30.0
45,1782873025.0091763,-30.0
46,1782873028.6871848,0.0
47,1782873032.2859032,0.0
48,1782873040.104302,0.0
49,1782873042.9018795,0.0
50,1782873048.6944413,0.0
51,1782873052.7819805,-30.0
52,1782873060.4722762,0.0
53,1782873064.8374608,0.0
54,1782873070.5818818,0.0
55,1782873077.4894476,0.0
56,1782873085.778659,0.0
57,1782873090.3471432,0.0
58,1782873095.053201,0.0
59,1782873103.16984,0.0
60,1782873107.359006,0.0
61,1782873111.7496908,0.0
62,1782873116.2656133,0.0
63,1782873119.2143135,0.0
64,1782873124.2647555,-30.0
65,1782873128.253736,-30.0
66,1782873132.1586227,0.0
67,1782873137.747184,0.0
68,1782873140.4800537,0.0
69,1782873143.358329,0.0
70,1782873145.758514,0.0
71,1782873150.5426896,0.0
72,1782873159.621766,0.0
73,1782873162.07825,0.0
74,1782873166.4569523,0.0
75,1782873169.8675132,-30.0
76,1782873173.3157063,-30.0
77,1782873175.540373,0.0
78,1782873177.7498558,0.0
79,1782873179.9028141,0.0
80,1782873182.9506931,-30.0
81,1782873187.8559349,0.0
82,1782873191.800014,0.0
