step,wall_time,value
0,1782872786.5003297,2.097276449203491
1,1782872790.568204,2.747220754623413
2,1782872794.817492,1.7277708053588867
3,1782872799.9819887,-24.0
4,1782872814.5313616,4.0
5,1782872818.4528418,-24.0
6,1782872825.5288246,3.2085933685302734
7,1782872833.4043083,3.981745958328247
8,1782872837.0995529,-24.0
9,1782872842.8852475,3.629380941390991
10,1782872849.608609,-24.0
11,1782872853.4425068,-24.0
12,1782872858.5557468,-24.0
13,1782872864.856869,3.72861909866333
14,1782872868.8334708,2.0
15,1782872879.0547328,2.0
16,1782872881.7846649,-24.0
17,1782872889.8021407,2.666485071182251
18,1782872892.754843,1.3184791803359985
19,1782872896.0570123,3.079408884048462
20,1782872903.24319,-24.0
21,1782872908.5017815,4.0
22,1782872911.5361474,2.964170217514038
23,1782872914.555089,3.9249684810638428
24,1782872920.8075714,-24.0
25,1782872924.5616348,-24.0
26,1782872927.933197,2.0
27,1782872932.0884337,-24.0
28,1782872936.1252782,-24.0
29,1782872939.3980808,2.821465492248535
30,1782872944.804391,4.0
31,1782872952.7064147,2.0
32,1782872958.3405893,1.9795068502426147
33,1782872967.3412366,-24.0
34,1782872969.5325935,3.7421536445617676
35,1782872976.0982165,-24.0
36,1782872981.7460167,-24.0
37,1782872988.1130002,-24.0
38,1782872991.4990304,1.089900016784668
39,1782872996.8893795,3.934541940689087
40,1782873000.300529,2.0
41,1782873003.5153117,2.7865724563598633
42,1782873006.9554906,1.8692491054534912
43,1782873014.4906607,1.7000981569290161
44,1782873019.7607496,-24.0
45,1782873025.008629,-24.0
46,1782873028.6864681,2.0
47,1782873032.2848036,3.8370184898376465
48,1782873040.103709,-24.0
49,1782873042.9014046,3.5481443405151367
50,1782873048.69375,-24.0
51,1782873052.7814965,-24.0
52,1782873060.471326,3.5759775638580322
53,1782873064.837058,2.0
54,1782873070.5813313,2.7790989875793457
55,1782873077.4890783,-24.0
56,1782873085.7781918,2.0
57,1782873090.3464653,3.2034709453582764
