step,wall_time,value
0,1782781154.4928093,5.071428290648328e-07
1,1782781158.2475963,9.571429018251365e-07
2,1782781163.5268126,1.6285714536934393e-06
3,1782781172.0627613,2.7000000955013093e-06
4,1782781177.110144,3.364285703355563e-06
5,1782781180.8924758,3.828571607300546e-06
6,1782781185.1409583,4.357142643129919e-06
7,1782781189.4012835,4.878571417066269e-06
8,1782781193.395979,5.34999981027795e-06
9,1782781198.253425,5.9642857195285615e-06
10,1782781203.6460245,6.642856988037238e-06
11,1782781208.4977508,7.250000180647476e-06
12,1782781210.9384944,7.507142981921788e-06
13,1782781219.1493278,8.614285434305202e-06
14,1782781222.7412145,9.064286132343113e-06
15,1782781228.486208,9.800000043469481e-06
16,1782781240.962302,1.1485713912406936e-05
17,1782781245.1579254,1.2000000424450263e-05
18,1782781252.979896,1.3042857062828261e-05
19,1782781256.3858507,1.3471428246702999e-05
20,1782781261.1904411,1.4085714610700961e-05
21,1782781264.8575737,1.453571439924417e-05
22,1782781272.7065558,1.557857103762217e-05
23,1782781276.5772908,1.6057143511716276e-05
24,1782781283.306394,1.69285722222412e-05
25,1782781288.5586514,1.7585714886081405e-05
26,1782781292.3362505,1.804999919841066e-05
27,1782781295.2510767,1.839285687310621e-05
28,1782781303.4926348,1.9499999325489625e-05
29,1782781306.2390258,1.9828570657409728e-05
30,1782781309.7085388,2.026428592216689e-05
31,1782781314.605979,2.08928577194456e-05
32,1782781317.9601355,2.1314284822437912e-05
33,1782781325.2656462,2.2292857465799898e-05
34,1782781328.1370971,2.264285649289377e-05
35,1782781338.1779938,2.4014285372686572e-05
36,1782781342.5581236,2.4571429094066843e-05
37,1782781346.82091,2.5100000129896216e-05
38,1782781351.2580717,2.5650000679888763e-05
39,1782781356.5492504,2.6328571038902737e-05
40,1782781359.6652708,2.6699999580159783e-05
41,1782781362.7099214,2.7057143597630784e-05
42,1782781366.8427067,2.7578571462072432e-05
43,1782781370.7501645,2.806428528856486e-05
44,1782781374.6064003,2.8535714591271244e-05
45,1782781378.89579,2.907142879848834e-05
46,1782781382.5361662,2.95071422442561e-05
47,1782781385.0594847,2.980714270961471e-05
48,1782781388.8603065,3.0285715183708817e-05
49,1782781392.4919162,3.07285699818749e-05
50,1782781399.793145,3.1707142625236884e-05
51,1782781404.7312696,3.232142989872955e-05
52,1782781410.1237588,3.3007141610141844e-05
53,1782781413.0064664,3.3349999284837395e-05
54,1782781417.174708,3.387857213965617e-05
55,1782781420.5393317,3.428571289987303e-05
56,1782781426.085477,3.5007142287213355e-05
57,1782781437.4975522,3.654285683296621e-05
58,1782781446.2245967,3.770714465645142e-05
59,1782781451.7500584,3.842142905341461e-05
60,1782781460.3939118,3.957142689614557e-05
61,1782781466.9170926,4.039999839733355e-05
62,1782781470.0449345,4.079285645275377e-05
63,1782781477.8539443,4.182142947684042e-05
64,1782781481.1149278,4.2192856199108064e-05
65,1782781484.9878204,4.267142867320217e-05
66,1782781488.5903375,4.310714211896993e-05
67,1782781492.2461746,4.355714190751314e-05
68,1782781496.353015,4.408571476233192e-05
69,1782781500.9324646,4.4671429350273684e-05
70,1782781504.5299866,4.5114284148439765e-05
71,1782781512.2123287,4.61071431345772e-05
72,1782781520.0033224,4.7128571168286726e-05
73,1782781522.7922566,4.745000114780851e-05
74,1782781526.1621091,4.784285556524992e-05
75,1782781529.2348218,4.81928582303226e-05
76,1782781531.8025858,4.8499998229090124e-05
77,1782781536.3390226,4.908571281703189e-05
78,1782781542.1022227,4.983571488992311e-05
79,1782781546.8495226,5.0442857173038647e-05
80,1782781550.1003609,5.082142888568342e-05
81,1782781557.6224263,5.1792856538668275e-05
82,1782781563.6375525,5.2600000344682485e-05
83,1782781571.1970916,5.362856973079033e-05
84,1782781576.2921882,5.4285716032609344e-05
85,1782781580.6995072,5.483571294462308e-05
86,1782781588.2565308,5.584285827353597e-05
87,1782781590.473363,5.610714288195595e-05
88,1782781596.116659,5.6849999964470044e-05
89,1782781600.1135697,5.737142782891169e-05
90,1782781604.605231,5.794285607407801e-05
91,1782781609.7009115,5.858571603312157e-05
92,1782781612.2576852,5.8907142374664545e-05
93,1782781619.7804136,5.992857040837407e-05
94,1782781622.4073775,6.025000038789585e-05
95,1782781627.7107675,6.0942857089685276e-05
96,1782781631.184519,6.136428419267759e-05
97,1782781639.30465,6.245000258786604e-05
98,1782781643.3000035,6.294999911915511e-05
99,1782781647.4675837,6.347143062157556e-05
100,1782781651.0891747,6.391428905772045e-05
101,1782781659.091445,6.497142749140039e-05
102,1782781663.918141,6.560714246006683e-05
103,1782781666.668453,6.594285514438525e-05
