step,wall_time,value
0,1782781154.4927943,71.0
1,1782781158.2475781,63.0
2,1782781163.5267973,94.0
3,1782781172.0627427,150.0
4,1782781177.110125,93.0
5,1782781180.8924575,65.0
6,1782781185.1409307,74.0
7,1782781189.401269,73.0
8,1782781193.3959684,66.0
9,1782781198.253414,86.0
10,1782781203.646008,95.0
11,1782781208.4977334,85.0
12,1782781210.9384768,36.0
13,1782781219.1493125,155.0
14,1782781222.7411969,63.0
15,1782781228.4861877,103.0
16,1782781240.9622836,236.0
17,1782781245.1579049,72.0
18,1782781252.9798748,146.0
19,1782781256.385813,60.0
20,1782781261.1904202,86.0
21,1782781264.8575563,63.0
22,1782781272.706539,146.0
23,1782781276.5772693,67.0
24,1782781283.306379,122.0
25,1782781288.5586429,92.0
26,1782781292.3362331,65.0
27,1782781295.2510595,48.0
28,1782781303.4926171,155.0
29,1782781306.2390082,46.0
30,1782781309.708521,61.0
31,1782781314.6059597,88.0
32,1782781317.9601192,59.0
33,1782781325.2656279,137.0
34,1782781328.1370895,49.0
35,1782781338.1779716,192.0
36,1782781342.5581038,78.0
37,1782781346.820895,74.0
38,1782781351.2580535,77.0
39,1782781356.5492334,95.0
40,1782781359.6652534,52.0
41,1782781362.7099035,50.0
42,1782781366.842688,73.0
43,1782781370.7501466,68.0
44,1782781374.6063821,66.0
45,1782781378.8957703,75.0
46,1782781382.5361483,61.0
47,1782781385.0594661,42.0
48,1782781388.860295,67.0
49,1782781392.4919004,62.0
50,1782781399.7931278,137.0
51,1782781404.7312546,86.0
52,1782781410.1237414,96.0
53,1782781413.00645,48.0
54,1782781417.1746898,74.0
55,1782781420.539318,57.0
56,1782781426.0854595,101.0
57,1782781437.497538,215.0
58,1782781446.22458,163.0
59,1782781451.7500415,100.0
60,1782781460.3938935,161.0
61,1782781466.9170752,116.0
62,1782781470.0449245,55.0
63,1782781477.8539302,144.0
64,1782781481.1149123,52.0
65,1782781484.9878032,67.0
66,1782781488.5903208,61.0
67,1782781492.2461584,63.0
68,1782781496.3529954,74.0
69,1782781500.9324472,82.0
70,1782781504.5299702,62.0
71,1782781512.212309,139.0
72,1782781520.003306,143.0
73,1782781522.792243,45.0
74,1782781526.1620936,55.0
75,1782781529.2348044,49.0
76,1782781531.8025682,43.0
77,1782781536.3390026,82.0
78,1782781542.102201,105.0
79,1782781546.849505,85.0
80,1782781550.1003468,53.0
81,1782781557.62241,136.0
82,1782781563.637536,113.0
83,1782781571.197075,144.0
84,1782781576.2921705,92.0
85,1782781580.6994882,77.0
86,1782781588.2565138,141.0
87,1782781590.4733474,37.0
88,1782781596.1166432,104.0
89,1782781600.1135511,73.0
90,1782781604.6052134,80.0
91,1782781609.7008944,90.0
92,1782781612.257669,45.0
93,1782781619.7803953,143.0
94,1782781622.4073606,45.0
95,1782781627.7107494,97.0
96,1782781631.1845021,59.0
97,1782781639.3046336,152.0
98,1782781643.299988,70.0
99,1782781647.4675648,73.0
100,1782781651.0891583,62.0
101,1782781659.091437,148.0
102,1782781663.9181242,89.0
103,1782781666.6684358,47.0
104,1782781674.754357,152.0
105,1782781684.6672347,189.0
106,1782781687.9822838,57.0
107,1782781692.2334664,76.0
108,1782781697.950652,106.0
109,1782781701.7805405,68.0
110,1782781707.2335145,98.0
111,1782781711.0322478,63.0
112,1782781712.760084,24.0
113,1782781715.1789627,40.0
114,1782781718.2560186,46.0
115,1782781723.080221,85.0
116,1782781727.3414662,72.0
117,1782781730.377406,52.0
118,1782781732.5902736,34.0
119,1782781736.1927,63.0
120,1782781740.6886902,81.0
121,1782781744.9644976,71.0
122,1782781750.2501466,92.0
123,1782781752.6923118,39.0
124,1782781755.9187217,51.0
125,1782781757.9859748,31.0
126,1782781760.8035486,46.0
127,1782781765.6074228,85.0
128,1782781771.1193566,95.0
129,1782781775.111072,67.0
130,1782781777.4591303,37.0
131,1782781779.534046,28.0
132,1782781783.75193,73.0
133,1782781785.048737,17.0
134,1782781790.1276789,91.0
135,1782781791.93279,25.0
136,1782781795.4614632,60.0
137,1782781798.6336393,52.0
138,1782781799.9980843,18.0
139,1782781802.0918357,30.0
140,1782781805.9508572,65.0
141,1782781808.6054652,41.0
142,1782781812.742087,72.0
143,1782781815.3181462,41.0
144,1782781817.4979792,32.0
145,1782781821.444759,67.0
146,1782781823.2505715,27.0
147,1782781826.5965848,57.0
148,1782781828.7739286,33.0
149,1782781830.215851,17.0
150,1782781831.7701068,22.0
151,1782781833.5379539,23.0
152,1782781838.4941292,89.0
153,1782781840.3968582,27.0
154,1782781842.606808,33.0
155,1782781846.044081,55.0
156,1782781847.8811717,23.0
157,1782781851.9468129,71.0
158,1782781853.8755636,28.0
159,1782781857.2729058,57.0
160,1782781861.4845788,74.0
161,1782781865.4781606,69.0
162,1782781869.794194,75.0
163,1782781874.3482897,84.0
164,1782781877.5137086,55.0
165,1782781882.8305962,94.0
166,1782781884.3740425,17.0
167,1782781893.9276862,181.0
168,1782781896.6085608,47.0
169,1782781900.2324226,62.0
170,1782781904.8003316,82.0
171,1782781906.2587888,17.0
172,1782781907.818161,20.0
173,1782781910.2463777,39.0
174,1782781911.5964277,17.0
175,1782781913.0222602,17.0
176,1782781917.5381513,80.0
177,1782781922.0635586,80.0
178,1782781928.2174797,114.0
179,1782781930.092961,27.0
180,1782781931.8635538,23.0
181,1782781934.0383554,30.0
182,1782781935.6120179,21.0
183,1782781939.940619,77.0
184,1782781945.1467223,92.0
185,1782781947.1271598,31.0
186,1782781950.2858996,52.0
187,1782781955.1044102,85.0
188,1782781959.8882153,86.0
189,1782781961.639116,24.0
190,1782781966.7430627,89.0
191,1782781968.7828236,25.0
192,1782781970.612158,24.0
193,1782781971.9799726,18.0
194,1782781976.5967963,82.0
195,1782781979.177428,41.0
196,1782781983.4216602,73.0
197,1782781986.8364077,57.0
198,1782781988.7470326,26.0
199,1782781991.4948554,40.0
200,1782781993.5820923,26.0
201,1782781997.7226446,63.0
202,1782782000.2484992,34.0
203,1782782002.8484247,40.0
204,1782782007.5480626,80.0
205,1782782009.708817,30.0
206,1782782011.7092712,28.0
207,1782782015.0547771,56.0
208,1782782017.8696191,44.0
209,1782782019.5991006,24.0
210,1782782024.1730454,79.0
211,1782782026.2554688,25.0
212,1782782029.7929811,57.0
213,1782782036.2190537,115.0
214,1782782044.860511,159.0
215,1782782046.6338923,24.0
216,1782782054.5626025,146.0
217,1782782057.86471,54.0
218,1782782060.9730012,46.0
219,1782782064.4559522,53.0
220,1782782067.824765,51.0
221,1782782070.1065524,30.0
222,1782782075.1164072,88.0
223,1782782077.3768554,28.0
224,1782782079.435959,27.0
225,1782782089.1102347,181.0
226,1782782094.9987106,104.0
227,1782782098.1366162,52.0
228,1782782101.8824105,59.0
229,1782782103.7009525,25.0
230,1782782105.8550184,31.0
231,1782782108.6892567,42.0
232,1782782113.0552967,75.0
233,1782782114.9856148,25.0
234,1782782116.8338127,25.0
235,1782782118.8989837,29.0
236,1782782120.574125,22.0
237,1782782122.101254,20.0
238,1782782127.0130978,82.0
239,1782782132.0025175,84.0
240,1782782136.588855,75.0
241,1782782138.5898237,24.0
242,1782782142.3288589,61.0
243,1782782144.390843,28.0
244,1782782149.3869858,87.0
245,1782782151.3366325,27.0
246,1782782154.0917878,44.0
247,1782782156.2160742,31.0
248,1782782158.1524632,27.0
249,1782782162.1122637,66.0
250,1782782164.887823,44.0
251,1782782176.5843253,216.0
252,1782782180.3232765,61.0
253,1782782182.4114943,28.0
254,1782782185.905237,59.0
255,1782782191.15191,94.0
256,1782782193.5221303,35.0
257,1782782202.048204,157.0
258,1782782203.8993268,24.0
259,1782782207.2007294,54.0
