step,wall_time,value
3,1782781172.062937,1.5696035623550415
4,1782781177.1103432,1.564589262008667
5,1782781180.8926694,1.5831494331359863
6,1782781185.1411765,1.5359342098236084
7,1782781189.4014487,1.4257479906082153
8,1782781193.3961098,1.3467849493026733
9,1782781198.2535627,1.29574716091156
10,1782781203.6461816,1.1358193159103394
11,1782781208.497976,1.0098481178283691
12,1782781210.9386818,0.9968178272247314
13,1782781219.1494815,1.009857177734375
14,1782781222.7414105,0.9951454997062683
15,1782781228.4864218,0.9384967684745789
16,1782781240.962518,0.8883005380630493
17,1782781245.1581128,0.839190661907196
18,1782781252.9800858,0.7893369197845459
19,1782781256.3860426,0.8011341094970703
20,1782781261.1906295,0.810810387134552
21,1782781264.8577676,0.7898858189582825
22,1782781272.706744,0.8317511677742004
23,1782781276.5774827,0.8598107695579529
24,1782781283.3065562,0.825158953666687
25,1782781288.5588164,0.8967216610908508
26,1782781292.3364391,0.8616818785667419
27,1782781295.2512622,0.8111006021499634
28,1782781303.4928157,0.8650109171867371
29,1782781306.239208,0.8715933561325073
30,1782781309.7087297,0.8810606002807617
31,1782781314.6061933,0.8866357803344727
32,1782781317.9603136,0.869520902633667
33,1782781325.265845,0.8847455382347107
34,1782781328.1372044,0.9222275614738464
35,1782781338.178185,0.9075025320053101
36,1782781342.5583098,0.9298798441886902
37,1782781346.8210793,0.9460638761520386
38,1782781351.258273,0.9067991375923157
39,1782781356.54945,0.8925600051879883
40,1782781359.66545,0.9207146763801575
41,1782781362.7101061,0.9263626933097839
42,1782781366.8433871,0.8906419277191162
43,1782781370.7503543,0.9395663738250732
44,1782781374.6065915,0.9428874254226685
45,1782781378.8960114,0.9091878533363342
46,1782781382.536382,0.9475025534629822
47,1782781385.0596795,0.9654115438461304
48,1782781388.86047,0.9763122200965881
49,1782781392.4920678,1.0126672983169556
50,1782781399.7933352,0.9705289006233215
51,1782781404.7314372,0.9653575420379639
52,1782781410.1239684,1.0006619691848755
53,1782781413.0066445,0.8453772664070129
54,1782781417.1749163,1.0159841775894165
55,1782781420.5394816,1.0257066488265991
56,1782781426.0856643,1.0284507274627686
57,1782781437.4977195,1.0311623811721802
58,1782781446.2247806,1.0740251541137695
59,1782781451.7502444,1.0994398593902588
60,1782781460.3941357,1.097311019897461
61,1782781466.9172966,1.1371723413467407
62,1782781470.0450583,1.0954035520553589
63,1782781477.8541086,1.1459131240844727
64,1782781481.1150973,1.2239269018173218
65,1782781484.988015,1.1628882884979248
66,1782781488.5905068,1.2280365228652954
67,1782781492.2463503,1.270249843597412
68,1782781496.3532002,1.2197555303573608
69,1782781500.9326553,1.308473825454712
70,1782781504.5301774,1.2879283428192139
