step,wall_time,value
0,1782781154.4929194,0.0
1,1782781158.247698,-50.0
2,1782781163.5269225,0.0
3,1782781172.0633402,0.0
4,1782781177.1111522,0.0
5,1782781180.893413,0.0
6,1782781185.1417875,0.0
7,1782781189.4018824,0.0
8,1782781193.3964927,0.0
9,1782781198.2540169,0.0
10,1782781203.6466217,-50.0
11,1782781208.4986084,0.0
12,1782781210.939432,0.0
13,1782781219.149992,0.0
14,1782781222.741948,0.0
15,1782781228.4870672,0.0
16,1782781240.963028,0.0
17,1782781245.1589377,-50.0
18,1782781252.9808185,0.0
19,1782781256.386693,0.0
20,1782781261.19143,0.0
21,1782781264.8584228,0.0
22,1782781272.707426,0.0
23,1782781276.5782254,-50.0
24,1782781283.3069675,0.0
25,1782781288.5592213,0.0
26,1782781292.3372512,0.0
27,1782781295.2519038,0.0
28,1782781303.493356,0.0
29,1782781306.2396927,0.0
30,1782781309.7093496,0.0
31,1782781314.6069565,-50.0
32,1782781317.960973,0.0
33,1782781325.2666595,0.0
34,1782781328.1378639,0.0
35,1782781338.1788385,0.0
36,1782781342.5590973,0.0
37,1782781346.8216662,0.0
38,1782781351.258935,0.0
39,1782781356.550066,-50.0
40,1782781359.666085,0.0
41,1782781362.710659,0.0
42,1782781366.8441157,0.0
43,1782781370.7509565,0.0
44,1782781374.6072083,0.0
45,1782781378.896444,0.0
46,1782781382.5368476,0.0
47,1782781385.0602841,0.0
48,1782781388.8609743,-50.0
49,1782781392.492581,0.0
50,1782781399.7939491,-50.0
51,1782781404.7319262,0.0
52,1782781410.1245255,-50.0
53,1782781413.007468,0.0
54,1782781417.1755328,-50.0
55,1782781420.5400562,0.0
56,1782781426.0861619,0.0
57,1782781437.4982238,0.0
58,1782781446.225566,0.0
59,1782781451.7509816,0.0
60,1782781460.3946147,0.0
61,1782781466.9180007,-50.0
62,1782781470.0455782,0.0
63,1782781477.8545177,0.0
64,1782781481.1157045,0.0
65,1782781484.988629,0.0
66,1782781488.5910277,0.0
67,1782781492.2468395,0.0
68,1782781496.3538156,0.0
69,1782781500.933151,-50.0
70,1782781504.5307636,0.0
71,1782781512.2132561,-50.0
72,1782781520.004267,0.0
73,1782781522.7929199,0.0
74,1782781526.162674,0.0
75,1782781529.2355025,0.0
76,1782781531.8036268,0.0
77,1782781536.3395994,-50.0
78,1782781542.1030126,0.0
79,1782781546.8500967,0.0
80,1782781550.1010811,0.0
81,1782781557.6232386,0.0
82,1782781563.63849,-50.0
83,1782781571.1979916,0.0
84,1782781576.2932253,0.0
85,1782781580.7003744,-50.0
86,1782781588.2571762,-50.0
87,1782781590.4740095,0.0
88,1782781596.1174982,-50.0
89,1782781600.1143632,0.0
90,1782781604.606014,0.0
91,1782781609.7015295,-50.0
92,1782781612.2583485,0.0
93,1782781619.7811754,0.0
94,1782781622.4082873,0.0
95,1782781627.7114558,0.0
96,1782781631.185343,0.0
97,1782781639.3055706,0.0
98,1782781643.300711,0.0
99,1782781647.4683084,0.0
100,1782781651.0900562,0.0
101,1782781659.0918238,0.0
102,1782781663.9190428,-50.0
103,1782781666.6695511,0.0
104,1782781674.7550032,0.0
105,1782781684.6678019,0.0
106,1782781687.9829848,0.0
107,1782781692.2341356,0.0
108,1782781697.9515998,0.0
109,1782781701.781416,-50.0
110,1782781707.2341611,0.0
111,1782781711.0327373,-50.0
112,1782781712.760613,0.0
113,1782781715.1795673,0.0
114,1782781718.256586,0.0
115,1782781723.0810897,-50.0
116,1782781727.3422298,0.0
117,1782781730.3783433,0.0
118,1782781732.5910523,0.0
119,1782781736.1937325,0.0
120,1782781740.6894054,0.0
121,1782781744.9652364,-50.0
122,1782781750.250715,0.0
123,1782781752.6928124,-50.0
124,1782781755.9193926,0.0
125,1782781757.9865398,0.0
126,1782781760.8044186,0.0
127,1782781765.608105,0.0
128,1782781771.1200378,0.0
129,1782781775.11194,0.0
130,1782781777.4600418,0.0
131,1782781779.534767,0.0
132,1782781783.7526145,0.0
133,1782781785.0496676,0.0
134,1782781790.1283727,0.0
135,1782781791.93351,-50.0
136,1782781795.4623053,0.0
137,1782781798.6344614,-50.0
138,1782781799.9986749,0.0
139,1782781802.0924418,0.0
140,1782781805.9516234,-50.0
141,1782781808.6062016,0.0
142,1782781812.742657,-50.0
143,1782781815.3188713,0.0
144,1782781817.4988635,0.0
145,1782781821.4454155,-50.0
146,1782781823.251249,0.0
147,1782781826.5972567,0.0
148,1782781828.7744987,0.0
149,1782781830.2165074,0.0
150,1782781831.771109,0.0
151,1782781833.538978,0.0
152,1782781838.49464,0.0
153,1782781840.3976955,-50.0
154,1782781842.607431,0.0
155,1782781846.0451121,-50.0
156,1782781847.8818474,0.0
157,1782781851.947863,0.0
158,1782781853.8761265,0.0
159,1782781857.2733786,0.0
160,1782781861.4852686,0.0
161,1782781865.4787233,0.0
162,1782781869.794802,0.0
163,1782781874.348976,0.0
164,1782781877.5143728,0.0
165,1782781882.8315148,0.0
166,1782781884.3747396,0.0
167,1782781893.9283752,-50.0
168,1782781896.6092184,0.0
169,1782781900.233482,0.0
170,1782781904.8009353,0.0
171,1782781906.2596214,0.0
172,1782781907.8189971,0.0
173,1782781910.2472827,0.0
174,1782781911.5970438,0.0
175,1782781913.0232422,0.0
176,1782781917.538798,0.0
177,1782781922.0640993,0.0
178,1782781928.2183013,0.0
179,1782781930.0935543,0.0
180,1782781931.864432,0.0
181,1782781934.039045,-50.0
182,1782781935.6127675,0.0
183,1782781939.9413674,-50.0
184,1782781945.1473982,0.0
185,1782781947.127858,0.0
186,1782781950.2867296,0.0
187,1782781955.1048172,-50.0
188,1782781959.8891242,0.0
189,1782781961.6396275,0.0
190,1782781966.7439606,-50.0
191,1782781968.7832792,0.0
192,1782781970.6130219,0.0
193,1782781971.9807694,0.0
194,1782781976.5974805,0.0
195,1782781979.1782672,0.0
196,1782781983.4221642,-50.0
197,1782781986.83702,0.0
198,1782781988.747819,0.0
199,1782781991.4956155,0.0
200,1782781993.5827677,-50.0
201,1782781997.7235367,0.0
202,1782782000.249037,0.0
203,1782782002.8492503,0.0
204,1782782007.5484872,0.0
205,1782782009.7094095,0.0
206,1782782011.7103412,0.0
207,1782782015.055268,-50.0
208,1782782017.8707368,0.0
209,1782782019.599954,0.0
210,1782782024.1738029,0.0
211,1782782026.2563355,-50.0
212,1782782029.7938135,-50.0
213,1782782036.219921,-50.0
214,1782782044.8614879,0.0
215,1782782046.6347053,0.0
216,1782782054.5632484,0.0
217,1782782057.8656638,0.0
218,1782782060.973586,0.0
219,1782782064.4567285,0.0
220,1782782067.8253446,0.0
221,1782782070.1074438,0.0
222,1782782075.1171734,0.0
223,1782782077.3775065,0.0
224,1782782079.4364913,0.0
225,1782782089.1113625,0.0
226,1782782094.999504,-50.0
227,1782782098.1375268,0.0
228,1782782101.8831372,0.0
229,1782782103.7015915,0.0
230,1782782105.8558664,0.0
231,1782782108.6899073,0.0
232,1782782113.056158,0.0
233,1782782114.9861567,-50.0
234,1782782116.8345633,0.0
235,1782782118.8996484,0.0
236,1782782120.5747147,0.0
237,1782782122.10188,0.0
238,1782782127.0138118,0.0
239,1782782132.0031729,0.0
240,1782782136.5895736,0.0
241,1782782138.5904024,-50.0
242,1782782142.3294594,0.0
243,1782782144.3913045,0.0
244,1782782149.3875747,-50.0
245,1782782151.337031,0.0
246,1782782154.0924215,0.0
247,1782782156.217009,0.0
248,1782782158.1531012,0.0
249,1782782162.1130056,0.0
250,1782782164.888769,0.0
251,1782782176.5849178,0.0
252,1782782180.3240216,0.0
253,1782782182.4123302,0.0
254,1782782185.9058497,0.0
255,1782782191.1527636,0.0
256,1782782193.5229795,0.0
257,1782782202.0489385,0.0
258,1782782203.9001632,0.0
259,1782782207.2013907,0.0
260,1782782221.4856853,0.0
261,1782782225.2419674,0.0
262,1782782230.6578734,0.0
263,1782782243.930446,0.0
264,1782782247.2432814,0.0
265,1782782249.3682432,0.0
266,1782782251.2365334,0.0
267,1782782253.3616238,0.0
268,1782782256.4479804,0.0
269,1782782262.6239269,0.0
270,1782782268.5022209,0.0
271,1782782272.7361221,0.0
272,1782782294.1225636,0.0
273,1782782304.2021623,0.0
274,1782782306.6762242,0.0
275,1782782318.184404,0.0
276,1782782320.886204,0.0
277,1782782335.2952714,0.0
278,1782782337.0983527,0.0
279,1782782340.382756,0.0
280,1782782352.045165,0.0
281,1782782356.0816176,0.0
282,1782782357.6705246,0.0
283,1782782371.4552646,0.0
284,1782782380.2439492,0.0
285,1782782387.6910098,0.0
286,1782782411.0998042,0.0
287,1782782418.046733,-50.0
288,1782782420.137238,0.0
289,1782782433.7516024,0.0
290,1782782436.60135,0.0
291,1782782441.7597861,0.0
292,1782782444.2055745,0.0
293,1782782449.1880279,0.0
294,1782782454.0342524,0.0
295,1782782467.707267,0.0
296,1782782486.3027546,0.0
297,1782782490.2136552,0.0
298,1782782499.374014,-50.0
299,1782782507.4879088,-50.0
300,1782782527.640225,0.0
301,1782782532.9721062,0.0
302,1782782537.1077614,0.0
303,1782782539.8066149,0.0
304,1782782541.967336,0.0
305,1782782545.233817,0.0
306,1782782549.002166,0.0
307,1782782554.5977292,0.0
308,1782782558.4969966,0.0
309,1782782563.641,0.0
310,1782782566.4086535,0.0
311,1782782577.7114332,0.0
312,1782782583.9068239,0.0
313,1782782589.095371,0.0
314,1782782592.8474336,0.0
315,1782782596.5473611,0.0
316,1782782601.920944,0.0
317,1782782607.9921937,0.0
318,1782782611.2759166,0.0
319,1782782613.609723,0.0
320,1782782618.4139638,0.0
321,1782782625.014705,0.0
322,1782782627.3424747,0.0
323,1782782639.9743798,0.0
324,1782782646.8444116,-50.0
325,1782782649.702942,0.0
326,1782782654.828511,0.0
327,1782782657.2994416,0.0
328,1782782667.63681,-50.0
329,1782782673.54169,0.0
330,1782782676.6257875,0.0
331,1782782680.1950953,0.0
332,1782782683.565367,-50.0
333,1782782695.2600515,0.0
334,1782782699.6916702,0.0
335,1782782703.5598192,0.0
336,1782782709.1733181,-50.0
337,1782782714.6044424,0.0
338,1782782718.3084297,0.0
339,1782782724.2869377,0.0
340,1782782728.6818533,-50.0
341,1782782736.211241,0.0
342,1782782740.106998,0.0
343,1782782742.3720622,0.0
344,1782782746.0436056,0.0
345,1782782747.9290583,0.0
346,1782782753.3579578,0.0
347,1782782757.0239213,0.0
348,1782782760.4285235,0.0
