step,wall_time,value
0,1782781154.4936018,0.0
1,1782781158.2487748,0.0
2,1782781163.5275238,0.0
3,1782781172.0637014,0.0
4,1782781177.1119206,0.30000001192092896
5,1782781180.894004,0.0
6,1782781185.1423745,0.0
7,1782781189.4022892,0.0
8,1782781193.3969152,0.0
9,1782781198.254394,0.0
10,1782781203.647094,0.30000001192092896
11,1782781208.4990754,0.0
12,1782781210.9397368,0.0
13,1782781219.150451,0.0
14,1782781222.7424476,0.0
15,1782781228.4877758,0.0
16,1782781240.9635427,0.0
17,1782781245.1595743,0.0
18,1782781252.9813833,0.0
19,1782781256.3874905,0.0
20,1782781261.1923914,0.0
21,1782781264.8590596,0.0
22,1782781272.708085,0.0
23,1782781276.5786831,0.0
24,1782781283.307368,0.0
25,1782781288.5595832,0.0
26,1782781292.3378332,0.30000001192092896
27,1782781295.2525296,0.0
28,1782781303.4939518,0.0
29,1782781306.2401173,0.0
30,1782781309.7097416,0.0
31,1782781314.6075182,0.0
32,1782781317.9615133,0.0
33,1782781325.2671115,0.0
34,1782781328.1386375,0.0
35,1782781338.1794477,0.0
36,1782781342.5599504,0.0
37,1782781346.8222737,0.0
38,1782781351.259593,0.0
39,1782781356.5504675,0.0
40,1782781359.6665633,0.0
41,1782781362.711103,0.0
42,1782781366.844717,0.0
43,1782781370.7513592,0.0
44,1782781374.6076465,0.0
45,1782781378.8967736,0.0
46,1782781382.5371733,0.0
47,1782781385.0606906,0.0
48,1782781388.8616505,0.0
49,1782781392.4930055,0.0
50,1782781399.7944803,0.0
51,1782781404.7323325,0.0
52,1782781410.1249697,0.0
53,1782781413.0080602,0.0
54,1782781417.17608,0.0
55,1782781420.5407379,0.0
56,1782781426.0869124,0.0
57,1782781437.498763,0.0
58,1782781446.2261534,0.0
59,1782781451.751671,0.0
60,1782781460.3951406,0.0
61,1782781466.9186878,0.0
62,1782781470.0459518,0.0
63,1782781477.854978,0.0
64,1782781481.1162212,0.0
65,1782781484.9892192,0.30000001192092896
66,1782781488.5913782,0.0
67,1782781492.2473729,0.0
68,1782781496.3544245,0.30000001192092896
69,1782781500.9337144,0.0
70,1782781504.5314133,0.0
71,1782781512.213796,0.0
72,1782781520.0051656,0.0
73,1782781522.7934158,0.0
74,1782781526.1631644,0.0
75,1782781529.2358544,0.0
76,1782781531.8041768,0.0
77,1782781536.34,0.0
78,1782781542.1035407,0.0
79,1782781546.8504372,0.0
80,1782781550.1015887,0.0
81,1782781557.623598,0.0
82,1782781563.6391811,0.0
83,1782781571.1985507,0.0
84,1782781576.2936676,0.0
85,1782781580.7009857,0.0
86,1782781588.2578442,0.0
87,1782781590.4743674,0.0
88,1782781596.1181107,0.0
89,1782781600.1148171,0.0
90,1782781604.6063948,0.0
91,1782781609.7019033,0.30000001192092896
92,1782781612.2587738,0.0
93,1782781619.7818832,0.0
94,1782781622.4089322,0.0
95,1782781627.7118912,0.0
96,1782781631.1860027,0.0
97,1782781639.306129,0.30000001192092896
98,1782781643.3012915,0.0
99,1782781647.468717,0.0
100,1782781651.090997,0.0
101,1782781659.0922973,0.0
102,1782781663.9198372,0.0
103,1782781666.6706457,0.0
104,1782781674.7553992,0.0
105,1782781684.6683004,0.0
106,1782781687.9834623,0.0
107,1782781692.2346747,0.0
108,1782781697.952121,0.0
109,1782781701.781937,0.0
110,1782781707.2344773,0.0
111,1782781711.0332084,0.0
112,1782781712.7609522,0.30000001192092896
113,1782781715.180042,0.0
114,1782781718.256985,0.0
115,1782781723.0815144,0.0
116,1782781727.3427372,0.0
117,1782781730.3787649,0.0
118,1782781732.5914783,0.0
119,1782781736.1953266,0.0
120,1782781740.6900373,0.0
121,1782781744.9657185,0.0
122,1782781750.251139,0.0
123,1782781752.693149,0.0
124,1782781755.919955,0.0
125,1782781757.9869454,0.0
126,1782781760.8051808,0.0
127,1782781765.608469,0.0
128,1782781771.1203167,0.0
129,1782781775.1126227,0.0
130,1782781777.4611683,0.0
131,1782781779.5351841,0.0
132,1782781783.753056,0.0
133,1782781785.050265,0.0
134,1782781790.1288512,0.0
135,1782781791.9339886,0.0
136,1782781795.4631112,0.0
137,1782781798.6349816,0.0
138,1782781800.0039341,0.0
139,1782781802.0929372,0.0
140,1782781805.9521618,0.0
141,1782781808.6066425,0.0
142,1782781812.7432332,0.30000001192092896
143,1782781815.3192906,0.0
144,1782781817.499484,0.0
145,1782781821.445948,0.0
146,1782781823.2517223,0.0
147,1782781826.597669,0.30000001192092896
148,1782781828.774886,0.0
149,1782781830.2169857,0.0
150,1782781831.7720785,0.0
151,1782781833.539655,0.0
152,1782781838.495058,0.0
153,1782781840.3980706,0.0
154,1782781842.6082256,0.0
155,1782781846.045805,0.0
156,1782781847.8823843,0.0
157,1782781851.9483967,0.0
158,1782781853.876513,0.0
159,1782781857.2737935,0.0
160,1782781861.4856021,0.0
161,1782781865.479257,0.0
162,1782781869.7953026,0.0
163,1782781874.3494616,0.0
164,1782781877.5149777,0.0
165,1782781882.8321633,0.0
166,1782781884.3753014,0.0
167,1782781893.928734,0.0
168,1782781896.6096468,0.0
169,1782781900.2342618,0.0
170,1782781904.801416,0.0
171,1782781906.260261,0.0
172,1782781907.8194222,0.0
173,1782781910.2478833,0.0
174,1782781911.597501,0.0
175,1782781913.023746,0.0
176,1782781917.539408,0.0
177,1782781922.0645835,0.0
178,1782781928.2186759,0.0
179,1782781930.094025,0.0
180,1782781931.8649538,0.0
181,1782781934.039614,0.0
182,1782781935.6133304,0.0
183,1782781939.9418497,0.0
184,1782781945.1481278,0.0
185,1782781947.1283529,0.30000001192092896
186,1782781950.2874014,0.0
187,1782781955.1051295,0.0
188,1782781959.8898985,0.30000001192092896
189,1782781961.640015,0.0
190,1782781966.7445784,0.0
191,1782781968.783545,0.30000001192092896
192,1782781970.613665,0.0
193,1782781971.981281,0.0
194,1782781976.5980852,0.0
195,1782781979.1787016,0.0
196,1782781983.4225729,0.0
197,1782781986.8373966,0.0
198,1782781988.748308,0.30000001192092896
199,1782781991.4960096,0.0
200,1782781993.583288,0.0
201,1782781997.7242634,0.0
202,1782782000.2493756,0.0
203,1782782002.8496616,0.0
204,1782782007.5487812,0.0
205,1782782009.710042,0.0
206,1782782011.7109973,0.0
207,1782782015.0556808,0.0
208,1782782017.8714995,0.0
209,1782782019.600373,0.0
210,1782782024.1743884,0.0
211,1782782026.2567542,0.0
212,1782782029.7943573,0.0
213,1782782036.220547,0.0
214,1782782044.8621118,0.0
215,1782782046.6353252,0.0
216,1782782054.563679,0.0
217,1782782057.8660607,0.0
218,1782782060.9739907,0.0
219,1782782064.457244,0.0
220,1782782067.8257241,0.30000001192092896
221,1782782070.1078415,0.0
222,1782782075.1176925,0.0
223,1782782077.3779445,0.0
224,1782782079.4368458,0.0
225,1782782089.1117175,0.0
226,1782782095.0000784,0.0
227,1782782098.1384492,0.0
228,1782782101.883621,0.0
229,1782782103.7020345,0.0
230,1782782105.856191,0.0
231,1782782108.6903534,0.0
232,1782782113.0566828,0.0
233,1782782114.9867687,0.0
234,1782782116.8350818,0.0
235,1782782118.9001858,0.0
236,1782782120.5750973,0.0
237,1782782122.1022685,0.0
238,1782782127.0165176,0.30000001192092896
239,1782782132.0036108,0.0
240,1782782136.590162,0.0
241,1782782138.5906956,0.0
242,1782782142.329932,0.0
243,1782782144.3917296,0.30000001192092896
244,1782782149.3926315,0.0
245,1782782151.3373137,0.30000001192092896
246,1782782154.0929265,0.0
247,1782782156.2173002,0.0
248,1782782158.153507,0.0
249,1782782162.1132946,0.0
250,1782782164.889286,0.0
251,1782782176.5852926,0.0
252,1782782180.3245661,0.0
253,1782782182.4129155,0.0
254,1782782185.9063118,0.0
255,1782782191.1534147,0.0
256,1782782193.5238764,0.0
257,1782782202.0493755,0.0
258,1782782203.900759,0.0
259,1782782207.2019742,0.0
260,1782782221.486242,0.0
261,1782782225.242372,0.0
262,1782782230.6583529,0.0
263,1782782243.9311135,0.0
264,1782782247.2436535,0.0
265,1782782249.368483,0.0
266,1782782251.2369592,0.0
267,1782782253.3621848,0.0
268,1782782256.44871,0.0
269,1782782262.6247225,0.0
270,1782782268.502752,0.0
271,1782782272.7365236,0.0
272,1782782294.123085,0.0
273,1782782304.2026389,0.0
274,1782782306.6766565,0.0
275,1782782318.1849947,0.30000001192092896
276,1782782320.8866615,0.0
277,1782782335.2956738,0.0
278,1782782337.0988538,0.0
279,1782782340.3832605,0.0
280,1782782352.045737,0.0
281,1782782356.0821478,0.0
282,1782782357.6709816,0.0
283,1782782371.455726,0.0
284,1782782380.244639,0.0
285,1782782387.6915069,0.0
286,1782782411.1003873,0.0
287,1782782418.04731,0.0
288,1782782420.1379197,0.0
289,1782782433.7521899,0.0
290,1782782436.6017277,0.0
291,1782782441.7603154,0.0
292,1782782444.2060177,0.0
293,1782782449.1886034,0.0
294,1782782454.0346248,0.0
295,1782782467.7077549,0.0
296,1782782486.303197,0.0
297,1782782490.2141972,0.0
298,1782782499.3744962,0.0
299,1782782507.4886208,0.0
300,1782782527.6406825,0.0
301,1782782532.9725456,0.0
302,1782782537.1083267,0.0
303,1782782539.8070846,0.0
304,1782782541.967832,0.0
305,1782782545.2345614,0.0
306,1782782549.002947,0.0
307,1782782554.598283,0.0
308,1782782558.497557,0.0
309,1782782563.641407,0.0
310,1782782566.408967,0.0
311,1782782577.7118416,0.0
312,1782782583.9074113,0.0
313,1782782589.0957239,0.0
314,1782782592.847901,0.0
315,1782782596.5479376,0.0
316,1782782601.9213805,0.0
317,1782782607.9928803,0.0
318,1782782611.2769818,0.0
319,1782782613.6102884,0.0
320,1782782618.4146533,0.30000001192092896
321,1782782625.0151405,0.0
322,1782782627.3431401,0.0
323,1782782639.9748373,0.0
324,1782782646.8450174,0.0
325,1782782649.703358,0.0
326,1782782654.8289812,0.0
327,1782782657.29994,0.0
328,1782782667.6372647,0.0
329,1782782673.5421736,0.0
330,1782782676.62625,0.0
331,1782782680.1957512,0.0
332,1782782683.5658984,0.0
333,1782782695.2604957,0.0
334,1782782699.6919334,0.30000001192092896
335,1782782703.560389,0.30000001192092896
336,1782782709.1737216,0.0
337,1782782714.6048868,0.0
338,1782782718.3090034,0.0
339,1782782724.2874649,0.0
340,1782782728.6824415,0.0
341,1782782736.2116637,0.0
342,1782782740.1074731,0.0
343,1782782742.3731692,0.0
344,1782782746.044019,0.0
345,1782782747.9295409,0.30000001192092896
346,1782782753.3583364,0.30000001192092896
347,1782782757.024399,0.0
348,1782782760.4289412,0.0
349,1782782762.0012617,0.0
350,1782782765.4927442,0.0
351,1782782770.174194,0.0
352,1782782773.7135363,0.0
353,1782782784.6265047,0.0
354,1782782789.1036472,0.30000001192092896
355,1782782793.1917975,0.0
356,1782782797.788591,0.0
357,1782782801.9031298,0.0
358,1782782805.9926062,0.30000001192092896
359,1782782811.349698,0.0
360,1782782815.755686,0.0
361,1782782819.5963564,0.0
362,1782782824.8007958,0.0
363,1782782830.3510494,0.0
364,1782782834.01614,0.0
365,1782782840.5398865,0.0
366,1782782843.2915418,0.0
367,1782782847.2698174,0.0
368,1782782849.3153968,0.0
369,1782782853.75331,0.30000001192092896
370,1782782856.2476547,0.0
371,1782782861.0752833,0.0
372,1782782866.535562,0.0
373,1782782871.953297,0.0
374,1782782875.7618852,0.0
375,1782782879.4563274,0.0
376,1782782883.6550252,0.0
377,1782782890.0204828,0.0
378,1782782894.999309,0.0
379,1782782898.8209808,0.0
380,1782782905.7021954,0.0
381,1782782914.7737083,0.0
382,1782782917.8829844,0.0
383,1782782923.5074015,0.0
384,1782782926.057269,0.0
385,1782782929.641678,0.0
386,1782782934.2337074,0.0
387,1782782936.174803,0.0
388,1782782938.1987205,0.0
389,1782782942.038956,0.0
390,1782782944.8848784,0.0
391,1782782947.7888343,0.0
392,1782782951.8454247,0.0
393,1782782956.64587,0.0
394,1782782959.8812797,0.0
395,1782782963.6654892,0.0
396,1782782966.731966,0.0
397,1782782971.0565488,0.0
398,1782782973.9753444,0.0
399,1782782978.9165845,0.0
400,1782782981.0643122,0.0
401,1782782989.2892435,0.0
402,1782782994.3826053,0.0
403,1782782997.986751,0.0
404,1782783004.2737026,0.0
405,1782783010.3455753,0.0
406,1782783012.2780814,0.0
407,1782783016.7572515,0.0
408,1782783019.1928048,0.0
409,1782783023.344151,0.0
410,1782783025.97926,0.0
411,1782783030.2116232,0.0
412,1782783036.395562,0.0
413,1782783039.8720915,0.0
414,1782783043.442753,0.0
415,1782783045.849354,0.0
416,1782783050.444716,0.0
417,1782783055.5956786,0.0
418,1782783061.3400187,0.0
419,1782783068.7250385,0.0
420,1782783072.2633708,0.0
421,1782783076.5541034,0.0
422,1782783080.357547,0.0
423,1782783086.4301653,0.0
