step,wall_time,value
0,1782781154.4927242,235.06727600097656
1,1782781158.2474842,-482.9853210449219
2,1782781163.5267177,12.300363540649414
3,1782781172.0626736,-1489.8331298828125
4,1782781177.110041,493.2890625
5,1782781180.892377,244.07882690429688
6,1782781185.1408057,382.3429260253906
7,1782781189.4011958,-154.4062042236328
8,1782781193.3959126,-493.722412109375
9,1782781198.2533522,66.19276428222656
10,1782781203.6459377,-489.0011901855469
11,1782781208.4976475,111.58406829833984
12,1782781210.9383955,-380.10491943359375
13,1782781219.1492417,-606.7770385742188
14,1782781222.7411125,158.26412963867188
15,1782781228.4860997,-566.1852416992188
16,1782781240.962199,-2536.618408203125
17,1782781245.1577964,-288.3189697265625
18,1782781252.9797766,-1129.136962890625
19,1782781256.3857205,-361.50177001953125
20,1782781261.1903408,-134.28932189941406
21,1782781264.8574758,-604.2662353515625
22,1782781272.7064574,-1133.4617919921875
23,1782781276.5771868,-569.2145385742188
24,1782781283.3063073,66.6430435180664
25,1782781288.5585935,-866.7002563476562
26,1782781292.3361547,-428.1960144042969
27,1782781295.250983,-347.3741760253906
28,1782781303.4925385,-91.3935546875
29,1782781306.238929,-150.63980102539062
30,1782781309.7084415,-509.4192199707031
31,1782781314.6058686,-588.30126953125
32,1782781317.960047,-508.5775451660156
33,1782781325.265547,-264.53460693359375
34,1782781328.1370437,-158.94886779785156
35,1782781338.177891,-1198.9686279296875
36,1782781342.5580213,-591.7664794921875
37,1782781346.8208122,-300.39141845703125
38,1782781351.2579737,-608.0816040039062
39,1782781356.5491486,-506.7266540527344
40,1782781359.6651752,-377.26055908203125
41,1782781362.7098098,-416.0719909667969
42,1782781366.8426096,-0.5202205181121826
43,1782781370.7500632,429.68414306640625
44,1782781374.606294,-476.2213134765625
45,1782781378.8956833,527.590087890625
46,1782781382.5360563,-442.3664245605469
47,1782781385.0593867,-94.72027587890625
48,1782781388.8602207,-123.55415344238281
49,1782781392.4918087,387.0622863769531
50,1782781399.7930498,-834.6673583984375
51,1782781404.7311819,-209.83970642089844
52,1782781410.1236613,-667.4349365234375
53,1782781413.006375,-18.721887588500977
54,1782781417.1746097,-345.1114807128906
55,1782781420.5392535,-359.5643310546875
56,1782781426.0853822,-921.0782470703125
57,1782781437.49747,-857.1420288085938
58,1782781446.2245026,-184.53024291992188
59,1782781451.7499664,-669.8809814453125
60,1782781460.3937829,-764.85400390625
61,1782781466.9169753,-24.753686904907227
62,1782781470.044868,80.33075714111328
63,1782781477.85386,-572.4644775390625
64,1782781481.1148417,2.536222219467163
65,1782781484.9877226,-452.0138854980469
66,1782781488.5902493,-562.3946533203125
67,1782781492.2460823,-296.6514892578125
68,1782781496.3529186,-571.3980712890625
69,1782781500.9323704,160.9279022216797
70,1782781504.5298893,96.85628509521484
71,1782781512.2122247,-23.450439453125
72,1782781520.0032294,-391.6337585449219
73,1782781522.792172,-263.0819091796875
74,1782781526.1620219,140.2008819580078
75,1782781529.2347274,-406.7655029296875
76,1782781531.8024929,-104.64583587646484
77,1782781536.3389122,-117.86886596679688
78,1782781542.1021147,-485.57275390625
79,1782781546.8494236,198.63047790527344
80,1782781550.1002786,-7.0770158767700195
81,1782781557.622336,-59.865509033203125
82,1782781563.6374617,-1381.8489990234375
83,1782781571.1970003,-901.5809936523438
84,1782781576.2920861,109.72607421875
85,1782781580.6994057,-195.86395263671875
86,1782781588.256436,-617.749755859375
87,1782781590.4732683,-402.490478515625
88,1782781596.1165671,-958.1980590820312
89,1782781600.1134772,315.00146484375
90,1782781604.6051304,77.27902221679688
91,1782781609.7007914,-830.2620849609375
92,1782781612.2575908,-91.53482055664062
93,1782781619.7803044,-676.861572265625
94,1782781622.40727,-84.41960144042969
95,1782781627.7106693,-524.237060546875
96,1782781631.184427,-305.8296813964844
97,1782781639.3045542,-1243.126953125
98,1782781643.2999191,-405.268310546875
99,1782781647.4674857,65.93509674072266
100,1782781651.0890818,-471.1483154296875
101,1782781659.0913897,-600.34912109375
102,1782781663.9180489,-834.3372192382812
103,1782781666.6683424,-3.7684316635131836
104,1782781674.754279,-730.9505615234375
105,1782781684.6671813,-661.87353515625
106,1782781687.9822092,-515.0073852539062
107,1782781692.2333908,-115.31205749511719
108,1782781697.9505744,-768.5989379882812
109,1782781701.7804608,-501.9697570800781
110,1782781707.2334507,63.518436431884766
111,1782781711.0321753,-154.79458618164062
112,1782781712.7600133,-101.22270202636719
113,1782781715.178891,-329.10455322265625
114,1782781718.255949,-366.6678466796875
115,1782781723.080137,-518.7736206054688
116,1782781727.3414052,-661.4100952148438
117,1782781730.3773289,-164.85333251953125
118,1782781732.590187,-143.728515625
119,1782781736.1926255,-787.1012573242188
120,1782781740.6886153,-327.6275634765625
121,1782781744.964394,-569.679443359375
122,1782781750.2500713,-673.20458984375
123,1782781752.6922371,-335.7207336425781
124,1782781755.9186532,-210.36251831054688
125,1782781757.9858956,-179.89418029785156
126,1782781760.8034627,235.86526489257812
127,1782781765.607335,-647.8331298828125
128,1782781771.1192708,-720.7156372070312
129,1782781775.1109922,-66.88938903808594
130,1782781777.4590497,-476.62054443359375
131,1782781779.533964,-141.86009216308594
132,1782781783.7518528,-533.1724243164062
133,1782781785.0486386,-81.51554870605469
134,1782781790.127604,-377.8517761230469
135,1782781791.9327066,-216.44493103027344
136,1782781795.4613783,-587.0046997070312
137,1782781798.6335604,-385.69256591796875
138,1782781799.9980116,-146.23687744140625
139,1782781802.0917528,-226.7017364501953
140,1782781805.950774,-772.6346435546875
141,1782781808.605383,-169.72042846679688
142,1782781812.742039,-717.07568359375
143,1782781815.318083,-306.853759765625
144,1782781817.497896,-279.6366271972656
145,1782781821.4446945,-823.189697265625
146,1782781823.2505026,-193.80911254882812
147,1782781826.5965002,-562.4071044921875
148,1782781828.7738426,-226.0390625
149,1782781830.215776,-82.76465606689453
150,1782781831.7700236,-94.50647735595703
151,1782781833.5378747,-154.07339477539062
152,1782781838.49408,-601.9300537109375
153,1782781840.3967621,-246.08360290527344
154,1782781842.606691,-288.0032653808594
155,1782781846.0439832,-678.6961669921875
156,1782781847.8810995,-106.82198333740234
157,1782781851.946737,-811.4392700195312
158,1782781853.8754969,-187.1383514404297
159,1782781857.2728426,-653.3897705078125
160,1782781861.4845014,-217.98939514160156
161,1782781865.4780881,-921.5692749023438
162,1782781869.7941372,-273.082763671875
163,1782781874.3482258,-482.0537414550781
164,1782781877.5136387,-655.0614013671875
165,1782781882.830525,-1208.660400390625
166,1782781884.3739603,-84.65866088867188
167,1782781893.927597,-1387.5606689453125
168,1782781896.608482,-308.9422912597656
169,1782781900.2323427,-488.2017517089844
170,1782781904.8002653,-596.4218139648438
171,1782781906.2586944,-76.06205749511719
172,1782781907.818071,-73.61715698242188
173,1782781910.2462857,-250.41062927246094
174,1782781911.5963564,-150.5550079345703
175,1782781913.022176,-90.74771118164062
176,1782781917.538074,-253.41961669921875
177,1782781922.063512,-943.7760620117188
178,1782781928.2174017,-1489.6962890625
179,1782781930.092889,-241.04592895507812
180,1782781931.8634722,-137.043212890625
181,1782781934.038283,-256.4164733886719
182,1782781935.6119275,-152.36917114257812
183,1782781939.940546,-931.9410400390625
184,1782781945.1466556,-1179.570556640625
185,1782781947.1270797,-219.2407684326172
186,1782781950.2858038,-562.5429077148438
187,1782781955.1043625,-484.46728515625
188,1782781959.8881369,-634.7149658203125
189,1782781961.6390407,-139.75723266601562
190,1782781966.7429802,-939.998779296875
191,1782781968.7827675,-169.23220825195312
192,1782781970.6120796,-143.62208557128906
193,1782781971.9798982,-122.61621856689453
194,1782781976.5967238,-733.4873046875
195,1782781979.1773467,-429.362060546875
