step,wall_time,value
0,1782781154.4928796,-22.593908309936523
1,1782781158.2476528,-45.74022674560547
2,1782781163.5268805,-65.3967056274414
3,1782781172.0629973,-156.9375762939453
4,1782781177.110416,-23.278541564941406
5,1782781180.8927495,-22.26266860961914
6,1782781185.1412504,-22.9888973236084
7,1782781189.4015102,-23.313081741333008
8,1782781193.3961546,-23.077964782714844
9,1782781198.2536066,-10.541732788085938
10,1782781203.6462448,-44.867286682128906
11,1782781208.49806,2.0631608963012695
12,1782781210.938766,-27.559770584106445
13,1782781219.1495442,-23.565195083618164
14,1782781222.741484,-22.580402374267578
15,1782781228.4864984,-21.046133041381836
16,1782781240.9625947,-52.78485870361328
17,1782781245.1582007,-38.62085723876953
18,1782781252.9801593,-117.88807678222656
19,1782781256.386118,-23.09836196899414
20,1782781261.1907089,-22.77960205078125
21,1782781264.8578608,-55.773929595947266
22,1782781272.706816,-24.762624740600586
23,1782781276.5775545,-44.105499267578125
24,1782781283.306619,-23.596220016479492
25,1782781288.5589125,-41.78643798828125
26,1782781292.3365102,-75.50054168701172
27,1782781295.251337,-23.17156219482422
28,1782781303.4929326,-22.610986709594727
29,1782781306.239281,-22.733835220336914
30,1782781309.7088006,3.172757387161255
31,1782781314.606266,-111.68132019042969
32,1782781317.9603918,-23.02959632873535
33,1782781325.2659209,-22.70608901977539
34,1782781328.1372383,-23.144893646240234
35,1782781338.1782632,-22.97203254699707
36,1782781342.558387,-38.36610412597656
37,1782781346.8211439,-32.852813720703125
38,1782781351.258345,-62.78822708129883
39,1782781356.5495195,-44.151859283447266
40,1782781359.6655233,-24.54957389831543
41,1782781362.7101767,-23.35601043701172
42,1782781366.843476,-22.52399444580078
43,1782781370.7504308,-22.79506492614746
44,1782781374.6066618,-22.593717575073242
45,1782781378.8960826,-23.640071868896484
46,1782781382.536457,-12.918205261230469
47,1782781385.059819,-22.77947425842285
48,1782781388.860515,-47.160064697265625
49,1782781392.492139,-23.198640823364258
50,1782781399.793403,-80.39796447753906
51,1782781404.7314928,-14.394190788269043
52,1782781410.124039,-44.073177337646484
53,1782781413.0067205,-22.849037170410156
54,1782781417.1749878,-39.70999526977539
55,1782781420.5395372,-34.207244873046875
56,1782781426.0857334,-14.076420783996582
57,1782781437.4977777,-22.918813705444336
58,1782781446.2248628,-31.81039047241211
59,1782781451.7503233,-23.538484573364258
60,1782781460.394209,-13.493870735168457
61,1782781466.9173694,-56.62472152709961
62,1782781470.045098,-22.73233985900879
63,1782781477.8541687,-32.259254455566406
64,1782781481.1151626,-23.153799057006836
65,1782781484.988082,-24.328203201293945
66,1782781488.59057,-24.175416946411133
67,1782781492.2464204,-22.43288230895996
68,1782781496.3532693,-23.54741668701172
69,1782781500.9327254,-37.118019104003906
70,1782781504.530248,-22.964773178100586
71,1782781512.2128503,-67.84465789794922
72,1782781520.0035856,-84.76415252685547
73,1782781522.7924774,-37.99496841430664
74,1782781526.1623256,-22.536680221557617
75,1782781529.2350898,-23.556411743164062
76,1782781531.8028414,-22.5820369720459
77,1782781536.3392534,-44.84952163696289
78,1782781542.1024654,-23.570175170898438
79,1782781546.849782,-21.35382843017578
80,1782781550.1005936,-21.851552963256836
81,1782781557.6226788,-22.52290153503418
82,1782781563.637794,-225.15357971191406
83,1782781571.1973462,-24.496986389160156
84,1782781576.2924798,-23.551475524902344
85,1782781580.6997821,-44.81755828857422
86,1782781588.2567725,-112.60810089111328
87,1782781590.473598,-26.85798454284668
88,1782781596.1169302,-181.11871337890625
89,1782781600.113819,-23.02351951599121
90,1782781604.605485,-22.992773056030273
91,1782781609.701154,-150.04226684570312
92,1782781612.2579792,-22.52608871459961
93,1782781619.780669,-89.86231994628906
94,1782781622.4076228,-23.313743591308594
95,1782781627.7110403,-34.83116149902344
96,1782781631.1847653,-37.44954299926758
97,1782781639.3049426,-22.679290771484375
98,1782781643.3002462,-21.886009216308594
99,1782781647.467852,-22.881990432739258
100,1782781651.0894237,1.89844810962677
101,1782781659.0915797,-22.810884475708008
102,1782781663.9183815,-150.3143310546875
103,1782781666.6687453,-23.463037490844727
104,1782781674.754625,-26.875516891479492
105,1782781684.6674225,-23.387367248535156
106,1782781687.9825335,-52.400814056396484
107,1782781692.2337327,-23.695964813232422
108,1782781697.9509418,-24.015249252319336
109,1782781701.7808173,-46.39299011230469
110,1782781707.2337275,-22.857032775878906
111,1782781711.032434,-48.78800582885742
112,1782781712.760316,-22.637100219726562
113,1782781715.1791997,-24.768978118896484
114,1782781718.2562447,-24.445110321044922
115,1782781723.080503,-43.22863006591797
116,1782781727.341681,-91.4920654296875
117,1782781730.3776724,-23.34441375732422
118,1782781732.5905352,-22.54214859008789
