step,wall_time,value
0,1782781154.4929316,-35.0
1,1782781158.2477186,-35.0
2,1782781163.5269353,-35.0
3,1782781172.0634072,-35.0
4,1782781177.1113584,-35.0
5,1782781180.893559,0.0
6,1782781185.1419463,-35.0
7,1782781189.4019668,-35.0
8,1782781193.3965642,-35.0
9,1782781198.2540987,0.0
10,1782781203.6467116,-35.0
11,1782781208.4987059,0.0
12,1782781210.9395099,-35.0
13,1782781219.1501117,-35.0
14,1782781222.7420435,-35.0
15,1782781228.487185,0.0
16,1782781240.9631298,-35.0
17,1782781245.1591747,-35.0
18,1782781252.9809365,-35.0
19,1782781256.3869028,-35.0
20,1782781261.1916397,-35.0
21,1782781264.8585815,-35.0
22,1782781272.7075963,-35.0
23,1782781276.5783443,-35.0
24,1782781283.307045,-35.0
25,1782781288.559287,-35.0
26,1782781292.3374333,-35.0
27,1782781295.2520807,-35.0
28,1782781303.493458,-35.0
29,1782781306.2397592,-35.0
30,1782781309.7094612,0.0
31,1782781314.6069732,-35.0
32,1782781317.9610968,-35.0
33,1782781325.2667913,-35.0
34,1782781328.1380653,-35.0
35,1782781338.1789606,-35.0
36,1782781342.5593102,-35.0
37,1782781346.8217838,-35.0
38,1782781351.2591097,-35.0
39,1782781356.5501406,-35.0
40,1782781359.6662185,-35.0
41,1782781362.710771,-35.0
42,1782781366.8442895,-35.0
43,1782781370.751056,-35.0
44,1782781374.6072981,-35.0
45,1782781378.8965163,-35.0
46,1782781382.536914,0.0
47,1782781385.06036,-35.0
48,1782781388.861064,-35.0
49,1782781392.4926507,-35.0
50,1782781399.7940652,-35.0
51,1782781404.7320197,0.0
52,1782781410.1246288,-35.0
53,1782781413.007634,-35.0
54,1782781417.175649,-35.0
55,1782781420.5401578,-35.0
56,1782781426.0862596,0.0
57,1782781437.4983182,-35.0
58,1782781446.2257438,-35.0
59,1782781451.751131,-35.0
60,1782781460.394709,0.0
61,1782781466.9181736,-35.0
62,1782781470.04567,-35.0
63,1782781477.854603,-35.0
64,1782781481.1158402,-35.0
65,1782781484.9887433,-35.0
66,1782781488.5911245,-35.0
67,1782781492.246946,-35.0
68,1782781496.3539374,-35.0
69,1782781500.933249,-35.0
70,1782781504.5309393,-35.0
71,1782781512.213334,-35.0
72,1782781520.0044746,-35.0
73,1782781522.7930143,-35.0
74,1782781526.1627483,-35.0
75,1782781529.2355988,-35.0
76,1782781531.803843,-35.0
77,1782781536.339667,-35.0
78,1782781542.1031294,-35.0
79,1782781546.8501678,0.0
80,1782781550.101181,0.0
81,1782781557.6233053,-35.0
82,1782781563.6387074,-35.0
83,1782781571.1981075,-35.0
84,1782781576.293345,-35.0
85,1782781580.7004936,-35.0
86,1782781588.2572672,-35.0
87,1782781590.4741066,-35.0
88,1782781596.1176536,-35.0
89,1782781600.114489,-35.0
90,1782781604.6060832,-35.0
91,1782781609.7015955,-35.0
92,1782781612.2584238,-35.0
93,1782781619.7813008,-35.0
94,1782781622.408465,-35.0
95,1782781627.71155,-35.0
96,1782781631.185495,-35.0
97,1782781639.305696,-35.0
98,1782781643.3008032,0.0
99,1782781647.468379,-35.0
100,1782781651.0902727,0.0
101,1782781659.0919213,-35.0
102,1782781663.9192443,-35.0
103,1782781666.6697316,-35.0
104,1782781674.7550726,-35.0
105,1782781684.6679,-35.0
106,1782781687.9830694,-35.0
107,1782781692.234214,-35.0
108,1782781697.9517856,-35.0
109,1782781701.7815137,-35.0
110,1782781707.234238,-35.0
111,1782781711.032819,-35.0
112,1782781712.760671,-35.0
113,1782781715.1796541,-35.0
114,1782781718.2566595,-35.0
115,1782781723.0811858,-35.0
116,1782781727.3423247,-35.0
117,1782781730.3784611,-35.0
118,1782781732.5911822,-35.0
119,1782781736.1938653,-35.0
120,1782781740.6894996,-35.0
121,1782781744.965321,-35.0
122,1782781750.2507832,-35.0
123,1782781752.6928804,-35.0
124,1782781755.9194884,0.0
125,1782781757.9865973,0.0
126,1782781760.804572,0.0
127,1782781765.6081798,-35.0
128,1782781771.1200852,-35.0
129,1782781775.1121087,-35.0
