step,wall_time,value
0,1782781154.4937072,-6.8502421379089355
1,1782781158.248892,-7.2138285636901855
2,1782781163.5276148,-6.41882848739624
3,1782781172.0637565,-6.851436138153076
4,1782781177.1120021,-6.842850685119629
5,1782781180.8940637,-6.844936847686768
6,1782781185.1424499,-6.845616817474365
7,1782781189.4023373,-7.286792755126953
8,1782781193.3969834,-6.959036827087402
9,1782781198.2544658,-6.845607280731201
10,1782781203.6471646,-7.493533134460449
11,1782781208.4991653,-6.857302665710449
12,1782781210.9397817,-6.844271659851074
13,1782781219.1504984,-6.836719036102295
14,1782781222.7425313,-6.811315536499023
15,1782781228.4878435,-6.848411560058594
16,1782781240.9635906,-6.766772270202637
17,1782781245.15969,-7.345101356506348
18,1782781252.9814324,-6.852119445800781
19,1782781256.3875675,-6.844830513000488
20,1782781261.192487,-6.6562676429748535
21,1782781264.8591056,-6.719974994659424
22,1782781272.7081661,-6.843805313110352
23,1782781276.578735,-7.379250526428223
24,1782781283.307429,-6.87919282913208
25,1782781288.559648,-6.438302993774414
26,1782781292.3378835,-6.87162971496582
27,1782781295.2525718,-6.842432975769043
28,1782781303.4940405,-6.8685832023620605
29,1782781306.2401812,-6.845230579376221
30,1782781309.7097847,-6.84208345413208
31,1782781314.6076803,-6.9926323890686035
32,1782781317.9615893,-6.843483924865723
33,1782781325.2671554,-6.847960472106934
34,1782781328.13868,-6.841276168823242
35,1782781338.1794915,-6.845137119293213
36,1782781342.5599997,-6.773830890655518
37,1782781346.8223312,-6.5229268074035645
38,1782781351.2596705,-6.836698055267334
39,1782781356.5505278,-7.292361259460449
40,1782781359.6666098,-6.8421478271484375
41,1782781362.7111459,-6.842011451721191
42,1782781366.8447905,-6.850682735443115
43,1782781370.751402,-6.844178676605225
44,1782781374.6077101,-6.936119079589844
45,1782781378.896847,-6.855195999145508
46,1782781382.537223,-6.8443074226379395
47,1782781385.060754,-6.840009689331055
48,1782781388.861713,-7.004209041595459
49,1782781392.4930937,-7.2787299156188965
50,1782781399.794561,-7.047796249389648
51,1782781404.7324023,-6.846037864685059
52,1782781410.1250124,-7.426769733428955
53,1782781413.008116,-6.527463436126709
54,1782781417.1761544,-7.267592430114746
55,1782781420.5408509,-6.842153549194336
56,1782781426.0870275,-6.851000785827637
57,1782781437.4988635,-6.84955358505249
58,1782781446.226198,-6.8588762283325195
59,1782781451.7517476,-6.8477606773376465
60,1782781460.395234,-6.8523406982421875
61,1782781466.918752,-6.989716529846191
62,1782781470.0459986,-6.843014717102051
63,1782781477.8550444,-6.852628231048584
64,1782781481.1162653,-7.007925510406494
65,1782781484.9893064,-7.282088756561279
66,1782781488.5914226,-6.873472213745117
67,1782781492.2474434,-6.845386505126953
68,1782781496.3544674,-6.848489284515381
69,1782781500.9337585,-6.846056938171387
70,1782781504.5314896,-6.841484546661377
71,1782781512.2138844,-6.960024833679199
72,1782781520.0052857,-6.908924579620361
73,1782781522.7934885,-6.341063022613525
74,1782781526.163254,-6.844502925872803
75,1782781529.2359002,-6.843459606170654
76,1782781531.8042223,-6.840077877044678
77,1782781536.3400536,-7.355494499206543
78,1782781542.1036127,-6.849742889404297
79,1782781546.8505027,-6.849917411804199
80,1782781550.1016681,-6.845284461975098
81,1782781557.6236563,-6.844847202301025
82,1782781563.6392937,-6.852470874786377
83,1782781571.1986187,-6.859701156616211
84,1782781576.2937129,-6.849311828613281
85,1782781580.7010481,-7.146207332611084
86,1782781588.2579114,-6.8404741287231445
87,1782781590.4744115,-6.842327117919922
88,1782781596.1181552,-6.8506269454956055
89,1782781600.114878,-6.846936225891113
90,1782781604.6064568,-6.828829288482666
91,1782781609.7019665,-7.425377368927002
