step,wall_time,value
0,1782781154.4933996,0.0
1,1782781158.2485292,0.0
2,1782781163.5273411,0.0
3,1782781172.0635922,0.0
4,1782781177.1117475,0.0
5,1782781180.8938878,0.0
6,1782781185.1422276,0.0
7,1782781189.4021962,0.0
8,1782781193.3967655,0.0
9,1782781198.2542517,0.0
10,1782781203.6469564,0.0
11,1782781208.4988885,0.0
12,1782781210.9396467,0.0
13,1782781219.1503572,0.0
14,1782781222.742281,0.0
15,1782781228.4875524,0.0
16,1782781240.9634075,0.0
17,1782781245.159352,0.0
18,1782781252.981271,0.0
19,1782781256.3873203,0.0
20,1782781261.1921923,0.0
21,1782781264.8589675,0.0
22,1782781272.7079132,0.0
23,1782781276.5785928,0.0
24,1782781283.307253,0.0
25,1782781288.5594761,0.0
26,1782781292.3377104,0.0
27,1782781295.2523942,0.0
28,1782781303.493735,0.0
29,1782781306.239989,0.0
30,1782781309.7096527,0.0
31,1782781314.607182,0.0
32,1782781317.9613621,0.0
33,1782781325.2670267,0.0
34,1782781328.1384642,0.0
35,1782781338.179269,0.0
36,1782781342.5598025,0.0
37,1782781346.8221078,0.0
38,1782781351.259437,0.0
39,1782781356.550342,0.0
40,1782781359.6664715,0.0
41,1782781362.7110147,0.0
42,1782781366.8445728,0.0
43,1782781370.7512758,0.0
44,1782781374.6075194,0.0
45,1782781378.8966482,0.0
46,1782781382.5370753,0.0
47,1782781385.0605655,0.0
48,1782781388.8614495,0.0
49,1782781392.492864,0.0
50,1782781399.7943342,0.0
51,1782781404.7321901,0.0
52,1782781410.1248844,0.0
53,1782781413.0079365,0.0
54,1782781417.1759336,0.0
55,1782781420.5405157,0.0
56,1782781426.0865955,0.0
57,1782781437.4985907,0.0
58,1782781446.226054,0.0
59,1782781451.7515154,0.0
60,1782781460.3949509,0.0
61,1782781466.9185312,0.0
62,1782781470.045856,0.0
63,1782781477.8548152,0.0
64,1782781481.1161323,0.0
65,1782781484.9890468,0.0
66,1782781488.5912912,0.0
67,1782781492.2472346,0.0
68,1782781496.3543022,0.0
69,1782781500.9335377,0.0
70,1782781504.5312362,0.0
71,1782781512.2136102,0.0
72,1782781520.0051157,0.0
73,1782781522.7932713,0.0
74,1782781526.1630256,0.0
