step,wall_time,value
0,1782781154.4935021,0.0
1,1782781158.2486608,0.0
2,1782781163.5274336,0.0
3,1782781172.0636475,0.0
4,1782781177.1118357,0.0
5,1782781180.8939466,-30.0
6,1782781185.1423018,0.0
7,1782781189.402242,0.0
8,1782781193.3968372,0.0
9,1782781198.2543225,-30.0
10,1782781203.6470265,0.0
11,1782781208.4989893,-30.0
12,1782781210.9396887,0.0
13,1782781219.1504052,0.0
14,1782781222.7423582,0.0
15,1782781228.4876761,-30.0
16,1782781240.9634943,0.0
17,1782781245.1594603,0.0
18,1782781252.9813323,0.0
19,1782781256.3874114,0.0
20,1782781261.1922967,0.0
21,1782781264.8590147,-30.0
22,1782781272.7080057,0.0
23,1782781276.5786395,0.0
24,1782781283.3073115,0.0
25,1782781288.559528,0.0
26,1782781292.3377583,-30.0
27,1782781295.2524846,0.0
28,1782781303.4938126,0.0
29,1782781306.2400544,0.0
30,1782781309.7096987,-30.0
31,1782781314.6073735,0.0
32,1782781317.9614398,0.0
33,1782781325.2670696,0.0
34,1782781328.1385546,0.0
35,1782781338.1793613,0.0
36,1782781342.5598962,0.0
37,1782781346.8222075,-30.0
38,1782781351.2595174,0.0
39,1782781356.5504074,0.0
40,1782781359.6665177,0.0
41,1782781362.7110598,0.0
42,1782781366.8446465,-30.0
43,1782781370.7513175,0.0
44,1782781374.607584,0.0
45,1782781378.8967109,0.0
46,1782781382.5371246,-30.0
47,1782781385.0606284,0.0
48,1782781388.8615668,0.0
49,1782781392.4929404,0.0
50,1782781399.7944086,0.0
51,1782781404.732262,-30.0
52,1782781410.124928,0.0
53,1782781413.0080047,0.0
54,1782781417.1760077,0.0
55,1782781420.5406315,0.0
56,1782781426.0867782,-30.0
57,1782781437.4986784,0.0
58,1782781446.2261095,0.0
59,1782781451.7515945,0.0
60,1782781460.3950398,-30.0
61,1782781466.9186175,0.0
62,1782781470.0459042,0.0
63,1782781477.8548937,-30.0
64,1782781481.1161776,0.0
65,1782781484.9891336,0.0
66,1782781488.5913348,0.0
67,1782781492.247305,0.0
68,1782781496.3543818,0.0
69,1782781500.9336298,0.0
70,1782781504.5313244,0.0
71,1782781512.2137036,0.0
72,1782781520.0051448,0.0
73,1782781522.793344,-30.0
74,1782781526.1630967,0.0
75,1782781529.2358065,0.0
76,1782781531.8041313,0.0
77,1782781536.339939,0.0
78,1782781542.1034703,0.0
79,1782781546.8503718,-30.0
80,1782781550.101512,-30.0
81,1782781557.6235409,0.0
82,1782781563.6391602,0.0
83,1782781571.198469,-30.0
84,1782781576.2936223,0.0
85,1782781580.7008905,0.0
86,1782781588.2577784,0.0
87,1782781590.474324,0.0
88,1782781596.1180673,0.0
89,1782781600.1147652,0.0
90,1782781604.606335,0.0
91,1782781609.7018428,0.0
92,1782781612.2587106,0.0
93,1782781619.7817771,0.0
94,1782781622.4088883,0.0
95,1782781627.7118378,-30.0
96,1782781631.1859574,-30.0
97,1782781639.306056,0.0
98,1782781643.3012075,-30.0
99,1782781647.4686518,0.0
100,1782781651.09089,-30.0
101,1782781659.0922277,0.0
102,1782781663.9197848,0.0
103,1782781666.6704273,0.0
104,1782781674.7553356,0.0
105,1782781684.668225,0.0
106,1782781687.9833853,0.0
107,1782781692.2346096,0.0
108,1782781697.9520772,0.0
109,1782781701.781856,0.0
110,1782781707.2344327,0.0
111,1782781711.0331457,0.0
112,1782781712.7609003,0.0
113,1782781715.1799781,0.0
114,1782781718.2569256,0.0
115,1782781723.0814588,0.0
116,1782781727.342665,0.0
117,1782781730.378711,0.0
118,1782781732.5914223,0.0
119,1782781736.1952791,0.0
120,1782781740.689955,0.0
121,1782781744.9656422,0.0
122,1782781750.2510815,0.0
123,1782781752.693097,0.0
124,1782781755.9198625,-30.0
125,1782781757.9868646,-30.0
126,1782781760.8050885,-30.0
127,1782781765.608418,0.0
128,1782781771.1202717,0.0
129,1782781775.1125782,0.0
130,1782781777.4610565,0.0
131,1782781779.535125,-30.0
132,1782781783.753012,0.0
133,1782781785.0502212,-30.0
