step,wall_time,value
0,1782781154.492895,2.0
1,1782781158.2476687,-24.0
2,1782781163.526895,2.277848958969116
3,1782781172.0631244,0.1889733225107193
4,1782781177.1106374,3.8282978534698486
5,1782781180.8930168,-24.0
6,1782781185.141427,3.476698160171509
7,1782781189.4016294,2.797731637954712
8,1782781193.39627,2.6421239376068115
9,1782781198.2537355,-24.0
10,1782781203.6463706,-24.0
11,1782781208.4982526,-24.0
12,1782781210.9389994,2.0
13,1782781219.1496801,1.2914010286331177
14,1782781222.741631,2.0
15,1782781228.4867098,-24.0
16,1782781240.9627314,2.0
17,1782781245.1584275,-24.0
18,1782781252.9803843,2.6441893577575684
19,1782781256.3863277,1.399199366569519
20,1782781261.1909459,2.0
21,1782781264.858066,-24.0
22,1782781272.7070515,2.0
23,1782781276.5777814,-24.0
24,1782781283.3067315,2.9963061809539795
25,1782781288.5590267,0.2176784873008728
26,1782781292.3367724,-24.0
27,1782781295.2515392,1.1745028495788574
28,1782781303.4930732,2.0
29,1782781306.2394624,3.355302572250366
30,1782781309.7089741,-24.0
31,1782781314.6069036,-24.0
32,1782781317.9606164,1.9813774824142456
33,1782781325.2662535,2.0
34,1782781328.1374142,3.3786778450012207
35,1782781338.1784356,3.4208767414093018
36,1782781342.5586007,3.6238605976104736
37,1782781346.8213122,-24.0
38,1782781351.2585614,2.0
39,1782781356.5497339,-24.0
40,1782781359.6656961,0.8536151051521301
41,1782781362.7103734,2.429960012435913
42,1782781366.843693,-24.0
43,1782781370.7506378,2.7622523307800293
44,1782781374.6069279,3.120959758758545
45,1782781378.8962371,2.813184976577759
46,1782781382.5366573,-24.0
47,1782781385.0600586,1.9510316848754883
48,1782781388.860688,-24.0
49,1782781392.4922783,3.0148427486419678
50,1782781399.793617,-24.0
51,1782781404.731654,-24.0
52,1782781410.1242297,-24.0
53,1782781413.0070171,3.5623655319213867
54,1782781417.175165,-24.0
55,1782781420.5397232,3.573568344116211
56,1782781426.0858908,-24.0
57,1782781437.4979525,3.7083942890167236
58,1782781446.2251084,2.3734254837036133
59,1782781451.7505355,3.5291635990142822
60,1782781460.3943458,-24.0
61,1782781466.9175863,-24.0
62,1782781470.0452485,3.754002571105957
63,1782781477.8542886,-24.0
64,1782781481.115327,3.5795130729675293
65,1782781484.988277,-24.0
66,1782781488.5907333,3.729461669921875
67,1782781492.2466242,1.2140356302261353
68,1782781496.3534346,3.1724445819854736
69,1782781500.932863,3.3176467418670654
70,1782781504.5304563,2.0
71,1782781512.2130132,0.7355629205703735
72,1782781520.0037956,3.3556880950927734
73,1782781522.792637,-24.0
74,1782781526.162446,2.0
75,1782781529.2352314,2.1061818599700928
76,1782781531.8031619,2.0367884635925293
77,1782781536.339375,-24.0
78,1782781542.1026359,2.801084280014038
79,1782781546.849905,-24.0
80,1782781550.1007578,-24.0
81,1782781557.6229014,2.0
82,1782781563.6380332,-24.0
83,1782781571.197558,-24.0
84,1782781576.2927291,3.187290906906128
85,1782781580.7000124,-24.0
86,1782781588.2569082,-24.0
87,1782781590.4737284,3.874819040298462
88,1782781596.117175,-24.0
89,1782781600.1140413,2.0
90,1782781604.605657,2.0
91,1782781609.701316,-24.0
92,1782781612.258153,2.9222209453582764
93,1782781619.7808218,2.6480395793914795
94,1782781622.4078531,3.557734727859497
95,1782781627.71123,-24.0
96,1782781631.1850028,-24.0
97,1782781639.3051546,3.9258830547332764
98,1782781643.3003807,-24.0
99,1782781647.4681,2.999525308609009
100,1782781651.0896196,-24.0
101,1782781659.0916586,3.120199680328369
102,1782781663.918578,-24.0
103,1782781666.6690753,2.249574899673462
104,1782781674.754814,2.1519877910614014
105,1782781684.667565,2.7768847942352295
106,1782781687.982671,2.6998515129089355
107,1782781692.233905,2.6369900703430176
108,1782781697.951154,2.7857282161712646
109,1782781701.7810862,-24.0
110,1782781707.2338643,4.0
111,1782781711.032538,-24.0
112,1782781712.760436,-24.0
113,1782781715.1793249,-24.0
114,1782781718.2563617,-24.0
115,1782781723.0807211,-24.0
116,1782781727.3418968,-24.0
117,1782781730.3779278,-24.0
118,1782781732.590692,2.9571070671081543
119,1782781736.1932118,0.18601028621196747
120,1782781740.689151,3.526949167251587
121,1782781744.9650009,3.5248775482177734
122,1782781750.2505035,2.0
123,1782781752.6926396,-24.0
124,1782781755.919125,-24.0
125,1782781757.9863691,-24.0
126,1782781760.8040514,-24.0
127,1782781765.6078615,4.0
128,1782781771.1198554,0.5411919355392456
129,1782781775.1115878,-24.0
130,1782781777.459612,3.6470067501068115
131,1782781779.534533,-24.0
132,1782781783.752395,1.349212646484375
133,1782781785.049296,-24.0
134,1782781790.128099,4.0
135,1782781791.9332361,-24.0
136,1782781795.4619806,4.0
137,1782781798.634165,-24.0
138,1782781799.99844,-24.0
139,1782781802.0921955,-24.0
140,1782781805.9512634,-24.0
141,1782781808.605999,3.6692957878112793
142,1782781812.7424173,-24.0
143,1782781815.3185415,0.9688517451286316
144,1782781817.498479,-24.0
145,1782781821.4451673,-24.0
146,1782781823.2509665,-24.0
147,1782781826.5970907,-24.0
148,1782781828.7743256,-24.0
149,1782781830.2162492,-24.0
150,1782781831.7706268,0.41216588020324707
151,1782781833.5384405,0.2490759938955307
152,1782781838.4944623,-24.0
153,1782781840.3974428,-24.0
154,1782781842.6071312,-24.0
155,1782781846.0446446,2.322389841079712
156,1782781847.8815546,-24.0
157,1782781851.9473593,-24.0
158,1782781853.8759196,-24.0
159,1782781857.2731802,-24.0
160,1782781861.4852195,2.2765841484069824
161,1782781865.4785278,0.03808141499757767
162,1782781869.794512,-24.0
163,1782781874.3486757,3.316114664077759
164,1782781877.5141094,2.1254498958587646
165,1782781882.8311224,2.0
166,1782781884.3745172,-24.0
167,1782781893.9281688,-24.0
168,1782781896.608953,-24.0
169,1782781900.2329843,-24.0
170,1782781904.8006773,1.8959441184997559
171,1782781906.2592523,-24.0
172,1782781907.8186476,-24.0
173,1782781910.2469506,-24.0
174,1782781911.5967789,-24.0
175,1782781913.0228014,-24.0
176,1782781917.5385907,-24.0
177,1782781922.0638597,-24.0
178,1782781928.217936,-24.0
179,1782781930.0933237,-24.0
180,1782781931.864067,-24.0
181,1782781934.0387397,-24.0
182,1782781935.6124432,0.8903107643127441
183,1782781939.9410896,0.09053774178028107
184,1782781945.147126,-24.0
185,1782781947.1275733,-24.0
186,1782781950.286385,-24.0
187,1782781955.1046486,-24.0
188,1782781959.8886967,1.385804295539856
189,1782781961.6394515,0.5104274153709412
190,1782781966.7435696,-24.0
191,1782781968.783092,0.13479897379875183
192,1782781970.6126006,-24.0
193,1782781971.9804447,-24.0
194,1782781976.5971925,-24.0
195,1782781979.177909,-24.0
196,1782781983.4219418,-24.0
197,1782781986.83676,1.53289794921875
198,1782781988.7475154,-24.0
199,1782781991.4953315,1.6329673528671265
