step,wall_time,value
7000,1780540826.2448604,1.0
14000,1780541211.3824296,1.0
21000,1780541604.6252606,1.0
28000,1780541998.6212382,1.0
35000,1780542395.346802,1.0
42000,1780542787.610669,1.0
49000,1780543177.267952,1.0
56000,1780543585.905594,1.0
63000,1780544015.3771205,1.0
70000,1780544465.494671,1.0
77000,1780544937.8976815,1.0
84000,1780545426.1854172,1.0
91000,1780545889.694858,1.0
98000,1780546285.8775303,1.0
105000,1780546672.2961607,1.0
112000,1780547049.1509972,1.0
119000,1780547430.430177,1.0
126000,1780547815.1564822,1.0
133000,1780548200.280246,1.0
140000,1780548574.557748,1.0
147000,1780548962.0415816,1.0
154000,1780549355.3557246,1.0
161000,1780549758.9130867,1.0
168000,1780550151.9020329,1.0
175000,1780550548.2509775,1.0
182000,1780550952.3409195,1.0
189000,1780551335.2504592,1.0
196000,1780551712.9917192,1.0
203000,1780552101.631877,1.0
210000,1780552494.8645694,1.0
217000,1780552884.5251765,1.0
224000,1780553277.7487838,1.0
231000,1780553661.903545,1.0
238000,1780554045.3978653,1.0
245000,1780554435.9150367,1.0
252000,1780554821.6360185,1.0
259000,1780555208.7837512,1.0
266000,1780555587.6526256,1.0
273000,1780555974.060432,1.0
280000,1780556359.2863255,1.0
287000,1780556746.3110766,1.0
294000,1780557142.5902407,1.0
301000,1780557537.9457798,1.0
308000,1780557939.4080124,1.0
315000,1780558348.6728563,1.0
364000,1780604406.5249052,1.0
371000,1780604792.5965757,1.0
378000,1780605187.838589,1.0
385000,1780605568.5712385,1.0
392000,1780605954.5427961,1.0
399000,1780606350.1444128,1.0
406000,1780606735.4967654,1.0
413000,1780607122.5551775,1.0
420000,1780607514.826952,1.0
427000,1780607902.1477313,1.0
434000,1780608301.1447494,1.0
441000,1780608694.082749,1.0
448000,1780609095.1366634,1.0
455000,1780609471.2288873,1.0
462000,1780609880.0023563,1.0
469000,1780610275.4060733,1.0
