step,wall_time,value
0,1780540443.386168,0.30000001192092896
1,1780540451.2934136,0.0
2,1780540455.5994182,0.0
3,1780540460.3642998,0.0
4,1780540466.8488169,0.0
5,1780540470.3119311,0.0
6,1780540479.585509,0.0
7,1780540485.00353,0.0
8,1780540495.5748444,0.0
9,1780540499.5790994,0.0
10,1780540503.5343225,0.0
11,1780540506.7682476,0.0
12,1780540512.5905378,0.0
13,1780540516.991921,0.0
14,1780540523.4859216,0.0
15,1780540526.929761,0.0
16,1780540532.3191767,0.30000001192092896
17,1780540539.8879495,0.0
18,1780540543.729162,0.0
19,1780540547.6136453,0.0
20,1780540550.8656507,0.0
21,1780540554.4783087,0.0
22,1780540560.7784588,0.0
23,1780540576.282432,0.0
24,1780540579.9908981,0.0
25,1780540582.4871855,0.0
26,1780540585.947299,0.0
27,1780540590.9582875,0.0
28,1780540596.34845,0.0
29,1780540603.2044106,0.0
30,1780540606.057862,0.30000001192092896
31,1780540608.4325752,0.0
32,1780540611.7571094,0.0
33,1780540615.6416852,0.0
34,1780540619.694295,0.0
35,1780540623.614608,0.0
36,1780540630.3972685,0.0
37,1780540634.2442052,0.0
38,1780540640.4552763,0.0
39,1780540647.100951,0.0
40,1780540650.7786622,0.0
41,1780540659.1530724,0.0
42,1780540669.7032208,0.30000001192092896
43,1780540674.7878544,0.0
44,1780540678.212634,0.0
45,1780540683.8441546,0.0
46,1780540687.6333554,0.0
47,1780540690.9289842,0.0
48,1780540695.1000514,0.0
49,1780540698.6402223,0.0
50,1780540706.8974717,0.0
51,1780540710.1050735,0.0
52,1780540713.875778,0.0
53,1780540716.2713385,0.30000001192092896
54,1780540719.2234483,0.0
55,1780540722.6333303,0.0
56,1780540725.9545546,0.30000001192092896
57,1780540729.4326427,0.0
58,1780540733.2832851,0.0
59,1780540736.6348732,0.0
60,1780540743.0522952,0.0
61,1780540749.6253078,0.0
62,1780540759.588011,0.0
63,1780540767.1671028,0.0
64,1780540772.6347973,0.0
65,1780540776.7137523,0.0
66,1780540781.786148,0.0
67,1780540787.0939863,0.0
68,1780540791.949877,0.0
69,1780540797.5308464,0.0
70,1780540801.033104,0.30000001192092896
71,1780540811.4152098,0.0
72,1780540815.879426,0.0
73,1780540819.451615,0.0
74,1780540832.4432251,0.0
75,1780540838.6522546,0.0
76,1780540845.4537263,0.0
77,1780540850.665933,0.0
78,1780540854.0312383,0.0
79,1780540856.8355904,0.0
80,1780540860.1689541,0.0
81,1780540866.3021703,0.0
82,1780540871.5878134,0.0
83,1780540876.6342309,0.0
84,1780540880.2700152,0.0
85,1780540883.265361,0.0
86,1780540886.7074332,0.30000001192092896
