step,wall_time,value
0,1780540443.3854744,-11.197772979736328
1,1780540451.292129,-6.888855934143066
2,1780540455.5989943,0.0
3,1780540460.358684,5.683797836303711
4,1780540466.8481345,3.6494104862213135
5,1780540470.3110073,-20.62247085571289
6,1780540479.5849664,0.0
7,1780540485.0028167,0.0
8,1780540495.57386,3.2966535091400146
9,1780540499.578249,-13.924501419067383
10,1780540503.5336337,-17.600635528564453
11,1780540506.7676296,-9.851916313171387
12,1780540512.5897768,0.0
13,1780540516.991227,5.008248329162598
14,1780540523.485078,-6.825449466705322
15,1780540526.9289331,-17.643918991088867
16,1780540532.3182847,-16.8221435546875
17,1780540539.886697,-6.771996021270752
18,1780540543.7282112,-7.595016002655029
19,1780540547.6129584,3.360710620880127
20,1780540550.8649867,8.97376537322998
21,1780540554.4775734,-8.877676963806152
22,1780540560.777675,-17.566993713378906
23,1780540576.2817123,-11.866943359375
24,1780540579.989949,-17.400121688842773
25,1780540582.486319,-8.832833290100098
26,1780540585.9464922,7.989891052246094
27,1780540590.9578445,-16.402294158935547
28,1780540596.342531,8.08359432220459
29,1780540603.203654,-17.522871017456055
30,1780540606.0572467,5.570683479309082
31,1780540608.431701,-9.038640022277832
32,1780540611.7563512,-7.232536315917969
33,1780540615.6409829,-13.383371353149414
34,1780540619.693466,3.89629864692688
35,1780540623.6139472,5.047686576843262
36,1780540630.3966308,-6.587675094604492
37,1780540634.2434628,5.638253688812256
38,1780540640.454409,0.0
39,1780540647.0997415,-7.324972629547119
40,1780540650.7778792,-15.499987602233887
41,1780540659.1520174,3.8237812519073486
42,1780540669.7022376,-7.884248733520508
43,1780540674.78691,-14.032861709594727
44,1780540678.21164,3.623718500137329
45,1780540683.8435361,-15.067154884338379
46,1780540687.6328406,-15.749725341796875
47,1780540690.9284344,5.890567302703857
48,1780540695.0995078,-9.852293014526367
49,1780540698.6396935,-21.707054138183594
50,1780540706.8964593,-12.808565139770508
51,1780540710.1039875,3.430908441543579
52,1780540713.874493,0.0
53,1780540716.2703333,8.6140775680542
54,1780540719.2225342,-9.18212604522705
55,1780540722.6327746,-21.29960060119629
56,1780540725.9539225,-21.535247802734375
57,1780540729.4318314,-9.220842361450195
58,1780540733.282735,0.0
59,1780540736.6341481,-16.183115005493164
60,1780540743.0515594,-6.628537178039551
61,1780540749.6247118,0.0
62,1780540759.587146,-21.944698333740234
63,1780540767.1661742,-6.981425762176514
64,1780540772.6289947,-10.161151885986328
65,1780540776.7129705,-22.466936111450195
66,1780540781.7851737,0.0
67,1780540787.0931535,8.749359130859375
68,1780540791.949147,-11.542003631591797
69,1780540797.5300846,-13.992746353149414
70,1780540801.0323982,-11.690451622009277
71,1780540811.4142702,-8.800946235656738
72,1780540815.8783083,-13.436210632324219
73,1780540819.4507084,3.3970210552215576
74,1780540832.4421408,-7.027303218841553
75,1780540838.6514227,-14.711540222167969
76,1780540845.4530563,-7.220875263214111
77,1780540850.6652176,0.0
78,1780540854.0303402,3.4952428340911865
79,1780540856.8346443,5.591501235961914
80,1780540860.1683273,-9.349584579467773
81,1780540866.301429,-14.017305374145508
82,1780540871.5820875,7.9474287033081055
83,1780540876.6333916,5.98004674911499
84,1780540880.2693734,-15.330692291259766
85,1780540883.2646403,8.739270210266113
