step,wall_time,value
78,1780540443.3853545,-102.42151641845703
226,1780540451.2920048,-1456.4051513671875
296,1780540455.598857,-477.6077575683594
383,1780540460.3584661,-621.5322875976562
505,1780540466.8478065,-885.862060546875
565,1780540470.310785,-364.1318054199219
741,1780540479.584757,-1459.0540771484375
841,1780540485.0026069,-373.0025329589844
1043,1780540495.5736282,-1662.5574951171875
1114,1780540499.5780182,-514.5369873046875
1180,1780540503.5334535,185.69961547851562
1231,1780540506.7673953,-323.9334716796875
1339,1780540512.589651,-174.3519744873047
1418,1780540516.9910588,-358.27410888671875
1536,1780540523.4848526,-496.43646240234375
1591,1780540526.928707,170.548828125
1685,1780540532.3180797,-898.4843139648438
1827,1780540539.8864508,135.0731201171875
1895,1780540543.7279909,-346.46044921875
1961,1780540547.612713,332.3066101074219
2010,1780540550.8646705,26.55790138244629
2068,1780540554.4773278,-115.25621795654297
2185,1780540560.777447,-568.7215576171875
2484,1780540576.2814674,-462.4938049316406
2548,1780540579.989721,6.8483195304870605
2589,1780540582.4860926,-114.83773803710938
2649,1780540585.9462755,-238.66116333007812
2741,1780540590.9576466,-1064.761962890625
2841,1780540596.3422954,-845.43896484375
2969,1780540603.2034352,-1076.35888671875
3016,1780540606.057092,-336.00439453125
3052,1780540608.4314601,-428.0889587402344
3110,1780540611.7560644,-481.00640869140625
3179,1780540615.6406746,-285.9058532714844
3250,1780540619.693247,-347.19061279296875
3320,1780540623.613739,-392.1304016113281
3443,1780540630.3964045,-916.5054931640625
3507,1780540634.2432537,-458.46246337890625
3621,1780540640.4542027,56.42765808105469
3746,1780540647.0995033,260.0176696777344
3811,1780540650.7776484,-135.3089141845703
3968,1780540659.1517835,-1085.083740234375
4168,1780540669.7020202,-1118.07568359375
4260,1780540674.7866962,-586.2669677734375
4321,1780540678.2114089,-419.0596618652344
4424,1780540683.8432963,-1119.7667236328125
4490,1780540687.6326342,-238.2957305908203
4545,1780540690.9282255,-257.824462890625
4617,1780540695.0992255,-382.986083984375
4678,1780540698.6394813,-443.34344482421875
4835,1780540706.8962374,-1758.9744873046875
4891,1780540710.1037562,-230.1325225830078
4958,1780540713.8742647,246.9456329345703
4997,1780540716.2701104,-128.4398651123047
5047,1780540719.2223668,-345.5744323730469
5106,1780540722.6325552,-281.4181823730469
5163,1780540725.9536927,-42.63850021362305
5223,1780540729.4316142,85.60601806640625
5292,1780540733.2825084,200.5967254638672
5351,1780540736.6338956,-247.60263061523438
5469,1780540743.0513284,469.5732421875
5587,1780540749.6244807,431.50726318359375
5774,1780540759.5869243,-1072.1063232421875
5917,1780540767.1659513,-52.218177795410156
6017,1780540772.6287656,-765.9353637695312
6089,1780540776.712767,157.3444061279297
6182,1780540781.7849476,-126.0107192993164
6280,1780540787.0929198,-465.88916015625
6369,1780540791.94893,-774.1046142578125
6473,1780540797.529881,-1219.610107421875
6533,1780540801.032195,-305.2934265136719
6729,1780540811.4140434,-1067.5494384765625
6810,1780540815.8780913,-531.1842041015625
6872,1780540819.4504006,314.0129089355469
7123,1780540832.4418921,-807.782470703125
7240,1780540838.6512048,-1201.1107177734375
7370,1780540845.4528573,-795.644287109375
7465,1780540850.6649818,-43.99702835083008
7522,1780540854.030113,-19.93195152282715
7568,1780540856.8344135,-325.99884033203125
7624,1780540860.1682007,-365.88006591796875
7736,1780540866.3012333,-80.42656707763672
7834,1780540871.5818644,-995.5695190429688
7926,1780540876.633269,-306.56475830078125
7990,1780540880.2692168,-449.8526916503906
8040,1780540883.264429,-132.557861328125
8100,1780540886.706468,-363.927978515625
8147,1780540889.493536,-371.00885009765625
8203,1780540892.7255425,76.28094482421875
8332,1780540899.5829852,-238.79437255859375
8432,1780540904.9386792,-133.9846954345703
8512,1780540909.6154172,438.6023864746094
8651,1780540917.2940767,18.088247299194336
8717,1780540921.0822067,-499.2572021484375
8781,1780540924.8144965,-536.7827758789062
8899,1780540931.150148,-414.32098388671875
9030,1780540938.0340889,-898.1659545898438
9082,1780540941.002906,-471.3995666503906
9153,1780540945.0178056,-334.73516845703125
9208,1780540948.2624846,-478.8210144042969
9267,1780540951.636853,-235.999267578125
9363,1780540956.9751542,-841.96044921875
9503,1780540964.4023008,577.7247924804688
9712,1780540975.3410811,-958.4324951171875
9778,1780540979.1440232,-495.7652893066406
9850,1780540983.393031,419.86737060546875
9952,1780540989.0866206,-208.6405792236328
10001,1780540991.904109,-438.7389221191406
10079,1780540996.2806458,-253.01451110839844
10387,1780541012.1806202,-2170.296875
10465,1780541016.5529733,-511.8082275390625
10630,1780541025.3848372,-1546.32470703125
10750,1780541031.7025578,-445.64874267578125
10877,1780541038.5365853,-1011.97900390625
10943,1780541042.3791838,-373.0580139160156
10998,1780541045.6031241,-197.34742736816406
11101,1780541051.2847507,-395.1602783203125
11197,1780541056.654221,-961.7581787109375
11247,1780541059.5053816,-84.92435455322266
11296,1780541062.3836317,-181.67340087890625
11390,1780541067.5269117,-954.5457763671875
11479,1780541072.5330892,-892.779296875
11650,1780541081.399065,-1361.5439453125
11738,1780541086.087823,-939.3660888671875
11855,1780541092.2389023,-1263.1832275390625
11911,1780541095.4129467,-417.62347412109375
11969,1780541098.731148,-365.64471435546875
12052,1780541103.3314145,-277.96868896484375
12117,1780541106.985114,-442.20489501953125
12232,1780541113.1531734,-1009.4205322265625
12306,1780541117.2522147,274.44073486328125
12395,1780541122.3499818,-817.0167846679688
12474,1780541126.834021,195.4207000732422
12541,1780541130.7813632,-109.47541046142578
12639,1780541136.179411,-220.59030151367188
12697,1780541139.5490842,-316.4396667480469
12780,1780541144.2130842,134.82391357421875
12959,1780541153.656743,-1763.029541015625
13024,1780541157.4463544,-267.2179260253906
13101,1780541161.8278737,-500.7355041503906
13216,1780541168.0526874,289.3103942871094
13278,1780541171.6997147,-602.5028686523438
13461,1780541181.3265545,-1286.7530517578125
13553,1780541186.32848,-953.66259765625
13606,1780541189.473783,-2.5145418643951416
13749,1780541197.2378561,-809.6336669921875
13862,1780541203.5000134,773.599365234375
13980,1780541209.886391,589.2984619140625
14100,1780541216.433194,-463.96771240234375
14155,1780541219.7172914,-219.36239624023438
14196,1780541222.1599362,69.75481414794922
14238,1780541224.7565706,-54.700679779052734
14326,1780541229.4616954,-848.3556518554688
14423,1780541234.637927,-598.5536499023438
14537,1780541240.7113273,-1138.2357177734375
14627,1780541245.643803,-29.184385299682617
14664,1780541248.0039635,-346.8804016113281
14759,1780541253.1861672,-749.4522705078125
14824,1780541256.9469154,-274.71539306640625
14880,1780541260.2309864,-334.28350830078125
14983,1780541265.8928955,-405.8092041015625
15105,1780541272.8351035,-377.68609619140625
15214,1780541278.9073925,-715.3067016601562
15343,1780541285.8297992,-201.06655883789062
15411,1780541289.6448479,275.1183776855469
15476,1780541293.4049895,423.2441101074219
15619,1780541301.1568484,-28.361173629760742
15677,1780541304.5203707,-388.27020263671875
15795,1780541310.8631425,-528.6873168945312
15864,1780541314.733915,-502.2799072265625
15990,1780541321.6771233,-444.32159423828125
16087,1780541327.2690964,-1008.6834716796875
16156,1780541331.1023107,-456.11749267578125
16213,1780541334.418721,-461.9649353027344
16277,1780541338.1089792,-212.29605102539062
16326,1780541341.0321891,-70.65840911865234
16360,1780541343.0956094,-205.11734008789062
16432,1780541347.1964765,-401.8202209472656
16472,1780541349.6839538,-166.05511474609375
16616,1780541357.330511,-492.3044128417969
16734,1780541363.7994306,-327.15069580078125
16899,1780541372.8604531,-576.7235717773438
16945,1780541375.6609457,-443.0152587890625
16986,1780541378.2521224,-95.81104278564453
17020,1780541380.4113727,-232.44163513183594
17104,1780541385.0678794,438.6387939453125
17196,1780541390.1142282,-430.6632080078125
17260,1780541393.8000047,-483.2577209472656
17337,1780541398.2143385,-197.5557861328125
17395,1780541401.6015692,-391.9163818359375
17483,1780541406.3812592,-885.4308471679688
17555,1780541410.5880184,-544.0513916015625
17610,1780541413.830077,-296.789794921875
17695,1780541418.4997745,534.8209228515625
17772,1780541422.7690217,-418.62890625
17870,1780541428.1170123,-588.3665771484375
17933,1780541431.7218056,315.73992919921875
18068,1780541438.9485493,-172.9247283935547
18125,1780541442.245116,-198.25706481933594
18179,1780541445.356957,-391.0436706542969
18285,1780541451.251145,-754.000244140625
18364,1780541455.8933637,-407.5475769042969
18429,1780541459.780254,-267.58123779296875
18487,1780541463.303553,-291.8526306152344
18532,1780541466.0411882,-134.58172607421875
18594,1780541469.7213123,-433.1851806640625
18642,1780541472.666803,-1.8111224174499512
18723,1780541477.2533107,-472.0337829589844
18807,1780541481.9586575,-389.1942138671875
18860,1780541485.1514006,-408.3850402832031
19040,1780541494.7326148,-789.5313110351562
19104,1780541498.7529182,-318.33013916015625
19207,1780541504.5163293,-1169.99853515625
19497,1780541519.6039019,-2673.5498046875
19554,1780541522.8671298,74.8510971069336
19590,1780541525.1656113,-317.21856689453125
19671,1780541529.8312535,-335.26153564453125
19756,1780541534.6463594,-46.50035858154297
19838,1780541539.2467995,-375.8053283691406
20059,1780541550.9777818,-1597.6007080078125
20117,1780541554.4742002,-312.0899658203125
20251,1780541562.0360348,1.1960184574127197
20298,1780541564.964335,-37.25379943847656
20344,1780541567.6897323,-248.0035858154297
20380,1780541570.016513,-137.77821350097656
20416,1780541572.3297198,-285.6931457519531
20492,1780541576.624748,504.0096740722656
20647,1780541584.8579807,-1577.876708984375
20696,1780541587.7731023,-410.3463439941406
20778,1780541592.3712566,-328.1566467285156
20836,1780541595.7220025,-429.6646728515625
21020,1780541605.655123,-1072.5677490234375
21115,1780541610.8308718,-902.2288818359375
21240,1780541617.67775,150.04078674316406
21360,1780541624.3312776,-2.3992655277252197
21426,1780541628.140466,-270.61199951171875
21550,1780541634.9298973,-278.02154541015625
21617,1780541638.8991914,-389.9522705078125
21662,1780541641.7150502,-48.77137756347656
21727,1780541645.4974165,-586.2899780273438
21821,1780541650.7834995,-152.5473175048828
21900,1780541655.4388287,-460.4075012207031
21980,1780541660.0366437,-142.71775817871094
22101,1780541666.6535516,-306.3385314941406
22264,1780541675.3412526,-650.3422241210938
22424,1780541683.8558366,-1513.6204833984375
22542,1780541690.365033,632.5325927734375
22609,1780541694.3573165,-420.52880859375
22655,1780541697.2518628,-96.11793518066406
22755,1780541702.776712,-844.1134033203125
22807,1780541705.941273,180.20640563964844
22853,1780541709.1291778,-137.75038146972656
22998,1780541716.8833215,-1123.0477294921875
23043,1780541719.784118,-17.44928550720215
23135,1780541725.0855715,-787.4352416992188
23309,1780541734.366268,-2164.147705078125
23386,1780541738.84791,9.6529541015625
