step,wall_time,value
0,1782007312.4569943,124.0
1,1782007316.275762,64.0
2,1782007321.211275,78.0
3,1782007324.7185595,59.0
4,1782007329.8113456,91.0
5,1782007337.9222116,151.0
6,1782007342.0674846,72.0
7,1782007347.8442957,105.0
8,1782007353.1705453,99.0
9,1782007356.5669742,60.0
10,1782007360.3209717,65.0
11,1782007365.9696121,101.0
12,1782007372.5687826,120.0
13,1782007378.7912126,111.0
14,1782007382.9697292,72.0
15,1782007386.5366492,59.0
16,1782007392.4889991,110.0
17,1782007397.6670742,90.0
18,1782007402.7522733,91.0
19,1782007410.1323833,136.0
20,1782007413.9051738,60.0
21,1782007417.493566,57.0
22,1782007426.4494781,168.0
23,1782007430.4080505,69.0
24,1782007440.0322182,182.0
25,1782007443.8399777,64.0
26,1782007449.1406488,96.0
27,1782007460.3392594,208.0
28,1782007470.852294,193.0
29,1782007474.288225,57.0
30,1782007485.6313457,206.0
31,1782007494.41024,159.0
32,1782007499.671363,85.0
33,1782007503.106236,43.0
34,1782007506.7639017,59.0
35,1782007510.3445153,55.0
36,1782007514.35386,66.0
37,1782007519.2716794,85.0
38,1782007522.470968,50.0
39,1782007530.309619,144.0
40,1782007533.6159837,58.0
41,1782007543.3530314,175.0
42,1782007561.236938,344.0
43,1782007567.4720292,113.0
44,1782007571.809957,68.0
45,1782007575.9985917,67.0
46,1782007578.6135879,41.0
47,1782007583.2154498,80.0
48,1782007586.8702743,61.0
49,1782007590.4257393,60.0
50,1782007596.7968917,116.0
51,1782007602.2046678,92.0
52,1782007607.4002051,87.0
53,1782007613.0686324,100.0
54,1782007618.2406676,90.0
55,1782007625.0766497,120.0
56,1782007630.7073147,102.0
57,1782007635.1829433,76.0
58,1782007643.2695813,149.0
59,1782007645.7607293,38.0
60,1782007651.4663033,90.0
61,1782007657.2646,92.0
62,1782007660.4708502,53.0
63,1782007663.942658,59.0
64,1782007669.8296769,104.0
65,1782007673.0019138,50.0
66,1782007676.746278,60.0
67,1782007681.8096519,89.0
68,1782007685.7297022,58.0
69,1782007689.4683251,55.0
70,1782007693.2885036,63.0
71,1782007697.3426487,61.0
72,1782007701.2551541,65.0
73,1782007704.9045463,61.0
74,1782007707.5727377,43.0
75,1782007710.724988,55.0
76,1782007714.5779483,67.0
77,1782007718.4516416,61.0
78,1782007720.975796,37.0
79,1782007725.0804272,68.0
80,1782007729.4135332,75.0
81,1782007732.0772557,40.0
82,1782007738.8763635,120.0
83,1782007742.3423038,58.0
84,1782007746.5694551,72.0
85,1782007748.977294,36.0
86,1782007760.1324306,212.0
87,1782007763.729386,61.0
88,1782007775.56433,212.0
89,1782007778.3083456,40.0
90,1782007792.3827639,266.0
91,1782007796.2416093,61.0
92,1782007799.866444,60.0
93,1782007802.6600642,38.0
94,1782007809.0407784,114.0
95,1782007812.500997,60.0
96,1782007816.322145,63.0
97,1782007821.3322496,90.0
98,1782007824.842992,60.0
99,1782007828.057373,47.0
100,1782007832.6861594,76.0
101,1782007840.0763874,132.0
102,1782007844.886163,86.0
103,1782007848.9407136,63.0
104,1782007853.0206406,63.0
105,1782007857.1971855,68.0
106,1782007862.7166266,99.0
107,1782007866.7624013,70.0
108,1782007870.0142066,53.0
109,1782007875.2192366,92.0
110,1782007877.3908446,34.0
111,1782007881.430994,70.0
112,1782007886.1257887,80.0
113,1782007889.4643483,54.0
114,1782007893.201236,62.0
115,1782007898.7524626,100.0
116,1782007902.7319226,67.0
117,1782007911.5825715,161.0
118,1782007917.09307,99.0
119,1782007928.1123104,205.0
120,1782007932.9164782,88.0
121,1782007936.8992448,67.0
122,1782007946.402257,177.0
123,1782007953.7442226,136.0
124,1782007957.215827,56.0
125,1782007962.3699453,88.0
126,1782007966.9248586,77.0
127,1782007971.9361842,87.0
128,1782007975.6079345,62.0
129,1782007985.7635987,187.0
130,1782007995.21422,173.0
131,1782007998.6190948,55.0
132,1782008001.128327,39.0
133,1782008005.4195163,68.0
134,1782008014.4214141,159.0
135,1782008018.0901227,57.0
136,1782008022.1976194,69.0
137,1782008026.8892295,80.0
138,1782008032.4000912,98.0
139,1782008034.77841,37.0
140,1782008040.6286192,109.0
141,1782008044.918752,71.0
142,1782008057.3025522,235.0
143,1782008059.8730521,43.0
144,1782008062.5215745,43.0
145,1782008067.6160965,86.0
146,1782008071.6270852,64.0
147,1782008075.419253,64.0
148,1782008078.5159001,51.0
149,1782008084.3246899,100.0
150,1782008089.2151833,86.0
151,1782008092.0250895,41.0
152,1782008102.712505,203.0
153,1782008110.8320386,150.0
154,1782008115.7631106,83.0
155,1782008120.0123904,72.0
156,1782008125.0784981,90.0
157,1782008134.1723275,170.0
158,1782008138.070187,63.0
159,1782008142.5091665,74.0
160,1782008148.428834,107.0
161,1782008153.9983506,99.0
162,1782008156.4421182,41.0
163,1782008161.5521348,87.0
164,1782008163.9968884,35.0
165,1782008171.0934384,131.0
166,1782008174.3234882,54.0
167,1782008178.6550312,75.0
168,1782008182.2745109,60.0
169,1782008185.8296106,59.0
170,1782008191.9779968,110.0
171,1782008194.954256,43.0
172,1782008197.745285,48.0
173,1782008206.119435,158.0
174,1782008212.2136471,114.0
175,1782008219.0742073,123.0
176,1782008222.680227,59.0
177,1782008226.7108784,67.0
178,1782008232.925955,109.0
179,1782008237.3503237,76.0
180,1782008249.9496477,239.0
181,1782008254.3058314,74.0
182,1782008260.2933753,109.0
183,1782008264.3794112,70.0
184,1782008270.0020773,102.0
185,1782008278.5558875,158.0
186,1782008290.68104,228.0
187,1782008293.3224375,44.0
188,1782008299.657535,117.0
189,1782008304.5225375,86.0
190,1782008309.6700363,88.0
191,1782008313.308279,56.0
