step,wall_time,value
0,1782007312.4571,0.0
1,1782007316.2758656,0.0
2,1782007321.2116587,-50.0
3,1782007324.7188303,0.0
4,1782007329.8114984,0.0
5,1782007337.922392,0.0
6,1782007342.0677032,-50.0
7,1782007347.8445685,-50.0
8,1782007353.1707456,0.0
9,1782007356.5672057,0.0
10,1782007360.321179,-50.0
11,1782007365.9697397,-50.0
12,1782007372.5689528,0.0
13,1782007378.791335,0.0
14,1782007382.9699922,-50.0
15,1782007386.536834,0.0
16,1782007392.4892344,-50.0
17,1782007397.6672692,-50.0
18,1782007402.7524564,-50.0
19,1782007410.132628,0.0
20,1782007413.905365,0.0
21,1782007417.4937718,0.0
22,1782007426.4497013,0.0
23,1782007430.4082394,0.0
24,1782007440.0324492,0.0
25,1782007443.840149,0.0
26,1782007449.140814,0.0
27,1782007460.3394897,-50.0
28,1782007470.8524427,0.0
29,1782007474.288453,0.0
30,1782007485.631595,0.0
31,1782007494.4104424,0.0
32,1782007499.6715655,0.0
33,1782007503.1066504,0.0
34,1782007506.7640803,0.0
35,1782007510.3447495,0.0
36,1782007514.354046,-50.0
37,1782007519.2718809,0.0
38,1782007522.471098,0.0
39,1782007530.3098145,-50.0
40,1782007533.616188,0.0
41,1782007543.3532073,0.0
42,1782007561.2371595,0.0
43,1782007567.47229,0.0
44,1782007571.8101232,-50.0
45,1782007575.9987836,-50.0
46,1782007578.6137815,0.0
47,1782007583.2156413,-50.0
48,1782007586.8704817,0.0
49,1782007590.42594,0.0
50,1782007596.7970188,0.0
51,1782007602.2048671,0.0
52,1782007607.4003892,0.0
53,1782007613.0687618,0.0
54,1782007618.2408423,0.0
55,1782007625.0768337,0.0
56,1782007630.7075276,-50.0
57,1782007635.1831038,0.0
58,1782007643.2698162,0.0
59,1782007645.7609289,0.0
60,1782007651.4665308,0.0
61,1782007657.264734,0.0
62,1782007660.471037,0.0
63,1782007663.9428642,0.0
64,1782007669.829887,-50.0
65,1782007673.0021508,0.0
66,1782007676.7464821,0.0
67,1782007681.8099942,0.0
68,1782007685.729894,0.0
69,1782007689.4684877,0.0
70,1782007693.2886703,0.0
71,1782007697.3428795,0.0
72,1782007701.2553701,0.0
73,1782007704.9047432,0.0
74,1782007707.5729723,0.0
75,1782007710.7251863,0.0
76,1782007714.578247,0.0
77,1782007718.4518352,0.0
78,1782007720.9760456,0.0
79,1782007725.0806382,0.0
80,1782007729.4137208,-50.0
81,1782007732.0774908,0.0
82,1782007738.8765013,0.0
83,1782007742.342506,0.0
84,1782007746.569598,-50.0
85,1782007748.9774988,0.0
86,1782007760.1326487,0.0
87,1782007763.729707,0.0
88,1782007775.564571,-50.0
89,1782007778.3085139,0.0
90,1782007792.3830228,0.0
91,1782007796.2417943,0.0
92,1782007799.8669972,0.0
93,1782007802.6602497,0.0
94,1782007809.0413713,-50.0
95,1782007812.501162,0.0
96,1782007816.3223457,0.0
97,1782007821.3324878,0.0
98,1782007824.8432481,0.0
99,1782007828.0575976,0.0
100,1782007832.686368,0.0
101,1782007840.0765502,0.0
102,1782007844.8863368,0.0
103,1782007848.9410634,-50.0
104,1782007853.0209806,-50.0
105,1782007857.1974075,-50.0
106,1782007862.716796,0.0
107,1782007866.762616,-50.0
108,1782007870.0143886,0.0
109,1782007875.2194202,0.0
110,1782007877.3910697,0.0
111,1782007881.431228,-50.0
112,1782007886.1260169,-50.0
113,1782007889.4645593,0.0
114,1782007893.2014623,0.0
115,1782007898.752644,0.0
116,1782007902.7320783,-50.0
117,1782007911.5827756,0.0
118,1782007917.0933042,0.0
119,1782007928.1125228,0.0
120,1782007932.916659,-50.0
121,1782007936.899438,-50.0
122,1782007946.4023988,0.0
123,1782007953.744416,0.0
124,1782007957.215994,0.0
125,1782007962.3701422,-50.0
126,1782007966.9250731,0.0
127,1782007971.9363697,0.0
128,1782007975.6081111,0.0
129,1782007985.7637432,0.0
130,1782007995.21438,-50.0
131,1782007998.6194417,0.0
132,1782008001.1284645,0.0
133,1782008005.4197314,-50.0
134,1782008014.4216225,0.0
135,1782008018.0902753,0.0
136,1782008022.197806,0.0
137,1782008026.8893714,0.0
138,1782008032.4006824,0.0
139,1782008034.7786205,0.0
140,1782008040.6287913,0.0
141,1782008044.9189472,0.0
142,1782008057.302691,0.0
143,1782008059.873274,0.0
144,1782008062.5217192,0.0
145,1782008067.6164317,0.0
146,1782008071.6272812,-50.0
147,1782008075.419435,0.0
148,1782008078.5161111,0.0
149,1782008084.3248372,0.0
150,1782008089.2153714,0.0
151,1782008092.0252795,0.0
152,1782008102.712697,-50.0
153,1782008110.8322306,0.0
154,1782008115.7632523,0.0
155,1782008120.012599,0.0
156,1782008125.0786905,0.0
157,1782008134.1725626,-50.0
158,1782008138.0703225,-50.0
159,1782008142.5093582,-50.0
160,1782008148.4290378,0.0
161,1782008153.998574,-50.0
162,1782008156.442335,0.0
163,1782008161.552328,-50.0
164,1782008163.997107,0.0
165,1782008171.0937326,0.0
166,1782008174.3237007,-50.0
167,1782008178.6551504,0.0
168,1782008182.2747502,0.0
169,1782008185.8297875,0.0
170,1782008191.978179,0.0
171,1782008194.9545116,0.0
172,1782008197.7454958,0.0
173,1782008206.1196513,0.0
174,1782008212.213836,-50.0
175,1782008219.07445,0.0
176,1782008222.6805062,0.0
177,1782008226.711126,0.0
178,1782008232.9261115,0.0
179,1782008237.3505132,0.0
180,1782008249.9498532,-50.0
181,1782008254.306035,-50.0
182,1782008260.293593,0.0
183,1782008264.379606,0.0
184,1782008270.002273,0.0
185,1782008278.5560813,-50.0
186,1782008290.6811917,0.0
187,1782008293.3226995,0.0
188,1782008299.6577284,0.0
189,1782008304.5227523,0.0
190,1782008309.6702185,0.0
191,1782008313.3085108,0.0
192,1782008324.0156991,0.0
193,1782008327.9297245,0.0
194,1782008332.8111057,0.0
195,1782008336.7277386,-50.0
196,1782008339.9837503,0.0
197,1782008345.9645884,-50.0
198,1782008355.1563776,0.0
199,1782008369.0177002,0.0
200,1782008373.2612724,0.0
201,1782008383.204518,-50.0
202,1782008386.9002125,0.0
203,1782008392.6137261,0.0
204,1782008395.4150765,0.0
205,1782008402.760419,0.0
206,1782008407.6171618,-50.0
207,1782008412.96853,0.0
208,1782008416.042602,0.0
209,1782008422.3581023,-50.0
210,1782008425.454197,0.0
211,1782008432.3794124,0.0
212,1782008438.354408,-50.0
213,1782008444.8639896,0.0
214,1782008449.9708958,-50.0
215,1782008454.0328655,0.0
216,1782008458.4469142,-50.0
217,1782008462.0756276,0.0
218,1782008466.0754774,0.0
219,1782008471.4779737,-50.0
220,1782008477.6156244,-50.0
221,1782008481.8934295,0.0
222,1782008485.7242458,0.0
223,1782008493.968877,0.0
224,1782008499.6230266,-50.0
225,1782008519.970734,-50.0
226,1782008522.7005353,0.0
227,1782008527.27066,0.0
228,1782008530.1979394,0.0
229,1782008533.775906,0.0
230,1782008540.1826334,0.0
231,1782008544.8048546,-50.0
232,1782008549.4246795,0.0
233,1782008553.4520276,-50.0
234,1782008559.0162673,0.0
235,1782008564.536999,-50.0
236,1782008570.203001,0.0
237,1782008575.24798,-50.0
238,1782008584.214637,0.0
239,1782008588.0481231,0.0
240,1782008596.1322784,0.0
241,1782008602.227972,-50.0
242,1782008607.309103,0.0
243,1782008609.756637,0.0
244,1782008630.8021824,0.0
245,1782008640.058887,0.0
246,1782008652.1802142,0.0
247,1782008655.4602296,0.0
248,1782008659.4127164,0.0
249,1782008662.6681929,0.0
250,1782008666.6969428,-50.0
251,1782008672.4729154,0.0
252,1782008682.2285028,0.0
253,1782008691.5013719,0.0
254,1782008695.2954457,0.0
255,1782008700.9817514,0.0
256,1782008703.4465997,0.0
257,1782008706.3036017,0.0
258,1782008713.767707,-50.0
259,1782008718.033407,0.0
260,1782008721.5461957,0.0
261,1782008725.143728,0.0
262,1782008731.6233225,0.0
263,1782008734.1697028,0.0
264,1782008737.8642194,0.0
265,1782008746.3825579,0.0
266,1782008758.8487704,0.0
267,1782008761.59906,0.0
268,1782008765.1554341,0.0
269,1782008770.2607837,-50.0
270,1782008776.0935454,-50.0
271,1782008781.5062902,0.0
272,1782008788.395036,-50.0
273,1782008793.9286473,0.0
274,1782008796.7276106,0.0
275,1782008802.616245,0.0
276,1782008809.0279524,0.0
277,1782008814.0663395,-50.0
278,1782008818.0582876,0.0
279,1782008823.7767434,0.0
