step,wall_time,value
0,1782007312.4569135,553.5774536132812
1,1782007316.27564,304.1749267578125
2,1782007321.2111535,-323.74359130859375
3,1782007324.718452,34.57793045043945
4,1782007329.8112512,222.3240203857422
5,1782007337.9221437,-1430.60205078125
6,1782007342.0673943,-403.8617248535156
7,1782007347.8442123,-650.083251953125
8,1782007353.1704445,-473.6381530761719
9,1782007356.5668905,22.038339614868164
10,1782007360.3208904,-328.3689270019531
11,1782007365.9695575,-761.588623046875
12,1782007372.5687227,84.55410766601562
13,1782007378.791161,156.2173309326172
14,1782007382.9696543,-506.35223388671875
15,1782007386.536577,-216.37322998046875
16,1782007392.4889076,-653.3197631835938
17,1782007397.666994,-154.8511505126953
18,1782007402.7521994,-837.714599609375
19,1782007410.1322978,-539.4530639648438
20,1782007413.9051003,-92.4735107421875
21,1782007417.4934824,-476.77056884765625
22,1782007426.4493778,-470.918212890625
23,1782007430.4079733,-160.76852416992188
24,1782007440.0321176,-287.1067199707031
25,1782007443.8399074,395.7624816894531
26,1782007449.1405833,36.724369049072266
27,1782007460.3391757,-1439.5322265625
28,1782007470.852219,-529.9043579101562
29,1782007474.2881389,-84.83043670654297
30,1782007485.6312468,-1824.987060546875
31,1782007494.4101522,181.29505920410156
32,1782007499.6712873,413.7781982421875
33,1782007503.1060238,-91.32125854492188
34,1782007506.7638242,-345.16058349609375
35,1782007510.3444042,-166.40345764160156
36,1782007514.3537877,-263.4324951171875
37,1782007519.2715387,-506.0174865722656
38,1782007522.470911,-88.23683166503906
39,1782007530.3095396,-325.95989990234375
40,1782007533.6158922,-373.6011962890625
41,1782007543.352948,-1085.6513671875
42,1782007561.2368655,-522.2820434570312
43,1782007567.4718606,190.72694396972656
44,1782007571.8098626,-426.3864440917969
45,1782007575.9985132,-493.048095703125
46,1782007578.61351,-78.70640563964844
47,1782007583.2153747,-227.28399658203125
48,1782007586.8701901,-421.874267578125
49,1782007590.4256608,-540.6385498046875
50,1782007596.7968338,-282.2153015136719
51,1782007602.204588,308.1060485839844
52,1782007607.4001305,-381.24981689453125
53,1782007613.068579,-95.3122787475586
54,1782007618.2405927,-320.2507019042969
55,1782007625.0765748,-464.7547302246094
56,1782007630.707248,-1170.6895751953125
57,1782007635.182835,-603.7069091796875
58,1782007643.2694867,-621.1233520507812
59,1782007645.7606325,-135.36587524414062
60,1782007651.466177,-81.70642852783203
61,1782007657.2645447,-689.21240234375
62,1782007660.4707763,-49.0259895324707
63,1782007663.9425766,-297.7322082519531
64,1782007669.8295894,-1166.0960693359375
65,1782007673.0018082,-348.89691162109375
66,1782007676.746215,-420.45458984375
67,1782007681.8094459,245.52267456054688
68,1782007685.7296128,275.8944091796875
69,1782007689.4682622,-415.762939453125
70,1782007693.2883892,-91.3997573852539
71,1782007697.3425574,-332.9976806640625
72,1782007701.2550802,-147.04037475585938
73,1782007704.9044518,-460.6089782714844
74,1782007707.5726674,-153.08010864257812
75,1782007710.724908,68.50963592529297
76,1782007714.5778005,-504.5450134277344
77,1782007718.451568,13.359600067138672
78,1782007720.9756725,-104.45176696777344
79,1782007725.0803525,-225.485595703125
80,1782007729.413417,-407.77874755859375
81,1782007732.0771618,-181.39097595214844
82,1782007738.876303,-235.92672729492188
83,1782007742.3422277,-339.3516845703125
84,1782007746.569392,-357.0494689941406
85,1782007748.9772222,-368.9037780761719
86,1782007760.1323504,714.3277587890625
87,1782007763.7292895,-458.7651672363281
88,1782007775.564228,-1252.0743408203125
89,1782007778.3082886,-35.597511291503906
90,1782007792.3826733,-1377.5770263671875
91,1782007796.2415292,-271.3503112792969
92,1782007799.8661745,-297.6148681640625
93,1782007802.6599896,-163.78814697265625
94,1782007809.040638,-1081.3695068359375
95,1782007812.5009282,47.11665725708008
96,1782007816.32205,-413.4961853027344
97,1782007821.332123,178.17367553710938
98,1782007824.842893,-513.973876953125
99,1782007828.0573058,-195.42120361328125
100,1782007832.6860776,170.35867309570312
101,1782007840.0763273,-213.66342163085938
102,1782007844.8860931,-588.5905151367188
103,1782007848.940594,-432.14892578125
104,1782007853.0205398,-445.42437744140625
105,1782007857.19709,-123.47637176513672
106,1782007862.716549,-9.291692733764648
107,1782007866.7623234,-382.32281494140625
108,1782007870.0141318,140.7479705810547
109,1782007875.219165,-291.65594482421875
110,1782007877.390762,-196.05274963378906
111,1782007881.4309027,-452.55560302734375
112,1782007886.1257184,-338.2041320800781
113,1782007889.4642766,210.21409606933594
114,1782007893.2011502,2.9633028507232666
115,1782007898.7523935,-658.240478515625
116,1782007902.731853,-215.95103454589844
117,1782007911.5824997,-221.97340393066406
118,1782007917.0929973,-394.1154479980469
119,1782007928.112216,-805.7650146484375
120,1782007932.9163935,-716.710693359375
121,1782007936.899177,-525.6881713867188
122,1782007946.4021974,-208.04721069335938
123,1782007953.7441628,-920.8893432617188
124,1782007957.2157512,53.978145599365234
125,1782007962.3698661,-647.6947021484375
126,1782007966.924753,249.4068603515625
127,1782007971.9361098,-240.47178649902344
128,1782007975.6078627,-502.3231201171875
129,1782007985.7635343,-610.3623657226562
130,1782007995.2141504,-1012.6566162109375
131,1782007998.618945,63.58659362792969
132,1782008001.1282616,-143.03094482421875
133,1782008005.4193993,-365.29339599609375
134,1782008014.4213266,-682.6839599609375
135,1782008018.0900323,-431.00567626953125
136,1782008022.1975482,-705.2362670898438
137,1782008026.889171,-493.44854736328125
138,1782008032.3999813,-148.86367797851562
139,1782008034.7783341,-160.87330627441406
140,1782008040.6285398,-54.312232971191406
141,1782008044.9186857,-401.0970458984375
142,1782008057.3024926,-1488.377685546875
143,1782008059.8729692,-54.453208923339844
144,1782008062.5214548,-126.7679443359375
145,1782008067.6160014,-538.9177856445312
146,1782008071.6270082,-285.0153503417969
147,1782008075.4191825,4.9186320304870605
148,1782008078.515823,216.5883331298828
149,1782008084.3246222,-147.400146484375
150,1782008089.2151117,264.24713134765625
151,1782008092.025015,-401.110595703125
152,1782008102.7124104,-1424.0982666015625
153,1782008110.8319633,-1233.0380859375
154,1782008115.763036,-338.6705627441406
155,1782008120.0123143,-334.0132751464844
156,1782008125.0783627,180.1389923095703
157,1782008134.1722293,-858.1937866210938
158,1782008138.0701263,-362.58697509765625
159,1782008142.5090923,-468.8128967285156
160,1782008148.4287624,-295.2154541015625
161,1782008153.9982748,-830.4722900390625
162,1782008156.4420226,-158.71864318847656
163,1782008161.5520604,-97.74829864501953
164,1782008163.9968057,-360.9403076171875
165,1782008171.093341,-1407.0509033203125
166,1782008174.323398,-408.77587890625
167,1782008178.6549811,-106.37251281738281
168,1782008182.2744093,-255.33494567871094
169,1782008185.8295436,-82.55451202392578
170,1782008191.9779243,-1015.7115478515625
171,1782008194.9541752,-64.8047103881836
172,1782008197.745215,119.3805160522461
173,1782008206.1193595,61.90636444091797
174,1782008212.2135766,-1030.1458740234375
175,1782008219.0740716,101.85065460205078
176,1782008222.680132,-413.315185546875
177,1782008226.7107658,157.38247680664062
178,1782008232.9258945,-906.3147583007812
179,1782008237.3502536,-542.183349609375
180,1782008249.9495687,-2219.514404296875
181,1782008254.305753,-596.5045776367188
182,1782008260.2933035,-657.4406127929688
183,1782008264.3793354,-584.3681640625
184,1782008270.0019994,366.41973876953125
185,1782008278.5558088,-743.4342651367188
186,1782008290.6809804,-211.245849609375
187,1782008293.322325,-71.45218658447266
188,1782008299.6574407,-881.58544921875
189,1782008304.522444,-135.3256072998047
190,1782008309.6699636,-546.9888305664062
191,1782008313.308197,-306.8580627441406
192,1782008324.0153456,-1024.4393310546875
193,1782008327.929269,-44.84794235229492
194,1782008332.8108888,529.9014892578125
195,1782008336.7274482,-634.2373657226562
196,1782008339.9834812,-63.32758331298828
197,1782008345.964268,-863.9679565429688
198,1782008355.1561997,111.70233917236328
199,1782008369.0175173,-546.7525024414062
200,1782008373.2610888,-113.93572235107422
201,1782008383.2042615,-790.1749877929688
202,1782008386.8999624,-522.4163818359375
203,1782008392.6132967,372.8999328613281
204,1782008395.414763,-35.392433166503906
205,1782008402.7601607,-194.39578247070312
206,1782008407.6169083,-686.9761352539062
207,1782008412.968323,-950.2283935546875
208,1782008416.042327,57.849185943603516
209,1782008422.3577998,-1252.8602294921875
210,1782008425.4539695,-425.62689208984375
211,1782008432.3791797,-593.0076293945312
212,1782008438.3541088,-180.99319458007812
213,1782008444.863718,-791.2952270507812
214,1782008449.97068,-235.38046264648438
215,1782008454.032621,263.5152282714844
216,1782008458.4465704,-578.3809204101562
217,1782008462.0751395,-149.5639190673828
218,1782008466.074995,263.5623779296875
219,1782008471.477702,-773.8674926757812
220,1782008477.6152985,-1046.3221435546875
221,1782008481.893173,-576.135498046875
222,1782008485.7238996,-461.275634765625
223,1782008493.9686675,-1120.7445068359375
224,1782008499.6226242,-820.5833129882812
225,1782008519.9704769,-3327.762451171875
226,1782008522.700229,30.25172996520996
227,1782008527.2704768,-155.6124267578125
228,1782008530.1976216,-91.3676528930664
229,1782008533.7755833,-393.2161560058594
230,1782008540.1823423,-147.09495544433594
231,1782008544.8045805,-230.09835815429688
232,1782008549.4243598,158.63796997070312
233,1782008553.4518237,-335.7084655761719
234,1782008559.0158415,-486.9628601074219
235,1782008564.5366874,-108.08454132080078
236,1782008570.2027442,-838.2611694335938
