step,wall_time,value
0,1782007312.457059,-22.68344497680664
1,1782007316.2758234,-22.550647735595703
2,1782007321.2115736,-44.19343566894531
3,1782007324.7187867,-22.66105842590332
4,1782007329.811474,-23.72062110900879
5,1782007337.9223523,-176.76963806152344
6,1782007342.06765,-38.78984451293945
7,1782007347.844522,-111.77259063720703
8,1782007353.1707053,2.0445938110351562
9,1782007356.5671284,-22.5382137298584
10,1782007360.3211343,-39.7923583984375
11,1782007365.9697173,-150.5853271484375
12,1782007372.5689082,-18.072330474853516
13,1782007378.7913132,-22.637557983398438
14,1782007382.9699526,-47.457767486572266
15,1782007386.5367944,-33.69880676269531
16,1782007392.4891782,-113.58373260498047
17,1782007397.667229,-49.900001525878906
18,1782007402.7524185,-112.03954315185547
19,1782007410.132585,-66.51741027832031
20,1782007413.905327,-22.848907470703125
21,1782007417.493729,-22.663129806518555
22,1782007426.449658,-32.6735954284668
23,1782007430.4082012,-22.80146026611328
24,1782007440.0324028,-23.12196159362793
25,1782007443.8401158,-22.58444595336914
26,1782007449.1407816,-22.271747589111328
27,1782007460.339429,-19.825817108154297
28,1782007470.8524156,-22.605247497558594
29,1782007474.2884116,-25.509859085083008
30,1782007485.6315522,-32.9454460144043
31,1782007494.4104133,2.63566517829895
32,1782007499.6715393,-23.598939895629883
33,1782007503.1065993,-22.60720443725586
34,1782007506.76405,-23.523311614990234
35,1782007510.3447168,-22.715347290039062
36,1782007514.354008,-47.79500961303711
37,1782007519.271852,-66.54362487792969
38,1782007522.471075,-22.86444664001465
39,1782007530.3097742,-58.619930267333984
40,1782007533.6161554,-36.44007110595703
41,1782007543.3531816,-23.107206344604492
42,1782007561.237119,-23.690839767456055
43,1782007567.4722404,-22.766115188598633
44,1782007571.8100939,-34.848426818847656
45,1782007575.9987426,-44.613468170166016
46,1782007578.6137402,-22.821252822875977
47,1782007583.2156196,-45.366111755371094
48,1782007586.8704286,-45.77484130859375
49,1782007590.425897,-43.309165954589844
50,1782007596.7969959,-31.17922019958496
51,1782007602.2048292,-22.991315841674805
52,1782007607.4003513,-41.03293991088867
53,1782007613.0687394,-22.196178436279297
54,1782007618.2408104,-22.797338485717773
55,1782007625.076795,-23.916391372680664
56,1782007630.7074492,-224.5317840576172
57,1782007635.1830788,-22.64054298400879
58,1782007643.2697694,-24.962371826171875
59,1782007645.7608852,-22.22646713256836
60,1782007651.4664993,-22.489643096923828
61,1782007657.2647102,-34.23735427856445
62,1782007660.4709997,-22.758651733398438
63,1782007663.9428282,-38.05921173095703
64,1782007669.8298495,-224.6881866455078
65,1782007673.0021052,-23.12531852722168
66,1782007676.7464266,-27.42540168762207
67,1782007681.809934,-22.934173583984375
68,1782007685.7298665,-22.947065353393555
69,1782007689.4684494,-23.126480102539062
70,1782007693.288644,-24.094947814941406
71,1782007697.342834,-28.06680679321289
72,1782007701.255302,-22.90751075744629
73,1782007704.9047053,-45.25004959106445
74,1782007707.572932,-22.52035140991211
75,1782007710.7251487,-25.891796112060547
76,1782007714.578197,-21.215730667114258
77,1782007718.4518003,-22.565635681152344
78,1782007720.9760075,-22.66701316833496
79,1782007725.0806005,-23.201488494873047
80,1782007729.4136848,-40.10133743286133
81,1782007732.0774307,-23.254186630249023
82,1782007738.876477,-22.214191436767578
83,1782007742.3424568,-29.75677490234375
84,1782007746.5695765,-38.95093536376953
85,1782007748.9774408,-25.03809928894043
86,1782007760.132612,-21.852821350097656
87,1782007763.7296655,-50.98227310180664
88,1782007775.5645297,-48.34788131713867
89,1782007778.3084862,-23.373132705688477
90,1782007792.3829787,-23.27841567993164
91,1782007796.2417681,-34.954627990722656
92,1782007799.866901,-41.82925796508789
93,1782007802.6602123,-23.22854232788086
94,1782007809.0412884,-224.5612335205078
95,1782007812.5011344,-23.42559051513672
96,1782007816.322307,-72.1431884765625
97,1782007821.3324323,-25.791927337646484
98,1782007824.8431869,-13.575857162475586
99,1782007828.057572,-29.079721450805664
100,1782007832.686324,-21.840839385986328
101,1782007840.0765264,-23.548969268798828
102,1782007844.88631,-31.611719131469727
103,1782007848.940982,-46.9394416809082
104,1782007853.0208852,-46.506736755371094
105,1782007857.1973603,-47.36676788330078
106,1782007862.7167706,-25.76053237915039
107,1782007866.762578,-46.127708435058594
108,1782007870.0143523,-23.72214698791504
109,1782007875.2193782,-23.181245803833008
110,1782007877.3910062,-23.476604461669922
111,1782007881.4311829,-35.81560516357422
112,1782007886.1259735,-44.1074333190918
113,1782007889.4645228,-22.62898826599121
114,1782007893.2014165,-22.635438919067383
115,1782007898.7526171,-12.12673282623291
116,1782007902.732054,-48.03985595703125
117,1782007911.5827408,-22.95802879333496
118,1782007917.093242,-24.056230545043945
119,1782007928.1125004,-22.99195671081543
120,1782007932.9166248,-149.3942108154297
121,1782007936.8994045,-36.189815521240234
122,1782007946.4023736,-22.241104125976562
123,1782007953.7443786,-22.83924102783203
124,1782007957.2159672,-22.746074676513672
125,1782007962.370105,-111.57355499267578
126,1782007966.9250476,-21.57797622680664
127,1782007971.9363337,-23.337356567382812
128,1782007975.6080754,-51.048667907714844
129,1782007985.7637205,-23.875505447387695
130,1782007995.2143548,-224.21104431152344
131,1782007998.6194036,-22.634750366210938
132,1782008001.1284416,-22.963666915893555
133,1782008005.41969,-45.07736587524414
134,1782008014.421598,-29.117206573486328
135,1782008018.0902479,-23.904603958129883
136,1782008022.1977677,-30.387451171875
137,1782008026.889344,-23.29052734375
138,1782008032.4004257,-24.350589752197266
139,1782008034.7785797,-22.77569007873535
140,1782008040.6287663,-22.94413948059082
141,1782008044.918908,-23.749906539916992
142,1782008057.3026683,-17.621984481811523
143,1782008059.873229,-22.512338638305664
144,1782008062.521694,-22.389867782592773
145,1782008067.6163766,-56.331199645996094
146,1782008071.6272392,-40.129432678222656
147,1782008075.4193964,-23.032024383544922
148,1782008078.5160534,-22.3231258392334
149,1782008084.3248136,-22.97186279296875
150,1782008089.2153335,-22.553356170654297
151,1782008092.0252411,-22.67450523376465
152,1782008102.7126613,-112.92283630371094
153,1782008110.8321934,-23.968130111694336
154,1782008115.763229,-22.885732650756836
155,1782008120.0125606,-22.6871280670166
156,1782008125.0786529,-23.79447364807129
157,1782008134.1725245,-80.74140167236328
158,1782008138.0702996,-46.70928192138672
159,1782008142.5093207,-51.27733612060547
160,1782008148.4289923,-23.09889793395996
161,1782008153.9985285,-150.51910400390625
162,1782008156.4422998,-23.5830020904541
163,1782008161.552289,-71.19387817382812
164,1782008163.9970636,-27.62373161315918
165,1782008171.0936854,-23.11305046081543
166,1782008174.323657,-28.035139083862305
167,1782008178.6551297,-44.040008544921875
168,1782008182.2747135,-21.284883499145508
169,1782008185.829746,-25.19537925720215
170,1782008191.9781425,-69.7952651977539
171,1782008194.9544516,-23.70427131652832
172,1782008197.7454333,-22.78944969177246
173,1782008206.119616,-10.030671119689941
174,1782008212.2137961,-224.78981018066406
175,1782008219.0744057,-23.17152976989746
176,1782008222.6804442,-24.80827522277832
177,1782008226.7110708,-23.172832489013672
178,1782008232.9260821,-18.41697883605957
179,1782008237.350477,-46.04084396362305
180,1782008249.9498117,-225.4686737060547
181,1782008254.3059947,-38.81602096557617
182,1782008260.2935524,-43.3704948425293
183,1782008264.3795686,-23.385860443115234
184,1782008270.0022333,-22.37976837158203
185,1782008278.5560408,-39.342857360839844
186,1782008290.6811662,5.0
187,1782008293.3226593,-23.447708129882812
188,1782008299.6576889,-22.765005111694336
189,1782008304.5227103,5.0
190,1782008309.6701825,-35.378265380859375
191,1782008313.3084488,-22.665082931518555
192,1782008324.0156505,-22.847148895263672
193,1782008327.9296722,-23.25155258178711
194,1782008332.811082,-23.061742782592773
195,1782008336.7276964,-39.10386276245117
196,1782008339.9837122,-23.271913528442383
197,1782008345.9645414,-224.92469787597656
198,1782008355.156356,-22.172395706176758
199,1782008369.0176787,-36.38637924194336
200,1782008373.2612505,-23.576812744140625
201,1782008383.2044816,-35.9609489440918
202,1782008386.9001765,-56.99279022216797
203,1782008392.6136336,-22.60109519958496
204,1782008395.415041,-22.987842559814453
205,1782008402.7603788,-24.267192840576172
206,1782008407.6171246,-152.65289306640625
207,1782008412.968507,-24.29610824584961
208,1782008416.042562,-22.578413009643555
209,1782008422.3580587,-224.32029724121094
210,1782008425.4541686,-24.289073944091797
211,1782008432.379391,-23.02496910095215
212,1782008438.3543608,-60.3482551574707
213,1782008444.8639498,-13.398001670837402
214,1782008449.9708533,-46.01166915893555
215,1782008454.032829,-22.787290573120117
216,1782008458.4468524,-70.43453216552734
217,1782008462.0755546,-23.011459350585938
218,1782008466.0754054,-22.88741111755371
219,1782008471.4779317,-72.70706939697266
220,1782008477.6155763,-224.72816467285156
221,1782008481.893393,-31.526248931884766
222,1782008485.7242088,-59.406517028808594
223,1782008493.968841,-15.940291404724121
224,1782008499.622977,-150.64956665039062
225,1782008519.9706926,-110.14247131347656
226,1782008522.7004921,-22.992128372192383
227,1782008527.2706368,-22.795991897583008
228,1782008530.1979067,-22.940738677978516
229,1782008533.7758589,-24.842952728271484
230,1782008540.1825926,-23.277738571166992
231,1782008544.804815,-42.1999397277832
232,1782008549.4246342,-24.25136947631836
233,1782008553.451999,-44.13612365722656
234,1782008559.0162241,-24.995344161987305
235,1782008564.536952,1.5072804689407349
236,1782008570.2029665,-22.299989700317383
237,1782008575.247939,-152.01583862304688
238,1782008584.2145927,-23.43239402770996
239,1782008588.0480995,-23.276893615722656
240,1782008596.1322198,-80.5545883178711
241,1782008602.2279327,-224.45823669433594
242,1782008607.309081,-40.88570022583008
243,1782008609.7566087,-19.44512367248535
244,1782008630.8021429,-23.12920379638672
245,1782008640.0588408,-23.54039192199707
246,1782008652.1801653,-20.812707901000977
247,1782008655.4601946,-32.921390533447266
248,1782008659.4126713,-27.124055862426758
249,1782008662.66817,-23.516530990600586
250,1782008666.6969213,-46.389591217041016
251,1782008672.472892,-21.825054168701172
252,1782008682.2284434,-22.525907516479492
253,1782008691.5013328,-41.21468734741211
254,1782008695.295419,-38.67431640625
255,1782008700.9817028,-15.874601364135742
256,1782008703.446561,-23.146697998046875
257,1782008706.3035772,-21.930864334106445
258,1782008713.767667,-46.08108139038086
259,1782008718.0333853,5.0
260,1782008721.546147,-27.219764709472656
261,1782008725.1436894,-52.81264877319336
262,1782008731.6232975,-23.042287826538086
263,1782008734.1696799,-22.605266571044922
264,1782008737.8641822,-23.444019317626953
265,1782008746.3824594,-23.028579711914062
266,1782008758.8487334,-23.056638717651367
267,1782008761.5990212,-23.219863891601562
268,1782008765.1553888,-22.680055618286133
269,1782008770.2607524,-150.487060546875
270,1782008776.0934968,-110.88472747802734
271,1782008781.5062172,-23.317569732666016
272,1782008788.3949983,-44.496856689453125
273,1782008793.9286208,-33.871952056884766
274,1782008796.7275677,-22.759761810302734
275,1782008802.6162016,-22.47964859008789
276,1782008809.0279307,-47.611087799072266
277,1782008814.0662653,-151.55380249023438
278,1782008818.058249,-22.206707000732422
279,1782008823.7767036,-23.12027359008789
280,1782008830.0213113,-225.27076721191406
281,1782008835.7554448,-22.515167236328125
282,1782008840.28577,-39.98701477050781
283,1782008843.2682726,-23.50560760498047
284,1782008846.731188,-23.46026039123535
285,1782008853.306607,-44.84783172607422
286,1782008857.612017,-39.26774215698242
287,1782008861.72573,-39.08891677856445
288,1782008866.9212918,-150.06683349609375
289,1782008872.2625945,-42.47428894042969
290,1782008876.9890258,-45.63755798339844
291,1782008881.4194174,-22.37428855895996
292,1782008889.853575,-402.9117431640625
293,1782008895.8317602,-30.83347511291504
294,1782008900.8592951,-45.04104232788086
295,1782008912.9934108,-22.45916748046875
296,1782008921.12771,-49.34294891357422
297,1782008925.9332042,-23.607969284057617
298,1782008931.4169748,-46.1375732421875
299,1782008935.7881622,-44.72761535644531
300,1782008940.2256045,-22.54981231689453
301,1782008944.7668889,-16.507110595703125
302,1782008948.3572223,-23.107967376708984
303,1782008958.7922006,-22.822050094604492
304,1782008967.1801453,-22.817895889282227
305,1782008970.4458385,-22.582040786743164
306,1782008980.8985412,-22.675188064575195
307,1782008991.4270844,-23.66004180908203
308,1782008998.267628,-27.913902282714844
309,1782009003.8306072,-22.638029098510742
310,1782009008.9669983,-45.13282775878906
311,1782009016.4157395,-22.621753692626953
312,1782009020.1936922,-41.15115737915039
313,1782009023.517949,-23.081348419189453
314,1782009026.4254813,-22.638105392456055
315,1782009033.8577197,-167.8114776611328
316,1782009038.0136838,-23.400331497192383
317,1782009043.9716747,-44.93449783325195
318,1782009049.2881188,-38.93504333496094
319,1782009054.41243,-44.09545135498047
320,1782009066.172987,-22.02297019958496
321,1782009070.6780565,-32.36061096191406
322,1782009080.2961974,-23.39389419555664
323,1782009083.3953576,-22.903467178344727
324,1782009087.144874,-49.49552917480469
325,1782009097.154667,-27.776325225830078
326,1782009100.6868746,-23.922393798828125
327,1782009107.7598,-21.874731063842773
328,1782009111.1586463,-22.571929931640625
329,1782009117.0397809,-23.310317993164062
330,1782009123.8625216,-14.013429641723633
331,1782009129.0197752,-98.47428894042969
332,1782009134.3854313,-45.837127685546875
333,1782009139.525414,-38.368553161621094
334,1782009149.8003235,-23.759366989135742
335,1782009156.763856,-54.76496124267578
336,1782009163.8348782,-26.670528411865234
337,1782009168.8401237,-42.414146423339844
338,1782009178.9415362,-22.64675521850586
339,1782009186.8358238,-22.639301300048828
340,1782009190.280747,-32.708091735839844
341,1782009195.465837,-23.51959228515625
342,1782009199.4023468,-22.60320472717285
343,1782009202.5119927,-23.09610366821289
344,1782009207.262496,-22.274473190307617
345,1782009218.925537,-29.56589126586914
346,1782009225.0144796,-41.05126190185547
347,1782009228.4096036,-22.50537109375
348,1782009233.2987845,-47.00007629394531
349,1782009238.519192,-22.962974548339844
350,1782009242.551932,-46.4231071472168
351,1782009247.9147408,-45.236968994140625
352,1782009256.8700256,-24.005338668823242
353,1782009263.0005395,-22.9361515045166
354,1782009267.5993237,-22.79067039489746
355,1782009278.217877,-22.86827278137207
356,1782009282.7693067,-37.36945343017578
357,1782009286.7706242,-21.853225708007812
358,1782009297.1620975,-23.785120010375977
359,1782009304.9024446,-110.58556365966797
360,1782009317.4211423,-35.116329193115234
361,1782009321.2593608,-37.25837707519531
362,1782009323.9304302,-22.599407196044922
363,1782009327.7472808,-10.92402172088623
364,1782009333.6858532,-22.71257209777832
365,1782009341.9348516,-224.6222686767578
366,1782009346.848903,-52.83528137207031
367,1782009351.6785781,-28.955461502075195
368,1782009354.3150973,-22.85546112060547
369,1782009357.344936,-23.04779052734375
370,1782009362.3637855,-111.34613800048828
371,1782009369.3084078,-105.75303649902344
372,1782009379.4529395,-22.56429100036621
373,1782009387.8442097,-22.79352569580078
374,1782009394.07027,-22.71982765197754
375,1782009396.8544035,-21.84260368347168
376,1782009409.4045575,-22.62889862060547
377,1782009413.2916942,-45.83358383178711
378,1782009416.1255705,-22.78361701965332
379,1782009420.5388553,-22.221691131591797
380,1782009428.788263,-142.1644287109375
381,1782009435.475426,-23.475387573242188
382,1782009439.5512185,-44.73973083496094
383,1782009447.740833,-35.60877990722656
384,1782009457.9809391,-17.061365127563477
385,1782009463.0731032,-112.32512664794922
386,1782009467.4192908,-22.9803466796875
387,1782009471.8063865,-22.29623794555664
388,1782009481.673212,-31.130796432495117
389,1782009487.6197906,-224.4129180908203
390,1782009491.2464502,-23.786001205444336
391,1782009494.15477,-22.79941177368164
392,1782009498.0202224,-66.0803451538086
393,1782009500.5813901,-22.624540328979492
394,1782009504.8628843,-45.80330276489258
395,1782009508.528421,-23.084400177001953
396,1782009511.8336847,-23.555376052856445
397,1782009518.3013399,-24.05440902709961
398,1782009524.297779,-22.67868995666504
399,1782009530.0572453,-33.206947326660156
400,1782009536.0215857,-179.89129638671875
401,1782009542.823348,-22.74688720703125
402,1782009548.4684515,-224.8534393310547
403,1782009558.5804605,-23.55245590209961
404,1782009564.9727905,-39.73423767089844
405,1782009569.5804265,-22.752676010131836
406,1782009574.904108,-16.9957332611084
407,1782009581.413603,-225.67832946777344
