step,wall_time,value
0,1782007312.4580057,-6.85057258605957
1,1782007316.2767668,-6.842409133911133
2,1782007321.212506,-7.071900367736816
3,1782007324.7248082,-6.854343414306641
4,1782007329.8175874,-6.847928047180176
5,1782007337.9230978,-6.851991653442383
6,1782007342.068315,-7.342891693115234
7,1782007347.845544,-6.983964443206787
8,1782007353.1716187,-6.85091495513916
9,1782007356.568021,-6.842443943023682
10,1782007360.3220272,-7.056674957275391
11,1782007365.9705603,-7.161510467529297
12,1782007372.5696638,-6.840779781341553
13,1782007378.7918408,-7.015814781188965
14,1782007382.97076,-7.3667120933532715
15,1782007386.5376096,-6.842531681060791
16,1782007392.489898,-7.139618396759033
17,1782007397.668094,-6.70335054397583
18,1782007402.758382,-7.264851093292236
19,1782007410.1335394,-7.172158718109131
20,1782007413.9062262,-6.842188358306885
21,1782007417.4949045,-6.8441691398620605
22,1782007426.450535,-6.8334736824035645
23,1782007430.4089344,-6.851296424865723
24,1782007440.033299,-6.852266788482666
25,1782007443.84095,-6.847185134887695
26,1782007449.1415496,-6.8468546867370605
27,1782007460.3405182,-7.314899444580078
28,1782007470.8532214,-6.847727298736572
29,1782007474.2893553,-6.84314489364624
30,1782007485.6323814,-6.844851016998291
31,1782007494.4114184,-6.602181434631348
32,1782007499.6722224,-6.851608753204346
33,1782007503.108545,-6.8369975090026855
34,1782007506.7648776,-6.843024253845215
35,1782007510.3510947,-6.843163013458252
36,1782007514.354871,-7.0241265296936035
37,1782007519.27284,-6.98162841796875
38,1782007522.4724276,-6.881346702575684
39,1782007530.3105035,-7.206245422363281
40,1782007533.6170878,-6.84030294418335
41,1782007543.3539705,-6.847273349761963
42,1782007561.238061,-6.846953868865967
43,1782007567.4742787,-6.851990222930908
44,1782007571.8111684,-7.334388732910156
45,1782007575.9998207,-7.260074615478516
46,1782007578.6145947,-6.842720985412598
47,1782007583.216188,-6.930757999420166
48,1782007586.8714275,-6.8428730964660645
49,1782007590.4268677,-6.835242748260498
50,1782007596.7978766,-6.830650806427002
51,1782007602.2057161,-6.845120906829834
52,1782007607.400997,-6.850156784057617
53,1782007613.0694454,-6.8482279777526855
54,1782007618.2414892,-6.848789215087891
55,1782007625.0777001,-6.851432800292969
56,1782007630.7082913,-6.852061748504639
57,1782007635.183984,-6.854958534240723
58,1782007643.2706943,-6.848289966583252
59,1782007645.7617366,-6.842190265655518
60,1782007651.4676101,-6.852420806884766
61,1782007657.2654095,-6.459262371063232
62,1782007660.4719074,-6.838330268859863
63,1782007663.9438968,-7.0066819190979
64,1782007669.8307536,-6.851454734802246
65,1782007673.003187,-6.843432426452637
66,1782007676.747482,-6.962343692779541
67,1782007681.8118927,-6.82381534576416
68,1782007685.730774,-6.8457794189453125
69,1782007689.4691882,-6.843618869781494
70,1782007693.28979,-7.284282684326172
71,1782007697.3439052,-6.841150283813477
72,1782007701.2561567,-6.842720985412598
73,1782007704.905321,-6.8690314292907715
74,1782007707.5739632,-6.840911865234375
75,1782007710.7258558,-6.847934722900391
76,1782007714.5795252,-6.8475799560546875
77,1782007718.4524922,-6.841466903686523
78,1782007720.9769804,-6.841585636138916
79,1782007725.0813675,-6.8485260009765625
80,1782007729.4143715,-7.291848182678223
81,1782007732.0782368,-6.842913627624512
82,1782007738.8771906,-6.927284240722656
83,1782007742.3431377,-7.067797660827637
84,1782007746.5702796,-7.007786273956299
85,1782007748.9782255,-6.841579437255859
86,1782007760.1335237,-6.854766845703125
87,1782007763.7308881,-6.819314956665039
88,1782007775.5654898,-7.022250175476074
89,1782007778.3093426,-6.842313766479492
90,1782007792.3839824,-6.849874496459961
91,1782007796.242767,-6.84290885925293
92,1782007799.8705268,-6.764131546020508
93,1782007802.6611195,-6.842403411865234
94,1782007809.0431616,-6.853295803070068
95,1782007812.502217,-6.8461713790893555
96,1782007816.3231769,-6.8758864402771
97,1782007821.333275,-6.847579479217529
98,1782007824.8439941,-6.842898845672607
99,1782007828.0582175,-6.859932899475098
100,1782007832.687241,-6.846136093139648
101,1782007840.0775867,-6.8507795333862305
102,1782007844.8870406,-6.846242904663086
103,1782007848.9421315,-7.229955196380615
104,1782007853.0220976,-7.112589359283447
105,1782007857.198406,-6.995257377624512
106,1782007862.7174497,-6.847399711608887
107,1782007866.763099,-7.435305595397949
108,1782007870.0151174,-6.8500447273254395
109,1782007875.220415,-6.846227169036865
110,1782007877.3919897,-6.841336250305176
111,1782007881.4321969,-7.304903030395508
112,1782007886.12665,-6.982264041900635
113,1782007889.465256,-6.844980716705322
114,1782007893.2021909,-6.939876556396484
115,1782007898.7534115,-6.844817638397217
116,1782007902.7330747,-6.832956790924072
117,1782007911.583403,-6.847172737121582
118,1782007917.0941627,-6.841091156005859
119,1782007928.1131725,-6.850186824798584
120,1782007932.9174416,-7.314525127410889
121,1782007936.9002364,-7.182367324829102
122,1782007946.403435,-6.848300933837891
123,1782007953.745134,-6.898709297180176
124,1782007957.2166965,-6.842380523681641
125,1782007962.3708026,-7.213743686676025
126,1782007966.9261804,-6.827951908111572
127,1782007971.936999,-6.845729351043701
128,1782007975.6088166,-6.643075466156006
129,1782007985.764678,-6.849219799041748
130,1782007995.215127,-6.848411560058594
131,1782007998.6216238,-6.839188575744629
132,1782008001.129336,-6.842455863952637
133,1782008005.4205484,-6.787619113922119
134,1782008014.422341,-6.848242282867432
135,1782008018.090932,-6.843099117279053
136,1782008022.198447,-7.2821831703186035
137,1782008026.8900702,-6.9366374015808105
138,1782008032.4079196,-6.845062255859375
139,1782008034.779561,-6.841257095336914
140,1782008040.6294603,-6.84860897064209
141,1782008044.9198039,-6.851637840270996
142,1782008057.3031998,-6.783310413360596
143,1782008059.8739686,-6.842775344848633
144,1782008062.5222108,-6.843018531799316
145,1782008067.6173658,-6.845786094665527
146,1782008071.6279259,-6.833387851715088
147,1782008075.420124,-6.912186622619629
148,1782008078.5168164,-6.847672462463379
149,1782008084.3255005,-6.848903656005859
150,1782008089.2160392,-6.55275821685791
151,1782008092.026024,-6.842380523681641
152,1782008102.7133105,-6.695566177368164
153,1782008110.833264,-6.922395706176758
154,1782008115.7638943,-6.881992340087891
155,1782008120.0132468,-6.849932670593262
156,1782008125.0794587,-6.867929458618164
157,1782008134.1732237,-6.88707971572876
158,1782008138.071084,-7.021580696105957
159,1782008142.5102432,-6.7098917961120605
160,1782008148.4299421,-6.810194492340088
161,1782008153.999182,-7.12265157699585
162,1782008156.4429371,-6.842625617980957
163,1782008161.5531213,-7.022620677947998
164,1782008163.9981372,-6.973512649536133
165,1782008171.0944312,-6.936174392700195
166,1782008174.3244004,-7.279741287231445
167,1782008178.6557665,-6.554996490478516
168,1782008182.275638,-6.678586959838867
169,1782008185.8306684,-6.843976974487305
170,1782008191.9789429,-7.111212730407715
171,1782008194.9553478,-6.842269420623779
172,1782008197.7463663,-6.841895580291748
173,1782008206.1203978,-6.851177215576172
174,1782008212.214646,-6.9527692794799805
175,1782008219.0753882,-6.878203392028809
176,1782008222.681498,-6.841794013977051
177,1782008226.7128706,-6.820875644683838
178,1782008232.9268947,-6.850408554077148
179,1782008237.3512485,-6.784717559814453
180,1782008249.9507675,-6.848948001861572
181,1782008254.3070166,-7.18426513671875
182,1782008260.2945418,-6.549638748168945
183,1782008264.3802943,-6.851893901824951
184,1782008270.0029724,-6.872677803039551
185,1782008278.5568924,-7.431570053100586
186,1782008290.6818333,-6.816963195800781
187,1782008293.3234086,-6.8380303382873535
188,1782008299.6585176,-6.846658229827881
189,1782008304.5236373,-6.855814456939697
190,1782008309.6712072,-6.8517327308654785
191,1782008313.309848,-7.053023815155029
192,1782008324.0164843,-6.9092583656311035
193,1782008327.9306152,-6.84138298034668
194,1782008332.8117452,-6.867370128631592
195,1782008336.728605,-7.227008819580078
196,1782008339.9845161,-6.837048530578613
197,1782008345.965424,-6.85052490234375
198,1782008355.1571808,-6.846635818481445
199,1782008369.0185492,-6.807594299316406
200,1782008373.2618656,-6.84874963760376
201,1782008383.2052553,-6.867520809173584
202,1782008386.9010844,-6.712329864501953
203,1782008392.6147609,-6.852718353271484
204,1782008395.4157326,-6.843142032623291
205,1782008402.7612915,-6.855612754821777
206,1782008407.6182666,-6.844902038574219
207,1782008412.9693854,-7.022593021392822
208,1782008416.0435402,-6.913792133331299
209,1782008422.358906,-6.8499274253845215
210,1782008425.4549084,-6.842161178588867
211,1782008432.380041,-6.859036445617676
212,1782008438.355282,-7.806416988372803
213,1782008444.8645947,-6.86634635925293
214,1782008449.9718254,-7.366060256958008
215,1782008454.0339844,-6.845953941345215
216,1782008458.4480534,-7.302470684051514
217,1782008462.076242,-6.841796875
218,1782008466.0765657,-6.846017837524414
219,1782008471.4790416,-6.8496294021606445
220,1782008477.6162317,-6.8470048904418945
221,1782008481.8943527,-7.027989387512207
222,1782008485.7249727,-6.7732744216918945
223,1782008493.9698074,-6.848050594329834
