step,wall_time,value
0,1782007312.4570732,3.4785609245300293
1,1782007316.2758365,3.9567713737487793
2,1782007321.2116039,-24.0
3,1782007324.7188034,3.5272183418273926
4,1782007329.8114836,1.730743408203125
5,1782007337.9223664,2.6739773750305176
6,1782007342.0676646,-24.0
7,1782007347.8445385,-24.0
8,1782007353.1707203,-24.0
9,1782007356.5671542,3.220628499984741
10,1782007360.3211505,-24.0
11,1782007365.9697251,-24.0
12,1782007372.5689235,-24.0
13,1782007378.7913213,2.0
14,1782007382.9699674,-24.0
15,1782007386.5368087,2.9851276874542236
16,1782007392.4892054,-24.0
17,1782007397.6672437,3.4895572662353516
18,1782007402.7524323,-24.0
19,1782007410.1326008,-24.0
20,1782007413.905341,2.0
21,1782007417.493745,2.8151369094848633
22,1782007426.4496734,2.0
23,1782007430.4082146,1.8246053457260132
24,1782007440.0324194,3.4884870052337646
25,1782007443.840127,2.6189167499542236
26,1782007449.1407928,-24.0
27,1782007460.3394449,-24.0
28,1782007470.852425,3.5664830207824707
29,1782007474.2884264,3.8691320419311523
30,1782007485.6315677,2.0
31,1782007494.4104235,-24.0
32,1782007499.6715486,3.131317138671875
33,1782007503.1066177,2.6902058124542236
34,1782007506.7640595,2.3318278789520264
35,1782007510.3447292,2.0
36,1782007514.3540215,-24.0
37,1782007519.271862,1.9434317350387573
38,1782007522.4710839,2.0
39,1782007530.3097887,0.37407317757606506
40,1782007533.6161642,2.92177152633667
41,1782007543.3531904,3.1029679775238037
42,1782007561.2371335,3.443354845046997
43,1782007567.4722571,2.0
44,1782007571.8101041,-24.0
45,1782007575.9987571,-24.0
46,1782007578.6137545,3.120293617248535
47,1782007583.2156274,-24.0
48,1782007586.8704429,-24.0
49,1782007590.425913,-24.0
50,1782007596.7970037,2.0
51,1782007602.2048428,4.0
52,1782007607.4003646,3.0912866592407227
53,1782007613.068747,-24.0
54,1782007618.2408216,4.0
55,1782007625.0768092,1.6308480501174927
56,1782007630.7074854,-24.0
57,1782007635.1830876,3.9686992168426514
58,1782007643.2697856,-24.0
59,1782007645.7609012,-24.0
60,1782007651.4665117,-24.0
61,1782007657.2647188,-24.0
62,1782007660.471013,3.4823880195617676
63,1782007663.942841,-24.0
64,1782007669.8298626,-24.0
65,1782007673.002121,1.8322527408599854
66,1782007676.7464418,1.8633058071136475
67,1782007681.8099544,3.157038927078247
68,1782007685.7298768,3.24444580078125
69,1782007689.4684596,2.224107503890991
70,1782007693.2886539,-24.0
71,1782007697.342849,-24.0
72,1782007701.255318,3.9136667251586914
73,1782007704.9047186,-24.0
74,1782007707.572947,2.891671657562256
75,1782007710.7251623,3.1122074127197266
76,1782007714.5782175,-24.0
77,1782007718.451812,2.0
78,1782007720.9760218,2.8809657096862793
79,1782007725.0806131,2.0510401725769043
80,1782007729.4136975,-24.0
81,1782007732.0774472,2.6431827545166016
82,1782007738.8764863,-24.0
83,1782007742.3424807,-24.0
84,1782007746.569584,-24.0
85,1782007748.9774556,2.0
86,1782007760.132625,-24.0
87,1782007763.7296803,-24.0
88,1782007775.564546,-24.0
89,1782007778.3084972,2.261953830718994
90,1782007792.3829935,3.4269161224365234
91,1782007796.241778,-24.0
92,1782007799.8669317,-24.0
93,1782007802.6602256,2.251516819000244
94,1782007809.041319,-24.0
95,1782007812.501145,3.253594398498535
96,1782007816.322321,-24.0
97,1782007821.3324478,4.0
98,1782007824.8432026,-24.0
99,1782007828.0575821,-24.0
100,1782007832.6863394,-24.0
101,1782007840.0765345,2.4902286529541016
102,1782007844.8863192,3.459019422531128
103,1782007848.9410145,-24.0
104,1782007853.0209017,-24.0
105,1782007857.1973758,-24.0
