step,wall_time,value
7000,1782049418.7119408,1.0
14000,1782049807.707431,1.0
21000,1782050206.7621984,1.0
28000,1782050607.1328788,1.0
35000,1782051010.9575727,1.0
42000,1782051430.3043525,1.0
49000,1782051930.1845038,1.0
56000,1782052478.6893659,1.0
63000,1782053011.7298052,1.0
70000,1782053594.215139,1.0
77000,1782054458.3281054,1.0
84000,1782055302.3168235,1.0
91000,1782055946.5763931,1.0
98000,1782056467.632933,1.0
105000,1782057186.0634775,1.0
112000,1782057809.5594008,1.0
119000,1782058319.742511,1.0
126000,1782058944.4053538,1.0
133000,1782059580.1209579,1.0
140000,1782060068.4577303,1.0
147000,1782060481.7993627,1.0
154000,1782060952.222811,1.0
161000,1782061497.6276736,1.0
168000,1782062062.6406476,1.0
175000,1782062666.1447248,1.0
182000,1782063276.6161158,1.0
189000,1782063987.7627506,1.0
196000,1782064604.489438,1.0
203000,1782065200.9306033,1.0
210000,1782065850.4375644,1.0
217000,1782066547.6054962,1.0
224000,1782067204.782336,1.0
231000,1782067832.9882448,1.0
238000,1782068419.8918772,1.0
301000,1782082222.9939868,1.0
308000,1782082640.8999557,1.0
315000,1782083079.4193308,1.0
322000,1782083553.3307998,1.0
329000,1782084017.8317854,1.0
336000,1782084455.5761232,1.0
343000,1782084898.6645365,1.0
350000,1782085329.446867,1.0
357000,1782085746.8594165,1.0
364000,1782086152.2770255,1.0
371000,1782086580.7821233,1.0
378000,1782087001.8141263,1.0
322000,1782087366.2023377,1.0
329000,1782087757.486893,1.0
336000,1782088140.3459904,1.0
343000,1782088523.9211736,1.0
350000,1782088902.5764174,1.0
357000,1782089284.6959746,1.0
364000,1782089670.3495846,1.0
371000,1782090051.2049327,1.0
378000,1782090434.1760476,1.0
385000,1782090815.175822,1.0
392000,1782091199.0422971,1.0
399000,1782091579.4482636,1.0
406000,1782091960.226686,1.0
413000,1782092343.0829751,1.0
420000,1782092722.3939333,1.0
427000,1782093100.3695319,1.0
434000,1782093479.191013,1.0
441000,1782093866.2485843,1.0
448000,1782094253.0717807,1.0
455000,1782094638.1589258,1.0
462000,1782095021.0475338,1.0
469000,1782095406.1106389,1.0
476000,1782095800.0552325,1.0
483000,1782096179.923931,1.0
490000,1782096567.7789164,1.0
497000,1782096953.122376,1.0
504000,1782097341.5519688,1.0
511000,1782097725.7687461,1.0
518000,1782098114.1102686,1.0
525000,1782098501.8234675,1.0
532000,1782098890.3492007,1.0
539000,1782099268.6634223,1.0
546000,1782099654.2839646,1.0
553000,1782100045.0364752,1.0
560000,1782100424.131265,1.0
567000,1782100809.8831863,1.0
