step,wall_time,value
0,1782049025.5306911,68.0
1,1782049028.6937232,53.0
2,1782049033.680754,86.0
3,1782049039.7638087,96.0
4,1782049044.5689187,83.0
5,1782049049.986962,95.0
6,1782049053.755035,64.0
7,1782049056.1293926,36.0
8,1782049064.905719,158.0
9,1782049069.980112,87.0
10,1782049073.5285912,63.0
11,1782049076.9546487,54.0
12,1782049080.5186002,55.0
13,1782049085.9296622,95.0
14,1782049089.450352,60.0
15,1782049092.4831908,45.0
16,1782049095.0643032,37.0
17,1782049099.4036424,75.0
18,1782049106.020225,122.0
19,1782049112.1657994,109.0
20,1782049117.6200888,97.0
21,1782049121.289575,60.0
22,1782049123.6143062,36.0
23,1782049126.5660012,50.0
24,1782049130.41935,68.0
25,1782049133.6928794,55.0
26,1782049138.1697145,79.0
27,1782049142.2733557,72.0
28,1782049147.1853254,89.0
29,1782049150.4841244,57.0
30,1782049155.1976075,82.0
31,1782049160.6173353,92.0
32,1782049163.1536767,42.0
33,1782049165.928507,46.0
34,1782049172.4807994,123.0
35,1782049177.0209105,80.0
36,1782049180.253731,53.0
37,1782049182.4941146,35.0
38,1782049192.015072,181.0
39,1782049199.976824,146.0
40,1782049206.2934268,110.0
41,1782049209.6100624,55.0
42,1782049214.8699765,96.0
43,1782049218.450631,61.0
44,1782049226.636617,154.0
45,1782049230.084969,60.0
46,1782049232.7788777,45.0
47,1782049235.2044964,41.0
48,1782049240.0822375,90.0
49,1782049243.3986404,59.0
50,1782049250.2182682,128.0
51,1782049256.2566867,110.0
52,1782049261.7804863,100.0
53,1782049271.231,179.0
54,1782049274.010256,48.0
55,1782049279.0678177,92.0
56,1782049283.5660465,80.0
57,1782049289.0863383,100.0
58,1782049293.4840078,78.0
59,1782049298.6891901,91.0
60,1782049305.0544102,115.0
61,1782049308.2264729,55.0
62,1782049314.3485608,114.0
63,1782049317.8645332,63.0
64,1782049321.1873171,56.0
65,1782049326.9892325,104.0
66,1782049330.6033218,63.0
67,1782049335.1832604,81.0
68,1782049338.9393163,66.0
69,1782049342.7157938,66.0
70,1782049349.1465735,120.0
71,1782049352.7245166,61.0
72,1782049356.1962337,59.0
73,1782049360.5398118,78.0
74,1782049364.0191352,60.0
75,1782049369.0598388,91.0
76,1782049372.5294747,59.0
77,1782049375.3561053,48.0
78,1782049378.853438,62.0
79,1782049382.6395411,65.0
80,1782049386.5097299,66.0
81,1782049392.50109,106.0
82,1782049401.852179,174.0
83,1782049409.5208144,142.0
84,1782049414.880759,97.0
85,1782049422.8462908,150.0
86,1782049427.689707,89.0
87,1782049435.9010303,157.0
88,1782049440.3357637,77.0
89,1782049446.066408,103.0
90,1782049452.687051,124.0
91,1782049455.2729728,41.0
92,1782049457.516915,38.0
93,1782049461.0567048,62.0
94,1782049465.970034,87.0
95,1782049468.4322045,39.0
96,1782049472.942951,81.0
97,1782049479.0862186,114.0
98,1782049482.8614566,67.0
99,1782049485.667912,49.0
100,1782049493.5807788,151.0
101,1782049497.5978065,70.0
102,1782049501.6493149,70.0
103,1782049505.1378534,59.0
104,1782049509.7150402,81.0
105,1782049512.7264695,50.0
106,1782049518.8781064,114.0
107,1782049522.0831428,57.0
108,1782049524.8433177,47.0
109,1782049537.6198606,244.0
110,1782049544.0149214,119.0
111,1782049547.7538817,64.0
112,1782049554.1614997,118.0
113,1782049556.9926865,47.0
114,1782049564.6265101,142.0
115,1782049572.4441419,146.0
116,1782049581.6247244,174.0
117,1782049584.6840098,51.0
118,1782049593.3213446,160.0
119,1782049597.280957,65.0
120,1782049600.8108811,59.0
121,1782049604.44523,54.0
122,1782049609.304422,89.0
123,1782049613.784,80.0
124,1782049622.5030818,160.0
125,1782049629.747295,132.0
126,1782049635.0455935,98.0
127,1782049640.7564251,105.0
128,1782049649.179732,157.0
129,1782049654.7612543,101.0
130,1782049669.6530526,286.0
131,1782049673.166004,57.0
132,1782049678.093036,87.0
133,1782049681.276862,49.0
134,1782049684.362258,51.0
135,1782049688.4635527,75.0
136,1782049693.6373987,94.0
137,1782049697.0622385,59.0
138,1782049701.9808676,90.0
139,1782049704.2826772,39.0
140,1782049706.7281682,42.0
141,1782049710.6643374,68.0
142,1782049718.0770862,139.0
143,1782049722.694866,83.0
144,1782049729.858894,133.0
145,1782049735.5052488,102.0
146,1782049739.2259505,62.0
147,1782049745.4024234,114.0
148,1782049747.7925622,41.0
149,1782049750.869223,53.0
150,1782049754.6459942,66.0
151,1782049759.7534425,88.0
152,1782049763.5785449,65.0
153,1782049770.9423137,136.0
154,1782049775.4672391,82.0
155,1782049782.801798,138.0
156,1782049786.575921,67.0
157,1782049790.0330293,59.0
158,1782049796.218599,115.0
159,1782049799.7598493,62.0
160,1782049803.0426774,54.0
161,1782049806.7643156,59.0
162,1782049809.5416384,47.0
163,1782049818.092027,162.0
164,1782049820.3463387,37.0
165,1782049825.3068137,91.0
166,1782049828.6843343,60.0
167,1782049831.5541148,47.0
168,1782049837.2329912,103.0
169,1782049839.5832858,40.0
170,1782049847.9533002,158.0
171,1782049851.6287737,62.0
172,1782049855.3423135,64.0
173,1782049858.7044342,57.0
174,1782049862.3969665,65.0
175,1782049870.1247692,147.0
176,1782049874.0909612,70.0
177,1782049876.6895428,43.0
178,1782049881.4708867,86.0
179,1782049885.4069777,68.0
180,1782049889.389079,68.0
181,1782049893.241615,63.0
182,1782049897.7527997,78.0
183,1782049900.8297477,50.0
184,1782049905.0699718,76.0
185,1782049907.4846063,39.0
186,1782049909.6251266,36.0
187,1782049912.9337,57.0
188,1782049918.130553,90.0
189,1782049923.7255251,101.0
190,1782049930.2846618,120.0
191,1782049933.8059654,55.0
192,1782049942.2443213,157.0
193,1782049945.6606612,57.0
194,1782049948.869955,57.0
195,1782049951.1587827,37.0
196,1782049958.5871737,138.0
197,1782049963.539363,89.0
198,1782049966.6266832,52.0
199,1782049970.2689075,63.0
200,1782049972.703317,37.0
201,1782049980.5325537,137.0
202,1782049990.6383266,185.0
203,1782049997.6955514,126.0
204,1782050000.7801902,48.0
205,1782050008.8492682,146.0
206,1782050017.701296,159.0
207,1782050025.6842794,140.0
208,1782050028.5592134,43.0
209,1782050039.2465012,202.0
210,1782050042.2347734,50.0
211,1782050046.627566,74.0
212,1782050050.4787924,66.0
213,1782050054.987292,74.0
214,1782050059.239808,70.0
215,1782050065.4955432,116.0
216,1782050078.3294077,247.0
217,1782050086.343419,151.0
218,1782050091.8341715,96.0
219,1782050100.44258,157.0
220,1782050105.0464866,80.0
221,1782050107.4908524,33.0
222,1782050111.1800666,64.0
223,1782050115.85059,81.0
224,1782050121.1912959,95.0
225,1782050125.0261278,67.0
226,1782050128.9049091,67.0
