step,wall_time,value
0,1782049025.5308213,0.0
1,1782049028.6938245,0.0
2,1782049033.6808565,0.0
3,1782049039.764037,0.0
4,1782049044.5691116,-50.0
5,1782049049.9870942,0.0
6,1782049053.7552571,-50.0
7,1782049056.1295333,0.0
8,1782049064.9059455,0.0
9,1782049069.9803534,0.0
10,1782049073.5287921,0.0
11,1782049076.9548001,0.0
12,1782049080.5187507,0.0
13,1782049085.929881,0.0
14,1782049089.4505498,0.0
15,1782049092.4834406,0.0
16,1782049095.0644453,0.0
17,1782049099.4038627,-50.0
18,1782049106.0203774,-50.0
19,1782049112.1659458,0.0
20,1782049117.6202958,0.0
21,1782049121.2896986,-50.0
22,1782049123.6144855,0.0
23,1782049126.566262,0.0
24,1782049130.4196,-50.0
25,1782049133.6930916,0.0
26,1782049138.1699622,0.0
27,1782049142.273566,0.0
28,1782049147.1856318,-50.0
29,1782049150.4843366,0.0
30,1782049155.1977592,-50.0
31,1782049160.6175563,0.0
32,1782049163.1538663,0.0
33,1782049165.9288123,0.0
34,1782049172.481057,0.0
35,1782049177.0211112,0.0
36,1782049180.253942,0.0
37,1782049182.494248,0.0
38,1782049192.0152867,0.0
39,1782049199.977053,0.0
40,1782049206.2935557,0.0
41,1782049209.6102502,0.0
42,1782049214.870181,0.0
43,1782049218.4507694,0.0
44,1782049226.6368394,0.0
45,1782049230.0852592,0.0
46,1782049232.7790833,0.0
47,1782049235.2047024,0.0
48,1782049240.0824528,-50.0
49,1782049243.3988335,0.0
50,1782049250.218538,-50.0
51,1782049256.2568898,0.0
52,1782049261.7807033,0.0
53,1782049271.231233,0.0
54,1782049274.0104706,0.0
55,1782049279.068028,0.0
56,1782049283.5662565,-50.0
57,1782049289.0864615,-50.0
58,1782049293.4842312,-50.0
59,1782049298.6893857,0.0
60,1782049305.054616,-50.0
61,1782049308.2266798,0.0
62,1782049314.348756,-50.0
63,1782049317.8647113,0.0
64,1782049321.1875424,0.0
65,1782049326.9894211,-50.0
66,1782049330.6035254,-50.0
67,1782049335.1834512,0.0
68,1782049338.9394944,0.0
69,1782049342.7159846,0.0
70,1782049349.1467466,0.0
71,1782049352.7246916,0.0
72,1782049356.1963563,0.0
73,1782049360.5399885,0.0
74,1782049364.0193613,0.0
75,1782049369.060025,0.0
76,1782049372.5296533,0.0
77,1782049375.3563225,0.0
78,1782049378.8535836,0.0
79,1782049382.6397243,0.0
80,1782049386.5098658,-50.0
81,1782049392.50129,-50.0
82,1782049401.8523707,-50.0
83,1782049409.5210018,0.0
84,1782049414.8808775,0.0
85,1782049422.846557,0.0
86,1782049427.6899304,-50.0
87,1782049435.901267,0.0
88,1782049440.335899,-50.0
89,1782049446.0666308,-50.0
90,1782049452.687301,0.0
91,1782049455.273209,0.0
92,1782049457.5170925,0.0
93,1782049461.0568845,-50.0
94,1782049465.9702826,0.0
95,1782049468.4324305,0.0
96,1782049472.9430788,0.0
97,1782049479.086346,0.0
98,1782049482.861643,0.0
99,1782049485.6680877,0.0
100,1782049493.580895,0.0
101,1782049497.5980403,-50.0
102,1782049501.649496,0.0
103,1782049505.1380777,0.0
104,1782049509.7152941,-50.0
105,1782049512.7266943,0.0
106,1782049518.878339,0.0
107,1782049522.0833797,0.0
108,1782049524.8435395,0.0
109,1782049537.6200013,0.0
110,1782049544.0151424,0.0
111,1782049547.7541056,0.0
112,1782049554.1616602,0.0
113,1782049556.9928691,0.0
114,1782049564.6267393,0.0
115,1782049572.444273,-50.0
116,1782049581.6249175,0.0
117,1782049584.6842687,0.0
118,1782049593.321595,0.0
119,1782049597.2812207,0.0
120,1782049600.8111053,0.0
121,1782049604.4455345,0.0
122,1782049609.3045444,-50.0
123,1782049613.7842405,0.0
124,1782049622.5033147,0.0
125,1782049629.747421,-50.0
126,1782049635.0457206,0.0
127,1782049640.7566187,0.0
128,1782049649.1799521,0.0
129,1782049654.7614415,0.0
130,1782049669.6532886,0.0
131,1782049673.1662598,0.0
132,1782049678.0932524,0.0
133,1782049681.277051,0.0
134,1782049684.3624465,0.0
135,1782049688.4637337,0.0
136,1782049693.6375227,0.0
137,1782049697.0624766,0.0
138,1782049701.981084,0.0
139,1782049704.2828856,0.0
140,1782049706.7283435,0.0
141,1782049710.66459,-50.0
