step,wall_time,value
0,1782049025.5315897,0.0
1,1782049028.6946948,0.0
2,1782049033.6816187,0.0
3,1782049039.764744,0.0
4,1782049044.5699184,0.0
5,1782049049.9877312,0.0
6,1782049053.7558293,0.0
7,1782049056.1302614,0.30000001192092896
8,1782049064.9067755,0.0
9,1782049069.980898,0.0
10,1782049073.5294852,0.0
11,1782049076.9554462,0.0
12,1782049080.519424,0.0
13,1782049085.930638,0.0
14,1782049089.4512358,0.0
15,1782049092.4843183,0.0
16,1782049095.064902,0.0
17,1782049099.4046428,0.30000001192092896
18,1782049106.0216286,0.0
19,1782049112.1665485,0.0
20,1782049117.621125,0.0
21,1782049121.290426,0.0
22,1782049123.6149857,0.0
23,1782049126.5671391,0.0
24,1782049130.4204204,0.0
25,1782049133.693902,0.0
26,1782049138.1707156,0.0
27,1782049142.2744596,0.0
28,1782049147.1863437,0.0
29,1782049150.4849079,0.0
30,1782049155.1989963,0.0
31,1782049160.6182315,0.0
32,1782049163.1544836,0.0
33,1782049165.929498,0.0
34,1782049172.4817293,0.0
35,1782049177.0216787,0.0
36,1782049180.2547777,0.0
37,1782049182.4948723,0.0
38,1782049192.0162718,0.0
39,1782049199.9778209,0.30000001192092896
40,1782049206.2941504,0.0
41,1782049209.610914,0.0
42,1782049214.8707862,0.30000001192092896
43,1782049218.4516075,0.0
44,1782049226.6377149,0.0
45,1782049230.0860353,0.0
46,1782049232.779913,0.0
47,1782049235.205407,0.0
48,1782049240.0832896,0.0
49,1782049243.3995934,0.0
50,1782049250.219336,0.0
51,1782049256.2577422,0.0
52,1782049261.781617,0.0
53,1782049271.2320168,0.0
54,1782049274.0116456,0.0
55,1782049279.0685701,0.30000001192092896
56,1782049283.5670817,0.30000001192092896
57,1782049289.0924907,0.0
58,1782049293.4850154,0.30000001192092896
59,1782049298.6901526,0.0
60,1782049305.055489,0.30000001192092896
61,1782049308.2275386,0.0
62,1782049314.3495076,0.0
63,1782049317.865435,0.0
64,1782049321.1929617,0.0
65,1782049326.9951544,0.0
66,1782049330.6044183,0.0
67,1782049335.1841698,0.30000001192092896
68,1782049338.940108,0.0
69,1782049342.7170162,0.0
70,1782049349.1475346,0.0
71,1782049352.7253594,0.0
72,1782049356.1968179,0.0
73,1782049360.5407188,0.0
74,1782049364.020071,0.0
75,1782049369.060714,0.30000001192092896
76,1782049372.5303593,0.0
77,1782049375.3571057,0.0
78,1782049378.8541863,0.0
79,1782049382.640546,0.0
80,1782049386.5103567,0.0
81,1782049392.5018759,0.0
82,1782049401.8530378,0.0
83,1782049409.5216463,0.0
84,1782049414.8817317,0.0
85,1782049422.8472092,0.0
86,1782049427.6910043,0.0
87,1782049435.9021041,0.0
88,1782049440.3365188,0.0
89,1782049446.0677166,0.0
90,1782049452.6881132,0.0
91,1782049455.274225,0.0
92,1782049457.5180607,0.0
93,1782049461.0577226,0.30000001192092896
94,1782049465.9714053,0.0
95,1782049468.4329407,0.0
96,1782049472.9437475,0.0
97,1782049479.0869808,0.0
98,1782049482.8626947,0.0
99,1782049485.668736,0.0
100,1782049493.581856,0.0
101,1782049497.598604,0.0
102,1782049501.6503565,0.0
103,1782049505.1393752,0.0
104,1782049509.7160616,0.0
105,1782049512.7274065,0.0
106,1782049518.8842149,0.0
107,1782049522.0842297,0.30000001192092896
108,1782049524.8443182,0.0
109,1782049537.6208162,0.0
110,1782049544.0161428,0.0
111,1782049547.7549691,0.0
112,1782049554.162363,0.0
113,1782049556.993695,0.0
114,1782049564.6325536,0.0
115,1782049572.4451444,0.0
116,1782049581.625635,0.0
117,1782049584.6851697,0.0
118,1782049593.3222663,0.0
119,1782049597.2819808,0.0
120,1782049600.8119278,0.0
121,1782049604.4461694,0.30000001192092896
122,1782049609.3051338,0.0
123,1782049613.784773,0.0
124,1782049622.5043771,0.0
125,1782049629.7482936,0.30000001192092896
126,1782049635.0464854,0.0
127,1782049640.7572598,0.0
128,1782049649.1810591,0.0
129,1782049654.762334,0.0
130,1782049669.653925,0.0
131,1782049673.1670108,0.0
132,1782049678.094008,0.0
133,1782049681.2776804,0.0
134,1782049684.3632388,0.0
135,1782049688.4644995,0.0
136,1782049693.6382601,0.0
137,1782049697.0634902,0.0
138,1782049701.981865,0.0
139,1782049704.2837272,0.0
140,1782049706.7291105,0.0
141,1782049710.6653078,0.0
142,1782049718.0779965,0.30000001192092896
