step,wall_time,value
0,1782049025.5305457,-375.28564453125
1,1782049028.693651,64.19539642333984
2,1782049033.6806703,-674.1640625
3,1782049039.7637227,-1040.8336181640625
4,1782049044.5688412,160.31280517578125
5,1782049049.9869099,-979.377197265625
6,1782049053.754953,-301.2067565917969
7,1782049056.129333,-197.2078094482422
8,1782049064.9056392,-358.9476623535156
9,1782049069.9800236,-84.87537384033203
10,1782049073.5285118,-470.9413757324219
11,1782049076.954586,-49.884521484375
12,1782049080.5185359,-285.60174560546875
13,1782049085.9295719,-885.4885864257812
14,1782049089.450289,176.9379425048828
15,1782049092.483032,22.971895217895508
16,1782049095.0642476,-426.424560546875
17,1782049099.403544,-158.698974609375
18,1782049106.0201654,-351.8561706542969
19,1782049112.1657355,-906.1016235351562
20,1782049117.6200025,533.1200561523438
21,1782049121.28952,-419.9372863769531
22,1782049123.6142383,-153.87152099609375
23,1782049126.5659137,-20.9965877532959
24,1782049130.4192657,-483.0629577636719
25,1782049133.6927993,-407.0617370605469
26,1782049138.1696074,-562.3508911132812
27,1782049142.2732773,350.9862365722656
28,1782049147.1852427,-975.6982421875
29,1782049150.484047,-281.8852233886719
30,1782049155.1975315,-427.7866516113281
31,1782049160.6172514,-506.572509765625
32,1782049163.153604,-204.8029022216797
33,1782049165.9284344,-55.165130615234375
34,1782049172.480723,-329.214111328125
35,1782049177.0208366,-654.0463256835938
36,1782049180.253647,105.76864624023438
37,1782049182.49406,-79.11844635009766
38,1782049192.01499,-236.69740295410156
39,1782049199.9767396,-1152.8531494140625
40,1782049206.2933724,-591.0642700195312
41,1782049209.6099956,-26.289432525634766
42,1782049214.869903,-589.3279418945312
43,1782049218.4505715,-273.3868713378906
44,1782049226.6365333,-663.2122802734375
45,1782049230.0848835,-191.04739379882812
46,1782049232.7787974,-436.734130859375
47,1782049235.2044065,-71.36897277832031
48,1782049240.0821385,-686.3212890625
49,1782049243.398568,21.689973831176758
50,1782049250.2181854,-807.1588745117188
51,1782049256.2566128,-447.56494140625
52,1782049261.780407,227.06381225585938
53,1782049271.2309227,-812.62890625
54,1782049274.0101545,-422.4223327636719
55,1782049279.0677388,-873.71044921875
56,1782049283.5659704,-350.1488952636719
57,1782049289.08629,-1082.1015625
58,1782049293.4839292,-317.1482849121094
59,1782049298.6891096,565.0775146484375
60,1782049305.0543363,-960.94384765625
61,1782049308.226334,-84.35923767089844
62,1782049314.3484929,-1024.326416015625
63,1782049317.8644667,-649.685546875
64,1782049321.187232,35.42547607421875
65,1782049326.989152,-278.4953918457031
66,1782049330.603248,-501.2878112792969
67,1782049335.1831892,-629.6015014648438
68,1782049338.9392507,-476.0696105957031
69,1782049342.7157254,-428.12799072265625
70,1782049349.1465166,-762.113525390625
71,1782049352.7244456,-275.02166748046875
72,1782049356.1961799,308.9441223144531
73,1782049360.5397475,-568.7470703125
74,1782049364.0190556,-353.16375732421875
75,1782049369.059769,156.61221313476562
76,1782049372.5294087,-397.8797607421875
77,1782049375.3560271,-29.634929656982422
78,1782049378.8533826,-505.9844665527344
79,1782049382.6394715,3.4798431396484375
80,1782049386.50966,-228.43817138671875
81,1782049392.5010066,-109.96764373779297
82,1782049401.8520994,-1106.2491455078125
83,1782049409.5207431,-873.46142578125
84,1782049414.8807118,-1080.9141845703125
85,1782049422.8461962,93.28797912597656
86,1782049427.6896265,-857.800537109375
87,1782049435.9009483,-423.9444885253906
88,1782049440.335706,-84.76773834228516
89,1782049446.0663273,-328.56903076171875
90,1782049452.686964,-237.4183349609375
91,1782049455.2728922,-151.90809631347656
92,1782049457.5168478,-116.2762222290039
93,1782049461.0566394,-360.5738220214844
94,1782049465.9699464,127.85187530517578
95,1782049468.4320974,-132.14854431152344
96,1782049472.9429016,-290.6152038574219
97,1782049479.086167,271.01171875
98,1782049482.8613894,52.747859954833984
99,1782049485.6678398,58.948116302490234
100,1782049493.5807319,-215.47244262695312
101,1782049497.5977216,-500.98040771484375
102,1782049501.6492457,88.16375732421875
103,1782049505.1377702,-157.5088653564453
104,1782049509.7149577,-66.7402572631836
105,1782049512.726388,-79.26988983154297
106,1782049518.8780265,-442.66448974609375
107,1782049522.0830595,-77.59241485595703
108,1782049524.8432348,-1.1758538484573364
109,1782049537.6198123,-1839.099853515625
110,1782049544.0148432,-851.0184936523438
111,1782049547.7538004,273.2000427246094
112,1782049554.1614406,-382.4280700683594
113,1782049556.9926205,12.392860412597656
114,1782049564.6264253,-144.08091735839844
