step,wall_time,value
0,1782049025.5307555,-24.199705123901367
1,1782049028.693783,-23.388124465942383
2,1782049033.6808152,-29.454730987548828
3,1782049039.763985,-18.88612174987793
4,1782049044.5690732,-28.400676727294922
5,1782049049.9870684,5.0
6,1782049053.755216,-46.26967239379883
7,1782049056.129504,-22.506385803222656
8,1782049064.9058998,-22.342548370361328
9,1782049069.9803104,-22.82936668395996
10,1782049073.5287523,-22.204303741455078
11,1782049076.9547734,-22.081966400146484
12,1782049080.5187242,-23.648374557495117
13,1782049085.929842,-15.026307106018066
14,1782049089.4505217,-22.79891014099121
15,1782049092.4833996,-21.655723571777344
16,1782049095.06442,-27.977649688720703
17,1782049099.403813,-40.44036102294922
18,1782049106.0203526,-62.184303283691406
19,1782049112.1659214,-44.03877639770508
20,1782049117.6202526,-22.356182098388672
21,1782049121.2896755,-47.09432601928711
22,1782049123.6144588,-23.074201583862305
23,1782049126.566195,-22.898147583007812
24,1782049130.419552,-35.99604034423828
25,1782049133.6930487,-41.03145217895508
26,1782049138.1699133,-68.24746704101562
27,1782049142.273523,-22.10275650024414
28,1782049147.1855857,-109.98922729492188
29,1782049150.4842968,-30.414499282836914
30,1782049155.1977315,-54.352134704589844
31,1782049160.6175056,-47.61383056640625
32,1782049163.153825,-22.923709869384766
33,1782049165.9287713,-22.739349365234375
34,1782049172.4809923,-23.692378997802734
35,1782049177.021068,-62.16371154785156
36,1782049180.2538962,-23.127050399780273
37,1782049182.494224,-22.947526931762695
38,1782049192.0152452,-23.980329513549805
39,1782049199.9770074,5.0
40,1782049206.2935328,-63.974761962890625
41,1782049209.6102126,-22.875972747802734
42,1782049214.870129,-30.16826629638672
43,1782049218.4507442,-28.476369857788086
44,1782049226.636796,-22.704484939575195
45,1782049230.0851934,-33.57734680175781
46,1782049232.7790403,-23.236553192138672
47,1782049235.204661,-23.93743324279785
48,1782049240.0824056,-57.2522087097168
49,1782049243.3987896,-23.043689727783203
50,1782049250.218487,-58.98342514038086
51,1782049256.2568448,-23.016639709472656
52,1782049261.7806535,-22.202430725097656
53,1782049271.2311792,-23.714275360107422
54,1782049274.01042,-22.57331657409668
55,1782049279.0679858,-23.6433048248291
56,1782049283.5662146,-43.95972442626953
57,1782049289.0864398,-46.73677062988281
58,1782049293.484184,-44.507450103759766
59,1782049298.6893477,-22.866004943847656
60,1782049305.05457,-224.46189880371094
61,1782049308.2266343,-22.557575225830078
62,1782049314.3487158,-224.63829040527344
63,1782049317.8646722,-12.572327613830566
64,1782049321.187494,-22.45563507080078
65,1782049326.9893806,-77.38704681396484
66,1782049330.6034827,-46.474727630615234
67,1782049335.183409,-85.01844787597656
68,1782049338.939458,-16.40434455871582
69,1782049342.7159433,-22.71856117248535
70,1782049349.1467102,-14.98630428314209
71,1782049352.7246547,-23.795133590698242
72,1782049356.1963346,-23.964725494384766
73,1782049360.5399523,-66.10115814208984
74,1782049364.0193162,-33.793357849121094
75,1782049369.0599883,-27.994165420532227
76,1782049372.529614,-23.643102645874023
77,1782049375.3562758,-23.7202091217041
78,1782049378.8535523,-56.23634338378906
79,1782049382.6396854,-22.91227912902832
80,1782049386.509844,-46.57853698730469
81,1782049392.5012531,-33.0533447265625
82,1782049401.852331,-26.051700592041016
83,1782049409.520962,-44.027183532714844
84,1782049414.8808563,-19.489418029785156
85,1782049422.8465054,-23.056236267089844
86,1782049427.6898782,-149.51841735839844
87,1782049435.9012177,-22.5101261138916
88,1782049440.3358734,-52.414886474609375
89,1782049446.066585,-73.91983795166016
90,1782049452.6872497,-25.764720916748047
91,1782049455.2731416,-23.359111785888672
92,1782049457.5170538,-22.740522384643555
93,1782049461.056849,-46.26374435424805
94,1782049465.9702325,-22.572555541992188
95,1782049468.4323816,-23.100614547729492
96,1782049472.9430532,-23.39982032775879
97,1782049479.0863216,-23.261415481567383
98,1782049482.8616033,-22.971294403076172
99,1782049485.668049,-22.489065170288086
100,1782049493.5808735,-27.339902877807617
101,1782049497.597989,-44.70395278930664
102,1782049501.6494584,-22.510435104370117
103,1782049505.1380293,-39.05971908569336
104,1782049509.715243,-45.96810531616211
105,1782049512.726644,-22.068832397460938
106,1782049518.8782928,-17.82291603088379
107,1782049522.0833297,-32.716609954833984
108,1782049524.8434887,-23.278257369995117
109,1782049537.6199784,-37.68223571777344
110,1782049544.0150938,-22.70732307434082
111,1782049547.7540643,-22.661014556884766
112,1782049554.161627,-69.58955383300781
113,1782049556.9928303,-22.721803665161133
114,1782049564.62669,0.43800440430641174
115,1782049572.4442508,-81.90048217773438
116,1782049581.6248791,-22.67800521850586
117,1782049584.6842175,-22.88557243347168
118,1782049593.3215268,-44.48987579345703
119,1782049597.2811456,-23.105348587036133
120,1782049600.8110557,-28.42028045654297
121,1782049604.4454856,-22.6328067779541
122,1782049609.3045208,-150.6561279296875
123,1782049613.7841504,-22.613719940185547
124,1782049622.5032706,-45.59469223022461
125,1782049629.7473989,-54.952308654785156
126,1782049635.045699,-29.53651237487793
127,1782049640.7565753,-44.40633010864258
128,1782049649.1799004,-15.78906536102295
129,1782049654.7614024,-23.446876525878906
130,1782049669.6532466,-23.04827308654785
131,1782049673.1662076,-23.42812728881836
132,1782049678.0932086,-23.037853240966797
133,1782049681.2770107,-22.910654067993164
134,1782049684.362407,-23.172937393188477
135,1782049688.463694,-22.80143928527832
136,1782049693.6374986,-67.49114227294922
137,1782049697.0624287,-36.646873474121094
138,1782049701.9810338,-21.962833404541016
139,1782049704.2828388,-23.510255813598633
140,1782049706.7283032,-22.688751220703125
141,1782049710.6645122,-35.49386215209961
142,1782049718.07728,-112.91275787353516
143,1782049722.6950953,-73.88142395019531
144,1782049729.8590384,-23.573741912841797
145,1782049735.5054045,-44.71210861206055
146,1782049739.2260585,-46.5903205871582
147,1782049745.402592,-224.61692810058594
148,1782049747.7927356,-21.67325782775879
149,1782049750.869392,-23.19527816772461
150,1782049754.6461473,-39.22312927246094
151,1782049759.7535975,-42.58224868774414
152,1782049763.5786972,-22.714176177978516
153,1782049770.942454,-46.955718994140625
154,1782049775.4674163,4.8963847160339355
155,1782049782.801971,-23.754037857055664
156,1782049786.5760703,-35.199546813964844
157,1782049790.033212,-32.08441925048828
158,1782049796.2187438,-22.538902282714844
159,1782049799.7599974,-12.259331703186035
160,1782049803.0428379,-21.994714736938477
161,1782049806.764488,-24.01711082458496
162,1782049809.541804,-21.782739639282227
163,1782049818.0922158,-62.660987854003906
164,1782049820.3465092,-28.24491310119629
165,1782049825.3069756,-112.94297790527344
166,1782049828.6844745,-36.89482498168945
167,1782049831.5542839,-35.52202606201172
168,1782049837.2331705,-225.9044647216797
169,1782049839.5834231,-21.73284339904785
170,1782049847.953444,-33.52970504760742
171,1782049851.6289191,-23.55283546447754
172,1782049855.3424592,-47.28439712524414
173,1782049858.7046933,-23.52367401123047
174,1782049862.39711,-22.76588249206543
175,1782049870.1248677,-52.129512786865234
176,1782049874.091105,-34.977027893066406
177,1782049876.6897082,-21.857927322387695
178,1782049881.4710371,-37.67255401611328
179,1782049885.407174,-22.769094467163086
180,1782049889.3892717,-38.896034240722656
181,1782049893.2417867,-18.958999633789062
182,1782049897.752954,-39.60881042480469
183,1782049900.8298874,-23.69935417175293
184,1782049905.070153,-56.21725845336914
185,1782049907.4847488,-23.44925880432129
186,1782049909.6252306,-23.72892189025879
187,1782049912.9338148,-21.69694709777832
188,1782049918.1307037,-23.256446838378906
189,1782049923.7256722,-22.623432159423828
190,1782049930.284848,-22.598148345947266
191,1782049933.8061013,-38.91719055175781
192,1782049942.244475,-23.265445709228516
193,1782049945.660834,-22.81880760192871
194,1782049948.8701384,-36.12070083618164
195,1782049951.1589596,-26.109811782836914
196,1782049958.5873938,-16.062917709350586
197,1782049963.539548,-22.323049545288086
198,1782049966.626855,-22.542110443115234
199,1782049970.2690437,-72.05670166015625
200,1782049972.70346,-23.1726016998291
201,1782049980.5326722,-63.195308685302734
202,1782049990.6385462,-22.289432525634766
203,1782049997.6957078,-23.172292709350586
204,1782050000.7803512,-19.104259490966797
205,1782050008.849436,5.0
206,1782050017.7015004,0.3495904207229614
207,1782050025.6844141,-67.44588470458984
208,1782050028.559388,-23.06746482849121
209,1782050039.2466505,-100.87882995605469
210,1782050042.234953,-23.236495971679688
211,1782050046.6277118,-23.07924461364746
212,1782050050.4789546,-45.25676345825195
213,1782050054.987426,-53.56026077270508
214,1782050059.2399545,-22.692466735839844
215,1782050065.4956505,-22.56754493713379
216,1782050078.3295646,-43.839263916015625
217,1782050086.3435178,-23.35221290588379
218,1782050091.8343377,-22.117862701416016
219,1782050100.4427214,-143.88619995117188
220,1782050105.0466418,-45.61581802368164
221,1782050107.4909935,-23.316274642944336
222,1782050111.18024,-62.1378173828125
223,1782050115.8506968,-45.67715072631836
224,1782050121.191444,-33.306297302246094
225,1782050125.0263216,-22.637012481689453
226,1782050128.9050086,-22.92574119567871
227,1782050131.7832365,-22.056982040405273
228,1782050139.27476,-24.344545364379883
229,1782050145.1370993,-23.148454666137695
230,1782050149.9084246,-44.736812591552734
231,1782050154.0285482,-27.800888061523438
232,1782050157.589617,-28.32113265991211
233,1782050161.0353882,-23.002622604370117
234,1782050166.8821926,-23.006793975830078
235,1782050174.987973,-63.969139099121094
236,1782050179.2381368,-35.17977523803711
237,1782050184.56157,-21.981098175048828
238,1782050189.8878171,-22.571475982666016
239,1782050192.7387037,-32.721221923828125
240,1782050196.466421,-27.241863250732422
241,1782050200.2568517,-22.44786834716797
242,1782050205.3493397,-22.64925765991211
243,1782050208.9878535,-33.92643356323242
244,1782050212.1801546,-23.375314712524414
245,1782050215.9942586,-22.4996337890625
246,1782050218.8364732,-34.84659194946289
247,1782050232.2433746,-81.25724792480469
248,1782050235.736261,-34.55069351196289
249,1782050238.0871673,-29.13266944885254
250,1782050240.8146365,-22.509014129638672
251,1782050249.2327733,3.157294988632202
252,1782050255.7854695,-22.561717987060547
253,1782050258.9412174,-22.688142776489258
254,1782050263.973018,-22.979015350341797
255,1782050268.875185,-30.574684143066406
256,1782050280.417946,-46.70381164550781
257,1782050287.3847408,-87.78656768798828
258,1782050292.430011,-22.703466415405273
259,1782050299.7823038,-37.83552932739258
260,1782050303.9381866,-22.638153076171875
261,1782050308.0105767,-23.59795379638672
262,1782050312.580075,-23.062320709228516
263,1782050316.3677003,-22.209789276123047
264,1782050324.9935102,-23.534820556640625
265,1782050327.4902039,-24.74045181274414
266,1782050332.6487393,-22.906103134155273
267,1782050337.780097,-21.952978134155273
268,1782050341.2063582,-23.111467361450195
269,1782050349.3907108,-224.38743591308594
270,1782050360.3299663,-22.897621154785156
