step,wall_time,value
0,1782049025.5308492,-35.0
1,1782049028.6938372,-35.0
2,1782049033.680869,-35.0
3,1782049039.7642307,0.0
4,1782049044.5692508,-35.0
5,1782049049.9872203,0.0
6,1782049053.7553668,-35.0
7,1782049056.129656,-35.0
8,1782049064.906088,0.0
9,1782049069.9804726,-35.0
10,1782049073.5289109,0.0
11,1782049076.9549193,0.0
12,1782049080.518856,-35.0
13,1782049085.9300203,0.0
14,1782049089.4507153,-35.0
15,1782049092.4836235,0.0
16,1782049095.0645385,-35.0
17,1782049099.404027,-35.0
18,1782049106.020511,-35.0
19,1782049112.1660738,-35.0
20,1782049117.62048,0.0
21,1782049121.2898483,-35.0
22,1782049123.614606,-35.0
23,1782049126.566401,-35.0
24,1782049130.4197447,-35.0
25,1782049133.6932561,-35.0
26,1782049138.1701243,-35.0
27,1782049142.2736976,0.0
28,1782049147.1857538,-35.0
29,1782049150.4844515,-35.0
30,1782049155.1979337,-35.0
31,1782049160.617771,-35.0
32,1782049163.1539774,-35.0
33,1782049165.928933,-35.0
34,1782049172.4812,-35.0
35,1782049177.021231,-35.0
36,1782049180.254081,-35.0
37,1782049182.4943585,-35.0
38,1782049192.01542,-35.0
39,1782049199.9771945,0.0
40,1782049206.29365,-35.0
41,1782049209.6103725,-35.0
42,1782049214.8702946,-35.0
43,1782049218.4508827,-35.0
44,1782049226.637018,-35.0
45,1782049230.0853882,-35.0
46,1782049232.779219,-35.0
47,1782049235.2048235,-35.0
48,1782049240.0825818,-35.0
49,1782049243.3989632,-35.0
50,1782049250.2186654,-35.0
51,1782049256.2570271,-35.0
52,1782049261.7809176,0.0
53,1782049271.2314315,-35.0
54,1782049274.0106845,-35.0
55,1782049279.0681355,-35.0
56,1782049283.5664194,-35.0
57,1782049289.0866094,-35.0
58,1782049293.484371,-35.0
59,1782049298.6895478,-35.0
60,1782049305.0548158,-35.0
61,1782049308.2268822,-35.0
62,1782049314.348911,-35.0
63,1782049317.8648243,0.0
64,1782049321.1876843,0.0
65,1782049326.9895418,-35.0
66,1782049330.6036804,-35.0
67,1782049335.1835737,-35.0
68,1782049338.9396021,0.0
69,1782049342.7161334,-35.0
70,1782049349.1468542,0.0
71,1782049352.724802,-35.0
72,1782049356.1964943,-35.0
73,1782049360.5401022,-35.0
74,1782049364.019561,-35.0
75,1782049369.0601416,-35.0
76,1782049372.5297623,-35.0
77,1782049375.3565118,-35.0
78,1782049378.85369,-35.0
79,1782049382.6398454,-35.0
80,1782049386.5099676,-35.0
81,1782049392.5014145,-35.0
82,1782049401.8524926,-35.0
83,1782049409.521118,-35.0
84,1782049414.8809822,0.0
85,1782049422.846691,-35.0
86,1782049427.6901515,-35.0
87,1782049435.9014766,-35.0
88,1782049440.3360028,-35.0
89,1782049446.066872,-35.0
90,1782049452.687499,-35.0
91,1782049455.273419,-35.0
92,1782049457.5172474,-35.0
93,1782049461.057011,-35.0
94,1782049465.9704607,-35.0
95,1782049468.4325657,-35.0
96,1782049472.9431965,-35.0
97,1782049479.0864549,-35.0
98,1782049482.8618033,-35.0
99,1782049485.668218,-35.0
100,1782049493.58105,-35.0
101,1782049497.598167,-35.0
102,1782049501.6496122,-35.0
103,1782049505.1382623,-35.0
104,1782049509.715425,-35.0
105,1782049512.7269042,0.0
106,1782049518.8785455,0.0
107,1782049522.0835924,-35.0
108,1782049524.8436725,-35.0
109,1782049537.6201222,-35.0
110,1782049544.0153491,-35.0
111,1782049547.7542539,-35.0
112,1782049554.1617754,-35.0
113,1782049556.9929895,-35.0
114,1782049564.62695,0.0
115,1782049572.4444528,-35.0
116,1782049581.6250432,-35.0
117,1782049584.6844814,-35.0
