step,wall_time,value
0,1782049025.5316474,-7.278371810913086
1,1782049028.694795,-6.837198734283447
2,1782049033.6817424,-6.8517632484436035
3,1782049039.764836,-6.850306034088135
4,1782049044.5700169,-7.066367149353027
5,1782049049.9878025,-7.017722129821777
6,1782049053.755895,-7.182651996612549
7,1782049056.1303515,-6.84332275390625
8,1782049064.9068995,-6.849191665649414
9,1782049069.9809527,-6.8500518798828125
10,1782049073.5295708,-6.843990802764893
11,1782049076.955527,-6.84607458114624
12,1782049080.51953,-6.84475040435791
13,1782049085.9307053,-6.810059070587158
14,1782049089.4513178,-6.843532562255859
15,1782049092.4843934,-6.84041690826416
16,1782049095.064971,-6.842963695526123
17,1782049099.404707,-6.886030197143555
18,1782049106.0216963,-7.034322261810303
19,1782049112.1666052,-6.845920085906982
20,1782049117.6211925,-7.051471710205078
21,1782049121.2905047,-6.740092754364014
22,1782049123.615042,-6.8433027267456055
23,1782049126.5672581,-6.837006568908691
24,1782049130.4205208,-7.463404178619385
25,1782049133.6939955,-7.282725811004639
26,1782049138.1707952,-6.838161945343018
27,1782049142.2745986,-6.851016998291016
28,1782049147.1864889,-6.962527275085449
29,1782049150.4849794,-6.84211540222168
30,1782049155.1990833,-7.029169082641602
31,1782049160.618305,-6.855453968048096
32,1782049163.1545944,-6.84264612197876
33,1782049165.9295728,-6.8396782875061035
34,1782049172.481792,-6.861283302307129
35,1782049177.0217307,-6.845210075378418
36,1782049180.2548711,-6.8049397468566895
37,1782049182.4949727,-6.8409013748168945
38,1782049192.016365,-6.8501081466674805
39,1782049199.9779189,-6.853844165802002
40,1782049206.2942183,-7.023341655731201
41,1782049209.6109989,-6.846767425537109
42,1782049214.8708785,-6.8480224609375
43,1782049218.4517162,-6.842009544372559
44,1782049226.6377792,-6.850027084350586
45,1782049230.0861237,-6.843084335327148
46,1782049232.780015,-6.841432094573975
47,1782049235.2054734,-6.84285306930542
48,1782049240.0834033,-7.281807899475098
49,1782049243.3996696,-6.845843315124512
50,1782049250.2193933,-7.5266923904418945
51,1782049256.2577925,-6.844326972961426
52,1782049261.7816956,-6.846526145935059
53,1782049271.2320976,-6.845160961151123
54,1782049274.0117812,-6.841584205627441
55,1782049279.0686326,-6.964617729187012
56,1782049283.5671341,-7.3993120193481445
57,1782049289.0926242,-7.282029628753662
58,1782049293.4851215,-7.196649551391602
59,1782049298.6902514,-6.854256629943848
60,1782049305.0555859,-7.35394287109375
61,1782049308.2276297,-6.841833591461182
62,1782049314.3495986,-6.846847057342529
63,1782049317.8655214,-6.844531536102295
64,1782049321.193046,-6.843335151672363
65,1782049326.9952836,-7.028906345367432
