step,wall_time,value
0,1782049025.5312986,0.0
1,1782049028.6942136,0.0
2,1782049033.6812093,0.0
3,1782049039.7645051,0.0
4,1782049044.5695786,0.0
5,1782049049.9874794,0.0
6,1782049053.7555928,0.0
7,1782049056.1299577,0.0
8,1782049064.9064188,0.0
9,1782049069.9807057,0.0
10,1782049073.5291512,0.0
11,1782049076.9551737,0.0
12,1782049080.5191035,0.0
13,1782049085.9304185,0.0
14,1782049089.4509377,0.0
15,1782049092.4839766,0.0
16,1782049095.0647197,0.0
17,1782049099.404434,0.0
18,1782049106.0211334,0.0
19,1782049112.1663508,0.0
20,1782049117.6208665,0.0
21,1782049121.2901628,0.0
22,1782049123.6148047,0.0
23,1782049126.5668168,0.0
24,1782049130.420033,0.0
25,1782049133.6936204,0.0
26,1782049138.1704357,0.0
27,1782049142.2739925,0.0
28,1782049147.1860347,0.0
29,1782049150.4846666,0.0
30,1782049155.1983454,0.0
31,1782049160.6179976,0.0
32,1782049163.1541955,0.0
33,1782049165.9292185,0.0
34,1782049172.4814653,0.0
35,1782049177.021452,0.0
36,1782049180.254433,0.0
37,1782049182.4946175,0.0
38,1782049192.0157745,0.0
39,1782049199.9775147,0.0
40,1782049206.293899,0.0
41,1782049209.6106277,0.0
42,1782049214.8705337,0.0
43,1782049218.4512074,0.0
44,1782049226.6373801,0.0
45,1782049230.0857086,0.0
46,1782049232.779547,0.0
47,1782049235.2051063,0.0
48,1782049240.082929,0.0
49,1782049243.3993056,0.0
50,1782049250.2189846,0.0
51,1782049256.257368,0.0
52,1782049261.7813118,0.0
53,1782049271.2317545,0.0
54,1782049274.0111299,0.0
55,1782049279.068344,0.0
56,1782049283.5667698,0.0
57,1782049289.0919023,0.0
58,1782049293.4846857,0.0
59,1782049298.6898637,0.0
60,1782049305.0551155,0.0
61,1782049308.2271824,0.0
62,1782049314.3492272,0.0
63,1782049317.8651433,0.0
64,1782049321.1880114,0.0
65,1782049326.9948108,0.0
66,1782049330.6040092,0.0
67,1782049335.1838694,0.0
68,1782049338.9398372,0.0
69,1782049342.7165344,0.0
70,1782049349.147146,0.0
71,1782049352.7250874,0.0
72,1782049356.1966617,0.0
73,1782049360.5403736,0.0
74,1782049364.019804,0.0
75,1782049369.060413,0.0
76,1782049372.5300386,0.0
77,1782049375.3567598,0.0
78,1782049378.8539152,0.0
79,1782049382.6401064,0.0
80,1782049386.5101392,0.0
81,1782049392.5016365,0.0
82,1782049401.852751,0.0
83,1782049409.521387,0.0
84,1782049414.8812926,0.0
85,1782049422.8469415,0.0
