step,wall_time,value
68,1782049025.5306616,-375.28564453125
121,1782049028.6937032,64.19539642333984
207,1782049033.6807306,-674.1640625
303,1782049039.763784,-1040.8336181640625
386,1782049044.5688975,160.31280517578125
481,1782049049.98695,-979.377197265625
545,1782049053.7550135,-301.2067565917969
581,1782049056.1293778,-197.2078094482422
739,1782049064.905697,-358.9476623535156
826,1782049069.9800894,-84.87537384033203
889,1782049073.5285702,-470.9413757324219
943,1782049076.954634,-49.884521484375
998,1782049080.5185852,-285.60174560546875
1093,1782049085.9296415,-885.4885864257812
1153,1782049089.450337,176.9379425048828
1198,1782049092.4831457,22.971895217895508
1235,1782049095.0642896,-426.424560546875
1310,1782049099.403613,-158.698974609375
1432,1782049106.0202112,-351.8561706542969
1541,1782049112.165785,-906.1016235351562
1638,1782049117.6200683,533.1200561523438
1698,1782049121.289563,-419.9372863769531
1734,1782049123.6142912,-153.87152099609375
1784,1782049126.5659797,-20.9965877532959
1852,1782049130.419326,-483.0629577636719
1907,1782049133.6928556,-407.0617370605469
1986,1782049138.1696877,-562.3508911132812
2058,1782049142.2733338,350.9862365722656
2147,1782049147.1853034,-975.6982421875
2204,1782049150.4841037,-281.8852233886719
2286,1782049155.1975904,-427.7866516113281
2378,1782049160.617311,-506.572509765625
2420,1782049163.1536565,-204.8029022216797
2466,1782049165.9284868,-55.165130615234375
2589,1782049172.4807785,-329.214111328125
2669,1782049177.0208905,-654.0463256835938
2722,1782049180.2537081,105.76864624023438
2757,1782049182.4941008,-79.11844635009766
2938,1782049192.0150497,-236.69740295410156
3084,1782049199.9767997,-1152.8531494140625
3194,1782049206.2934136,-591.0642700195312
3249,1782049209.610043,-26.289432525634766
3345,1782049214.8699574,-589.3279418945312
3406,1782049218.4506161,-273.3868713378906
3560,1782049226.636594,-663.2122802734375
3620,1782049230.0849438,-191.04739379882812
3665,1782049232.7788537,-436.734130859375
3706,1782049235.2044718,-71.36897277832031
3796,1782049240.082213,-686.3212890625
3855,1782049243.3986187,21.689973831176758
3983,1782049250.2182436,-807.1588745117188
4093,1782049256.2566657,-447.56494140625
4193,1782049261.7804632,227.06381225585938
4372,1782049271.230977,-812.62890625
4420,1782049274.0102317,-422.4223327636719
4512,1782049279.0677927,-873.71044921875
4592,1782049283.5660243,-350.1488952636719
4692,1782049289.0863266,-1082.1015625
4770,1782049293.4839835,-317.1482849121094
4861,1782049298.6891682,565.0775146484375
4976,1782049305.054387,-960.94384765625
5031,1782049308.2264497,-84.35923767089844
5145,1782049314.3485398,-1024.326416015625
5208,1782049317.8645144,-649.685546875
5264,1782049321.1872916,35.42547607421875
5368,1782049326.9892113,-278.4953918457031
5431,1782049330.6032999,-501.2878112792969
5512,1782049335.183239,-629.6015014648438
5578,1782049338.9392974,-476.0696105957031
5644,1782049342.7157733,-428.12799072265625
5764,1782049349.146555,-762.113525390625
5825,1782049352.7244973,-275.02166748046875
5884,1782049356.1962206,308.9441223144531
5962,1782049360.539793,-568.7470703125
6022,1782049364.0191107,-353.16375732421875
6113,1782049369.05982,156.61221313476562
6172,1782049372.5294557,-397.8797607421875
6220,1782049375.3560822,-29.634929656982422
6282,1782049378.8534236,-505.9844665527344
6347,1782049382.6395214,3.4798431396484375
6413,1782049386.50971,-228.43817138671875
6519,1782049392.501068,-109.96764373779297
6693,1782049401.85215,-1106.2491455078125
6835,1782049409.5207942,-873.46142578125
6932,1782049414.8807473,-1080.9141845703125
7082,1782049422.8462613,93.28797912597656
7171,1782049427.6896834,-857.800537109375
7328,1782049435.9010048,-423.9444885253906
7405,1782049440.3357494,-84.76773834228516
7508,1782049446.0663838,-328.56903076171875
7632,1782049452.6870248,-237.4183349609375
7673,1782049455.2729483,-151.90809631347656
7711,1782049457.516895,-116.2762222290039
7773,1782049461.056688,-360.5738220214844
7860,1782049465.9700053,127.85187530517578
7899,1782049468.4321752,-132.14854431152344
7980,1782049472.9429371,-290.6152038574219
8094,1782049479.086206,271.01171875
8161,1782049482.8614364,52.747859954833984
8210,1782049485.6678925,58.948116302490234
8361,1782049493.5807667,-215.47244262695312
8431,1782049497.5977812,-500.98040771484375
8501,1782049501.6492941,88.16375732421875
8560,1782049505.1378288,-157.5088653564453
8641,1782049509.7150142,-66.7402572631836
8691,1782049512.726445,-79.26988983154297
8805,1782049518.8780816,-442.66448974609375
8862,1782049522.0831177,-77.59241485595703
8909,1782049524.8432918,-1.1758538484573364
9153,1782049537.619848,-1839.099853515625
9272,1782049544.0148969,-851.0184936523438
9336,1782049547.753858,273.2000427246094
9454,1782049554.1614842,-382.4280700683594
9501,1782049556.9926677,12.392860412597656
9643,1782049564.6264834,-144.08091735839844
9789,1782049572.4441297,-785.6779174804688
9963,1782049581.6247022,-1016.0707397460938
10014,1782049584.683984,-428.8056335449219
10174,1782049593.321323,-659.3175659179688
10239,1782049597.280929,319.2331237792969
10298,1782049600.810856,-422.25396728515625
10352,1782049604.445199,25.062156677246094
10441,1782049609.3044095,-874.7698364257812
10521,1782049613.7839787,-753.4957885742188
10681,1782049622.5030577,-873.533447265625
10813,1782049629.747281,-617.1617431640625
10911,1782049635.0455816,-118.42046356201172
11016,1782049640.7564049,-1164.117431640625
11173,1782049649.1797109,-881.2109985351562
11274,1782049654.7612345,538.2568969726562
11560,1782049669.6530313,-1301.644775390625
11617,1782049673.1659791,-37.15183639526367
11704,1782049678.0930145,617.2926025390625
11753,1782049681.2768424,-81.3221206665039
11804,1782049684.3622386,-27.263395309448242
11879,1782049688.4635336,-142.02963256835938
11973,1782049693.6373866,-707.3762817382812
12032,1782049697.0622091,-407.6066589355469
12122,1782049701.9808438,-25.48116111755371
12161,1782049704.2826533,-84.26789855957031
12203,1782049706.7281418,-94.46691131591797
12271,1782049710.6643128,-460.6086730957031
12410,1782049718.0770617,-1351.948974609375
12493,1782049722.6948454,-544.5244750976562
12626,1782049729.8588717,-1144.1009521484375
12728,1782049735.505228,-269.0693054199219
12790,1782049739.2259376,-205.0823211669922
12904,1782049745.4023936,-1041.1142578125
12945,1782049747.7925367,-173.8534393310547
12998,1782049750.8691978,-0.30056899785995483
13064,1782049754.645974,-368.3722229003906
13152,1782049759.7534213,-408.5760192871094
13217,1782049763.5785236,144.80020141601562
13353,1782049770.9422946,-367.4229736328125
13435,1782049775.467213,-363.00128173828125
13573,1782049782.8017733,165.45596313476562
13640,1782049786.5759003,-419.5538330078125
13699,1782049790.0330043,-411.0458984375
13814,1782049796.2185783,-405.4222106933594
13876,1782049799.7598288,-486.6506042480469
13930,1782049803.0426538,41.692710876464844
13989,1782049806.7642908,-404.7239990234375
14036,1782049809.5416133,-179.55300903320312
14198,1782049818.0920002,-952.4812622070312
14235,1782049820.346314,-414.859619140625
14326,1782049825.3067892,-652.8690795898438
14386,1782049828.6843147,-246.89393615722656
14433,1782049831.5540915,-426.0013732910156
14536,1782049837.2329674,-1039.4954833984375
14576,1782049839.5832663,-114.33981323242188
14734,1782049847.953281,-39.8474006652832
14796,1782049851.6287532,236.413818359375
14860,1782049855.3422935,-340.47247314453125
14917,1782049858.7044075,-358.77862548828125
14982,1782049862.3969467,383.29644775390625
15129,1782049870.1247573,-1346.8984375
15199,1782049874.0909414,-500.7434387207031
15242,1782049876.689518,-43.745460510253906
15328,1782049881.4708652,-404.85125732421875
15396,1782049885.4069514,-438.83502197265625
15464,1782049889.389054,-506.3427734375
15527,1782049893.2415907,-459.510986328125
15605,1782049897.752779,-378.8583068847656
15655,1782049900.829727,14.929746627807617
15731,1782049905.0699406,-495.3519287109375
15770,1782049907.4845862,-86.32157897949219
15806,1782049909.6251092,-138.61985778808594
15863,1782049912.9336865,243.3696746826172
15953,1782049918.130533,198.0541534423828
16054,1782049923.7255058,-148.49267578125
16174,1782049930.284634,-498.51953125
16229,1782049933.8059452,-197.24964904785156
16386,1782049942.2443004,-349.5086975097656
16443,1782049945.6606367,-58.259124755859375
16500,1782049948.8699293,-330.69842529296875
16537,1782049951.158758,-402.6520080566406
16675,1782049958.587143,-109.69754791259766
16764,1782049963.5393364,371.6442565917969
16816,1782049966.6266577,104.08158111572266
16879,1782049970.2688828,-510.85247802734375
16916,1782049972.703296,-158.9480438232422
17053,1782049980.5325403,-1031.6968994140625
17238,1782049990.6383002,684.2777709960938
17364,1782049997.6955292,-409.6803283691406
17412,1782050000.7801428,154.11456298828125
17558,1782050008.8492458,13.192753791809082
17717,1782050017.701268,-1226.818359375
17857,1782050025.6842504,-391.58343505859375
17900,1782050028.5591865,81.34418487548828
18102,1782050039.246481,-1789.1806640625
18152,1782050042.2347467,-415.6702880859375
18226,1782050046.6275456,222.0782012939453
18292,1782050050.4787705,-585.5071411132812
18366,1782050054.9872768,-319.88043212890625
18436,1782050059.2397878,526.879638671875
18552,1782050065.49553,-185.39981079101562
18799,1782050078.3293877,-2398.882568359375
18950,1782050086.3434074,-1004.9835815429688
19046,1782050091.8341365,52.477020263671875
19203,1782050100.4425595,-1097.9444580078125
19283,1782050105.0464644,-294.8174133300781
19316,1782050107.490833,-172.68458557128906
19380,1782050111.1800463,-420.38702392578125
19461,1782050115.850574,-205.60337829589844
19556,1782050121.1912754,-263.9078063964844
19623,1782050125.026102,244.42686462402344
19690,1782050128.9048967,142.9198455810547
19737,1782050131.7831175,-88.05712890625
19876,1782050139.2745605,-526.064208984375
19979,1782050145.1369078,-100.80874633789062
20058,1782050149.9082448,-463.1090087890625
20123,1782050154.0283768,-578.5501098632812
20182,1782050157.5894485,-143.83595275878906
20236,1782050161.0352194,152.44155883789062
20333,1782050166.8820138,426.757568359375
20476,1782050174.9877794,-662.2482299804688
20545,1782050179.2379339,-408.80242919921875
20639,1782050184.5613885,-794.104736328125
20734,1782050189.88764,207.5223846435547
20779,1782050192.7385254,-292.5863342285156
20840,1782050196.4662638,-435.8930358886719
20900,1782050200.2566442,40.035133361816406
20987,1782050205.3491974,320.2766418457031
21044,1782050208.9876273,-165.76284790039062
21096,1782050212.1799152,-380.1739501953125
21162,1782050215.9940212,-23.822877883911133
21207,1782050218.83629,-227.70664978027344
21461,1782050232.2431757,-886.6661987304688
21520,1782050235.7360795,-316.37091064453125
21555,1782050238.087023,-373.5391540527344
21598,1782050240.8144622,31.851171493530273
21749,1782050249.2325945,-409.81866455078125
21866,1782050255.7852798,-615.554931640625
21916,1782050258.9410722,-391.5377502441406
22001,1782050263.9728842,493.0291442871094
22083,1782050268.8749998,-679.6610717773438
22299,1782050280.4178257,-1758.539306640625
22426,1782050287.3845744,-1019.6583251953125
22517,1782050292.429845,170.29066467285156
22654,1782050299.782079,-869.88671875
22725,1782050303.9379961,49.43013000488281
22789,1782050308.0103717,273.9817199707031
22866,1782050312.579838,-90.75293731689453
22928,1782050316.3675227,-86.38977813720703
23087,1782050324.9933238,724.404052734375
23123,1782050327.490027,-366.7760009765625
23213,1782050332.6485548,410.5721435546875
23301,1782050337.779929,70.94252014160156
23354,1782050341.206237,142.1263885498047
23503,1782050349.39051,-997.6099853515625
23713,1782050360.3297286,-1416.75048828125
23803,1782050365.4645004,-851.2061157226562
23859,1782050368.714843,-186.40139770507812
23931,1782050372.9272928,-302.9112854003906
23996,1782050376.7854679,-448.1103515625
24204,1782050387.8822558,202.15493774414062
24378,1782050397.2690854,-1182.896728515625
24473,1782050402.6145868,-1018.3619995117188
24522,1782050405.8530087,19.543466567993164
24638,1782050412.4150932,-1113.5926513671875
24698,1782050415.809125,-267.8218078613281
24859,1782050424.592358,-59.82017135620117
24934,1782050428.952433,-296.58782958984375
24995,1782050432.6781936,-535.88720703125
25117,1782050439.455359,22.16204833984375
25186,1782050443.5332036,-453.7995910644531
25313,1782050450.343879,-398.1555480957031
25388,1782050454.58919,67.05017852783203
25448,1782050458.1485658,-475.0445556640625
25555,1782050464.0579698,-639.221435546875
25618,1782050467.8029861,-504.35736083984375
25675,1782050471.540847,-332.0079650878906
25772,1782050476.9683776,-927.8217163085938
25806,1782050479.245851,-148.91896057128906
25918,1782050485.6104753,-32.58441162109375
26011,1782050491.1828477,-16.619525909423828
26125,1782050497.6189911,32.878726959228516
26187,1782050501.29053,-489.8870544433594
26259,1782050505.5870209,-505.10626220703125
26424,1782050514.4401193,0.2194311022758484
26541,1782050520.8900664,-426.00006103515625
26605,1782050524.9205422,-280.0575256347656
26644,1782050527.4932716,-143.39427185058594
26743,1782050532.9658263,-830.0291748046875
26798,1782050536.2154224,152.8612060546875
26899,1782050541.7915347,-1154.2181396484375
26965,1782050545.6835668,-572.7052612304688
27025,1782050549.3525493,-437.76312255859375
27094,1782050553.506102,-541.21826171875
27179,1782050558.499215,-77.74703216552734
27246,1782050562.607634,-191.58714294433594
27303,1782050566.3725092,-16.163997650146484
27402,1782050571.921043,25.686878204345703
27502,1782050577.4888046,237.0175018310547
27553,1782050580.7543924,228.23158264160156
27647,1782050586.2858953,-402.0222473144531
27755,1782050592.318764,-11.505518913269043
27799,1782050594.9838257,-76.37059020996094
27863,1782050598.7095864,-377.4836730957031
27967,1782050604.7192972,-561.8681030273438
28046,1782050609.4643455,-160.34478759765625
28082,1782050612.0659525,-178.363037109375
28152,1782050616.1315165,349.441650390625
28229,1782050620.6072507,-491.6097412109375
28289,1782050624.2059648,-445.57147216796875
28357,1782050628.2843995,-573.1200561523438
28419,1782050632.061029,200.64427185058594
