step,wall_time,value
0,1782049025.5314453,0.0
1,1782049028.694391,0.0
2,1782049033.6813626,0.0
3,1782049039.7646017,0.0
4,1782049044.5697205,0.0
5,1782049049.9875846,0.0
6,1782049053.755674,0.0
7,1782049056.1300626,0.0
8,1782049064.906543,0.0
9,1782049069.9807804,0.0
10,1782049073.5292585,0.0
11,1782049076.9552703,0.0
12,1782049080.519233,0.0
13,1782049085.9305012,0.0
14,1782049089.451031,0.0
15,1782049092.4840887,0.0
16,1782049095.064783,0.0
17,1782049099.404514,0.0
18,1782049106.0214,0.0
19,1782049112.1664221,0.0
20,1782049117.6209936,0.0
21,1782049121.2902396,0.0
22,1782049123.6148686,0.0
23,1782049126.5669317,0.0
24,1782049130.42014,0.0
25,1782049133.6937199,0.0
26,1782049138.1705406,0.0
27,1782049142.2741182,0.0
28,1782049147.1861422,0.0
29,1782049150.4847434,0.0
30,1782049155.1984928,0.0
31,1782049160.6180727,0.0
32,1782049163.1542902,0.0
33,1782049165.9293442,0.0
34,1782049172.4815552,0.0
35,1782049177.0215492,0.0
36,1782049180.2545795,0.0
37,1782049182.4947057,0.0
38,1782049192.015915,0.0
39,1782049199.977622,0.0
40,1782049206.2939937,0.0
41,1782049209.6107244,0.0
42,1782049214.8706121,0.0
43,1782049218.451355,0.0
44,1782049226.637477,0.0
45,1782049230.085832,0.0
46,1782049232.7796557,0.0
47,1782049235.2052197,0.0
48,1782049240.0830407,0.0
49,1782049243.399425,0.0
50,1782049250.219099,0.0
51,1782049256.2575152,0.0
52,1782049261.7814395,0.0
53,1782049271.2318532,0.0
54,1782049274.011295,0.0
55,1782049279.068426,0.0
56,1782049283.5669615,0.0
57,1782049289.0921016,0.0
58,1782049293.484802,0.0
59,1782049298.6899824,0.0
60,1782049305.0552635,0.0
61,1782049308.22734,0.0
62,1782049314.3493307,0.0
63,1782049317.8652499,0.0
64,1782049321.1881185,0.0
65,1782049326.9949312,0.0
66,1782049330.6041715,0.0
67,1782049335.1839817,0.0
68,1782049338.9399345,0.0
69,1782049342.7167168,0.0
70,1782049349.1472843,0.0
71,1782049352.72518,0.0
72,1782049356.196719,0.0
73,1782049360.540461,0.0
74,1782049364.0199027,0.0
75,1782049369.060523,0.0
76,1782049372.5301404,0.0
77,1782049375.3568819,0.0
78,1782049378.8540072,0.0
79,1782049382.64021,0.0
80,1782049386.5102174,0.0
81,1782049392.5017152,0.0
82,1782049401.8528671,0.0
83,1782049409.5214782,0.0
84,1782049414.881422,0.0
85,1782049422.8470328,0.0
86,1782049427.6907325,0.0
87,1782049435.901904,0.0
88,1782049440.336337,0.0
89,1782049446.067574,0.0
90,1782049452.6879044,0.0
91,1782049455.2739716,0.0
92,1782049457.517802,0.0
93,1782049461.0574539,0.0
94,1782049465.9710748,0.0
95,1782049468.4328313,0.0
96,1782049472.9435549,0.0
97,1782049479.0868106,0.0
98,1782049482.8623502,0.0
99,1782049485.6685677,0.0
100,1782049493.5815303,0.0
101,1782049497.5984395,0.0
102,1782049501.6501026,0.0
103,1782049505.1389287,0.0
104,1782049509.7158823,0.0
105,1782049512.7272456,0.0
106,1782049518.883933,0.0
107,1782049522.0840452,0.0
108,1782049524.8441021,0.0
109,1782049537.6205385,0.0
110,1782049544.01593,0.0
111,1782049547.754728,0.0
112,1782049554.1621542,0.0
113,1782049556.9935067,0.0
114,1782049564.63229,0.0
115,1782049572.44493,0.0
116,1782049581.6254492,0.0
117,1782049584.6849823,0.0
118,1782049593.32209,0.0
119,1782049597.281861,0.0
120,1782049600.811718,0.0
121,1782049604.446039,0.0
122,1782049609.3049588,0.0
123,1782049613.7846274,0.0
124,1782049622.504024,0.0
125,1782049629.7480235,0.0
126,1782049635.046278,0.0
127,1782049640.7570798,0.0
128,1782049649.1807957,0.0
129,1782049654.762082,0.0
130,1782049669.653817,0.0
131,1782049673.1668553,0.0
132,1782049678.0937984,0.0
133,1782049681.2775168,0.0
134,1782049684.3630013,0.0
135,1782049688.464296,0.0
136,1782049693.6380403,0.0
137,1782049697.0632565,0.0
138,1782049701.981667,0.0
139,1782049704.283499,0.0
140,1782049706.7288954,0.0
141,1782049710.6651347,0.0
142,1782049718.0778422,0.0
143,1782049722.6955843,0.0
144,1782049729.8596244,0.0
145,1782049735.5059156,0.0
146,1782049739.2266414,0.0
147,1782049745.403382,0.0
148,1782049747.7933428,0.0
149,1782049750.8700006,0.0
150,1782049754.6467595,0.0
151,1782049759.7541914,0.0
152,1782049763.579292,0.0
153,1782049770.9430828,0.0
154,1782049775.4682999,0.0
155,1782049782.8029203,0.0
156,1782049786.576699,0.0
157,1782049790.0338902,0.0
158,1782049796.2193265,0.0
159,1782049799.7604158,0.0
160,1782049803.0433972,0.0
161,1782049806.765057,0.0
162,1782049809.542536,0.0
163,1782049818.0927944,0.0
164,1782049820.3471458,0.0
165,1782049825.3076355,0.0
166,1782049828.685028,0.0
167,1782049831.5548875,0.0
168,1782049837.2337697,0.0
169,1782049839.5839047,0.0
170,1782049847.9540021,0.0
171,1782049851.6294715,0.0
172,1782049855.3430169,0.0
173,1782049858.7053125,0.0
174,1782049862.3977497,0.0
175,1782049870.1254082,0.0
176,1782049874.0917296,0.0
177,1782049876.6903749,0.0
178,1782049881.4715614,0.0
179,1782049885.4078658,0.0
180,1782049889.3897443,0.0
181,1782049893.2424886,0.0
182,1782049897.7535543,0.0
183,1782049900.8304102,0.0
184,1782049905.070925,0.0
185,1782049907.4854465,0.0
186,1782049909.6256585,0.0
187,1782049912.9342916,0.0
188,1782049918.1312418,0.0
189,1782049923.7264094,0.0
190,1782049930.2854877,0.0
191,1782049933.8067868,0.0
192,1782049942.2449605,0.0
193,1782049945.6616437,0.0
194,1782049948.8709297,0.0
195,1782049951.164541,0.0
196,1782049958.5880158,0.0
197,1782049963.5402713,0.0
198,1782049966.6276395,0.0
199,1782049970.269535,0.0
200,1782049972.7039685,0.0
201,1782049980.5331266,0.0
202,1782049990.6390672,0.0
203,1782049997.6963332,0.0
204,1782050000.7809875,0.0
205,1782050008.8502042,0.0
206,1782050017.7022111,0.0
207,1782050025.68489,0.0
208,1782050028.559873,0.0
209,1782050039.2472427,0.0
210,1782050042.235598,0.0
211,1782050046.628337,0.0
212,1782050050.4794593,0.0
213,1782050054.9879138,0.0
214,1782050059.2406135,0.0
215,1782050065.4963691,0.0
216,1782050078.3303409,0.0
217,1782050086.3441427,0.0
218,1782050091.8399308,0.0
219,1782050100.4433799,0.0
220,1782050105.0472188,0.0
221,1782050107.4918077,0.0
222,1782050111.1808517,0.0
223,1782050115.8511279,0.0
224,1782050121.191966,0.0
225,1782050125.0268075,0.0
226,1782050128.905633,0.0
227,1782050131.7836995,0.0
228,1782050139.2753303,0.0
229,1782050145.1378276,0.0
230,1782050149.909232,0.0
231,1782050154.0289698,0.0
232,1782050157.5901036,0.0
233,1782050161.0363326,0.0
234,1782050166.8826613,0.0
235,1782050174.988451,0.0
236,1782050179.2387645,0.0
237,1782050184.562332,0.0
238,1782050189.888418,0.0
239,1782050192.7392395,0.0
240,1782050196.466821,0.0
241,1782050200.2575326,0.0
242,1782050205.3500686,0.0
243,1782050208.9884784,0.0
244,1782050212.1808481,0.0
245,1782050215.9946997,0.0
246,1782050218.8371334,0.0
247,1782050232.2441041,0.0
248,1782050235.7369483,0.0
249,1782050238.0876527,0.0
250,1782050240.8152578,0.0
251,1782050249.233471,0.0
252,1782050255.7860024,0.0
253,1782050258.9416547,0.0
254,1782050263.973836,0.0
255,1782050268.8757644,0.0
256,1782050280.4186025,0.0
257,1782050287.3853652,0.0
258,1782050292.430558,0.0
259,1782050299.783102,0.0
260,1782050303.9387543,0.0
261,1782050308.011376,0.0
262,1782050312.5808177,0.0
263,1782050316.368261,0.0
264,1782050324.9940448,0.0
265,1782050327.4907935,0.0
266,1782050332.649295,0.0
267,1782050337.7806032,0.0
268,1782050341.2070525,0.0
269,1782050349.3913713,0.0
270,1782050360.330499,0.0
271,1782050365.4654644,0.0
272,1782050368.7158477,0.0
273,1782050372.9281366,0.0
274,1782050376.791629,0.0
275,1782050387.883101,0.0
276,1782050397.2700057,0.0
277,1782050402.6183207,0.0
278,1782050405.853639,0.0
279,1782050412.4157226,0.0
280,1782050415.810044,0.0
281,1782050424.6294317,0.0
282,1782050428.953166,0.0
283,1782050432.679053,0.0
284,1782050439.4560528,0.0
285,1782050443.5339978,0.0
286,1782050450.3445003,0.0
287,1782050454.590136,0.0
288,1782050458.1494126,0.0
289,1782050464.0591776,0.0
290,1782050467.8039095,0.0
291,1782050471.5416677,0.0
292,1782050476.9740603,0.0
293,1782050479.2468333,0.0
294,1782050485.611242,0.0
295,1782050491.183557,0.0
296,1782050497.619819,0.0
297,1782050501.2911086,0.0
298,1782050505.5877588,0.0
299,1782050514.440902,0.0
300,1782050520.8909469,0.0
301,1782050524.921099,0.0
302,1782050527.4941072,0.0
303,1782050532.966332,0.0
304,1782050536.2162805,0.0
305,1782050541.792207,0.0
306,1782050545.6845458,0.0
307,1782050549.353164,0.0
308,1782050553.506787,0.0
309,1782050558.499942,0.0
310,1782050562.6083837,0.0
311,1782050566.3731012,0.0
312,1782050571.9217467,0.0
313,1782050577.4896054,0.0
314,1782050580.7553058,0.0
315,1782050586.2867029,0.0
316,1782050592.319528,0.0
317,1782050594.9847074,0.0
318,1782050598.7101288,0.0
319,1782050604.7198942,0.0
320,1782050609.4651916,0.0
321,1782050612.0668004,0.0
322,1782050616.1321764,0.0
323,1782050620.6080139,0.0
324,1782050624.206721,0.0
325,1782050628.285019,0.0
326,1782050632.0617878,0.0
327,1782050635.7313488,0.0
328,1782050642.97552,0.0
329,1782050652.5983129,0.0
330,1782050658.0157878,0.0
331,1782050663.8818316,0.0
332,1782050667.3560348,0.0
333,1782050672.4128323,0.0
334,1782050677.9562998,0.0
335,1782050680.9443185,0.0
336,1782050692.0880175,0.0
337,1782050699.8678236,0.0
338,1782050703.9890609,0.0
339,1782050709.135777,0.0
340,1782050713.0718927,0.0
341,1782050716.9315581,0.0
342,1782050720.2210107,0.0
343,1782050725.125641,0.0
344,1782050731.4359615,0.0
345,1782050736.9087143,0.0
346,1782050739.504423,0.0
347,1782050744.4336245,0.0
348,1782050750.2809558,0.0
349,1782050753.4780037,0.0
350,1782050757.3832648,0.0
351,1782050763.3976512,0.0
352,1782050768.3657148,0.0
353,1782050773.67837,0.0
354,1782050777.128976,0.0
355,1782050782.5313869,0.0
356,1782050788.440813,0.0
357,1782050797.568448,0.0
358,1782050802.998084,0.0
359,1782050805.669905,0.0
360,1782050811.7411551,0.0
361,1782050815.709332,0.0
362,1782050820.7186956,0.0
363,1782050829.5869598,0.0
364,1782050832.8374271,0.0
365,1782050836.9092007,0.0
366,1782050840.841205,0.0
367,1782050843.5605202,0.0
368,1782050847.6300328,0.0
369,1782050859.9212537,0.0
370,1782050868.0491998,0.0
371,1782050872.3596158,0.0
372,1782050874.7568948,0.0
373,1782050881.8369994,0.0
374,1782050885.2491405,0.0
375,1782050888.9344325,0.0
376,1782050892.1882677,0.0
377,1782050895.8376782,0.0
378,1782050905.945102,0.0
379,1782050911.2239847,0.0
380,1782050926.4553,0.0
381,1782050932.1321278,0.0
382,1782050936.4513412,0.0
383,1782050942.0316637,0.0
384,1782050944.9627512,0.0
385,1782050949.9880495,0.0
386,1782050955.5927896,0.0
387,1782050958.383114,0.0
388,1782050963.0119493,0.0
389,1782050965.7011187,0.0
390,1782050970.9086478,0.0
391,1782050975.00404,0.0
392,1782050980.667905,0.0
393,1782050984.3168283,0.0
394,1782050988.1105306,0.0
395,1782050990.7894702,0.0
396,1782050994.5068636,0.0
397,1782050998.4135907,0.0
398,1782051001.0022738,0.0
399,1782051004.6323228,0.0
400,1782051011.4374907,0.0
401,1782051020.24482,0.0
402,1782051031.1023076,0.0
403,1782051039.3677645,0.0
404,1782051042.1646776,0.0
405,1782051045.7864957,0.0
406,1782051052.4503303,0.0
407,1782051054.8860676,0.0
408,1782051061.5557945,0.0
409,1782051065.9839718,0.0
410,1782051070.3983014,0.0
411,1782051075.2650638,0.0
412,1782051079.493139,0.0
413,1782051084.4139254,0.0
414,1782051091.0784621,0.0
415,1782051095.2900965,0.0
416,1782051098.0107043,0.0
417,1782051101.5809608,0.0
418,1782051106.832355,0.0
419,1782051110.9863372,0.0
420,1782051114.9435494,0.0
421,1782051118.670781,0.0
422,1782051120.8422751,0.0
423,1782051125.6386516,0.0
424,1782051130.6130264,0.0
425,1782051147.7466936,0.0
426,1782051153.1341336,0.0
427,1782051157.7969801,0.0
428,1782051164.4619565,0.0
429,1782051168.6352766,0.0
430,1782051173.3881345,0.0
431,1782051183.2958846,0.0
432,1782051192.5075612,0.0
433,1782051197.4215736,0.0
434,1782051206.9145606,0.0
435,1782051210.9762747,0.0
436,1782051216.0914052,0.0
437,1782051222.1034732,0.0
438,1782051225.4392421,0.0
439,1782051229.0060625,0.0
440,1782051233.9149172,0.0
441,1782051237.9380245,0.0
442,1782051242.8973706,0.0
443,1782051251.7505946,0.0
444,1782051255.7026763,0.0
445,1782051260.0683746,0.0
446,1782051263.0799432,0.0
447,1782051265.8077524,0.0
448,1782051272.5255535,0.0
449,1782051277.8953693,0.0
450,1782051280.1693523,0.0
451,1782051284.8164053,0.0
452,1782051289.6410244,0.0
453,1782051293.666331,0.0
454,1782051300.5450914,0.0
455,1782051303.2079077,0.0
456,1782051305.2901957,0.0
457,1782051310.8181167,0.0
458,1782051313.0465124,0.0
459,1782051314.643799,0.0
460,1782051322.7773395,0.0
461,1782051334.2881093,0.0
462,1782051341.2803633,0.0
463,1782051343.7274961,0.0
464,1782051346.018565,0.0
465,1782051350.2103968,0.0
466,1782051357.6067085,0.0
467,1782051364.0251524,0.0
468,1782051373.109339,0.0
469,1782051379.4431343,0.0
470,1782051383.7846863,0.0
471,1782051388.7355862,0.0
472,1782051391.7783713,0.0
473,1782051396.159295,0.0
474,1782051400.44497,0.0
475,1782051405.886843,0.0
476,1782051411.9827461,0.0
477,1782051425.7305603,0.0
478,1782051429.6513407,0.0
479,1782051432.9853318,0.0
480,1782051439.815991,0.0
481,1782051455.5710385,0.0
482,1782051470.026268,0.0
483,1782051479.956042,0.0
484,1782051484.4822977,0.0
485,1782051494.0699906,0.0
486,1782051498.5786808,0.0
487,1782051503.6595106,0.0
488,1782051507.0393143,0.0
489,1782051509.2938187,0.0
490,1782051517.6313012,0.0
491,1782051520.227232,0.0
492,1782051529.1067007,0.0
493,1782051533.6008272,0.0
494,1782051539.9309099,0.0
495,1782051544.008214,0.0
496,1782051546.9666038,0.0
497,1782051552.126219,0.0
498,1782051555.030678,0.0
499,1782051557.6377695,0.0
500,1782051570.00781,0.0
501,1782051573.7285001,0.0
502,1782051577.373339,0.0
503,1782051582.70582,0.0
504,1782051591.1735644,0.0
505,1782051593.5465248,0.0
506,1782051597.3367398,0.0
507,1782051601.2677436,0.0
508,1782051605.0116363,0.0
509,1782051608.042991,0.0
510,1782051611.796748,0.0
511,1782051615.5166671,0.0
512,1782051623.793422,0.0
513,1782051630.3162012,0.0
514,1782051636.1834931,0.0
515,1782051642.227639,0.0
516,1782051645.9259915,0.0
517,1782051654.0738473,0.0
518,1782051657.8173342,0.0
519,1782051664.0759661,0.0
520,1782051668.870618,0.0
521,1782051679.5294843,0.0
522,1782051681.8770416,0.0
523,1782051694.175444,0.0
524,1782051700.612329,0.0
525,1782051704.40075,0.0
526,1782051714.3763592,0.0
527,1782051718.6134212,0.0
528,1782051723.5561655,0.0
529,1782051726.8418224,0.0
530,1782051732.6311078,0.0
531,1782051743.3970742,0.0
532,1782051746.2648726,0.0
533,1782051756.4181676,0.0
534,1782051760.1552145,0.0
535,1782051765.9324477,0.0
536,1782051770.6802778,0.0
537,1782051778.0150738,0.0
538,1782051794.4685547,0.0
539,1782051801.3118734,0.0
540,1782051807.5852652,0.0
541,1782051816.9413502,0.0
542,1782051831.0134742,0.0
543,1782051842.0140402,0.0
544,1782051846.1055832,0.0
545,1782051849.338951,0.0
546,1782051859.0906286,0.0
547,1782051866.3091195,0.0
548,1782051876.7549298,0.0
549,1782051883.4299362,0.0
550,1782051888.0461512,0.0
551,1782051897.1423771,0.0
552,1782051905.782323,0.0
553,1782051914.4481308,0.0
554,1782051918.3967464,0.0
555,1782051923.367407,0.0
556,1782051935.1963599,0.0
557,1782051942.1281364,0.0
558,1782051948.8112688,0.0
559,1782051951.8880584,0.0
560,1782051963.2562048,0.0
561,1782051969.7022498,0.0
562,1782051981.3848517,0.0
563,1782051990.6988795,0.0
564,1782051994.7502038,0.0
565,1782051998.2324784,0.0
