step,wall_time,value
0,1782049025.5315273,0.0
1,1782049028.694546,0.0
2,1782049033.6814988,0.0
3,1782049039.7646723,-30.0
4,1782049044.5698268,0.0
5,1782049049.987661,-30.0
6,1782049053.7557518,0.0
7,1782049056.1301537,0.0
8,1782049064.906663,-30.0
9,1782049069.980843,0.0
10,1782049073.529386,-30.0
11,1782049076.955362,-30.0
12,1782049080.5193434,0.0
13,1782049085.9305716,-30.0
14,1782049089.4511366,0.0
15,1782049092.4842217,-30.0
16,1782049095.0648427,0.0
17,1782049099.40458,0.0
18,1782049106.02154,0.0
19,1782049112.1664875,0.0
20,1782049117.6210654,-30.0
21,1782049121.2903464,0.0
22,1782049123.61493,0.0
23,1782049126.5670402,0.0
24,1782049130.4203017,0.0
25,1782049133.6938164,0.0
26,1782049138.1706338,0.0
27,1782049142.2743006,-30.0
28,1782049147.1862605,0.0
29,1782049150.4848168,0.0
30,1782049155.1988604,0.0
31,1782049160.618147,0.0
32,1782049163.1544037,0.0
33,1782049165.9294217,0.0
34,1782049172.4816437,0.0
35,1782049177.0216177,0.0
36,1782049180.254686,0.0
37,1782049182.4947896,0.0
38,1782049192.0160484,0.0
39,1782049199.977724,-30.0
40,1782049206.2940767,0.0
41,1782049209.610825,0.0
42,1782049214.8707058,-30.0
43,1782049218.4514854,-30.0
44,1782049226.6375508,0.0
45,1782049230.08594,0.0
46,1782049232.7797754,0.0
47,1782049235.2053254,0.0
48,1782049240.0831718,0.0
49,1782049243.3995152,0.0
50,1782049250.2192283,0.0
51,1782049256.2576566,0.0
52,1782049261.7815328,-30.0
53,1782049271.2319376,0.0
54,1782049274.011453,0.0
55,1782049279.0684977,0.0
56,1782049283.5670266,0.0
57,1782049289.092309,0.0
58,1782049293.4849117,0.0
59,1782049298.6900716,0.0
60,1782049305.0553787,0.0
61,1782049308.2274427,0.0
62,1782049314.349426,0.0
63,1782049317.8653405,-30.0
64,1782049321.1881723,-30.0
65,1782049326.9950352,0.0
66,1782049330.6043055,0.0
67,1782049335.1840875,0.0
68,1782049338.9400263,-30.0
69,1782049342.7169058,0.0
70,1782049349.147434,-30.0
71,1782049352.7252765,0.0
72,1782049356.19677,0.0
73,1782049360.5406098,0.0
74,1782049364.019988,-30.0
75,1782049369.0606241,0.0
76,1782049372.5302541,0.0
77,1782049375.3569717,0.0
78,1782049378.8540924,-30.0
79,1782049382.640373,0.0
80,1782049386.5102763,0.0
81,1782049392.5017927,0.0
82,1782049401.8529568,0.0
83,1782049409.5215728,0.0
84,1782049414.8815334,-30.0
85,1782049422.8471282,0.0
86,1782049427.6909025,0.0
87,1782049435.9020038,0.0
88,1782049440.336423,0.0
89,1782049446.0676513,0.0
90,1782049452.688007,0.0
91,1782049455.2741003,0.0
92,1782049457.5179384,0.0
93,1782049461.0575833,0.0
94,1782049465.9712524,0.0
95,1782049468.4328868,0.0
96,1782049472.9436479,0.0
97,1782049479.0868971,0.0
98,1782049482.8625023,0.0
99,1782049485.6686532,0.0
100,1782049493.581694,0.0
101,1782049497.598522,0.0
102,1782049501.6502335,0.0
103,1782049505.1391127,0.0
104,1782049509.7159755,0.0
105,1782049512.7273283,-30.0
106,1782049518.8841836,-30.0
107,1782049522.084133,0.0
108,1782049524.8442092,0.0
109,1782049537.6206756,0.0
110,1782049544.016021,0.0
111,1782049547.7548456,0.0
112,1782049554.1622736,-30.0
113,1782049556.9936044,0.0
114,1782049564.6324234,-30.0
115,1782049572.445034,0.0
116,1782049581.6255455,0.0
117,1782049584.6851115,0.0
118,1782049593.322184,0.0
119,1782049597.281926,0.0
120,1782049600.8118167,-30.0
121,1782049604.4461114,0.0
122,1782049609.3050408,0.0
123,1782049613.784694,0.0
124,1782049622.5042558,-30.0
125,1782049629.7481754,0.0
126,1782049635.0463903,-30.0
