step,wall_time,value
0,1782049025.5307717,-24.0
1,1782049028.693798,2.4725093841552734
2,1782049033.6808298,2.0
3,1782049039.7640018,-24.0
4,1782049044.5690868,1.26513671875
5,1782049049.9870775,-24.0
6,1782049053.7552304,-24.0
7,1782049056.1295133,3.0044894218444824
8,1782049064.9059155,-24.0
9,1782049069.9803257,0.9079680442810059
10,1782049073.5287669,-24.0
11,1782049076.954783,-24.0
12,1782049080.518733,0.41315826773643494
13,1782049085.9298553,-24.0
14,1782049089.4505324,3.8762941360473633
15,1782049092.4834142,-24.0
16,1782049095.0644298,2.0
17,1782049099.4038315,-24.0
18,1782049106.0203617,-24.0
19,1782049112.16593,3.994799852371216
20,1782049117.6202667,-24.0
21,1782049121.2896833,-24.0
22,1782049123.6144674,1.9770281314849854
23,1782049126.5662193,2.5195696353912354
24,1782049130.4195704,-24.0
25,1782049133.6930635,3.6249334812164307
26,1782049138.1699314,2.0
27,1782049142.2735379,-24.0
28,1782049147.1856005,-24.0
29,1782049150.484311,3.244027614593506
30,1782049155.1977413,2.0
31,1782049160.6175215,3.8403618335723877
32,1782049163.1538403,3.5414655208587646
33,1782049165.9287863,2.369310140609741
34,1782049172.4810145,2.6603941917419434
35,1782049177.0210867,4.0
36,1782049180.2539108,3.316526174545288
37,1782049182.4942324,2.1079294681549072
38,1782049192.01526,1.496978759765625
39,1782049199.9770231,-24.0
40,1782049206.293541,2.513465642929077
41,1782049209.610226,2.0
42,1782049214.8701422,-24.0
43,1782049218.450753,-24.0
44,1782049226.6368105,4.0
45,1782049230.08522,2.983445882797241
46,1782049232.7790549,3.8002781867980957
47,1782049235.204676,2.0874576568603516
48,1782049240.0824225,0.8650591969490051
49,1782049243.398805,3.511179208755493
50,1782049250.218504,-24.0
51,1782049256.2568617,4.0
52,1782049261.780672,-24.0
53,1782049271.2311985,3.057457208633423
54,1782049274.0104387,2.0
55,1782049279.0680006,1.7517496347427368
56,1782049283.5662296,-24.0
57,1782049289.0864475,-24.0
58,1782049293.4842005,-24.0
59,1782049298.6893616,3.0247385501861572
60,1782049305.0545862,-24.0
61,1782049308.22665,2.0
62,1782049314.3487298,-24.0
63,1782049317.864687,-24.0
64,1782049321.1875112,-24.0
65,1782049326.989395,3.554081678390503
66,1782049330.6034975,-24.0
67,1782049335.1834245,1.835475206375122
68,1782049338.939471,-24.0
69,1782049342.715958,2.768388509750366
70,1782049349.1467226,-24.0
71,1782049352.7246683,1.5195538997650146
72,1782049356.1963422,2.8167498111724854
73,1782049360.539965,4.0
74,1782049364.0193322,-24.0
75,1782049369.0600011,3.0857656002044678
76,1782049372.5296285,0.8887668251991272
77,1782049375.3562922,2.569390296936035
78,1782049378.8535628,-24.0
79,1782049382.639699,3.8185627460479736
80,1782049386.509852,-24.0
81,1782049392.5012665,2.9331212043762207
82,1782049401.852345,0.0830722376704216
83,1782049409.5209754,3.010606527328491
84,1782049414.880864,-24.0
85,1782049422.8465233,2.0
86,1782049427.6898954,-24.0
87,1782049435.9012349,1.7605372667312622
88,1782049440.3358827,1.4105111360549927
89,1782049446.0666013,1.7376822233200073
90,1782049452.6872685,2.0
91,1782049455.2731714,2.239569664001465
92,1782049457.5170674,2.428595542907715
93,1782049461.056861,-24.0
94,1782049465.9702497,4.0
95,1782049468.432399,2.947511911392212
96,1782049472.9430614,1.9641777276992798
97,1782049479.08633,3.8316447734832764
98,1782049482.8616173,3.083970785140991
99,1782049485.6680627,2.7208902835845947
100,1782049493.5808809,2.0
101,1782049497.598007,-24.0
102,1782049501.6494718,4.0
103,1782049505.1380465,2.090711832046509
104,1782049509.7152612,1.0068540573120117
105,1782049512.7266622,-24.0
106,1782049518.878309,-24.0
107,1782049522.0833483,2.5032777786254883
108,1782049524.8435056,2.3154568672180176
109,1782049537.6199865,3.7495265007019043
110,1782049544.0151117,0.16384096443653107
111,1782049547.7540793,3.5097813606262207
112,1782049554.161639,-24.0
113,1782049556.9928443,2.6623082160949707
114,1782049564.6267073,-24.0
115,1782049572.4442585,1.6532196998596191
116,1782049581.6248927,2.3701579570770264
117,1782049584.684236,0.5363814830780029
118,1782049593.321549,2.0
119,1782049597.2811828,2.0
120,1782049600.811073,-24.0
121,1782049604.4455028,3.987257242202759
122,1782049609.304529,-24.0
123,1782049613.7842095,4.0
124,1782049622.5032866,-24.0
125,1782049629.7474072,1.8882533311843872
126,1782049635.0457067,-24.0
127,1782049640.7565901,-24.0
128,1782049649.1799192,-24.0
129,1782049654.7614157,3.37247371673584
130,1782049669.6532607,2.9930171966552734
131,1782049673.1662288,2.6487324237823486
132,1782049678.0932248,2.7823688983917236
133,1782049681.2770247,3.489088296890259
134,1782049684.3624213,2.03277587890625
135,1782049688.4637084,2.995171546936035
136,1782049693.6375077,3.3801450729370117
137,1782049697.062443,3.6488940715789795
138,1782049701.9810512,-24.0
139,1782049704.2828555,2.573187828063965
140,1782049706.7283168,2.1204721927642822
141,1782049710.6645372,-24.0
142,1782049718.0772967,-24.0
143,1782049722.6951091,2.254542589187622
144,1782049729.859052,3.0415921211242676
145,1782049735.5054185,1.7950078248977661
146,1782049739.2260673,-24.0
147,1782049745.4026089,-24.0
148,1782049747.7927523,-24.0
149,1782049750.8694098,2.955254554748535
150,1782049754.646174,-24.0
151,1782049759.7536125,4.0
152,1782049763.578712,2.0
153,1782049770.942468,2.0
154,1782049775.4674337,-24.0
155,1782049782.8019876,2.291748046875
156,1782049786.576084,-24.0
157,1782049790.0332327,2.0
158,1782049796.2187576,3.7122645378112793
159,1782049799.760011,-24.0
160,1782049803.0428529,-24.0
161,1782049806.7645047,1.9300265312194824
162,1782049809.5418212,-24.0
163,1782049818.0922334,-24.0
164,1782049820.3465276,2.0
165,1782049825.3069935,-24.0
166,1782049828.6844878,-24.0
167,1782049831.5543,-24.0
168,1782049837.2331896,-24.0
169,1782049839.5834365,-24.0
170,1782049847.953457,3.5264475345611572
171,1782049851.6289341,3.1013240814208984
172,1782049855.3424728,-24.0
173,1782049858.7047114,1.3796002864837646
174,1782049862.3971238,3.634103298187256
175,1782049870.124875,2.0
176,1782049874.0911188,-24.0
177,1782049876.689725,-24.0
178,1782049881.471052,2.0
179,1782049885.4071946,1.5670912265777588
180,1782049889.3892906,-24.0
181,1782049893.2418041,-24.0
182,1782049897.7529688,3.949774742126465
183,1782049900.8299005,2.3968393802642822
184,1782049905.0701847,3.8924944400787354
185,1782049907.484763,2.490522623062134
186,1782049909.6252391,2.1031177043914795
187,1782049912.9338233,-24.0
188,1782049918.1307173,1.7193512916564941
189,1782049923.7256856,3.207109212875366
190,1782049930.2848656,2.614793539047241
191,1782049933.8061154,2.9936556816101074
192,1782049942.2444894,3.0904054641723633
193,1782049945.6608515,4.0
194,1782049948.870173,3.473435401916504
195,1782049951.1589775,3.6023752689361572
196,1782049958.5874095,-24.0
197,1782049963.5395663,-24.0
198,1782049966.6268716,3.5008623600006104
199,1782049970.2690527,-24.0
200,1782049972.703475,2.2580792903900146
201,1782049980.532681,1.585081934928894
202,1782049990.6385624,-24.0
203,1782049997.6957226,3.2378618717193604
204,1782050000.7803662,3.564450979232788
